Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,468.00,468.70,428.20,432.00,28344300,432.00
2016-02-17,400.00,468.05,395.65,468.05,23865900,468.05
2016-02-16,418.65,423.10,360.00,397.95,19637100,397.95
2016-02-15,384.50,410.00,380.00,393.05,14502900,393.05
2016-02-12,323.75,373.95,323.75,373.95,15365600,373.95
2016-02-11,323.60,331.40,306.45,315.95,15141500,315.95
2016-02-10,339.65,350.25,315.10,327.00,12522600,327.00
2016-02-09,373.25,373.25,331.75,333.80,15716700,333.80
2016-02-08,367.35,376.50,343.50,376.10,17665300,376.10
2016-02-05,317.00,376.55,310.75,363.35,39203100,363.35
2016-02-04,305.00,342.70,288.55,328.30,27597900,328.30
2016-02-03,250.95,275.80,245.80,273.70,12821900,273.70
2016-02-02,271.45,272.90,244.70,252.15,13476000,252.15
2016-02-01,280.05,286.442,263.70,274.05,12702500,274.05
2016-01-29,283.80,287.85,262.10,277.45,15165700,277.45
2016-01-28,259.50,292.75,255.85,275.90,23128700,275.90
2016-01-27,252.00,255.45,238.10,253.75,16470900,253.75
2016-01-26,222.30,254.55,215.55,253.35,21886400,253.35
2016-01-25,229.60,251.168,216.914,226.60,14248000,226.60
2016-01-22,255.55,260.70,224.45,226.70,24012700,226.70
2016-01-21,222.65,250.20,217.20,248.00,24697200,248.00
2016-01-20,222.00,228.151,218.75,221.05,15914300,221.05
2016-01-19,242.35,261.65,237.00,238.80,18801600,238.80
2016-01-18,232.70,242.75,227.35,232.65,12321000,232.65
2016-01-15,251.80,256.55,230.30,232.75,20904600,232.75
2016-01-14,231.00,271.90,228.00,262.95,22790300,262.95
2016-01-13,236.00,248.30,227.10,231.45,18358800,231.45
2016-01-12,230.00,251.75,222.40,232.50,19400400,232.50
2016-01-11,225.95,243.95,221.50,230.45,17122100,230.45
2016-01-08,242.85,250.30,227.90,229.20,14790400,229.20
2016-01-07,251.00,252.45,237.65,240.65,21010700,240.65
2016-01-06,281.00,282.00,259.35,270.40,13893700,270.40
2016-01-05,278.40,291.70,275.45,277.85,9085600,277.85
2016-01-04,292.35,294.458,272.75,277.85,13842100,277.85
2015-12-31,301.40,303.70,296.90,299.45,1701500,299.45
2015-12-30,304.60,314.455,296.30,301.80,6308700,301.80
2015-12-29,322.60,323.076,301.85,307.35,9476500,307.35
2015-12-24,323.35,331.25,323.35,328.05,2278100,328.05
2015-12-23,301.30,324.73,301.30,323.35,11160400,323.35
2015-12-22,284.30,297.506,282.50,296.50,7686100,296.50
2015-12-21,279.90,298.20,276.456,280.50,11136800,280.50
2015-12-18,264.25,283.00,262.00,278.65,16656900,278.65
2015-12-17,282.10,286.65,261.65,263.55,12286500,263.55
