Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3261.00,3266.00,3215.00,3229.00,981700,3229.00
2016-02-17,3175.00,3259.00,3163.00,3259.00,1025200,3259.00
2016-02-16,3134.00,3158.00,3111.23,3153.00,607900,3153.00
2016-02-15,3106.00,3137.00,3098.00,3119.00,377300,3119.00
2016-02-12,3016.00,3053.00,3000.00,3052.00,639800,3052.00
2016-02-11,3024.00,3024.00,2957.00,3000.00,612500,3000.00
2016-02-10,3065.00,3100.00,3035.00,3041.00,562500,3041.00
2016-02-09,3055.00,3057.00,2999.00,3039.00,860700,3039.00
2016-02-08,3117.00,3117.00,3035.00,3045.00,793400,3045.00
2016-02-05,3139.00,3189.00,3092.00,3097.00,642900,3097.00
2016-02-04,3212.00,3212.00,3116.06,3135.00,900300,3135.00
2016-02-03,3195.00,3206.00,3146.00,3159.00,747900,3159.00
2016-02-02,3145.00,3206.00,3136.16,3200.00,1110700,3200.00
2016-02-01,3140.00,3159.00,3096.00,3150.00,781700,3150.00
2016-01-29,3079.00,3150.00,3072.00,3150.00,858400,3150.00
2016-01-28,3059.00,3071.00,3030.00,3050.00,476300,3050.00
2016-01-27,3018.00,3078.00,3008.00,3078.00,614800,3078.00
2016-01-26,2990.00,3019.00,2980.00,3015.00,529700,3015.00
2016-01-25,3019.00,3021.00,2984.00,3021.00,663300,3021.00
2016-01-22,2994.00,3007.00,2972.00,2995.00,672100,2995.00
2016-01-21,2933.00,2959.00,2919.00,2949.00,916800,2949.00
2016-01-20,2968.00,2982.00,2909.00,2922.00,746300,2922.00
2016-01-19,3053.00,3054.00,2997.75,3010.00,988500,3010.00
2016-01-18,2990.00,3019.00,2976.00,3002.00,585200,3002.00
2016-01-15,3012.00,3037.00,2976.00,2986.00,1353300,2986.00
2016-01-14,2998.00,3059.00,2977.00,3019.00,1137500,3019.00
2016-01-13,3077.00,3077.00,3041.00,3041.00,934400,3041.00
2016-01-12,3036.00,3070.00,3031.00,3049.00,708500,3049.00
2016-01-11,3036.00,3063.00,3033.00,3036.00,722000,3036.00
2016-01-08,3121.00,3144.00,3028.00,3033.00,1088800,3033.00
2016-01-07,3133.00,3164.00,3106.00,3112.00,806300,3112.00
2016-01-06,3251.00,3251.00,3184.00,3193.00,679400,3193.00
2016-01-05,3280.00,3285.00,3214.00,3276.00,385900,3276.00
2016-01-04,3327.00,3327.00,3256.00,3276.00,556000,3276.00
2015-12-31,3383.00,3383.00,3341.00,3342.00,108900,3342.00
2015-12-30,3365.00,3386.00,3350.00,3378.00,257800,3378.00
2015-12-29,3363.00,3380.00,3325.00,3368.00,360600,3368.00
2015-12-24,3330.00,3348.00,3312.00,3339.00,115300,3339.00
2015-12-23,3288.00,3331.08,3286.00,3318.00,569200,3318.00
2015-12-22,3257.00,3274.00,3221.00,3257.00,633900,3257.00
2015-12-21,3286.00,3305.00,3236.00,3236.00,603700,3236.00
2015-12-18,3392.00,3399.00,3326.77,3327.00,1222000,3327.00
2015-12-17,3451.00,3451.00,3396.00,3404.00,563000,3404.00
2015-12-16,3399.00,3421.00,3390.00,3390.00,1313500,3390.00
2015-12-15,3366.00,3411.00,3355.45,3398.00,727500,3398.00
2015-12-14,3404.00,3439.00,3345.00,3348.00,607900,3348.00
2015-12-11,3433.00,3464.00,3398.00,3403.00,665700,3403.00
2015-12-10,3472.00,3474.84,3428.00,3436.00,612200,3436.00
2015-12-09,3534.00,3545.00,3506.00,3514.00,517000,3489.00
2015-12-08,3550.00,3570.00,3511.00,3513.00,594300,3488.007
2015-12-07,3509.00,3588.00,3508.00,3550.00,430300,3524.744
2015-12-04,3458.00,3528.00,3423.00,3485.00,879400,3460.206
2015-12-03,3550.00,3584.00,3467.00,3478.00,1084100,3453.256
2015-12-02,3549.00,3606.00,3536.00,3599.00,417100,3573.395
2015-12-01,3560.00,3571.00,3524.00,3544.00,619500,3518.787
2015-11-30,3516.00,3556.00,3496.00,3546.00,994000,3520.772
2015-11-27,3496.00,3526.00,3487.00,3516.00,324400,3490.986
2015-11-26,3517.00,3527.00,3503.00,3512.00,334400,3487.014
2015-11-25,3451.00,3504.00,3444.00,3504.00,734900,3479.071
2015-11-24,3460.00,3460.00,3408.00,3442.00,608800,3417.512
2015-11-23,3498.00,3498.00,3458.00,3470.00,503400,3445.313
2015-11-20,3515.00,3519.00,3477.00,3516.00,649800,3490.986
2015-11-19,3455.00,3508.00,3442.00,3504.00,572100,3479.071
2015-11-18,3436.00,3449.00,3405.00,3445.00,354500,3420.491
2015-11-17,3430.00,3449.00,3408.00,3443.00,575100,3418.505
2015-11-16,3361.00,3407.00,3361.00,3405.00,436500,3380.775
2015-11-13,3402.00,3403.00,3373.00,3375.00,553600,3350.989
2015-11-12,3459.00,3472.00,3413.76,3414.00,622500,3389.711
2015-11-11,3428.00,3500.00,3425.00,3454.00,730200,3429.427
2015-11-10,3436.00,3442.00,3382.00,3413.00,837500,3388.719
2015-11-09,3429.00,3442.00,3404.00,3409.00,657300,3384.747
2015-11-06,3494.00,3498.00,3413.00,3429.00,672500,3404.605
2015-11-05,3444.00,3499.00,3440.00,3482.00,928600,3457.228
2015-11-04,3439.00,3468.00,3430.00,3435.00,655800,3410.562
2015-11-03,3348.00,3439.00,3333.00,3435.00,830900,3410.562
2015-11-02,3439.00,3465.00,3391.00,3434.00,866200,3409.569
2015-10-30,3520.00,3524.00,3440.00,3455.00,674300,3430.42
2015-10-29,3480.00,3520.60,3476.00,3507.00,967300,3482.05
2015-10-28,3424.00,3479.00,3424.00,3470.00,412700,3445.313
2015-10-27,3404.00,3446.00,3389.60,3424.00,557700,3399.64
2015-10-26,3388.00,3410.00,3372.00,3395.00,436900,3370.847
2015-10-23,3396.00,3419.00,3392.00,3399.00,448300,3374.818
2015-10-22,3351.00,3392.00,3338.00,3376.00,448600,3351.982
2015-10-21,3330.00,3366.00,3318.00,3361.00,451400,3337.088
2015-10-20,3294.00,3320.00,3283.00,3317.00,499400,3293.402
2015-10-19,3278.00,3299.00,3254.00,3284.00,434000,3260.636
2015-10-16,3288.00,3313.00,3254.00,3308.00,755500,3284.466
2015-10-15,3288.00,3307.00,3269.00,3296.00,647500,3272.551
2015-10-14,3296.00,3309.00,3230.00,3258.00,828700,3234.821
2015-10-13,3339.00,3340.00,3294.00,3310.00,944700,3286.451
2015-10-12,3333.00,3382.00,3319.00,3379.00,447300,3354.96
2015-10-09,3409.00,3410.00,3343.00,3343.00,815200,3319.217
2015-10-08,3375.00,3392.00,3345.00,3384.00,556300,3359.925
