Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1738.00,1753.00,1734.00,1747.00,457200,1747.00
2016-02-17,1712.00,1736.00,1712.00,1730.00,522500,1730.00
2016-02-16,1713.00,1713.00,1689.00,1700.00,581500,1700.00
2016-02-15,1706.00,1719.00,1694.00,1700.00,542300,1700.00
2016-02-12,1677.00,1696.00,1668.00,1674.00,987200,1674.00
2016-02-11,1712.00,1712.00,1665.00,1665.00,579600,1665.00
2016-02-10,1705.00,1732.00,1690.00,1723.00,732400,1723.00
2016-02-09,1698.00,1708.00,1668.00,1680.00,878900,1680.00
2016-02-08,1716.00,1716.00,1691.00,1693.00,1004000,1693.00
2016-02-05,1740.00,1744.00,1702.00,1702.00,2185300,1702.00
2016-02-04,1770.00,1774.00,1733.00,1736.00,1333500,1736.00
2016-02-03,1767.00,1777.00,1757.00,1760.00,1427300,1760.00
2016-02-02,1763.00,1787.00,1762.00,1775.00,746300,1775.00
2016-02-01,1782.00,1782.00,1749.00,1768.00,736600,1768.00
2016-01-29,1744.00,1774.00,1735.00,1774.00,1106900,1774.00
2016-01-28,1729.00,1751.00,1725.00,1725.00,1051300,1725.00
2016-01-27,1698.00,1740.00,1693.00,1740.00,1132800,1740.00
2016-01-26,1679.00,1708.00,1679.00,1697.00,837400,1697.00
2016-01-25,1688.00,1695.00,1676.00,1694.00,643300,1694.00
2016-01-22,1680.00,1682.00,1656.00,1676.00,555400,1676.00
2016-01-21,1619.00,1682.00,1619.00,1657.00,1253000,1657.00
2016-01-20,1670.00,1676.00,1612.00,1619.00,987800,1619.00
2016-01-19,1663.00,1695.00,1623.17,1695.00,1166600,1695.00
2016-01-18,1622.00,1644.00,1616.00,1641.00,701400,1641.00
2016-01-15,1611.00,1630.25,1599.76,1630.00,1126000,1630.00
2016-01-14,1623.00,1624.00,1605.00,1611.00,473200,1611.00
2016-01-13,1645.00,1650.00,1626.00,1635.00,421500,1635.00
2016-01-12,1621.00,1641.00,1613.00,1635.00,672400,1635.00
2016-01-11,1610.00,1628.80,1603.00,1615.00,693900,1615.00
2016-01-08,1601.00,1638.00,1598.00,1620.00,539400,1620.00
2016-01-07,1600.00,1614.00,1591.64,1601.00,1001300,1601.00
2016-01-06,1622.00,1637.00,1605.55,1629.00,681800,1629.00
2016-01-05,1623.00,1633.00,1605.40,1609.00,211200,1609.00
2016-01-04,1642.00,1650.00,1599.00,1609.00,548200,1609.00
2015-12-31,1662.00,1670.00,1632.80,1659.00,141500,1659.00
2015-12-30,1665.00,1665.00,1652.00,1662.00,246000,1662.00
2015-12-29,1650.00,1673.26,1639.09,1673.00,399200,1673.00
2015-12-24,1654.00,1654.00,1639.00,1639.00,40100,1639.00
2015-12-23,1637.00,1649.00,1616.00,1646.00,605600,1646.00
2015-12-22,1645.00,1645.00,1619.00,1627.00,409100,1627.00
2015-12-21,1650.00,1657.00,1635.00,1635.00,401500,1635.00
2015-12-18,1667.00,1683.00,1650.00,1655.00,860100,1655.00
2015-12-17,1698.00,1699.00,1675.00,1675.00,651300,1675.00
2015-12-16,1654.00,1674.00,1654.00,1672.00,613200,1672.00
2015-12-15,1625.00,1657.50,1624.50,1653.00,731000,1653.00
2015-12-14,1618.00,1636.00,1606.00,1611.00,695400,1611.00
2015-12-11,1607.00,1627.00,1604.00,1613.00,1221200,1613.00
2015-12-10,1609.00,1627.00,1603.00,1608.00,728200,1608.00
2015-12-09,1624.00,1638.00,1617.00,1619.00,432900,1619.00
2015-12-08,1632.00,1639.00,1621.00,1623.00,412900,1623.00
2015-12-07,1626.00,1652.40,1624.00,1634.00,419600,1634.00
2015-12-04,1616.00,1623.00,1605.00,1618.00,493600,1618.00
2015-12-03,1644.00,1658.00,1615.00,1621.00,576500,1621.00
2015-12-02,1646.00,1656.00,1635.00,1650.00,563100,1650.00
2015-12-01,1629.00,1645.00,1626.00,1639.00,700100,1639.00
2015-11-30,1623.00,1627.00,1611.00,1621.00,846800,1621.00
2015-11-27,1596.00,1632.00,1592.00,1621.00,501100,1621.00
2015-11-26,1601.00,1606.00,1596.00,1601.00,925500,1601.00
2015-11-25,1596.00,1614.00,1592.00,1603.00,1101200,1603.00
2015-11-24,1619.00,1619.00,1584.00,1589.00,1151600,1589.00
2015-11-23,1613.00,1627.00,1598.00,1623.00,715900,1623.00
2015-11-20,1648.00,1648.00,1624.00,1625.00,607200,1625.00
2015-11-19,1635.00,1649.00,1634.00,1641.00,688200,1641.00
2015-11-18,1623.00,1632.00,1610.00,1630.00,590600,1630.00
2015-11-17,1630.00,1645.00,1619.00,1631.00,1749100,1631.00
2015-11-16,1602.00,1624.00,1600.00,1622.00,441500,1622.00
2015-11-13,1621.00,1622.00,1604.00,1615.00,600200,1615.00
2015-11-12,1636.00,1651.00,1617.00,1625.00,609100,1625.00
2015-11-11,1633.00,1650.00,1630.00,1640.00,619600,1640.00
2015-11-10,1640.00,1647.00,1621.00,1630.00,556500,1630.00
2015-11-09,1642.00,1645.00,1633.42,1640.00,634400,1640.00
2015-11-06,1631.00,1650.00,1630.00,1645.00,829900,1645.00
2015-11-05,1634.00,1637.00,1628.00,1633.00,694500,1633.00
2015-11-04,1645.00,1645.00,1622.00,1633.00,677100,1633.00
2015-11-03,1610.00,1646.00,1610.00,1638.00,743600,1638.00
