Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,246.10,247.20,240.50,242.80,4839300,242.80
2016-02-17,227.30,245.30,226.425,245.30,6884900,245.30
2016-02-16,230.50,231.50,220.54,226.50,4141000,226.50
2016-02-15,225.00,231.20,224.82,228.80,3990500,228.80
2016-02-12,212.20,220.40,211.20,220.40,5775800,220.40
2016-02-11,223.00,224.20,208.50,209.30,13178000,209.30
2016-02-10,231.30,237.60,224.70,226.00,6932700,226.00
2016-02-09,229.40,234.30,221.60,225.50,5999200,225.50
2016-02-08,244.30,244.90,229.00,230.10,5447800,230.10
2016-02-05,241.70,248.10,237.60,242.50,5739800,242.50
2016-02-04,228.00,243.00,227.70,240.50,9460700,240.50
2016-02-03,234.50,235.00,220.30,224.30,10740500,224.30
2016-02-02,243.40,246.24,233.90,235.00,8401800,235.00
2016-02-01,248.20,248.20,241.00,245.00,6911500,245.00
2016-01-29,240.90,247.30,239.70,246.50,7511500,246.50
2016-01-28,238.00,244.10,232.00,237.00,7739800,237.00
2016-01-27,237.90,245.208,230.00,240.00,8313900,240.00
2016-01-26,221.90,234.00,218.20,232.80,5462900,232.80
2016-01-25,234.40,234.551,224.10,225.70,4488600,225.70
2016-01-22,231.60,236.50,228.20,232.10,7730600,232.10
2016-01-21,218.50,227.30,217.00,225.70,7096100,225.70
2016-01-20,224.40,225.70,214.70,216.50,5241500,216.50
2016-01-19,227.10,233.90,226.60,228.30,4629200,228.30
2016-01-18,226.30,231.40,223.00,223.60,4380400,223.60
2016-01-15,231.80,233.10,222.50,226.40,7576200,226.40
2016-01-14,240.00,240.40,231.40,232.50,8036700,232.50
2016-01-13,245.60,251.725,241.30,243.00,7065000,243.00
2016-01-12,251.50,251.50,244.20,244.30,6035100,244.30
2016-01-11,248.90,254.50,248.20,249.90,6156100,249.90
2016-01-08,250.00,257.00,248.94,249.30,9041400,249.30
2016-01-07,255.00,256.50,244.80,249.00,16708900,249.00
2016-01-06,274.10,275.368,266.20,270.00,6039600,258.00
2016-01-05,274.90,277.50,264.50,282.00,8249200,269.467
2016-01-04,285.40,287.485,279.00,282.00,4644500,269.467
2015-12-31,288.80,291.00,287.40,289.40,881400,276.538
2015-12-30,289.80,290.517,284.40,289.00,2454600,276.156
2015-12-29,290.00,292.50,288.40,290.50,4077500,277.589
2015-12-24,293.50,293.50,289.50,290.00,1157000,277.111
2015-12-23,291.90,294.60,290.90,292.30,4548800,279.309
2015-12-22,286.30,290.80,285.349,289.80,2420100,276.92
2015-12-21,286.50,290.40,284.90,284.90,3303200,272.238
2015-12-18,286.30,289.00,282.20,287.30,5826200,274.531
2015-12-17,301.20,301.60,284.80,289.00,6823500,276.156
2015-12-16,293.70,298.701,289.50,295.10,4026600,281.984
2015-12-15,282.90,292.20,282.60,291.10,4316900,278.162
2015-12-14,287.50,292.40,280.30,280.40,4376700,267.938
2015-12-11,291.20,291.30,283.90,286.30,5419800,273.576
2015-12-10,297.10,299.30,290.60,292.90,5060300,279.882
2015-12-09,300.20,303.00,293.30,298.20,4649000,284.947
2015-12-08,306.80,306.80,299.40,300.00,8345800,286.667
2015-12-07,305.10,309.90,303.80,305.40,3881900,291.827
2015-12-04,299.50,305.20,298.40,304.00,5345400,290.489
2015-12-03,309.70,314.10,299.50,301.20,7010700,287.813
2015-12-02,315.70,316.30,309.50,311.90,4732500,298.038
2015-12-01,313.10,318.30,311.90,314.80,5760500,300.809
2015-11-30,326.50,334.80,318.80,319.40,9048400,305.204
2015-11-27,340.00,340.80,334.70,334.80,2720100,319.92
2015-11-26,343.00,347.80,341.20,343.50,1643400,328.233
2015-11-25,336.00,343.60,335.20,343.00,2330200,327.756
2015-11-24,340.70,342.40,333.80,334.50,2959700,319.633
2015-11-23,341.50,342.90,338.70,341.10,2713900,325.94
2015-11-20,340.00,347.10,338.50,345.30,3582500,329.953
2015-11-19,338.70,343.50,336.00,338.90,3094500,323.838
2015-11-18,331.00,339.90,328.30,337.20,3242400,322.213
2015-11-17,324.60,332.00,323.00,331.50,2477600,316.767
2015-11-16,321.80,326.10,319.00,321.10,3231500,306.829
2015-11-13,333.30,333.80,319.50,323.70,3777400,309.313
2015-11-12,338.90,341.50,333.10,335.30,3622800,320.398
2015-11-11,345.00,345.20,337.50,339.50,3703200,324.411
2015-11-10,355.50,355.525,343.50,345.00,3244800,329.667
2015-11-09,351.00,361.70,349.30,353.90,4781500,338.171
2015-11-06,349.90,351.80,345.44,347.60,3911300,332.151
2015-11-05,364.30,364.65,348.60,349.50,3788200,333.967
2015-11-04,355.30,372.80,354.60,364.50,4751500,348.30
2015-11-03,348.70,355.90,345.90,355.90,3374400,340.082
2015-11-02,346.40,347.12,343.56,345.50,2551800,330.144
2015-10-30,349.10,350.60,345.10,346.70,4088600,331.291
2015-10-29,355.00,358.30,348.00,350.00,3267300,334.444
2015-10-28,353.80,359.00,351.80,358.40,3483300,342.471
2015-10-27,361.00,361.70,355.00,355.00,4374300,339.222
2015-10-26,376.00,376.60,358.85,361.70,9208600,345.624
2015-10-23,339.00,354.80,338.30,351.40,4341400,335.782
2015-10-22,333.10,338.80,330.00,337.60,2623200,322.596
2015-10-21,336.60,336.716,328.10,333.10,3280000,318.296
2015-10-20,340.40,341.30,334.50,336.00,3057500,321.067
2015-10-19,344.10,346.10,338.773,338.80,2321200,323.742
2015-10-16,344.50,352.108,342.50,344.40,3863400,329.093
2015-10-15,333.00,347.80,330.084,341.30,7681000,326.131
2015-10-14,331.90,335.90,329.70,332.10,2779800,317.34
2015-10-13,343.90,346.10,333.30,334.00,4000100,319.156
2015-10-12,348.50,351.825,342.70,344.50,3634500,329.189
2015-10-09,347.00,350.80,346.00,349.00,3764200,333.489
2015-10-08,340.50,344.90,335.50,343.00,3964700,327.756
2015-10-07,330.00,347.20,329.40,340.70,7714800,325.558
2015-10-06,324.00,329.70,321.20,327.20,5116900,312.658
2015-10-05,311.90,323.20,308.90,322.80,4633700,308.453
2015-10-02,300.70,308.50,295.60,306.50,7201500,292.878
2015-10-01,297.00,301.80,295.40,296.60,4484800,283.418
