Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,867.00,874.50,851.00,855.50,2007900,855.50
2016-02-17,840.00,862.50,838.50,862.50,2286100,862.50
2016-02-16,832.50,840.50,814.00,836.00,2598900,836.00
2016-02-15,821.50,827.50,814.50,821.50,1961200,821.50
2016-02-12,776.50,807.50,772.50,805.00,3386400,805.00
2016-02-11,785.00,790.00,749.00,769.00,6212200,769.00
2016-02-10,834.00,835.00,794.71,798.50,3380700,798.50
2016-02-09,829.50,834.50,810.00,825.00,2680400,825.00
2016-02-08,898.00,899.00,823.50,828.00,2917900,828.00
2016-02-05,901.50,912.00,887.50,896.00,3241400,896.00
2016-02-04,890.00,908.50,871.00,899.00,2477500,899.00
2016-02-03,882.00,890.00,863.732,878.00,2499000,878.00
2016-02-02,888.50,891.00,875.50,887.50,3800200,887.50
2016-02-01,906.00,910.00,884.00,893.50,3349200,893.50
2016-01-29,898.50,912.50,885.50,899.00,4714700,899.00
2016-01-28,900.00,920.50,883.00,890.00,7967700,890.00
2016-01-27,963.00,977.78,954.50,965.00,1911000,965.00
2016-01-26,956.00,970.00,953.00,964.00,2645500,964.00
2016-01-25,997.00,997.00,968.50,970.00,2741600,970.00
2016-01-22,973.00,993.50,971.00,990.00,2816600,990.00
2016-01-21,942.50,957.00,927.50,957.00,2488000,957.00
2016-01-20,946.50,954.00,925.808,932.50,2841800,932.50
2016-01-19,969.50,980.00,959.943,968.00,1372600,968.00
2016-01-18,967.50,980.00,949.484,950.00,1762400,950.00
2016-01-15,994.00,1003.00,954.36,960.00,4136800,960.00
2016-01-14,1024.00,1027.00,990.50,997.00,2803200,997.00
2016-01-13,1037.00,1056.00,1030.00,1043.00,2010700,1039.00
2016-01-12,1023.00,1043.00,1016.00,1026.00,1630600,1022.065
2016-01-11,1017.00,1032.88,1014.00,1020.00,1498100,1016.088
2016-01-08,1052.00,1052.00,1016.00,1021.00,2687800,1017.084
2016-01-07,1041.00,1051.00,1009.00,1047.00,2559000,1042.985
2016-01-06,1092.00,1098.60,1054.00,1067.00,1955900,1062.908
2016-01-05,1090.00,1103.44,1080.00,1080.00,1249100,1075.858
2016-01-04,1102.00,1106.00,1077.00,1080.00,2993500,1075.858
2015-12-31,1118.00,1124.00,1112.00,1119.00,452900,1114.709
2015-12-30,1127.00,1130.00,1119.00,1125.00,929300,1120.686
2015-12-29,1121.00,1134.00,1116.00,1128.00,1159700,1123.674
2015-12-24,1119.00,1124.00,1112.00,1112.00,326000,1107.735
2015-12-23,1098.00,1127.00,1098.00,1122.00,1199100,1117.697
2015-12-22,1107.00,1109.00,1085.00,1094.00,1060400,1089.804
2015-12-21,1104.00,1109.00,1086.00,1095.00,1612900,1090.801
2015-12-18,1123.00,1123.00,1102.00,1110.00,3096300,1105.743
2015-12-17,1140.00,1155.00,1127.00,1127.00,2258900,1122.678
2015-12-16,1101.00,1129.80,1101.00,1120.00,3451600,1115.705
2015-12-15,1085.00,1105.00,1078.00,1100.00,1701700,1095.781
2015-12-14,1086.00,1104.00,1067.00,1077.00,2043500,1072.87
2015-12-11,1101.00,1114.00,1088.00,1088.00,2579600,1083.827
2015-12-10,1118.00,1128.00,1101.00,1101.00,2452800,1096.778
2015-12-09,1080.00,1128.00,1080.00,1120.00,4869500,1115.705
2015-12-08,1047.00,1052.00,1026.00,1031.00,2461000,1027.046
2015-12-07,1061.00,1074.00,1047.00,1053.00,2090800,1048.962
2015-12-04,1046.00,1058.00,1037.00,1052.00,2101000,1047.965
2015-12-03,1090.00,1091.00,1048.28,1051.00,2932700,1046.969
2015-12-02,1107.00,1115.00,1092.00,1106.00,1625600,1101.758
2015-12-01,1102.00,1106.00,1087.00,1100.00,1478500,1095.781
2015-11-30,1080.00,1101.28,1077.00,1095.00,1557700,1090.801
2015-11-27,1077.00,1091.00,1076.00,1084.00,1271000,1079.843
2015-11-26,1060.00,1081.00,1057.00,1080.00,1037700,1075.858
2015-11-25,1038.00,1065.00,1032.00,1061.00,1077400,1056.931
2015-11-24,1056.00,1056.00,1024.00,1032.00,1681800,1028.042
2015-11-23,1051.00,1066.00,1046.00,1058.00,1263000,1053.942
2015-11-20,1057.00,1060.00,1039.00,1060.00,1546100,1055.935
2015-11-19,1042.00,1064.00,1037.00,1052.00,2495100,1047.965
2015-11-18,1018.00,1033.00,1008.00,1031.00,1168000,1027.046
2015-11-17,995.50,1021.00,993.50,1021.00,1675800,1017.084
2015-11-16,975.00,991.00,971.98,990.50,1020200,986.701
2015-11-13,985.00,986.00,973.00,983.50,1071900,979.728
2015-11-12,1011.00,1012.00,988.50,990.00,1422000,986.203
2015-11-11,1004.00,1016.00,1000.00,1011.00,1164700,1007.123
2015-11-10,1022.00,1022.08,988.50,999.50,1549200,995.667
2015-11-09,1021.00,1040.00,1015.00,1016.00,4328200,1012.104
2015-11-06,1015.00,1023.00,1009.00,1017.00,1698900,1013.10
2015-11-05,1030.00,1033.00,1015.00,1017.00,1826700,1013.10
2015-11-04,1042.00,1048.00,1033.00,1035.00,1237700,1031.031
2015-11-03,1024.00,1041.00,1019.00,1037.00,1597600,1033.023
2015-11-02,994.50,1022.00,993.72,1022.00,1415800,1018.081
2015-10-30,992.50,1003.28,991.00,1000.00,1135000,996.165
2015-10-29,1004.00,1006.00,984.00,989.00,912900,985.207
