Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,480.70,486.50,463.40,477.30,4083100,477.30
2016-02-17,440.90,478.70,434.60,478.40,4530000,478.40
2016-02-16,448.80,456.40,426.30,440.60,2944600,440.60
2016-02-15,444.00,449.50,430.792,442.80,3215200,442.80
2016-02-12,390.60,433.80,390.60,433.30,5125400,433.30
2016-02-11,392.00,399.60,373.00,389.50,5144200,389.50
2016-02-10,411.00,420.20,394.10,398.40,4551300,398.40
2016-02-09,431.10,439.10,406.20,410.90,6451900,410.90
2016-02-08,449.40,456.70,426.00,453.40,6577100,453.40
2016-02-05,427.90,449.90,417.20,446.30,6339800,446.30
2016-02-04,391.00,445.10,389.50,430.30,7057100,430.30
2016-02-03,365.70,379.00,361.10,375.60,4416300,375.60
2016-02-02,372.20,373.60,359.30,365.50,4444900,365.50
2016-02-01,380.00,383.00,364.70,374.00,3797300,374.00
2016-01-29,391.00,391.90,364.30,380.20,4370200,380.20
2016-01-28,376.80,393.10,374.00,384.00,6120000,384.00
2016-01-27,369.10,376.70,358.00,375.40,5135100,375.40
2016-01-26,353.50,381.40,350.40,378.00,5392400,378.00
2016-01-25,374.30,374.404,359.60,363.20,4368700,363.20
2016-01-22,399.00,399.20,369.20,372.20,6607200,372.20
2016-01-21,345.80,366.00,343.40,365.40,3200300,365.40
2016-01-20,344.50,354.20,340.60,346.10,4000900,346.10
2016-01-19,358.90,370.00,352.20,355.50,4425800,355.50
2016-01-18,350.60,356.60,343.10,350.00,4101800,350.00
2016-01-15,367.50,368.60,348.60,350.60,4336300,350.60
2016-01-14,367.30,379.688,354.40,372.90,8836400,372.90
2016-01-13,380.00,386.00,366.80,368.80,3773500,368.80
2016-01-12,383.00,397.90,372.50,374.10,5349200,374.10
2016-01-11,394.00,405.50,380.361,387.70,4114600,387.70
2016-01-08,408.10,418.90,396.90,398.30,2704400,398.30
2016-01-07,417.10,417.90,402.40,410.60,3810500,410.60
2016-01-06,442.30,442.30,423.10,433.70,2261400,433.70
2016-01-05,452.50,458.30,438.10,445.70,2319100,445.70
2016-01-04,460.00,460.00,443.10,445.70,2330700,445.70
2015-12-31,466.90,471.20,465.30,469.30,568300,469.30
2015-12-30,457.30,475.40,457.30,472.10,2395300,472.10
2015-12-29,459.80,460.70,449.30,460.70,2077900,460.70
2015-12-24,473.90,473.90,458.30,462.60,425900,462.60
2015-12-23,455.20,466.80,455.00,463.10,2514800,463.10
2015-12-22,429.30,445.50,424.00,445.00,2855600,445.00
2015-12-21,414.10,432.50,412.80,425.20,3378900,425.20
2015-12-18,410.30,421.70,409.40,416.30,3392300,416.30
2015-12-17,427.40,431.50,413.40,415.00,3117000,415.00
2015-12-16,413.50,426.40,412.20,417.70,3382900,417.70
2015-12-15,418.40,420.80,411.30,412.90,3409100,412.90
2015-12-14,431.10,434.90,408.90,412.30,2948900,412.30
2015-12-11,448.10,456.90,426.40,428.90,3316800,428.90
2015-12-10,445.10,459.70,441.00,446.00,2252600,446.00
2015-12-09,445.20,450.80,422.80,446.60,5156700,446.60
2015-12-08,475.10,475.10,441.10,441.70,6409300,441.70
2015-12-07,494.70,494.70,477.30,477.90,1953200,477.90
2015-12-04,502.00,508.50,489.30,491.70,2526400,491.70
2015-12-03,511.50,515.00,500.965,501.00,2640800,501.00
2015-12-02,513.50,520.50,508.50,514.50,2473600,514.50
2015-12-01,507.00,516.50,506.50,512.50,2938600,512.50
2015-11-30,495.80,509.00,483.20,507.50,3687800,507.50
2015-11-27,515.00,516.00,492.60,496.70,2452100,496.70
2015-11-26,503.50,520.50,502.00,517.50,2212500,517.50
2015-11-25,499.40,502.50,493.50,498.60,2726500,498.60
2015-11-24,491.00,499.60,478.90,496.30,4571100,496.30
2015-11-23,499.00,507.50,486.80,496.20,3870200,496.20
2015-11-20,502.00,517.50,499.00,508.00,3256300,508.00
2015-11-19,505.00,518.00,499.70,501.00,2911200,501.00
2015-11-18,472.00,505.50,465.90,500.00,5724900,500.00
2015-11-17,478.60,488.10,470.90,472.40,4386400,472.40
2015-11-16,477.00,493.10,471.30,475.30,3933600,475.30
2015-11-13,480.00,486.176,474.213,479.60,4491200,479.60
2015-11-12,504.00,508.00,480.30,480.80,4623300,480.80
2015-11-11,498.50,513.00,493.30,505.50,2556100,505.50
2015-11-10,509.50,510.639,493.00,497.70,4003500,497.70
2015-11-09,515.00,527.50,507.747,509.50,2904700,509.50
2015-11-06,517.50,524.50,502.50,514.50,2841500,514.50
2015-11-05,536.00,537.00,515.50,516.00,2979900,516.00
2015-11-04,541.00,558.18,537.00,537.50,3843500,537.50
2015-11-03,526.00,537.00,510.50,535.50,3696200,535.50
2015-11-02,521.00,529.00,516.50,522.00,2172600,522.00
2015-10-30,527.00,536.50,522.50,526.50,3299600,526.50
2015-10-29,532.00,532.00,507.125,526.50,5311000,526.50
2015-10-28,536.50,540.00,513.50,536.50,4463800,536.50
2015-10-27,567.50,568.00,543.00,544.50,3377000,544.50
2015-10-26,575.00,586.00,565.00,567.50,2565600,567.50
2015-10-23,565.00,584.50,558.00,574.50,3864800,574.50
2015-10-22,543.00,570.00,538.00,561.00,4461600,561.00
2015-10-21,557.00,562.375,539.00,545.50,3175300,545.50
2015-10-20,557.50,562.00,547.00,558.00,2434800,558.00
2015-10-19,576.50,576.50,557.50,559.50,2850200,559.50
2015-10-16,592.00,592.00,577.50,579.50,3083500,579.50
2015-10-15,588.00,597.50,576.50,586.50,3806800,586.50
2015-10-14,560.00,593.00,559.00,580.50,3940700,580.50
2015-10-13,573.50,574.00,560.00,566.50,3172300,566.50
2015-10-12,599.00,599.00,573.00,576.50,2669400,576.50
2015-10-09,589.50,610.50,584.00,596.00,4437700,596.00
2015-10-08,574.00,586.50,564.00,578.00,4072800,578.00
2015-10-07,544.50,602.50,544.50,576.50,6645700,576.50
2015-10-06,542.50,544.00,523.50,537.00,2615100,537.00
2015-10-05,523.00,539.50,518.50,537.50,3049000,537.50
2015-10-02,502.00,512.00,498.10,509.50,2351400,509.50
2015-10-01,508.50,516.00,497.90,501.00,3165300,501.00
2015-09-30,503.00,505.50,493.10,499.70,4220700,499.70
2015-09-29,478.00,500.50,476.428,491.70,4302400,491.70
2015-09-28,502.00,506.10,481.00,481.00,4915600,481.00
2015-09-25,522.00,531.50,504.00,506.00,4240900,506.00
2015-09-24,524.50,528.50,511.00,511.50,3281700,511.50
2015-09-23,526.50,534.00,517.00,524.50,3208100,524.50
2015-09-22,563.50,563.50,521.36,524.50,5128600,524.50
2015-09-21,576.50,583.50,564.00,565.50,2155400,565.50
2015-09-18,586.00,592.50,571.50,579.50,3259500,579.50
2015-09-17,606.00,608.749,587.00,589.50,2714100,589.50
2015-09-16,612.00,616.00,587.50,604.50,3350700,601.40
2015-09-15,589.50,608.00,576.00,605.50,2673700,602.395
2015-09-14,607.00,615.50,586.50,592.50,2607100,589.462
2015-09-11,606.00,621.00,606.00,607.50,2305400,604.385
2015-09-10,610.00,622.50,601.50,604.50,3065000,601.40
2015-09-09,625.00,633.50,613.50,615.00,4216200,611.846
2015-09-08,603.00,613.00,600.50,610.00,3333300,606.872
2015-09-07,590.00,617.50,589.50,607.00,5330400,603.887
2015-09-04,591.00,604.00,562.00,564.50,3620900,561.605
2015-09-03,583.50,610.50,583.50,596.50,4518600,593.441
2015-09-02,579.50,593.50,574.50,577.50,5564300,574.538
2015-09-01,600.00,606.00,569.00,574.50,6239600,571.554
2015-08-31,609.00,609.00,609.00,609.00,000,605.877
2015-08-28,614.00,622.00,588.50,609.00,5723600,605.877
2015-08-27,574.50,618.00,568.00,611.50,5681400,608.364
2015-08-26,573.00,578.50,557.00,561.50,5246300,558.621
2015-08-25,540.50,583.50,540.50,579.50,5372900,576.528
2015-08-24,548.00,552.00,519.50,533.00,3971100,530.267
2015-08-21,563.50,572.00,560.00,563.00,2602000,560.113
