Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,930.50,947.00,921.851,932.00,4007800,926.40
2016-02-17,903.50,932.50,901.50,930.00,5285300,924.412
2016-02-16,900.00,908.50,890.50,898.00,3228900,892.604
2016-02-15,900.00,908.00,891.50,893.00,2427400,887.634
2016-02-12,870.50,888.025,866.50,885.50,5816200,880.179
2016-02-11,858.50,873.00,831.644,860.50,13338600,855.33
2016-02-10,935.00,949.00,879.50,899.00,10494100,893.598
2016-02-09,925.00,952.00,924.50,940.00,6625100,934.352
2016-02-08,981.50,982.00,919.00,920.00,7545900,914.472
2016-02-05,1005.00,1009.15,980.50,983.00,3655000,977.094
2016-02-04,994.00,1012.00,981.00,1001.00,3867600,994.985
2016-02-03,995.50,1023.00,978.50,986.50,5354100,980.573
2016-02-02,1003.00,1005.00,978.00,981.00,3089900,975.106
2016-02-01,1007.00,1013.00,997.00,1011.00,3050500,1004.925
2016-01-29,952.00,993.00,948.831,993.00,5790000,987.033
2016-01-28,989.00,990.50,952.00,953.50,4035400,947.771
2016-01-27,1005.00,1007.00,986.50,995.50,4891700,989.518
2016-01-26,999.00,1020.00,992.50,1015.00,2680000,1008.901
2016-01-25,1007.00,1026.00,1003.00,1010.00,4880700,1003.931
2016-01-22,986.50,1003.00,980.00,995.50,2758600,989.518
2016-01-21,955.00,969.50,947.00,967.50,3438400,961.687
2016-01-20,949.00,955.50,932.388,948.00,4244100,942.304
2016-01-19,970.00,974.50,949.195,964.00,5676300,958.208
2016-01-18,930.00,955.50,930.00,949.00,2435200,943.298
2016-01-15,960.00,971.50,926.50,933.00,5397000,927.394
2016-01-14,970.50,971.00,949.50,961.00,3727400,955.226
2016-01-13,992.50,996.00,977.50,983.00,4041500,977.094
2016-01-12,961.50,986.50,956.00,980.00,4638200,974.112
2016-01-11,943.00,962.50,941.00,953.00,3523000,947.274
2016-01-08,963.50,967.00,943.50,943.50,4711900,937.831
2016-01-07,955.00,972.50,939.00,968.00,4307300,962.184
2016-01-06,982.00,984.00,962.50,974.00,6146500,968.148
2016-01-05,1010.00,1015.40,992.00,1004.00,3213600,997.967
2016-01-04,1015.00,1019.14,996.00,1004.00,4119700,997.967
2015-12-31,1045.00,1051.71,1039.00,1039.00,448200,1032.757
2015-12-30,1046.00,1054.00,1042.00,1046.00,1228400,1039.715
2015-12-29,1047.00,1052.52,1032.00,1050.00,1768700,1043.691
2015-12-28,1038.00,1038.00,1038.00,1038.00,000,1031.763
2015-12-25,1038.00,1038.00,1038.00,1038.00,000,1031.763
2015-12-24,1042.00,1045.00,1033.00,1038.00,205700,1031.763
2015-12-23,1039.00,1052.55,1035.00,1044.00,1855600,1037.727
2015-12-22,1037.00,1041.00,1022.00,1030.00,2006400,1023.811
2015-12-21,1018.00,1041.46,1018.00,1024.00,2151600,1017.847
2015-12-18,1020.00,1030.00,1012.30,1019.00,4754800,1012.877
2015-12-17,1034.00,1051.00,1034.00,1040.00,3734700,1033.751
2015-12-16,1055.00,1055.85,1014.00,1021.00,5267200,1014.865
2015-12-15,1035.00,1054.00,1009.90,1052.00,5591200,1045.679
2015-12-14,1070.00,1073.00,1041.00,1041.00,3930100,1034.745
2015-12-11,1082.00,1088.40,1074.00,1074.00,2534500,1067.547
2015-12-10,1085.00,1100.00,1082.00,1087.00,2587800,1080.469
2015-12-09,1103.00,1111.63,1094.00,1094.00,3539300,1087.427
2015-12-08,1100.00,1106.03,1090.00,1095.00,4080300,1088.421
2015-12-07,1119.00,1126.66,1099.00,1102.00,2845500,1095.379
2015-12-04,1119.00,1120.40,1098.00,1116.00,2867900,1109.294
2015-12-03,1134.00,1140.36,1118.00,1122.00,4101700,1115.258
2015-12-02,1121.00,1140.00,1121.00,1135.00,2626600,1128.18
2015-12-01,1127.00,1136.69,1121.00,1131.00,2733800,1124.204
