Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,449.20,449.50,438.00,441.30,8655000,441.30
2016-02-17,430.90,449.90,426.40,447.80,12825300,447.80
2016-02-16,433.20,433.20,424.30,429.30,7777200,429.30
2016-02-15,429.70,434.40,425.70,428.10,7715700,428.10
2016-02-12,403.70,419.70,403.60,419.20,24017100,419.20
2016-02-11,416.20,417.975,400.10,400.50,11524700,400.50
2016-02-10,410.80,425.20,404.00,420.00,11957000,420.00
2016-02-09,413.00,424.096,401.947,407.20,11943700,407.20
2016-02-08,434.00,436.60,411.581,413.80,13427700,413.80
2016-02-05,445.90,446.70,431.10,431.60,11822600,431.60
2016-02-04,448.90,452.90,439.20,444.00,15278900,444.00
2016-02-03,453.00,457.60,438.50,442.50,9125700,442.50
2016-02-02,471.70,472.819,452.40,455.30,8125800,455.30
2016-02-01,482.80,484.90,467.30,475.50,8700700,475.50
2016-01-29,471.80,480.80,467.80,480.80,9229800,480.80
2016-01-28,471.90,476.50,461.60,464.00,6788800,464.00
2016-01-27,465.10,473.20,463.50,473.20,8028500,473.20
2016-01-26,457.60,468.20,452.00,465.30,7086600,465.30
2016-01-25,477.70,477.70,461.40,464.00,7812300,464.00
2016-01-22,468.30,476.10,467.20,472.00,11713500,472.00
2016-01-21,453.50,464.70,448.80,460.00,9832600,460.00
2016-01-20,464.50,466.639,446.30,450.30,12630800,450.30
2016-01-19,470.00,479.20,469.00,474.80,7222500,474.80
2016-01-18,464.10,470.70,461.40,463.10,7110800,463.10
2016-01-15,473.10,476.40,458.70,464.50,9616000,464.50
2016-01-14,475.20,478.092,468.10,474.60,8849400,474.60
2016-01-13,484.90,485.894,478.50,481.80,11220500,481.80
2016-01-12,475.00,485.50,472.20,480.70,7094900,480.70
2016-01-11,476.20,480.20,472.90,473.70,5890200,473.70
2016-01-08,482.00,490.30,476.90,476.90,5684200,476.90
2016-01-07,485.00,488.00,477.016,481.90,7736400,481.90
2016-01-06,498.50,506.00,490.30,495.30,5560400,495.30
2016-01-05,502.00,503.00,490.45,497.60,4346900,497.60
2016-01-04,507.00,507.00,493.00,497.60,8609200,497.60
2015-12-31,517.50,519.00,515.00,516.00,1434100,516.00
2015-12-30,519.00,522.00,515.00,519.00,3257100,519.00
2015-12-29,518.00,521.00,512.50,521.00,5686500,521.00
2015-12-24,521.00,522.50,518.50,519.00,883000,519.00
2015-12-23,514.00,520.00,510.50,519.00,5841200,519.00
2015-12-22,509.00,511.202,504.00,509.50,6243300,509.50
2015-12-21,502.00,513.177,502.00,504.50,6605300,504.50
2015-12-18,502.50,510.50,500.02,504.00,9459600,504.00
2015-12-17,503.50,510.00,503.00,506.00,6742800,506.00
2015-12-16,498.40,501.00,494.579,498.30,6850200,498.30
2015-12-15,485.60,498.525,485.60,496.40,7649000,496.40
2015-12-14,492.00,496.90,481.00,482.00,8023400,482.00
2015-12-11,496.00,497.80,487.40,490.60,7452900,490.60
2015-12-10,500.00,502.50,494.10,497.20,6428500,497.20
2015-12-09,504.00,506.00,496.50,501.00,8724000,501.00
2015-12-08,507.50,510.18,501.25,503.50,5567900,503.50
2015-12-07,510.50,515.00,508.00,510.50,5736900,510.50
2015-12-04,504.00,509.50,501.25,507.50,6817400,507.50
2015-12-03,510.50,518.129,504.00,504.00,7191000,504.00
2015-12-02,516.50,516.50,512.00,512.50,6967900,512.50
2015-12-01,514.50,515.50,508.50,515.00,6576700,515.00
2015-11-30,512.00,514.00,507.50,511.50,5271500,511.50
2015-11-27,510.00,514.50,506.875,513.00,5081300,513.00
2015-11-26,511.50,514.50,508.50,512.50,5113300,512.50
2015-11-25,501.50,514.00,501.50,514.00,7006200,514.00
2015-11-24,503.50,506.00,496.90,500.50,7361300,500.50
