Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,509.00,511.50,502.50,505.00,7663800,492.512
2016-02-17,488.40,499.30,487.80,499.30,11137500,486.953
2016-02-16,485.10,488.00,481.70,488.00,6561000,475.933
2016-02-15,477.30,483.30,472.80,481.70,6635500,469.789
2016-02-12,461.90,468.10,459.30,467.10,8730400,455.55
2016-02-11,466.60,466.60,455.40,459.70,8393400,448.333
2016-02-10,474.00,478.00,468.90,470.50,6701900,458.865
2016-02-09,468.80,475.90,465.40,469.90,9391100,458.28
2016-02-08,481.00,481.80,465.40,467.50,8941400,455.94
2016-02-05,489.80,490.60,477.70,479.00,11362600,467.155
2016-02-04,491.70,493.30,481.00,489.80,7296700,477.688
2016-02-03,501.00,502.00,482.00,486.30,12033100,474.275
2016-02-02,508.00,508.00,495.90,501.00,7431700,488.611
2016-02-01,520.00,520.00,503.50,509.00,6903600,496.413
2016-01-29,509.50,517.00,505.50,516.00,10289400,503.24
2016-01-28,507.50,512.50,503.00,505.50,10017900,493.00
2016-01-27,505.00,507.00,498.70,507.00,10379700,494.463
2016-01-26,492.10,505.00,492.00,502.50,9503200,490.074
2016-01-25,496.00,498.30,491.10,495.80,5920400,483.54
2016-01-22,485.00,494.50,481.60,492.70,10254700,480.517
2016-01-21,489.70,492.10,477.70,479.20,16432800,467.35
2016-01-20,497.00,497.50,487.20,490.00,11019900,477.883
2016-01-19,509.50,512.00,500.00,506.00,10798800,493.488
2016-01-18,512.50,519.00,507.50,509.00,6245700,496.413
2016-01-15,519.00,524.00,509.00,513.50,11997300,500.802
2016-01-14,519.50,520.00,512.00,518.50,8499600,505.679
2016-01-13,524.00,527.50,520.488,524.50,14387900,511.53
2016-01-12,527.50,530.50,520.00,521.50,10389800,508.604
2016-01-11,523.50,535.89,520.00,526.50,13037600,513.481
2016-01-08,510.00,534.00,507.50,519.50,15995300,506.654
2016-01-07,502.00,510.00,499.60,505.50,12108600,493.00
2016-01-06,499.20,513.50,495.70,512.50,12583500,499.827
2016-01-05,496.10,499.10,487.70,494.00,5480100,481.784
2016-01-04,496.50,496.50,488.30,493.50,5657800,481.297
2015-12-31,503.00,506.00,499.60,499.60,1078100,487.246
2015-12-30,507.50,508.125,502.824,505.50,2370500,493.00
2015-12-29,500.50,508.00,497.95,507.00,4504300,494.463
2015-12-28,497.30,497.30,497.30,497.30,000,485.003
2015-12-25,497.30,497.30,497.30,497.30,000,485.003
2015-12-24,501.50,501.50,491.00,497.30,797100,485.003
2015-12-23,496.50,502.091,495.80,498.90,4025000,486.563
2015-12-22,496.00,507.00,486.40,493.60,4996500,481.394
2015-12-21,490.50,500.00,490.20,493.40,5525300,481.199
2015-12-18,492.10,501.50,490.00,492.50,11637100,480.321
2015-12-17,498.50,499.30,494.70,496.30,5335900,484.027
2015-12-16,489.10,493.10,486.10,492.40,5673500,480.224
2015-12-15,487.20,493.00,485.10,490.00,5753700,477.883
2015-12-14,490.90,497.70,482.30,483.40,5090300,471.446
2015-12-11,498.70,500.00,488.20,490.50,6561900,478.371
2015-12-10,501.00,506.00,498.50,498.70,6784600,486.368
2015-12-09,503.00,505.00,500.00,502.00,6366300,489.587
2015-12-08,508.50,509.00,500.00,502.00,6566600,489.587
2015-12-07,510.50,516.00,507.50,508.50,4820800,495.926
2015-12-04,506.00,509.50,504.00,508.50,7294600,495.926
2015-12-03,512.00,519.162,508.204,509.00,6964700,496.413
2015-12-02,516.50,519.00,513.00,513.50,5012300,500.802
2015-12-01,517.50,519.50,512.125,515.50,7824800,502.753
2015-11-30,520.00,521.00,516.464,516.50,9146500,503.728
2015-11-27,517.50,521.50,514.588,519.50,4873700,506.654
2015-11-26,509.00,522.00,508.00,519.00,6178900,506.166
2015-11-25,503.00,511.50,500.50,507.50,9519800,494.951
2015-11-24,496.90,502.50,491.80,500.50,8546000,488.124
2015-11-23,492.20,502.00,489.30,497.00,15235400,484.71
2015-11-20,490.60,499.414,485.50,492.00,9522400,479.834
2015-11-19,477.70,490.00,477.70,484.10,11945400,472.129
2015-11-18,473.10,480.90,470.90,476.60,6337600,464.815
2015-11-17,469.50,475.50,469.10,473.80,9149400,462.084
2015-11-16,450.20,466.50,449.755,464.70,11563500,453.209
2015-11-13,455.00,455.10,448.00,453.60,9280500,442.383
2015-11-12,438.00,473.00,435.60,455.00,23470600,443.749
2015-11-11,438.00,440.10,435.70,438.30,4412000,427.462
2015-11-10,443.00,443.00,433.60,438.00,6579300,427.169
2015-11-09,446.00,447.90,440.60,441.20,5472000,430.29
2015-11-06,439.00,448.30,436.938,445.00,10606900,433.996
2015-11-05,447.10,448.316,436.725,437.90,7502200,427.072
2015-11-04,445.80,451.30,445.00,447.70,5449900,436.629
2015-11-03,444.00,445.90,441.80,444.00,3638800,433.021
2015-11-02,437.30,445.40,437.30,443.90,4992900,432.923
2015-10-30,439.20,445.40,438.10,440.30,7905400,429.412
2015-10-29,438.60,439.70,433.00,439.00,9111400,428.144
2015-10-28,439.30,444.70,435.50,442.50,7095400,431.558
2015-10-27,455.30,455.30,440.30,441.30,12831200,430.388
2015-10-26,452.40,456.834,450.00,453.80,3949100,442.578
2015-10-23,453.80,460.90,452.00,454.00,6733000,442.773
2015-10-22,444.60,449.80,439.60,447.60,7401400,436.532
2015-10-21,450.00,455.80,448.138,453.10,4165800,433.703
2015-10-20,450.20,452.40,446.80,449.00,4470100,429.779
2015-10-19,453.20,457.40,450.10,450.90,3978900,431.598
2015-10-16,456.50,457.40,451.90,454.90,4843300,435.426
2015-10-15,453.70,455.60,449.90,453.10,5476000,433.703
2015-10-14,456.70,457.00,449.90,450.50,7899500,431.215
2015-10-13,461.10,463.50,455.60,460.30,5806300,440.595
2015-10-12,468.30,469.10,459.60,462.90,5410300,443.084
2015-10-09,470.00,473.20,467.30,469.00,4969500,448.923
