Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,929.00,931.00,915.50,923.50,1381600,923.50
2016-02-17,892.50,922.00,892.50,922.00,1081800,922.00
2016-02-16,902.50,906.50,889.50,893.00,1142200,893.00
2016-02-15,879.00,900.00,876.00,897.00,1096100,897.00
2016-02-12,859.50,870.50,857.50,868.50,1355300,868.50
2016-02-11,864.00,864.00,840.00,854.00,1663500,854.00
2016-02-10,863.00,878.00,857.50,869.50,1279300,869.50
2016-02-09,860.00,870.00,842.50,862.50,1042500,862.50
2016-02-08,906.00,909.50,860.00,862.00,1211400,862.00
2016-02-05,892.50,913.00,891.50,902.50,1526700,902.50
2016-02-04,889.50,893.00,874.50,888.50,2752500,888.50
2016-02-03,890.00,892.50,865.50,876.50,1497100,876.50
2016-02-02,911.50,913.50,887.50,893.50,1286300,893.50
2016-02-01,920.00,920.00,901.50,908.50,2666900,908.50
2016-01-29,919.00,922.50,910.00,915.00,1637000,915.00
2016-01-28,921.50,922.00,907.50,911.00,1073000,911.00
2016-01-27,922.50,925.50,913.50,924.50,953800,924.50
2016-01-26,911.50,922.00,908.50,920.50,1323200,920.50
2016-01-25,936.50,937.50,916.00,920.00,903600,920.00
2016-01-22,931.00,936.50,922.00,933.50,774800,933.50
2016-01-21,911.00,922.00,907.00,916.00,1424700,916.00
2016-01-20,930.50,932.50,904.50,909.00,978600,909.00
2016-01-19,946.50,952.50,938.50,949.50,1246800,949.50
2016-01-18,945.00,953.50,930.634,932.50,1009600,932.50
2016-01-15,974.50,981.50,941.00,944.50,1519900,944.50
2016-01-14,984.00,987.25,962.00,974.50,1070000,974.50
2016-01-13,973.00,1001.00,966.93,991.00,1273600,991.00
2016-01-12,946.50,967.00,941.50,954.50,727200,954.50
2016-01-11,949.50,957.00,941.50,942.00,843200,942.00
2016-01-08,966.50,970.50,953.00,953.00,672000,953.00
2016-01-07,952.50,979.50,946.22,967.00,1241600,967.00
2016-01-06,983.00,985.00,960.50,971.00,754500,971.00
2016-01-05,991.00,1002.00,979.50,990.00,578300,990.00
2016-01-04,1007.00,1011.00,986.00,990.00,785400,990.00
2015-12-31,1016.00,1024.00,1013.78,1016.00,184700,1016.00
2015-12-30,1025.00,1037.00,1013.00,1015.00,480600,1015.00
2015-12-29,1030.00,1036.00,1019.00,1025.00,653100,1025.00
2015-12-24,1027.00,1027.00,917.00,1023.00,67100,1023.00
2015-12-23,998.00,1023.00,998.00,1020.00,541800,1020.00
2015-12-22,992.00,993.50,978.00,991.00,652400,991.00
2015-12-21,978.50,994.50,973.00,984.00,786500,984.00
2015-12-18,987.00,995.00,974.50,976.50,1320300,976.50
2015-12-17,1003.00,1009.00,994.00,994.00,897100,994.00
2015-12-16,984.50,995.00,982.50,985.50,865400,985.50
2015-12-15,982.50,992.50,980.08,987.00,842300,987.00
2015-12-14,988.00,1004.00,975.012,975.50,937300,975.50
2015-12-11,997.00,1002.00,985.50,989.50,1347600,989.50
2015-12-10,1001.00,1009.00,998.00,1000.00,949200,1000.00
2015-12-09,1000.00,1017.00,999.50,1009.00,1042400,1002.95
2015-12-08,1034.00,1034.00,998.50,1004.00,1445800,997.98
2015-12-07,1045.00,1051.00,1030.00,1031.00,588500,1024.818
2015-12-04,1037.00,1049.00,1031.00,1042.00,751600,1035.752
2015-12-03,1059.00,1072.00,1038.00,1040.00,1202900,1033.764
2015-12-02,1056.00,1070.00,1052.00,1062.00,1359100,1055.632
2015-12-01,1055.00,1057.00,1040.00,1056.00,2100700,1049.668
2015-11-30,1083.00,1093.00,1071.00,1071.00,1378600,1064.578
2015-11-27,1062.00,1087.00,1062.00,1084.00,1182000,1077.50
2015-11-26,1056.00,1076.00,1055.00,1071.00,1021200,1064.578
2015-11-25,1035.00,1061.00,1033.00,1056.00,1409800,1049.668
2015-11-24,1028.00,1059.00,1022.15,1035.00,2568200,1028.794
2015-11-23,994.50,1012.00,982.00,1005.00,1226000,998.974
2015-11-20,1001.00,1001.00,975.00,989.00,1450900,983.07
2015-11-19,997.50,1005.26,993.50,1000.00,1078700,994.004
2015-11-18,975.50,994.00,972.00,994.00,1412400,988.04
2015-11-17,960.00,978.50,957.225,978.50,1366600,972.633
2015-11-16,947.00,958.00,943.00,950.00,848700,944.304
2015-11-13,963.50,963.50,945.50,954.50,748800,948.777
2015-11-12,979.00,982.50,964.00,965.50,1107700,959.711
2015-11-11,962.50,980.50,960.50,979.00,729700,973.13
2015-11-10,970.00,970.077,952.485,958.50,871700,952.753
2015-11-09,966.50,975.78,963.00,963.50,660200,957.723
2015-11-06,974.00,974.00,961.50,967.50,1005800,961.699
2015-11-05,984.00,985.16,969.50,969.50,1076500,963.687
2015-11-04,972.50,989.50,972.50,985.00,746700,979.094
2015-11-03,968.50,974.00,963.00,972.00,513200,966.172
2015-11-02,961.50,972.00,959.44,966.00,569100,960.208
2015-10-30,960.50,966.34,957.00,964.00,782200,958.22
2015-10-29,965.50,970.50,955.00,956.00,1047500,950.268
2015-10-28,960.50,969.00,953.00,966.00,1130900,960.208
2015-10-27,978.50,978.50,957.50,957.50,736800,951.759
2015-10-26,992.50,1002.00,980.00,980.00,728300,974.124
2015-10-23,980.00,1001.00,980.00,997.00,832800,991.022
2015-10-22,975.50,982.00,970.50,977.00,897800,971.142
2015-10-21,971.50,988.50,970.00,980.50,651000,974.621
2015-10-20,971.00,975.00,963.00,971.00,598400,965.178
2015-10-19,969.50,977.00,963.50,966.00,426400,960.208
2015-10-16,978.00,985.00,971.00,975.00,700800,969.154
2015-10-15,978.00,982.50,970.00,974.50,650700,968.657
2015-10-14,980.00,986.50,973.00,973.00,1769800,967.166
2015-10-13,980.00,989.50,980.00,985.00,1507300,979.094
2015-10-12,982.50,994.781,980.50,982.50,824300,976.609
2015-10-09,963.00,988.50,956.50,983.00,1484900,977.106
2015-10-08,957.00,958.00,948.50,952.00,770400,946.292
2015-10-07,963.00,969.00,953.00,956.00,792300,950.268
2015-10-06,965.00,965.00,951.00,960.00,635900,954.244
2015-10-05,950.50,963.50,948.00,961.00,837100,955.238
2015-10-02,930.00,940.00,925.50,937.50,1233100,931.879
2015-10-01,924.00,927.50,916.00,921.50,1190400,915.975
2015-09-30,906.00,913.842,901.00,912.50,882100,907.029
2015-09-29,885.00,903.50,884.00,891.50,914600,886.155
2015-09-28,912.50,915.50,892.00,894.50,863900,889.137
2015-09-25,905.50,921.50,904.50,916.50,1079800,911.005
2015-09-24,889.50,900.50,889.00,894.00,1639900,888.64
2015-09-23,878.00,896.00,868.50,891.00,1063100,885.658
2015-09-22,907.00,918.00,878.00,878.00,1346300,872.735
2015-09-21,906.00,927.00,906.00,908.00,994200,902.556
2015-09-18,928.00,928.00,909.00,911.50,1283700,906.035
2015-09-17,938.00,938.00,921.50,929.00,1248400,923.43
2015-09-16,949.50,955.00,947.50,953.00,658700,947.286
2015-09-15,942.50,949.50,925.76,946.00,843700,940.328
2015-09-14,951.50,956.50,936.50,940.50,561000,934.861
2015-09-11,963.00,963.00,948.00,949.00,520800,943.31
2015-09-10,965.00,970.00,951.00,959.50,895700,953.747
2015-09-09,974.50,982.00,971.00,972.00,922200,966.172
2015-09-08,963.00,978.00,960.00,962.50,1005000,956.729
2015-09-07,957.00,968.00,949.76,960.50,991600,954.741
2015-09-04,964.50,966.826,942.00,949.00,1231500,943.31
2015-09-03,962.50,978.00,961.00,973.50,1025800,967.663
2015-09-02,950.00,967.00,943.50,953.50,1096100,947.783
2015-09-01,957.00,959.00,943.50,945.00,1121100,939.334
2015-08-31,969.00,969.00,969.00,969.00,000,963.19
2015-08-28,953.50,969.00,952.50,969.00,864800,963.19
2015-08-27,956.50,963.00,949.50,953.00,1508700,947.286
2015-08-26,936.00,951.00,931.00,937.00,1547000,931.382
2015-08-25,937.50,949.00,929.50,946.00,1633800,940.328
2015-08-24,935.00,937.50,908.50,926.00,2461600,920.448
2015-08-21,957.00,967.50,953.00,953.00,1117100,947.286
2015-08-20,959.50,975.00,955.00,967.50,933100,961.699
2015-08-19,987.50,987.50,962.00,962.00,895000,956.232
2015-08-18,1004.00,1005.00,989.00,989.00,1217200,983.07
2015-08-17,1015.00,1015.00,1001.00,1005.00,2263000,998.974
2015-08-14,1012.00,1015.00,1002.00,1009.00,1219000,1002.95
2015-08-13,1007.00,1014.00,998.295,1009.00,1586100,1002.95
2015-08-12,978.50,998.00,975.00,998.00,1769300,992.016
2015-08-11,985.50,988.00,979.00,983.00,937500,977.106
2015-08-10,989.50,990.00,978.00,987.00,802700,981.082
2015-08-07,986.50,988.78,982.00,986.00,478600,980.088
2015-08-06,995.00,995.00,984.00,986.50,1103400,980.585
2015-08-05,999.00,1004.00,989.50,997.00,938200,991.022
2015-08-04,996.00,1010.55,989.96,996.00,1355100,990.028
2015-08-03,989.00,997.00,985.00,996.00,1117000,990.028
2015-07-31,990.00,995.00,969.90,991.50,1570000,985.555
2015-07-30,1029.00,1029.00,980.50,985.50,3475900,979.591
2015-07-29,1040.00,1044.00,1028.00,1039.00,1361100,1032.77
2015-07-28,1065.00,1065.00,1037.00,1038.00,1239700,1031.776
2015-07-27,1056.00,1067.00,1055.48,1060.00,866800,1053.644
2015-07-24,1062.00,1066.60,1058.00,1062.00,813800,1055.632
2015-07-23,1086.00,1086.00,1062.00,1067.00,850100,1060.602
2015-07-22,1094.00,1094.00,1075.00,1077.00,733400,1070.542
2015-07-21,1090.00,1109.17,1089.00,1101.00,858400,1094.398
2015-07-20,1097.00,1103.32,1082.00,1093.00,735800,1086.446
2015-07-17,1113.00,1114.00,1100.00,1101.00,690600,1094.398
2015-07-16,1100.00,1115.00,1097.00,1111.00,724100,1104.338
2015-07-15,1099.00,1104.24,1093.00,1096.00,835900,1089.428
2015-07-14,1104.00,1107.00,1094.00,1104.00,539200,1097.38
2015-07-13,1108.00,1111.00,1099.00,1105.00,551300,1098.374
2015-07-10,1084.00,1104.00,1083.00,1096.00,955900,1089.428
2015-07-09,1052.00,1079.00,1051.00,1074.00,1631300,1067.56
2015-07-08,1052.00,1064.69,1041.00,1051.00,2825200,1044.698
2015-07-07,1066.00,1068.00,1052.00,1052.00,661500,1045.692
2015-07-06,1074.00,1079.00,1065.00,1066.00,616400,1059.608
2015-07-03,1073.00,1081.45,1071.00,1078.00,511900,1071.536
2015-07-02,1072.00,1081.00,1067.00,1077.00,586900,1070.542
2015-07-01,1086.00,1096.00,1083.00,1092.00,1599900,1067.461
2015-06-30,1086.00,1090.79,1075.00,1080.00,997600,1055.731
2015-06-29,1077.00,1094.00,1065.00,1090.00,1189800,1065.506
2015-06-26,1105.00,1113.00,1100.00,1106.00,1044800,1081.146
2015-06-25,1120.00,1123.00,1105.00,1109.00,1550700,1084.079
2015-06-24,1132.00,1133.76,1116.36,1120.00,748600,1094.832
2015-06-23,1125.00,1137.00,1125.00,1134.00,622400,1108.517
2015-06-22,1119.00,1121.26,1108.00,1120.00,1675600,1094.832
2015-06-19,1106.00,1121.00,1106.00,1106.00,1662400,1081.146
2015-06-18,1109.00,1112.22,1098.00,1108.00,556300,1083.101
2015-06-17,1114.00,1114.00,1102.00,1109.00,779400,1084.079
2015-06-16,1100.00,1114.00,1092.00,1112.00,1050500,1087.011
2015-06-15,1115.00,1118.24,1099.50,1100.00,1167300,1075.281
2015-06-12,1123.00,1132.00,1118.00,1121.00,668300,1095.809
2015-06-11,1135.00,1147.00,1124.00,1126.00,1465600,1100.697
2015-06-10,1140.00,1146.00,1135.00,1139.00,1687200,1113.405
2015-06-09,1146.00,1149.00,1136.00,1139.00,1174800,1113.405
2015-06-08,1136.00,1152.76,1132.00,1145.00,1099100,1119.27
2015-06-05,1133.00,1147.00,1130.00,1139.00,1578700,1113.405
2015-06-04,1134.00,1146.00,1129.00,1143.00,2102200,1117.315
2015-06-03,1126.00,1141.00,1123.00,1136.00,1256600,1110.472
2015-06-02,1129.00,1133.00,1121.48,1127.00,1250700,1101.674
2015-06-01,1130.00,1133.52,1119.00,1126.00,1405700,1100.697
2015-05-29,1133.00,1135.25,1123.00,1125.00,2159500,1099.719
