Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,169.35,169.50,160.74,161.75,54745700,161.75
2016-02-17,161.70,168.764,161.00,168.15,42633700,168.15
2016-02-16,161.75,162.65,155.60,161.45,40946800,161.45
2016-02-15,162.00,163.30,159.40,160.75,40965000,160.75
2016-02-12,150.75,157.20,150.30,157.20,65583700,157.20
2016-02-11,157.30,157.70,147.75,147.85,87421200,147.85
2016-02-10,156.80,161.95,156.50,159.00,82269700,159.00
2016-02-09,163.15,165.70,154.30,156.25,69827800,156.25
2016-02-08,177.85,177.85,163.60,163.90,61112400,163.90
2016-02-05,174.45,175.05,169.65,173.15,48965000,173.15
2016-02-04,167.70,175.80,167.05,173.65,80582600,173.65
2016-02-03,172.30,172.90,163.50,165.60,73258300,165.60
2016-02-02,182.35,183.038,172.70,173.75,45374400,173.75
2016-02-01,188.90,188.90,180.90,182.80,38834000,182.80
2016-01-29,181.35,186.00,180.55,186.00,57835600,186.00
2016-01-28,181.00,183.754,176.50,178.40,36740200,178.40
2016-01-27,182.50,182.50,178.25,181.80,40891700,181.80
2016-01-26,178.50,183.80,175.15,183.00,60932900,183.00
2016-01-25,191.95,192.25,181.35,181.85,48650600,181.85
2016-01-22,190.95,192.95,188.20,190.75,50097300,190.75
2016-01-21,182.00,186.60,179.987,186.15,65099400,186.15
2016-01-20,185.90,186.00,179.902,182.05,52318600,182.05
2016-01-19,190.00,193.60,187.925,189.90,35139300,189.90
2016-01-18,191.30,198.00,185.85,187.65,37826600,187.65
2016-01-15,196.45,198.85,190.97,191.80,49774600,191.80
2016-01-14,198.25,200.15,192.52,197.70,57104700,197.70
2016-01-13,204.35,205.80,200.336,201.70,41349200,201.70
2016-01-12,201.00,204.95,199.77,202.35,31436200,202.35
2016-01-11,200.00,203.35,199.40,199.70,45116200,199.70
2016-01-08,206.00,208.65,200.15,200.15,42733200,200.15
2016-01-07,206.60,208.85,201.60,205.55,41970400,205.55
2016-01-06,214.90,214.90,209.85,211.75,26042700,211.75
2016-01-05,214.85,217.60,212.05,214.25,15243600,214.25
2016-01-04,216.35,217.00,212.65,214.25,28332200,214.25
