Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3890.50,3898.00,3802.00,3849.50,3938600,3849.50
2016-02-17,3859.00,3890.00,3845.50,3890.00,2698300,3890.00
2016-02-16,3789.50,3856.00,3787.50,3844.00,2204700,3844.00
2016-02-15,3778.00,3805.50,3744.50,3775.00,1826500,3775.00
2016-02-12,3700.50,3720.00,3668.00,3708.50,3382500,3708.50
2016-02-11,3661.50,3705.00,3609.00,3681.00,3964800,3681.00
2016-02-10,3782.50,3798.00,3671.00,3692.50,3309100,3692.50
2016-02-09,3753.50,3779.00,3703.50,3736.50,3713000,3736.50
2016-02-08,3745.50,3746.00,3684.50,3731.00,3889500,3731.00
2016-02-05,3755.00,3778.50,3722.50,3726.50,2512200,3726.50
2016-02-04,3834.50,3856.07,3726.50,3753.50,3288000,3753.50
2016-02-03,3858.50,3870.00,3799.00,3805.00,3812500,3805.00
2016-02-02,3865.00,3866.00,3824.00,3856.50,2578200,3856.50
2016-02-01,3895.50,3903.50,3826.50,3864.00,3792400,3864.00
2016-01-29,3829.50,3897.00,3800.00,3897.00,4159000,3897.00
2016-01-28,3765.50,3800.16,3748.00,3768.50,3560600,3768.50
2016-01-27,3671.00,3764.00,3653.50,3764.00,2834800,3764.00
2016-01-26,3616.50,3688.50,3601.50,3683.00,2184400,3683.00
2016-01-25,3642.50,3660.50,3624.00,3657.00,2625200,3657.00
2016-01-22,3624.50,3646.50,3606.00,3625.50,2567900,3625.50
2016-01-21,3575.50,3599.50,3547.00,3579.50,3348200,3579.50
2016-01-20,3606.50,3619.50,3544.00,3565.00,3040800,3565.00
2016-01-19,3659.00,3665.00,3634.00,3647.00,2146800,3647.00
2016-01-18,3595.00,3641.00,3562.27,3612.00,1948000,3612.00
2016-01-15,3622.50,3631.00,3536.00,3595.00,4483800,3595.00
2016-01-14,3675.50,3678.50,3623.00,3639.50,2820800,3639.50
2016-01-13,3725.50,3729.00,3698.00,3721.00,2589100,3721.00
2016-01-12,3636.00,3722.50,3621.50,3698.00,2588800,3698.00
2016-01-11,3614.00,3676.00,3602.00,3648.50,2006300,3648.50
