Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,574.50,587.00,569.00,583.50,3190100,583.50
2016-02-17,556.00,573.50,556.00,572.00,2923500,572.00
2016-02-16,555.50,561.50,553.50,554.50,4310100,554.50
2016-02-15,556.00,560.00,551.00,552.50,3688300,552.50
2016-02-12,546.00,551.00,536.00,545.00,5339500,545.00
2016-02-11,561.50,563.50,538.00,542.50,4736400,542.50
2016-02-10,555.00,570.50,547.50,564.50,2917100,564.50
2016-02-09,550.00,559.50,538.00,547.50,4163100,547.50
2016-02-08,592.50,593.022,548.00,550.00,4084200,550.00
2016-02-05,604.00,612.50,588.50,588.50,2456900,588.50
2016-02-04,613.50,614.50,601.50,605.50,2314000,605.50
2016-02-03,614.00,621.50,600.50,605.00,4030900,605.00
2016-02-02,609.00,612.00,600.50,610.00,3002200,610.00
2016-02-01,604.50,611.00,600.00,611.00,3527600,611.00
2016-01-29,590.00,599.50,582.50,599.50,2574300,599.50
2016-01-28,593.00,595.50,578.50,582.50,2211900,582.50
2016-01-27,580.00,593.00,579.50,593.00,3134700,593.00
2016-01-26,573.00,581.50,569.50,580.00,2053600,580.00
2016-01-25,577.00,579.365,571.00,578.50,2087100,578.50
2016-01-22,574.00,575.782,565.50,572.50,2397300,572.50
2016-01-21,560.50,566.50,550.195,566.00,2987300,566.00
2016-01-20,570.00,576.50,556.00,559.00,3347100,559.00
2016-01-19,574.50,582.00,571.021,579.00,2436900,579.00
2016-01-18,578.00,585.14,564.00,566.50,1985000,566.50
2016-01-15,590.00,596.00,575.645,578.50,3367800,578.50
2016-01-14,607.00,612.50,586.50,590.00,3030100,590.00
2016-01-13,613.00,620.50,609.50,613.00,2838900,613.00
2016-01-12,604.50,616.00,602.337,609.50,4599200,609.50
2016-01-11,595.50,603.50,587.18,594.50,3001800,594.50
2016-01-08,591.50,602.50,591.082,597.00,2790400,597.00
2016-01-07,595.50,600.50,586.50,591.50,3484000,591.50
2016-01-06,616.50,619.00,598.00,605.00,2695300,605.00
2016-01-05,618.50,620.50,614.50,615.00,1096100,615.00
2016-01-04,622.00,628.00,612.50,615.00,2258900,615.00
2015-12-31,635.00,638.50,626.00,626.00,834300,626.00
2015-12-30,631.00,635.68,623.50,632.00,1500000,632.00
2015-12-29,619.00,634.10,613.50,634.00,1919000,634.00
2015-12-24,620.00,620.00,613.495,616.00,255700,616.00
2015-12-23,618.50,619.50,608.54,616.00,2223300,616.00
2015-12-22,607.50,617.00,607.212,613.00,1724100,613.00
2015-12-21,601.50,612.50,601.50,605.00,2930800,605.00
2015-12-18,610.00,613.50,601.209,604.00,2733200,604.00
2015-12-17,623.50,623.50,607.00,615.00,2457800,615.00
2015-12-16,614.50,620.465,610.50,614.00,2067200,614.00
2015-12-15,602.00,616.00,598.00,614.00,1711300,614.00
2015-12-14,595.00,608.00,594.00,595.00,2812800,595.00
2015-12-11,597.50,603.50,591.82,592.50,2239200,592.50
2015-12-10,601.00,603.00,594.894,599.00,2497600,599.00
2015-12-09,608.50,614.00,604.00,605.00,2083200,605.00
2015-12-08,618.00,620.645,607.00,608.00,2082000,608.00
2015-12-07,614.50,619.00,611.832,616.50,1831600,616.50
2015-12-04,605.00,617.00,603.00,613.50,2532700,613.50
2015-12-03,610.50,619.00,604.00,605.50,2945900,605.50
2015-12-02,609.50,613.00,605.00,609.00,1732800,609.00
2015-12-01,603.50,610.50,600.50,606.50,3093300,606.50
2015-11-30,587.50,601.167,585.50,601.00,4230000,601.00
2015-11-27,583.00,589.00,582.50,587.50,1656200,587.50
2015-11-26,580.00,589.00,577.50,586.50,2403200,586.50
2015-11-25,562.50,591.68,559.50,579.50,5677000,579.50
2015-11-24,572.50,572.50,554.00,559.50,3229500,559.50
2015-11-23,573.50,576.824,569.50,573.00,1882100,573.00
2015-11-20,577.00,583.50,575.848,577.50,3757200,577.50
2015-11-19,579.50,580.00,572.00,577.00,4102000,577.00
2015-11-18,574.50,577.987,569.50,577.50,2216700,577.50
2015-11-17,564.50,578.495,563.95,575.50,3836300,575.50
2015-11-16,551.00,562.50,549.00,562.00,3623900,562.00
2015-11-13,563.50,566.48,552.279,554.50,2729900,554.50
2015-11-12,568.00,573.50,562.50,566.00,3096500,566.00
2015-11-11,581.00,582.463,558.00,568.00,4242000,568.00
2015-11-10,572.50,584.00,568.50,575.50,3301300,575.50
2015-11-09,578.50,579.00,562.00,571.00,5061300,571.00
2015-11-06,586.50,591.50,576.049,577.50,3829500,577.50
2015-11-05,573.00,592.918,570.50,584.50,6390000,584.50
2015-11-04,585.00,586.48,567.50,573.00,5808200,573.00
2015-11-03,597.00,597.807,581.00,586.50,5714400,586.50
2015-11-02,605.00,614.50,592.00,610.00,3246600,610.00
2015-10-30,619.50,622.00,607.50,612.50,6906900,612.50
2015-10-29,622.00,623.46,614.00,617.50,5101500,617.50
2015-10-28,640.50,643.00,631.50,638.00,3611900,627.70
2015-10-27,646.50,649.50,637.50,637.50,2903300,627.208
2015-10-26,649.50,650.00,641.50,646.00,3143000,635.571
2015-10-23,648.50,653.50,641.50,653.50,3054900,642.95
2015-10-22,642.50,646.50,637.00,645.00,2523600,634.587
2015-10-21,645.50,648.645,640.50,645.50,1870400,635.079
2015-10-20,633.50,643.50,630.50,642.50,2876100,632.127
2015-10-19,626.00,632.995,626.00,632.00,1502000,621.797
2015-10-16,625.00,627.50,617.727,627.50,3055800,617.37
2015-10-15,614.00,626.00,611.175,623.50,2402100,613.434
2015-10-14,628.50,631.00,608.50,610.00,3907800,600.152
2015-10-13,627.00,638.35,624.50,634.00,3143500,623.765
2015-10-12,631.50,634.00,616.50,626.00,3124900,615.894
2015-10-09,645.50,650.50,627.50,632.50,3357700,622.289
2015-10-08,641.00,646.50,639.775,643.50,2488700,633.111
2015-10-07,651.50,661.00,634.50,640.50,3843800,630.16
2015-10-06,648.00,652.85,643.00,651.50,3248000,640.982
2015-10-05,645.00,648.50,643.425,645.00,3778800,634.587
2015-10-02,647.50,651.00,627.00,636.50,4592700,626.224
2015-10-01,652.50,653.50,642.00,645.50,4931000,635.079
2015-09-30,649.50,650.00,639.00,644.50,3697400,634.095
2015-09-29,651.00,654.00,637.50,637.50,5268000,627.208
2015-09-28,660.50,673.50,658.50,660.00,3277100,649.345
2015-09-25,661.50,662.50,655.00,662.50,3178900,651.804
2015-09-24,652.00,658.50,645.50,650.00,5289700,639.506
2015-09-23,636.50,653.925,632.00,651.50,2869100,640.982
2015-09-22,650.50,652.054,638.00,638.00,3611800,627.70
2015-09-21,648.00,663.086,648.00,651.50,3279600,640.982
2015-09-18,656.00,659.00,646.00,652.00,4475900,641.474
