Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3360.00,3425.00,3318.00,3367.00,822800,3367.00
2016-02-17,3228.00,3303.00,3215.00,3296.00,729600,3296.00
2016-02-16,3184.00,3237.00,3152.00,3218.00,668900,3218.00
2016-02-15,3238.00,3250.00,3140.00,3161.00,691100,3161.00
2016-02-12,3140.00,3193.00,3091.00,3181.00,1448100,3181.00
2016-02-11,3169.00,3169.00,2986.00,3016.00,1372100,3016.00
2016-02-10,3122.00,3255.00,3071.00,3182.00,1166300,3182.00
2016-02-09,3112.00,3170.00,3014.00,3090.00,1760300,3090.00
2016-02-08,3404.00,3418.00,3112.00,3129.00,1159300,3129.00
2016-02-05,3564.00,3581.00,3382.00,3390.00,780700,3390.00
2016-02-04,3579.00,3602.00,3537.00,3568.00,586900,3568.00
2016-02-03,3558.00,3603.00,3509.00,3531.00,647200,3531.00
2016-02-02,3526.00,3547.50,3488.00,3547.00,548400,3547.00
2016-02-01,3542.00,3593.00,3510.00,3526.00,835500,3526.00
2016-01-29,3536.00,3561.00,3488.00,3535.00,1094400,3535.00
2016-01-28,3561.00,3572.24,3475.00,3500.00,650300,3500.00
2016-01-27,3530.00,3558.00,3496.00,3558.00,576400,3558.00
2016-01-26,3501.00,3544.00,3489.00,3538.00,432300,3538.00
2016-01-25,3494.00,3549.00,3476.00,3547.00,539300,3547.00
2016-01-22,3502.00,3506.00,3446.00,3465.00,528600,3465.00
2016-01-21,3468.00,3502.45,3357.51,3451.00,800400,3451.00
2016-01-20,3507.00,3547.00,3448.00,3467.00,513800,3467.00
2016-01-19,3465.00,3584.00,3430.51,3572.00,618100,3572.00
2016-01-18,3510.00,3550.00,3426.20,3430.00,527600,3430.00
2016-01-15,3609.00,3676.00,3488.00,3510.00,701200,3510.00
2016-01-14,3703.00,3715.48,3604.00,3607.00,697100,3607.00
2016-01-13,3707.00,3722.31,3679.60,3700.00,664800,3700.00
2016-01-12,3609.00,3707.00,3609.00,3672.00,795500,3672.00
2016-01-11,3487.00,3566.00,3440.00,3538.00,490800,3538.00
2016-01-08,3453.00,3520.00,3447.31,3499.00,468000,3499.00
2016-01-07,3453.00,3476.00,3414.00,3457.00,537200,3457.00
2016-01-06,3541.00,3568.00,3497.00,3511.00,427300,3511.00
2016-01-05,3645.00,3658.56,3536.00,3611.00,313000,3611.00
2016-01-04,3654.00,3677.00,3578.56,3611.00,397600,3611.00
2015-12-31,3731.00,3731.00,3660.44,3688.00,101600,3688.00
2015-12-30,3693.00,3719.00,3666.00,3706.00,233400,3706.00
2015-12-29,3646.00,3722.00,3602.31,3711.00,306600,3711.00
2015-12-24,3702.00,3702.00,3604.00,3613.00,96000,3613.00
2015-12-23,3700.00,3701.00,3621.00,3678.00,358900,3678.00
2015-12-22,3581.00,3667.00,3580.00,3666.00,539700,3666.00
2015-12-21,3553.00,3667.00,3536.70,3559.00,823600,3559.00
2015-12-18,3575.00,3589.00,3532.00,3554.00,492700,3554.00
2015-12-17,3762.00,3762.00,3509.00,3585.00,864700,3585.00
2015-12-16,3735.00,3788.00,3727.00,3757.00,847800,3657.00
2015-12-15,3533.00,3734.00,3503.00,3725.00,813200,3625.852
2015-12-14,3513.00,3577.55,3499.00,3521.00,492000,3427.282
2015-12-11,3546.00,3568.00,3490.36,3498.00,566600,3404.894
2015-12-10,3541.00,3586.00,3517.00,3557.00,463600,3462.323
2015-12-09,3599.00,3610.00,3549.00,3556.00,674700,3461.35
2015-12-08,3600.00,3628.00,3571.00,3600.00,546000,3504.179
2015-12-07,3650.00,3676.00,3572.00,3600.00,571600,3504.179
2015-12-04,3502.00,3690.00,3485.00,3602.00,1777500,3506.126
2015-12-03,3316.00,3395.80,3311.00,3352.00,814500,3262.78
2015-12-02,3300.00,3329.00,3294.00,3311.00,351300,3222.871
2015-12-01,3235.00,3293.00,3220.56,3280.00,443700,3192.696
2015-11-30,3133.00,3215.00,3104.40,3211.00,549000,3125.533
2015-11-27,3106.00,3143.00,3090.00,3135.00,198900,3051.556
2015-11-26,3092.00,3120.50,3052.00,3116.00,279700,3033.061
2015-11-25,3076.00,3200.00,3013.00,3077.00,787800,2995.10
2015-11-24,3069.00,3081.00,2994.00,3040.00,398800,2959.084
2015-11-23,3063.00,3081.00,3044.00,3068.00,266900,2986.339
2015-11-20,3111.00,3117.39,3069.00,3080.00,379700,2998.02
2015-11-19,3150.00,3150.00,3063.00,3093.00,547900,3010.674
2015-11-18,3138.00,3147.00,3099.00,3139.00,230200,3055.449
2015-11-17,3093.00,3153.00,3093.00,3141.00,248400,3057.396
2015-11-16,3006.00,3082.00,2985.06,3069.00,403100,2987.312
2015-11-13,3088.00,3115.00,3026.00,3040.00,501400,2959.084
2015-11-12,3119.00,3142.00,3078.00,3095.00,373700,3012.62
2015-11-11,3135.00,3141.76,3087.00,3115.00,586700,3032.088
2015-11-10,3116.00,3172.28,3108.00,3132.00,656700,3048.636
2015-11-09,3114.00,3131.00,3042.00,3096.00,513900,3013.594
2015-11-06,3135.00,3192.00,3098.00,3109.00,604900,3026.248
2015-11-05,3105.00,3180.00,3094.40,3148.00,637800,3064.21
