Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,749.00,756.80,720.30,738.50,15137100,738.50
2016-02-17,698.10,743.70,691.10,743.00,15423800,743.00
2016-02-16,723.30,735.00,679.90,693.00,16041100,693.00
2016-02-15,715.70,718.00,686.80,693.60,11519300,693.60
2016-02-12,640.40,697.50,640.40,696.60,15766600,696.60
2016-02-11,640.00,646.70,607.50,634.10,10554100,634.10
2016-02-10,675.00,678.60,643.90,653.80,15567000,653.80
2016-02-09,704.00,707.50,655.80,666.10,13538300,666.10
2016-02-08,714.70,730.00,687.80,707.50,12655800,707.50
2016-02-05,701.20,725.50,688.30,709.20,15876400,709.20
2016-02-04,670.20,727.50,668.70,712.60,19257200,712.60
2016-02-03,626.60,646.70,619.60,643.20,16778800,643.20
2016-02-02,664.00,664.00,620.80,632.40,14553200,632.40
2016-02-01,682.10,686.20,659.50,678.10,11419500,678.10
2016-01-29,690.00,695.00,651.30,676.40,14413000,676.40
2016-01-28,664.80,703.60,658.70,679.60,18722100,679.60
2016-01-27,660.00,669.90,635.40,669.90,16790800,669.90
2016-01-26,625.00,669.00,616.00,665.50,16200700,665.50
2016-01-25,658.00,658.00,627.20,639.80,12280300,639.80
2016-01-22,666.60,677.20,641.20,648.90,19298800,648.90
2016-01-21,592.00,652.90,585.00,642.80,25343300,642.80
2016-01-20,599.90,600.00,571.60,580.90,19422100,580.90
2016-01-19,626.00,648.70,619.20,627.10,14412700,627.10
2016-01-18,615.90,625.30,601.70,608.80,12922700,608.80
2016-01-15,640.00,645.70,607.40,615.00,19258300,615.00
2016-01-14,626.00,664.30,618.40,657.00,21476800,657.00
2016-01-13,624.30,640.30,614.20,619.60,17159700,619.60
2016-01-12,619.00,648.80,609.10,617.90,19974900,617.90
2016-01-11,645.40,659.90,634.10,636.10,12779600,636.10
2016-01-08,677.80,691.60,652.10,652.10,11750500,652.10
2016-01-07,675.00,679.80,662.00,673.70,19380100,673.70
2016-01-06,730.00,730.00,693.70,709.40,14733300,709.40
2016-01-05,754.10,764.00,733.60,736.00,8059700,736.00
2016-01-04,750.00,750.50,726.60,736.00,11139000,736.00
2015-12-31,762.00,762.00,750.20,760.00,1877800,760.00
2015-12-30,771.00,772.60,754.333,760.60,6076200,760.60
2015-12-29,777.20,782.50,763.60,775.80,8208000,775.80
2015-12-24,786.80,795.00,771.60,776.50,1688500,776.50
2015-12-23,744.90,781.90,744.90,778.10,11807600,778.10
2015-12-22,724.00,729.50,716.30,728.00,7499500,728.00
2015-12-21,719.50,744.30,715.70,716.70,10145600,716.70
2015-12-18,695.70,719.50,695.10,717.20,16872900,717.20
2015-12-17,712.70,722.30,697.70,700.00,13055900,700.00
2015-12-16,700.00,717.50,683.673,702.80,12837300,702.80
2015-12-15,684.70,696.80,679.70,686.90,12727700,686.90
2015-12-14,693.50,703.00,665.70,669.30,12612500,669.30
2015-12-11,731.50,743.00,686.10,694.20,14554300,694.20
2015-12-10,746.10,764.00,728.30,733.20,13462100,733.20
2015-12-09,745.00,761.00,713.10,749.40,17557100,749.40
2015-12-08,745.10,751.617,715.40,722.80,14527800,722.80
