Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1912.00,1914.00,1895.00,1905.00,411400,1905.00
2016-02-17,1853.00,1903.00,1853.00,1903.00,508400,1903.00
2016-02-16,1842.00,1856.00,1826.00,1852.00,352100,1852.00
2016-02-15,1810.00,1847.00,1810.00,1835.00,538700,1835.00
2016-02-12,1777.00,1795.00,1767.00,1790.00,870300,1790.00
2016-02-11,1786.00,1786.00,1752.00,1763.00,428600,1763.00
2016-02-10,1797.00,1804.00,1774.60,1798.00,662100,1798.00
2016-02-09,1780.00,1794.00,1763.00,1781.00,699500,1781.00
2016-02-08,1852.00,1852.00,1772.00,1777.00,647600,1777.00
2016-02-05,1859.00,1871.00,1820.00,1840.00,586900,1840.00
2016-02-04,1879.00,1879.00,1831.18,1856.00,558500,1856.00
2016-02-03,1857.00,1871.00,1834.00,1855.00,705400,1855.00
2016-02-02,1865.00,1877.00,1855.00,1865.00,593700,1865.00
2016-02-01,1875.00,1883.00,1853.00,1868.00,545100,1868.00
2016-01-29,1798.00,1868.00,1794.19,1868.00,980600,1868.00
2016-01-28,1807.00,1818.00,1789.00,1803.00,435200,1803.00
2016-01-27,1802.00,1819.00,1795.00,1819.00,485400,1819.00
2016-01-26,1778.00,1804.00,1765.00,1800.00,493600,1800.00
2016-01-25,1810.00,1816.00,1792.00,1803.00,359800,1803.00
2016-01-22,1787.00,1806.00,1776.00,1800.00,472400,1800.00
2016-01-21,1741.00,1760.00,1729.00,1760.00,697000,1760.00
2016-01-20,1744.00,1754.00,1722.00,1735.00,780600,1735.00
2016-01-19,1787.00,1787.00,1766.00,1772.00,591000,1772.00
2016-01-18,1778.00,1795.00,1758.36,1760.00,394800,1760.00
2016-01-15,1808.00,1817.00,1765.00,1779.00,707100,1779.00
2016-01-14,1818.00,1828.00,1777.00,1812.00,732800,1812.00
2016-01-13,1840.00,1851.00,1826.00,1838.00,644300,1838.00
2016-01-12,1829.00,1855.00,1818.00,1848.00,480300,1848.00
2016-01-11,1827.00,1847.00,1825.00,1830.00,476600,1830.00
2016-01-08,1837.00,1856.00,1829.00,1832.00,686900,1832.00
2016-01-07,1831.00,1838.00,1804.00,1823.00,545100,1823.00
2016-01-06,1883.00,1883.00,1844.00,1857.00,501300,1857.00
2016-01-05,1857.00,1894.00,1857.00,1841.00,452300,1841.00
2016-01-04,1874.00,1895.52,1833.00,1841.00,626900,1841.00
2015-12-31,1902.00,1902.00,1877.00,1885.00,111800,1885.00
2015-12-30,1896.00,1904.00,1885.00,1896.00,308100,1896.00
2015-12-29,1879.00,1900.00,1873.00,1900.00,339000,1900.00
2015-12-24,1868.00,1872.00,1856.00,1870.00,54600,1870.00
2015-12-23,1835.00,1865.20,1835.00,1862.00,278500,1862.00
2015-12-22,1834.00,1842.20,1822.00,1827.00,363700,1827.00
2015-12-21,1841.00,1863.00,1825.00,1825.00,385700,1825.00
2015-12-18,1848.00,1851.00,1833.00,1841.00,798000,1841.00
2015-12-17,1866.00,1876.00,1851.00,1853.00,748900,1853.00
2015-12-16,1844.00,1855.00,1837.00,1847.00,526400,1847.00
2015-12-15,1811.00,1851.00,1810.98,1845.00,587900,1845.00
2015-12-14,1835.00,1853.00,1804.00,1805.00,567600,1805.00
2015-12-11,1861.00,1866.00,1831.00,1831.00,462500,1831.00
2015-12-10,1872.00,1875.00,1851.00,1860.00,374100,1860.00
2015-12-09,1881.00,1892.00,1872.00,1872.00,431100,1872.00
2015-12-08,1912.00,1922.00,1876.00,1881.00,538300,1881.00
2015-12-07,1913.00,1940.00,1909.80,1917.00,258900,1917.00
2015-12-04,1904.00,1940.68,1894.60,1907.00,487100,1907.00
2015-12-03,1942.00,1963.00,1913.00,1913.00,728300,1913.00
2015-12-02,1935.00,1954.00,1928.00,1949.00,452500,1949.00
2015-12-01,1929.00,1942.00,1923.00,1928.00,601300,1928.00
2015-11-30,1905.00,1925.00,1896.00,1920.00,747600,1920.00
2015-11-27,1895.00,1912.00,1889.00,1904.00,271200,1904.00
2015-11-26,1908.00,1916.00,1897.00,1901.00,462000,1901.00
2015-11-25,1884.00,1914.00,1877.00,1908.00,663800,1908.00
2015-11-24,1891.00,1891.00,1866.00,1876.00,448300,1876.00
2015-11-23,1892.00,1899.60,1887.20,1892.00,405000,1892.00
2015-11-20,1897.00,1900.00,1872.00,1894.00,433800,1894.00
2015-11-19,1876.00,1894.00,1861.00,1886.00,612000,1886.00
2015-11-18,1872.00,1881.00,1864.00,1878.00,296700,1866.25
2015-11-17,1864.00,1880.00,1864.00,1880.00,471100,1856.561
2015-11-16,1830.00,1857.00,1830.00,1852.00,405400,1828.91
2015-11-13,1859.00,1862.00,1836.00,1840.00,459500,1817.06
2015-11-12,1888.00,1904.00,1865.00,1865.00,560300,1841.748
2015-11-11,1884.00,1898.00,1879.00,1888.00,417900,1864.461
2015-11-10,1878.00,1884.00,1857.00,1877.00,607200,1853.598
2015-11-09,1903.00,1903.00,1862.81,1863.00,580700,1839.773
2015-11-06,1875.00,1906.00,1870.00,1895.00,613000,1871.374
2015-11-05,1879.00,1885.00,1864.00,1869.00,429800,1845.698
2015-11-04,1877.00,1888.00,1869.00,1878.00,542300,1854.586
2015-11-03,1866.00,1885.00,1864.00,1869.00,508200,1845.698
2015-11-02,1848.00,1879.00,1846.60,1870.00,556500,1846.686
2015-10-30,1840.00,1859.00,1837.00,1859.00,932900,1835.823
2015-10-29,1818.00,1836.00,1812.00,1834.00,1268500,1811.134
2015-10-28,1799.00,1822.00,1794.95,1818.00,418800,1795.334
2015-10-27,1810.00,1810.00,1793.00,1799.00,624400,1776.571
2015-10-26,1827.00,1833.00,1807.00,1807.00,566900,1784.471
2015-10-23,1823.00,1849.00,1819.00,1833.00,695700,1810.147
2015-10-22,1797.00,1819.00,1782.00,1813.00,927900,1790.396
2015-10-21,1830.00,1830.00,1788.00,1799.00,1450700,1776.571
2015-10-20,1836.00,1851.00,1827.00,1845.00,648300,1821.997
2015-10-19,1827.00,1844.00,1827.00,1838.00,508500,1815.085
2015-10-16,1836.00,1843.00,1818.00,1827.00,656700,1804.222
2015-10-15,1825.00,1841.00,1818.00,1832.00,455000,1809.159
2015-10-14,1814.00,1825.00,1813.00,1818.00,911900,1795.334
2015-10-13,1845.00,1851.00,1818.00,1832.00,602400,1809.159
2015-10-12,1854.00,1865.00,1830.00,1837.00,470000,1814.097
2015-10-09,1877.00,1878.00,1853.00,1856.00,505200,1832.86
2015-10-08,1859.00,1870.00,1854.00,1861.00,619500,1837.798
2015-10-07,1868.00,1872.00,1849.00,1857.00,622600,1833.848
2015-10-06,1852.00,1869.00,1844.00,1860.00,498800,1836.81
2015-10-05,1829.00,1846.00,1822.00,1846.00,660700,1822.985
2015-10-02,1807.00,1814.00,1789.00,1804.00,612500,1781.509
2015-10-01,1791.00,1818.00,1789.00,1792.00,534800,1769.658
2015-09-30,1767.00,1775.00,1760.00,1770.00,769600,1747.932
2015-09-29,1760.00,1762.00,1739.00,1739.00,562100,1717.319
2015-09-28,1774.00,1788.00,1769.00,1776.00,586900,1753.858
2015-09-25,1756.00,1784.00,1752.00,1784.00,507900,1761.758
2015-09-24,1723.00,1738.00,1720.00,1734.00,608700,1712.381
2015-09-23,1702.00,1732.00,1700.00,1728.00,467200,1706.456
2015-09-22,1741.00,1761.00,1705.00,1707.00,645000,1685.718
2015-09-21,1736.00,1757.00,1736.00,1746.00,284600,1724.232
2015-09-18,1756.00,1758.00,1731.00,1739.00,677100,1717.319
2015-09-17,1771.00,1780.95,1756.00,1759.00,424300,1737.07
2015-09-16,1753.00,1770.00,1751.00,1768.00,426400,1745.957
2015-09-15,1741.00,1748.00,1723.00,1747.00,568600,1725.219
2015-09-14,1757.00,1768.00,1738.00,1738.00,650600,1716.331
2015-09-11,1784.00,1788.00,1748.00,1755.00,657200,1733.119
2015-09-10,1747.00,1759.00,1743.00,1749.00,469400,1727.194
2015-09-09,1775.00,1780.20,1754.00,1758.00,450900,1736.082
2015-09-08,1739.00,1764.00,1739.00,1743.00,456900,1721.269
2015-09-07,1741.00,1742.00,1718.00,1732.00,315100,1710.406
2015-09-04,1736.00,1751.00,1724.00,1724.00,580600,1702.506
2015-09-03,1729.00,1763.00,1727.00,1753.00,651900,1731.144
2015-09-02,1727.00,1737.00,1713.00,1724.00,574500,1702.506
2015-09-01,1713.00,1744.00,1713.00,1718.00,1058200,1696.581
2015-08-31,1739.00,1739.00,1739.00,1739.00,000,1717.319
2015-08-28,1710.00,1739.00,1701.00,1739.00,815600,1717.319
2015-08-27,1711.00,1720.00,1693.00,1713.00,854000,1691.643
2015-08-26,1685.00,1713.00,1670.00,1687.00,950700,1665.967
2015-08-25,1698.00,1718.28,1681.00,1706.00,1000200,1684.73
2015-08-24,1714.00,1738.00,1665.00,1671.00,1345500,1650.167
2015-08-21,1800.00,1822.00,1785.00,1785.00,541800,1762.745
2015-08-20,1816.00,1829.00,1816.00,1821.00,399000,1798.297
2015-08-19,1845.00,1846.00,1823.00,1825.00,466700,1802.247
2015-08-18,1855.00,1858.00,1843.00,1849.00,550600,1825.947
2015-08-17,1875.00,1880.20,1846.00,1855.00,352300,1831.873
2015-08-14,1857.00,1868.00,1852.00,1862.00,320100,1838.785
2015-08-13,1848.00,1859.00,1842.86,1851.00,403900,1827.923
2015-08-12,1835.00,1850.59,1816.00,1827.00,671100,1804.222
2015-08-11,1859.00,1861.00,1845.00,1845.00,441700,1821.997
2015-08-10,1855.00,1860.00,1839.00,1855.00,428400,1831.873
2015-08-07,1841.00,1851.00,1835.00,1849.00,384000,1825.947
2015-08-06,1830.00,1849.00,1830.00,1844.00,458500,1821.01
2015-08-05,1835.00,1841.00,1822.00,1840.00,553200,1817.06
2015-08-04,1839.00,1843.00,1825.00,1836.00,484100,1813.11
2015-08-03,1826.00,1844.00,1826.00,1840.00,429500,1817.06
2015-07-31,1825.00,1834.00,1818.00,1834.00,553200,1811.134
2015-07-30,1804.00,1820.00,1803.65,1820.00,647300,1797.309
2015-07-29,1791.00,1804.00,1787.00,1804.00,675600,1781.509
2015-07-28,1795.00,1796.25,1779.70,1791.00,501700,1768.671
2015-07-27,1756.00,1802.00,1752.00,1791.00,1095800,1768.671
2015-07-24,1772.00,1787.00,1758.00,1761.00,415500,1739.045
2015-07-23,1799.00,1811.00,1776.00,1780.00,1106700,1757.808
2015-07-22,1786.00,1791.00,1774.00,1790.00,603400,1767.683
2015-07-21,1809.00,1815.30,1795.00,1797.00,463900,1774.596
2015-07-20,1806.00,1815.00,1804.72,1810.00,398900,1787.434
2015-07-17,1803.00,1814.00,1798.00,1814.00,607900,1791.384
2015-07-16,1791.00,1799.00,1785.00,1797.00,311300,1774.596
2015-07-15,1787.00,1788.00,1777.00,1785.00,521700,1762.745
2015-07-14,1777.00,1786.00,1772.00,1786.00,466400,1763.733
2015-07-13,1771.00,1778.00,1765.00,1775.00,655600,1752.87
2015-07-10,1774.00,1774.83,1751.00,1758.00,600600,1736.082
2015-07-09,1735.00,1752.00,1732.00,1752.00,672800,1730.157
2015-07-08,1719.00,1740.00,1711.00,1732.00,634800,1710.406
2015-07-07,1734.00,1739.00,1718.00,1719.00,667700,1697.568
2015-07-06,1734.00,1747.00,1729.00,1737.00,485400,1715.344
2015-07-03,1745.00,1751.00,1740.00,1743.00,392000,1721.269
2015-07-02,1768.00,1774.00,1747.65,1748.00,488100,1726.207
2015-07-01,1748.00,1780.00,1744.00,1771.00,962300,1748.92
2015-06-30,1754.00,1760.00,1738.00,1738.00,839100,1716.331
2015-06-29,1753.00,1780.00,1746.00,1759.00,656100,1737.07
2015-06-26,1806.00,1809.00,1787.00,1787.00,527000,1764.72
2015-06-25,1835.00,1842.00,1807.00,1811.00,815300,1788.421
2015-06-24,1853.00,1854.00,1837.00,1838.00,779500,1815.085
2015-06-23,1849.00,1867.00,1831.00,1852.00,1329900,1828.91
2015-06-22,1886.00,1892.00,1872.00,1891.00,1505100,1867.424
2015-06-19,1854.00,1858.00,1843.00,1846.00,907600,1822.985
2015-06-18,1826.00,1851.00,1819.00,1850.00,593500,1826.935
2015-06-17,1846.00,1851.00,1829.00,1829.00,530200,1806.197
2015-06-16,1842.00,1852.00,1828.00,1847.00,491000,1823.972
2015-06-15,1862.00,1862.00,1847.00,1847.00,414500,1823.972
2015-06-12,1874.00,1880.00,1863.00,1868.00,470300,1844.711
2015-06-11,1872.00,1895.70,1872.00,1881.00,390400,1857.549
2015-06-10,1859.00,1888.00,1851.00,1880.00,719900,1856.561
2015-06-09,1868.00,1872.00,1853.00,1864.00,493400,1840.76
2015-06-08,1857.00,1872.00,1845.00,1863.00,464600,1839.773
2015-06-05,1880.00,1880.00,1850.00,1861.00,687600,1837.798
2015-06-04,1902.00,1905.00,1874.00,1886.00,461300,1862.486
2015-06-03,1894.00,1922.00,1883.00,1905.00,574100,1881.249
2015-06-02,1909.00,1911.00,1886.00,1889.00,536500,1865.449
2015-06-01,1905.00,1916.00,1896.00,1898.00,436000,1874.337
2015-05-29,1910.00,1925.00,1890.00,1896.00,829800,1872.362
2015-05-28,1913.00,1920.00,1901.00,1906.00,358600,1882.237
2015-05-27,1881.00,1918.00,1880.00,1912.00,685500,1888.162
2015-05-26,1888.00,1896.00,1866.00,1876.00,531400,1852.611
2015-05-25,1882.00,1882.00,1882.00,1882.00,000,1858.536
2015-05-22,1891.00,1896.00,1879.00,1882.00,436100,1858.536
2015-05-21,1869.00,1888.75,1859.00,1885.00,400600,1861.499
2015-05-20,1915.00,1924.00,1894.00,1899.00,620800,1851.13
2015-05-19,1895.00,1918.00,1895.00,1914.00,388400,1865.751
2015-05-18,1893.00,1901.00,1878.00,1892.00,367700,1844.306
2015-05-15,1893.00,1904.00,1881.00,1890.00,528000,1842.356
2015-05-14,1873.00,1886.00,1859.00,1885.00,401500,1837.482
2015-05-13,1875.00,1888.00,1866.00,1871.00,677900,1823.835
2015-05-12,1890.00,1901.00,1858.00,1874.00,807700,1826.76
2015-05-11,1913.00,1918.00,1890.00,1894.00,587500,1846.256
2015-05-08,1894.00,1925.00,1884.00,1911.00,740900,1862.827
2015-05-07,1866.00,1876.00,1826.00,1865.00,729800,1817.987
2015-05-06,1841.00,1852.00,1830.00,1851.00,629000,1804.34
2015-05-05,1843.00,1868.00,1837.00,1843.00,917000,1796.541
2015-05-04,1834.00,1834.00,1834.00,1834.00,000,1787.768
2015-05-01,1833.00,1836.00,1803.00,1834.00,576700,1787.768
2015-04-30,1820.00,1841.00,1805.00,1839.00,793700,1792.642
2015-04-29,1852.00,1867.00,1823.00,1823.00,630900,1777.045
2015-04-28,1846.00,1853.00,1836.00,1847.00,653700,1800.44
2015-04-27,1860.00,1867.00,1833.00,1849.00,663700,1802.39
2015-04-24,1856.00,1864.00,1848.00,1854.00,447400,1807.264
2015-04-23,1867.00,1881.00,1850.00,1856.00,845200,1809.214
2015-04-22,1869.00,1880.00,1850.00,1870.00,701000,1822.861
2015-04-21,1858.00,1883.00,1857.00,1868.00,592800,1820.911
2015-04-20,1849.00,1860.00,1843.00,1850.00,474100,1803.365
2015-04-17,1859.00,1866.00,1843.00,1846.00,865500,1799.466
2015-04-16,1870.00,1873.00,1848.00,1860.00,918100,1813.113
2015-04-15,1900.00,1903.00,1847.00,1860.00,1790300,1813.113
2015-04-14,1898.00,1916.00,1898.00,1910.00,448700,1861.852
2015-04-13,1916.00,1917.00,1896.00,1906.00,340700,1857.953
2015-04-10,1902.00,1915.00,1899.00,1912.00,503800,1863.802
2015-04-09,1897.00,1904.00,1887.00,1902.00,452400,1854.054
2015-04-08,1883.00,1893.00,1877.00,1888.00,645400,1840.407
2015-04-07,1863.00,1888.00,1858.00,1882.00,705300,1834.558
2015-04-06,1855.00,1855.00,1855.00,1855.00,000,1808.239
2015-04-03,1855.00,1855.00,1855.00,1855.00,000,1808.239
2015-04-02,1838.00,1859.00,1819.00,1855.00,571600,1808.239
2015-04-01,1834.00,1852.00,1824.00,1840.00,766500,1793.617
2015-03-31,1834.00,1863.00,1825.00,1831.00,1214300,1784.844
2015-03-30,1841.00,1849.00,1828.50,1835.00,1103900,1788.743
2015-03-27,1835.00,1844.00,1824.00,1826.00,783400,1779.97
2015-03-26,1833.00,1836.00,1814.00,1832.00,919300,1785.819
2015-03-25,1873.00,1875.00,1845.00,1845.00,443200,1798.491
2015-03-24,1867.00,1883.00,1867.00,1872.00,798800,1824.81
2015-03-23,1875.00,1878.00,1861.00,1868.00,1269700,1820.911
2015-03-20,1867.00,1883.00,1865.00,1878.00,1070200,1830.659
2015-03-19,1862.00,1879.00,1860.00,1868.00,665100,1820.911
2015-03-18,1856.00,1866.00,1855.00,1860.00,920400,1813.113
2015-03-17,1853.00,1861.00,1844.00,1852.00,1056100,1805.314
2015-03-16,1845.00,1859.00,1845.00,1855.00,483800,1808.239
2015-03-13,1840.00,1849.00,1838.00,1844.00,522300,1797.516
2015-03-12,1843.00,1851.00,1837.00,1841.00,682100,1794.592
