Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,351.00,352.30,310.00,345.40,43395000,345.40
2016-02-17,336.05,350.95,335.15,349.85,53916600,349.85
2016-02-16,341.25,348.25,334.28,337.40,54103000,337.40
2016-02-15,339.60,339.85,331.75,332.80,36500300,332.80
2016-02-12,317.00,332.833,316.106,332.50,56260800,332.50
2016-02-11,319.70,321.087,309.10,310.25,48991500,310.25
2016-02-10,335.20,337.70,326.369,330.10,40080000,320.10
2016-02-09,344.50,347.70,334.45,334.45,44362700,324.318
2016-02-08,352.90,353.40,337.85,343.90,36702300,333.482
2016-02-05,350.00,356.55,345.40,350.65,34045300,340.027
2016-02-04,341.00,354.40,338.20,350.85,59332700,340.221
2016-02-03,332.35,337.10,324.55,332.35,54849700,322.282
2016-02-02,348.10,349.80,330.10,335.10,83735600,324.949
2016-02-01,379.45,381.80,359.70,366.95,54869700,355.834
2016-01-29,376.05,377.80,366.90,376.10,56502000,364.706
2016-01-28,362.50,378.80,360.85,368.45,62408900,357.288
2016-01-27,356.00,362.90,349.946,362.90,41412900,351.906
2016-01-26,342.20,357.80,338.00,356.50,42093200,345.70
2016-01-25,352.80,353.428,343.05,350.15,47281500,339.543
2016-01-22,350.85,357.80,347.45,352.70,48161100,342.015
2016-01-21,328.60,344.10,326.05,342.25,53447700,331.882
2016-01-20,333.70,336.20,325.10,328.15,63283400,318.209
2016-01-19,346.30,351.45,339.65,342.45,50643500,332.076
2016-01-18,336.65,347.35,333.10,340.50,41699800,330.185
2016-01-15,349.30,349.65,335.55,338.15,53838400,327.906
2016-01-14,332.20,353.10,330.35,347.70,61223400,337.167
2016-01-13,327.10,342.10,325.00,335.85,55594200,325.676
2016-01-12,328.00,336.90,322.40,323.10,46002900,313.312
2016-01-11,329.05,336.00,327.35,328.05,36482000,318.112
2016-01-08,339.70,339.713,328.70,328.70,38890500,318.742
2016-01-07,337.00,339.40,324.60,337.70,59009800,327.47
2016-01-06,350.40,352.019,339.10,343.45,28972700,333.046
2016-01-05,349.00,352.50,343.50,348.15,23383200,337.603
2016-01-04,351.25,353.45,343.80,347.55,30115000,337.021
2015-12-31,355.00,356.35,352.606,354.00,6942500,343.276
2015-12-30,358.00,358.00,353.90,355.15,17521200,344.391
2015-12-29,357.15,362.85,356.85,360.75,25250400,349.822
2015-12-28,365.95,365.95,365.95,365.95,000,354.864
2015-12-25,365.95,365.95,365.95,365.95,000,354.864
2015-12-24,363.90,366.30,362.95,365.95,7161800,354.864
2015-12-23,348.10,360.85,347.95,360.40,34897100,349.482
2015-12-22,342.00,345.30,338.40,344.95,24472000,334.50
2015-12-21,339.50,345.00,335.20,335.20,27116000,325.046
2015-12-18,338.05,345.30,336.35,339.30,44715100,329.021
2015-12-17,345.20,345.80,339.70,340.35,30541900,330.04
2015-12-16,340.00,346.65,339.40,340.20,34985000,329.894
2015-12-15,330.50,340.25,330.50,337.70,40856200,327.47
2015-12-14,338.45,340.00,328.80,329.30,39295200,319.324
2015-12-11,349.50,351.25,337.10,338.00,32322800,327.761
2015-12-10,351.80,354.70,348.55,350.95,29934200,340.318
2015-12-09,348.75,356.85,343.90,350.45,35093200,339.834
2015-12-08,344.80,352.75,340.00,347.80,39928700,337.264
2015-12-07,356.25,358.20,346.60,347.60,32311500,337.07
2015-12-04,369.10,375.25,356.80,359.70,37017800,348.803
2015-12-03,380.60,382.30,368.366,368.55,39156500,357.385
2015-12-02,382.75,386.20,380.35,382.00,32004200,370.428
2015-12-01,386.35,387.481,382.25,384.55,20884600,372.90
2015-11-30,384.80,389.00,383.20,385.25,40098900,373.579
2015-11-27,387.45,388.35,385.10,386.55,19857500,374.84
2015-11-26,386.10,390.90,385.30,389.60,20478400,377.798
2015-11-25,386.70,389.35,382.15,386.10,33263800,374.404
2015-11-24,380.70,387.00,377.80,385.90,33094900,374.21
2015-11-23,375.00,385.85,372.70,380.75,29628000,369.216
2015-11-20,384.70,385.65,379.65,381.30,32153300,369.749
2015-11-19,384.10,389.95,381.95,385.15,30063900,373.482
2015-11-18,375.00,384.90,373.111,382.50,33870600,370.913
2015-11-17,377.95,380.20,374.50,378.55,32865700,367.082
2015-11-16,362.35,373.10,362.348,368.65,28733600,357.482
2015-11-13,365.95,369.80,360.35,364.50,27349900,353.458
2015-11-12,376.40,379.15,367.10,367.25,32428200,356.125
2015-11-11,383.80,384.676,376.95,377.90,23116200,366.452
2015-11-10,385.15,386.85,381.05,382.50,25364500,370.913
2015-11-09,386.20,392.30,382.60,382.60,24678300,371.01
2015-11-06,389.20,395.05,384.80,386.50,31363200,374.791
