Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1295.00,1295.00,1267.00,1277.00,1697200,1277.00
2016-02-17,1212.00,1293.84,1212.00,1289.00,2689200,1289.00
2016-02-16,1215.00,1223.00,1199.00,1212.00,2639700,1212.00
2016-02-15,1201.00,1220.00,1194.00,1209.00,1431600,1209.00
2016-02-12,1122.00,1186.00,1117.80,1174.00,3349300,1174.00
2016-02-11,1156.00,1156.00,1109.00,1109.00,3500500,1109.00
2016-02-10,1189.00,1199.00,1158.00,1163.00,2924400,1163.00
2016-02-09,1198.00,1217.00,1172.00,1172.00,3267500,1172.00
2016-02-08,1225.00,1241.00,1194.00,1200.00,2499700,1200.00
2016-02-05,1189.00,1225.00,1182.00,1218.00,4591000,1218.00
2016-02-04,1186.00,1191.00,1165.00,1185.00,2678400,1185.00
2016-02-03,1177.00,1197.00,1158.00,1165.00,2667900,1165.00
2016-02-02,1188.00,1190.00,1150.00,1168.00,1664100,1168.00
2016-02-01,1195.00,1202.00,1173.00,1189.00,1824500,1189.00
2016-01-29,1179.00,1195.00,1168.00,1195.00,2631200,1195.00
2016-01-28,1181.00,1190.00,1160.00,1160.00,2766600,1160.00
2016-01-27,1214.00,1220.00,1183.00,1190.00,2604800,1190.00
2016-01-26,1163.00,1220.00,1155.00,1211.00,4330500,1211.00
2016-01-25,1186.00,1186.00,1163.00,1178.00,3030700,1178.00
2016-01-22,1176.00,1213.00,1169.00,1181.00,3586400,1181.00
2016-01-21,1119.00,1154.68,1112.00,1153.00,2757700,1153.00
2016-01-20,1119.00,1156.05,1087.00,1120.00,2794000,1120.00
2016-01-19,1150.00,1160.00,1133.00,1139.00,2432000,1139.00
2016-01-18,1115.00,1127.60,1112.00,1121.00,2025300,1121.00
2016-01-15,1117.00,1141.25,1098.00,1120.00,2586700,1120.00
2016-01-14,1165.00,1173.00,1100.00,1121.00,5322300,1121.00
2016-01-13,1115.00,1127.00,1102.00,1112.00,2139100,1112.00
2016-01-12,1092.00,1123.10,1090.00,1103.00,2634000,1103.00
2016-01-11,1095.00,1108.00,1083.00,1084.00,2261600,1084.00
2016-01-08,1084.00,1109.00,1077.00,1095.00,2828300,1095.00
2016-01-07,1063.00,1078.00,1047.00,1078.00,3574600,1078.00
2016-01-06,1115.00,1115.00,1077.00,1098.00,2541300,1098.00
2016-01-05,1149.00,1151.00,1113.00,1140.00,2132300,1140.00
2016-01-04,1189.00,1189.00,1136.00,1140.00,2430600,1140.00
2015-12-31,1203.00,1210.00,1194.00,1195.00,419500,1195.00
2015-12-30,1223.00,1223.00,1197.00,1210.00,1088500,1210.00
2015-12-29,1217.00,1225.00,1196.00,1225.00,996700,1225.00
2015-12-24,1216.00,1217.00,1204.00,1209.00,365500,1209.00
2015-12-23,1200.00,1214.50,1193.00,1211.00,1616900,1200.80
2015-12-22,1202.00,1206.00,1182.00,1197.00,1584400,1186.918
2015-12-21,1191.00,1212.99,1187.00,1192.00,1284200,1181.96
2015-12-18,1197.00,1197.00,1186.00,1188.00,2666700,1177.994
2015-12-17,1206.00,1212.88,1191.00,1201.00,2108200,1190.884
2015-12-16,1156.00,1188.50,1145.00,1183.00,2252700,1173.036
2015-12-15,1131.00,1163.00,1126.00,1157.00,1322900,1147.255
2015-12-14,1142.00,1152.00,1119.00,1119.00,1667700,1109.575
2015-12-11,1169.00,1173.00,1133.00,1140.00,1961700,1130.398
2015-12-10,1174.00,1191.31,1171.00,1174.00,1856200,1164.112
2015-12-09,1197.00,1198.70,1172.00,1181.00,2097300,1171.053
2015-12-08,1216.00,1216.00,1197.00,1199.00,1856700,1188.901
2015-12-07,1204.00,1222.36,1199.00,1216.00,1477900,1205.758
2015-12-04,1194.00,1212.00,1191.00,1202.00,2223300,1191.876
2015-12-03,1234.00,1239.00,1198.00,1199.00,3125400,1188.901
2015-12-02,1247.00,1250.00,1222.00,1237.00,1472800,1226.581
2015-12-01,1249.00,1267.00,1247.00,1247.00,1455400,1236.497
2015-11-30,1243.00,1255.00,1237.20,1245.00,1607800,1234.514
2015-11-27,1239.00,1257.00,1230.00,1245.00,1656800,1234.514
2015-11-26,1216.00,1246.00,1215.00,1242.00,3904200,1231.539
2015-11-25,1203.00,1214.00,1203.00,1211.00,2507700,1200.80
2015-11-24,1244.00,1247.00,1189.00,1195.00,3043700,1184.935
2015-11-23,1272.00,1275.60,1255.00,1258.00,1105100,1247.404
2015-11-20,1285.00,1286.00,1276.00,1281.00,2009200,1270.21
2015-11-19,1293.00,1293.00,1263.00,1279.00,1362700,1268.227
2015-11-18,1268.00,1285.00,1262.00,1282.00,1138100,1271.202
2015-11-17,1270.00,1282.00,1264.00,1276.00,1507300,1265.253
2015-11-16,1269.00,1273.60,1239.00,1253.00,2232400,1242.446
2015-11-13,1312.00,1312.70,1263.50,1268.00,2246500,1257.32
2015-11-12,1341.00,1368.00,1311.00,1313.00,2326600,1301.941
2015-11-11,1318.00,1335.00,1314.00,1335.00,2220100,1323.756
2015-11-10,1386.00,1388.00,1317.00,1319.00,2422700,1307.89
2015-11-09,1379.00,1390.00,1368.00,1374.00,2325900,1362.427
2015-11-06,1376.00,1377.00,1342.00,1375.00,2443400,1363.419
2015-11-05,1380.00,1394.00,1364.00,1385.00,2809900,1373.334
2015-11-04,1356.00,1384.00,1348.29,1375.00,1545500,1363.419
2015-11-03,1338.00,1347.00,1331.00,1344.00,1559700,1332.68
2015-11-02,1319.00,1340.00,1319.00,1335.00,1071100,1323.756
2015-10-30,1330.00,1331.28,1305.00,1328.00,2682400,1316.815
2015-10-29,1329.00,1331.64,1306.00,1326.00,1262000,1314.831
2015-10-28,1307.00,1331.50,1305.00,1327.00,947700,1315.823
2015-10-27,1325.00,1326.00,1306.00,1306.00,1105400,1295.00
2015-10-26,1344.00,1345.00,1321.00,1324.00,906100,1312.848
2015-10-23,1314.00,1355.97,1309.00,1351.00,2831100,1339.621
2015-10-22,1271.00,1307.00,1264.00,1299.00,1371400,1288.059
2015-10-21,1270.00,1275.00,1262.00,1267.00,1209500,1256.328
2015-10-20,1267.00,1272.00,1249.00,1270.00,1847300,1259.303
2015-10-19,1281.00,1288.00,1254.00,1263.00,1764900,1252.362
2015-10-16,1311.00,1311.00,1264.00,1277.00,3705000,1266.244
2015-10-15,1255.00,1311.00,1236.00,1302.00,7671400,1291.034
2015-10-14,1419.00,1443.50,1399.00,1419.00,1970700,1407.048
2015-10-13,1466.00,1469.00,1427.00,1430.00,2325500,1417.955
2015-10-12,1507.00,1508.00,1475.00,1475.00,1994600,1462.576
2015-10-09,1500.00,1512.00,1491.00,1504.00,1679200,1491.332
2015-10-08,1459.00,1497.00,1446.00,1492.00,2504200,1479.433
2015-10-07,1439.00,1465.00,1428.00,1455.00,1378100,1442.745
2015-10-06,1412.00,1442.00,1406.00,1435.00,1393600,1422.913
2015-10-05,1382.00,1407.00,1378.00,1406.00,1065700,1394.158
2015-10-02,1362.00,1380.00,1343.00,1360.00,1363500,1348.545
2015-10-01,1378.00,1382.27,1338.00,1351.00,1749200,1339.621
2015-09-30,1341.00,1369.00,1338.00,1368.00,1542700,1356.478
2015-09-29,1317.00,1329.00,1309.00,1316.00,1731100,1304.916
2015-09-28,1369.00,1373.00,1332.00,1335.00,1096900,1323.756
2015-09-25,1357.00,1379.00,1349.00,1375.00,1476100,1363.419
2015-09-24,1345.00,1345.00,1332.00,1333.00,2273900,1321.772
2015-09-23,1329.00,1347.00,1320.00,1343.00,1375600,1331.688
2015-09-22,1365.00,1365.00,1328.00,1331.00,1949300,1319.789
2015-09-21,1372.00,1383.00,1351.00,1361.00,2146900,1349.537
2015-09-18,1393.00,1393.00,1365.00,1378.00,1854900,1366.393
2015-09-17,1418.00,1419.28,1384.78,1394.00,2472300,1382.259
2015-09-16,1412.00,1464.00,1394.00,1415.00,4227000,1403.082
2015-09-15,1377.00,1409.00,1363.00,1405.00,1568800,1393.166
2015-09-14,1378.00,1398.00,1372.00,1374.00,1234400,1362.427
2015-09-11,1388.00,1391.00,1373.22,1376.00,1127200,1364.41
2015-09-10,1387.00,1398.00,1380.00,1388.00,1258100,1376.309
2015-09-09,1411.00,1419.00,1394.00,1398.00,1493100,1386.225
2015-09-08,1366.00,1396.00,1366.00,1380.00,1670500,1368.377
2015-09-07,1353.00,1369.15,1351.00,1360.00,1113200,1348.545
2015-09-04,1378.00,1379.00,1339.00,1343.00,2091000,1331.688
2015-09-03,1364.00,1398.00,1364.00,1393.00,2193100,1381.267
2015-09-02,1342.00,1354.00,1323.00,1351.00,2707200,1339.621
2015-09-01,1387.00,1391.00,1337.00,1341.00,2804400,1329.705
2015-08-31,1411.00,1411.00,1411.00,1411.00,000,1399.115
2015-08-28,1402.00,1411.00,1384.78,1411.00,2253900,1399.115
2015-08-27,1373.00,1404.00,1367.00,1402.00,2621100,1390.191
2015-08-26,1377.00,1377.00,1342.00,1347.00,4236300,1335.654
2015-08-25,1354.00,1400.00,1347.00,1392.00,3184500,1380.275
2015-08-24,1362.00,1375.43,1312.00,1341.00,4777700,1329.705
