Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,462.05,469.95,460.298,464.35,14305500,464.35
2016-02-17,455.70,462.55,453.75,461.50,15465900,461.50
2016-02-16,456.80,461.05,452.90,456.00,13305300,456.00
2016-02-15,456.70,460.15,452.35,455.45,13263800,455.45
2016-02-12,448.55,451.65,442.30,448.25,25002800,448.25
2016-02-11,461.30,462.35,448.60,450.45,14210800,450.45
2016-02-10,463.60,467.80,455.50,464.45,13875700,464.45
2016-02-09,456.70,467.05,452.55,459.95,21876300,459.95
2016-02-08,475.00,476.549,453.40,454.80,23852800,454.80
2016-02-05,487.25,490.40,475.60,475.90,16491300,475.90
2016-02-04,491.75,494.80,483.10,485.50,16410500,485.50
2016-02-03,493.75,495.50,480.75,486.00,19370400,486.00
2016-02-02,495.00,502.30,489.05,496.00,23466400,496.00
2016-02-01,497.00,501.10,488.706,494.20,27890400,494.20
2016-01-29,470.70,484.85,470.70,484.85,22492200,484.85
2016-01-28,475.70,478.65,463.20,466.20,12228300,466.20
2016-01-27,469.50,478.30,458.292,478.30,15020600,478.30
2016-01-26,460.00,470.75,456.072,468.30,20640600,468.30
2016-01-25,488.20,488.20,467.00,471.00,21798400,471.00
2016-01-22,474.65,487.90,471.40,487.25,21548500,487.25
2016-01-21,453.95,465.95,449.923,465.65,21609200,465.65
2016-01-20,460.15,461.00,449.35,452.00,16032100,452.00
2016-01-19,466.75,469.055,462.00,467.75,13475900,467.75
2016-01-18,461.35,466.15,458.40,459.40,10232800,459.40
2016-01-15,469.05,475.71,458.80,463.30,18301300,463.30
2016-01-14,470.00,470.00,459.95,467.00,13519500,467.00
2016-01-13,477.80,479.45,473.95,476.15,10121500,476.15
2016-01-12,463.15,479.00,460.00,473.40,13549200,473.40
2016-01-11,465.65,467.633,463.00,463.00,13735500,463.00
2016-01-08,464.25,471.95,461.60,465.65,12134100,465.65
2016-01-07,460.00,465.25,454.80,462.25,16098600,462.25
2016-01-06,463.80,467.35,459.573,467.35,12225300,467.35
2016-01-05,463.15,466.90,459.65,459.90,6583300,459.90
2016-01-04,467.25,468.00,457.432,459.90,11237600,459.90
2015-12-31,468.65,473.85,468.00,471.70,3472200,471.70
2015-12-30,471.50,472.95,467.50,470.50,6140100,470.50
2015-12-29,479.45,481.55,467.95,472.15,8551600,472.15
2015-12-24,465.85,471.15,464.10,467.05,1622500,467.05
2015-12-23,464.50,473.90,462.75,472.90,9606600,468.50
2015-12-22,458.25,462.25,454.85,459.50,11109100,455.225
2015-12-21,458.20,461.25,455.05,455.05,11066400,450.816
2015-12-18,469.45,469.45,458.30,458.30,25447900,454.036
2015-12-17,476.05,476.90,470.55,470.70,13848200,466.32
