Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1382.00,1401.00,1373.00,1374.00,439500,1374.00
2016-02-17,1341.00,1386.00,1341.00,1386.00,311900,1386.00
2016-02-16,1340.00,1348.00,1328.00,1344.00,265700,1344.00
2016-02-15,1323.00,1337.00,1316.00,1336.00,305300,1336.00
2016-02-12,1284.00,1303.00,1271.00,1303.00,406500,1303.00
2016-02-11,1300.00,1300.00,1273.00,1281.00,382900,1281.00
2016-02-10,1276.00,1305.00,1274.00,1305.00,517400,1305.00
2016-02-09,1274.00,1285.00,1250.00,1277.00,472600,1277.00
2016-02-08,1320.00,1320.00,1265.00,1265.00,397300,1265.00
2016-02-05,1328.00,1345.00,1311.00,1313.00,391800,1313.00
2016-02-04,1390.00,1390.00,1305.00,1322.00,771900,1322.00
2016-02-03,1435.00,1445.00,1398.00,1400.00,503000,1400.00
2016-02-02,1442.00,1448.00,1426.00,1440.00,317700,1440.00
2016-02-01,1431.00,1459.00,1426.00,1441.00,409100,1441.00
2016-01-29,1416.00,1429.00,1406.00,1429.00,462100,1429.00
2016-01-28,1399.00,1420.00,1387.00,1397.00,351400,1397.00
2016-01-27,1382.00,1409.00,1382.00,1409.00,358800,1409.00
2016-01-26,1369.00,1391.00,1362.00,1387.00,239300,1387.00
2016-01-25,1375.00,1399.00,1370.00,1379.00,365500,1379.00
2016-01-22,1382.00,1383.00,1357.00,1371.00,358400,1371.00
2016-01-21,1354.00,1377.00,1348.00,1366.00,457200,1366.00
2016-01-20,1365.00,1368.00,1337.63,1347.00,409000,1347.00
2016-01-19,1397.00,1408.00,1387.00,1390.00,309100,1390.00
2016-01-18,1366.00,1384.00,1353.00,1371.00,401900,1371.00
2016-01-15,1381.00,1393.00,1358.00,1366.00,458400,1366.00
2016-01-14,1397.00,1399.00,1378.00,1384.00,389200,1384.00
2016-01-13,1423.00,1431.00,1410.00,1414.00,275400,1414.00
2016-01-12,1412.00,1420.00,1399.00,1415.00,326200,1415.00
2016-01-11,1409.00,1413.00,1389.00,1407.00,672100,1407.00
2016-01-08,1409.00,1420.00,1400.00,1401.00,475600,1401.00
2016-01-07,1398.00,1431.00,1392.00,1410.00,571700,1410.00
2016-01-06,1418.00,1429.00,1413.00,1429.00,352700,1429.00
2016-01-05,1433.00,1438.00,1412.00,1427.00,197200,1427.00
2016-01-04,1440.00,1440.00,1411.00,1427.00,450900,1427.00
2015-12-31,1464.00,1478.68,1448.00,1448.00,59000,1448.00
2015-12-30,1475.00,1496.00,1467.00,1473.00,297600,1473.00
2015-12-29,1477.00,1497.00,1455.00,1484.00,344200,1484.00
2015-12-24,1490.00,1490.00,1474.00,1475.00,30100,1475.00
2015-12-23,1472.00,1489.00,1467.00,1487.00,228200,1487.00
2015-12-22,1458.00,1467.00,1435.50,1460.00,377900,1460.00
2015-12-21,1492.00,1508.00,1441.00,1453.00,687800,1453.00
2015-12-18,1496.00,1505.00,1490.00,1500.00,697700,1500.00
2015-12-17,1514.00,1517.00,1485.00,1506.00,691300,1506.00
2015-12-16,1486.00,1494.00,1478.00,1487.00,556700,1487.00
2015-12-15,1427.00,1491.00,1427.00,1490.00,904600,1490.00
2015-12-14,1442.00,1451.00,1414.00,1414.00,563000,1414.00
2015-12-11,1476.00,1479.00,1438.00,1438.00,440600,1438.00
2015-12-10,1477.00,1484.00,1462.00,1470.00,581900,1470.00
2015-12-09,1517.00,1517.00,1436.00,1488.00,705600,1488.00
2015-12-08,1560.00,1560.00,1502.00,1509.00,502800,1509.00
2015-12-07,1557.00,1571.00,1550.00,1550.00,393400,1550.00
2015-12-04,1550.00,1558.00,1544.00,1547.00,373900,1547.00
2015-12-03,1599.00,1611.00,1555.00,1555.00,505900,1555.00
2015-12-02,1621.00,1621.00,1606.00,1606.00,372000,1606.00
2015-12-01,1615.00,1619.00,1597.00,1613.00,292800,1613.00
2015-11-30,1618.00,1629.00,1595.00,1611.00,484500,1611.00
2015-11-27,1616.00,1628.00,1616.00,1620.00,200100,1620.00
2015-11-26,1620.00,1628.00,1619.00,1628.00,392100,1628.00
2015-11-25,1623.00,1630.00,1615.00,1624.00,298800,1624.00
2015-11-24,1612.00,1620.00,1595.00,1617.00,502600,1617.00
2015-11-23,1614.00,1629.00,1612.00,1618.00,355500,1618.00
2015-11-20,1616.00,1638.00,1604.00,1629.00,504700,1629.00
2015-11-19,1607.00,1630.00,1606.00,1616.00,351100,1616.00
2015-11-18,1548.00,1631.25,1548.00,1599.00,563600,1599.00
2015-11-17,1522.00,1555.00,1516.00,1555.00,275000,1555.00
2015-11-16,1501.00,1519.00,1471.00,1507.00,341800,1507.00
2015-11-13,1537.00,1540.00,1510.00,1513.00,355400,1513.00
2015-11-12,1557.00,1563.00,1533.89,1534.00,303500,1534.00
2015-11-11,1553.00,1564.00,1532.00,1554.00,256500,1554.00
2015-11-10,1524.00,1545.00,1513.00,1545.00,338900,1545.00
2015-11-09,1534.00,1547.00,1512.00,1514.00,409600,1514.00
2015-11-06,1543.00,1557.00,1526.00,1531.00,358400,1531.00
2015-11-05,1595.00,1595.00,1531.00,1543.00,449300,1543.00
2015-11-04,1579.00,1595.00,1575.00,1589.00,209400,1589.00
2015-11-03,1562.00,1576.00,1553.00,1576.00,212600,1576.00
2015-11-02,1535.00,1556.09,1535.00,1556.00,151700,1556.00
2015-10-30,1554.00,1562.00,1533.00,1550.00,287700,1550.00
2015-10-29,1538.00,1566.00,1538.00,1557.00,244700,1557.00
2015-10-28,1541.00,1555.00,1530.00,1540.00,306900,1540.00
2015-10-27,1554.00,1558.00,1543.00,1544.00,202800,1544.00
2015-10-26,1558.00,1569.00,1553.00,1559.00,180500,1559.00
2015-10-23,1566.00,1574.00,1553.00,1560.00,342200,1560.00
2015-10-22,1533.00,1552.00,1520.00,1552.00,571800,1552.00
2015-10-21,1522.00,1537.00,1516.00,1531.00,313800,1531.00
2015-10-20,1521.00,1530.00,1510.00,1524.00,182400,1524.00
2015-10-19,1518.00,1528.00,1506.00,1518.00,222900,1518.00
2015-10-16,1528.00,1535.00,1504.00,1513.00,322900,1513.00
2015-10-15,1491.00,1526.00,1490.00,1525.00,444400,1525.00
2015-10-14,1490.00,1496.00,1471.00,1484.00,396700,1484.00
2015-10-13,1500.00,1508.00,1489.00,1500.00,397200,1500.00
2015-10-12,1474.00,1500.00,1469.00,1499.00,330300,1499.00
2015-10-09,1466.00,1482.00,1459.00,1473.00,420900,1473.00
2015-10-08,1463.00,1463.00,1443.00,1455.00,391000,1455.00
2015-10-07,1456.00,1487.56,1453.00,1461.00,369700,1461.00
2015-10-06,1444.00,1461.00,1431.00,1453.00,302900,1453.00
2015-10-05,1410.00,1439.00,1397.00,1435.00,282300,1435.00
2015-10-02,1387.00,1407.00,1373.00,1387.00,324200,1387.00
2015-10-01,1376.00,1398.00,1367.00,1379.00,482400,1379.00
