Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3305.00,3305.00,3236.00,3275.00,541600,3275.00
2016-02-17,3214.00,3326.00,3208.00,3301.00,862700,3271.00
2016-02-16,3164.00,3224.00,3124.00,3194.00,741700,3164.972
2016-02-15,3171.00,3176.64,3125.00,3149.00,606800,3120.381
2016-02-12,3091.00,3109.00,3034.00,3106.00,666000,3077.772
2016-02-11,3086.00,3098.00,2998.00,3044.00,1151600,3016.336
2016-02-10,3085.00,3161.00,3044.00,3118.00,861800,3089.663
2016-02-09,3000.00,3082.00,2917.00,3034.00,1398900,3006.427
2016-02-08,3143.00,3149.00,2950.00,2957.00,1337400,2930.126
2016-02-05,3238.00,3266.00,3114.00,3128.00,1277400,3099.572
2016-02-04,3282.00,3296.00,3211.00,3225.00,801200,3195.691
2016-02-03,3308.00,3308.00,3213.00,3243.00,1076900,3213.527
2016-02-02,3514.00,3530.00,3245.00,3336.00,1695200,3305.682
2016-02-01,3499.00,3526.00,3467.00,3515.00,749900,3483.055
2016-01-29,3430.00,3480.00,3322.00,3480.00,1366800,3448.373
2016-01-28,3563.00,3572.00,3329.00,3384.00,1531800,3353.246
2016-01-27,3584.00,3682.00,3581.00,3616.00,927500,3583.137
2016-01-26,3553.00,3594.00,3533.00,3568.00,556600,3535.573
2016-01-25,3629.00,3629.00,3578.00,3600.00,616400,3567.283
2016-01-22,3692.00,3692.00,3609.00,3625.00,708900,3592.055
2016-01-21,3535.00,3638.00,3490.00,3619.00,1094900,3586.11
2016-01-20,3648.00,3649.90,3444.00,3505.00,1652700,3473.146
2016-01-19,3715.00,3754.00,3680.00,3733.00,727300,3699.074
2016-01-18,3605.00,3660.00,3590.00,3656.00,481200,3622.774
2016-01-15,3651.00,3720.00,3558.79,3607.00,1436900,3574.219
2016-01-14,3818.00,3818.00,3621.00,3649.00,1157800,3615.837
2016-01-13,3947.00,3955.26,3883.00,3899.00,749700,3863.565
2016-01-12,3863.00,3951.00,3836.00,3907.00,845600,3871.493
2016-01-11,3783.00,3849.00,3748.00,3837.00,597000,3802.129
2016-01-08,3789.00,3845.00,3773.00,3773.00,592400,3738.71
2016-01-07,3751.00,3801.00,3707.00,3790.00,660300,3755.556
2016-01-06,3799.00,3824.00,3748.00,3820.00,776000,3785.283
2016-01-05,3836.00,3860.00,3802.00,3820.00,605000,3785.283
2016-01-04,3906.00,3906.00,3763.00,3806.00,773600,3771.41
2015-12-31,3894.00,3894.00,3859.00,3866.00,129200,3830.865
2015-12-30,3866.00,3921.00,3853.00,3891.00,434000,3855.638
2015-12-29,3824.00,3874.00,3793.00,3874.00,549200,3838.792
2015-12-28,3800.00,3800.00,3800.00,3800.00,000,3765.465
2015-12-25,3800.00,3800.00,3800.00,3800.00,000,3765.465
2015-12-24,3792.00,3802.00,3765.00,3800.00,93300,3765.465
2015-12-23,3771.00,3800.20,3741.00,3792.00,435000,3757.538
2015-12-22,3758.00,3801.00,3737.00,3749.00,420200,3714.928
