Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,202.60,208.31,197.50,207.40,31940900,199.133
2016-02-17,192.80,194.10,189.80,194.10,19569800,186.364
2016-02-16,193.70,194.30,190.50,191.70,11836300,184.059
2016-02-15,190.00,193.01,189.60,192.40,13066500,184.731
2016-02-12,184.60,189.60,184.50,189.60,17912800,182.043
2016-02-11,186.40,186.60,182.50,183.60,19174400,176.282
2016-02-10,188.10,191.40,185.80,187.80,13246400,180.315
2016-02-09,192.60,194.50,187.90,187.90,14219100,180.411
2016-02-08,196.40,196.60,190.80,191.90,11404000,184.251
2016-02-05,197.40,200.30,195.40,196.30,16411100,188.476
2016-02-04,197.20,198.30,191.80,196.60,18425100,188.764
2016-02-03,198.40,200.10,193.30,194.40,14635000,186.652
2016-02-02,204.70,206.00,198.30,199.30,14190400,191.356
2016-02-01,205.30,207.00,201.549,205.10,17360600,196.925
2016-01-29,203.50,206.00,200.964,204.80,20957700,196.637
2016-01-28,207.90,208.00,199.048,200.20,36794900,192.22
2016-01-27,207.00,210.90,205.80,210.10,17089300,201.726
2016-01-26,203.90,207.00,202.80,206.70,13037700,198.461
2016-01-25,207.60,208.80,205.10,206.20,14466300,197.981
2016-01-22,206.90,208.00,205.50,207.20,14449300,198.941
2016-01-21,203.80,206.10,201.20,204.30,16015600,196.157
2016-01-20,206.00,207.50,202.40,204.00,17440500,195.869
2016-01-19,207.80,210.80,205.90,209.40,12184900,201.054
2016-01-18,206.60,209.00,205.20,205.20,10093300,197.021
2016-01-15,213.40,213.90,205.80,207.00,15674200,198.749
2016-01-14,207.60,212.10,206.40,212.10,20226900,203.646
2016-01-13,208.70,212.40,206.90,210.20,11552200,201.822
2016-01-12,207.70,211.40,206.10,206.60,13206800,198.365
2016-01-11,206.80,208.30,205.50,206.20,9070700,197.981
2016-01-08,211.10,212.70,207.80,207.80,11050700,199.517
2016-01-07,209.10,210.20,205.40,210.20,16941600,201.822
2016-01-06,215.50,217.20,211.30,213.60,8872600,205.086
2016-01-05,214.90,215.70,212.40,214.80,11516600,206.238
2016-01-04,216.60,216.60,210.60,212.10,13760500,203.646
2015-12-31,221.20,221.20,216.70,218.10,5333200,209.407
2015-12-30,221.30,224.603,219.70,220.90,7139000,212.095
2015-12-29,220.00,221.70,218.412,220.90,8079900,212.095
2015-12-28,218.20,218.20,218.20,218.20,000,209.503
2015-12-25,218.20,218.20,218.20,218.20,000,209.503
2015-12-24,218.00,219.90,215.975,218.20,3098500,209.503
2015-12-23,210.80,217.30,210.80,216.80,12452600,208.159
2015-12-22,211.80,211.80,208.40,209.10,7371400,200.766
2015-12-21,211.20,213.10,210.20,210.20,9397300,201.822
2015-12-18,211.60,214.40,211.51,212.00,12841300,203.55
2015-12-17,216.50,216.50,212.30,213.50,13623400,204.99
2015-12-16,209.40,214.40,208.70,212.90,14912000,204.414
2015-12-15,209.40,214.00,207.90,209.30,12651000,200.958
2015-12-14,212.00,214.40,207.50,208.10,16994400,199.806
2015-12-11,211.90,212.60,208.60,210.90,19827000,202.494
2015-12-10,210.50,216.20,210.40,211.50,23830300,203.07
2015-12-09,203.00,207.80,200.872,206.10,14566200,197.885
2015-12-08,206.20,207.248,201.30,201.90,20935500,193.853
2015-12-07,212.30,212.853,206.40,207.00,14591300,198.749
2015-12-04,212.50,214.70,211.30,211.40,14260800,202.974
2015-12-03,219.20,220.20,213.206,213.30,14985100,204.798
2015-12-02,219.90,221.09,218.60,219.10,9824500,210.367
2015-12-01,218.20,220.70,214.828,218.70,12596600,209.983
2015-11-30,220.50,221.00,216.801,218.10,12792700,209.407
2015-11-27,221.10,221.90,219.10,220.80,8060800,211.999
2015-11-26,216.10,221.60,215.40,221.50,11136700,212.671
2015-11-25,212.40,216.80,212.40,216.10,13045900,207.487
2015-11-24,212.00,212.50,208.60,211.60,9643400,203.166
2015-11-23,213.20,214.20,210.70,212.30,7772000,203.838
2015-11-20,215.10,215.115,212.00,213.90,7579900,205.374
2015-11-19,213.30,215.40,212.80,213.60,10450400,205.086
2015-11-18,211.10,212.90,210.025,211.60,8154200,203.166
2015-11-17,210.80,212.50,209.947,212.20,11299200,203.742
2015-11-16,207.40,210.10,206.80,208.60,8806200,200.286
2015-11-13,209.60,212.30,207.736,208.80,13428400,200.478
2015-11-12,214.80,214.817,209.60,210.70,17404000,202.302
2015-11-11,214.60,221.12,214.235,215.00,14650900,206.43
2015-11-10,216.50,217.60,214.50,214.80,14559100,206.238
2015-11-09,222.90,223.30,216.40,216.50,19039100,207.871
2015-11-06,227.80,229.20,224.50,224.70,13297700,215.744
2015-11-05,230.00,230.30,227.10,228.10,16250600,219.008
2015-11-04,227.90,233.40,227.60,232.00,20174200,222.753
2015-11-03,227.10,229.00,226.20,227.70,13363000,218.624
2015-11-02,224.90,228.095,224.20,227.20,9995100,218.144
2015-10-30,227.10,227.70,224.943,226.10,18596900,217.088
2015-10-29,229.90,229.90,225.40,226.70,16321100,217.664
2015-10-28,226.00,229.465,223.80,228.20,13522600,219.104
2015-10-27,231.80,231.807,225.778,226.10,13428700,217.088
2015-10-26,235.20,235.484,231.10,231.80,13153100,222.561
2015-10-23,235.50,236.60,234.60,234.90,13768900,225.537
2015-10-22,233.60,234.30,232.70,234.00,23803900,224.673
2015-10-21,238.80,238.80,233.00,234.20,14315100,224.865
2015-10-20,236.70,240.18,236.60,238.20,10497800,228.706
2015-10-19,237.10,239.161,236.00,236.50,7953000,227.074
2015-10-16,238.70,240.00,237.20,237.70,13370200,228.226
2015-10-15,236.30,238.10,235.20,237.80,20639700,228.322
2015-10-14,233.20,235.60,231.80,234.30,19677100,224.961
2015-10-13,238.30,239.00,232.30,233.80,16520100,224.481
2015-10-12,242.60,244.50,236.60,238.90,12980300,229.378
2015-10-09,242.70,246.397,242.10,243.10,26197700,233.41
2015-10-08,236.10,241.50,234.113,241.30,19411400,231.682
2015-10-07,231.40,239.10,230.70,236.20,22781900,226.785
2015-10-06,231.00,231.30,226.035,229.90,15206800,220.737
2015-10-05,229.00,232.00,227.60,230.00,17218800,220.833
2015-10-02,224.00,227.37,222.90,225.00,14728600,216.032
2015-10-01,227.80,229.57,221.50,221.50,20379900,212.671
2015-09-30,226.20,229.30,225.90,229.20,16069900,216.637
2015-09-29,219.00,224.20,218.60,222.80,13710100,210.588
2015-09-28,223.40,224.70,220.20,220.20,7961600,208.13
2015-09-25,223.50,226.10,222.50,223.70,11691900,211.438
2015-09-24,223.50,224.10,220.00,220.20,19486300,208.13
2015-09-23,221.90,225.30,221.68,223.50,9335900,211.249
2015-09-22,226.50,227.638,221.50,221.50,14438300,209.359
2015-09-21,227.40,232.20,226.20,226.20,13406800,213.801
2015-09-18,232.40,233.00,226.30,228.40,19982100,215.881
2015-09-17,234.40,235.546,230.40,232.10,11992000,219.378
2015-09-16,230.40,235.30,229.20,234.90,15324600,222.024
2015-09-15,226.70,230.80,223.655,229.30,14497200,216.731
2015-09-14,229.60,230.90,226.60,227.90,11479100,215.408
2015-09-11,232.00,232.20,228.90,229.00,11397700,216.448
2015-09-10,236.30,238.20,231.964,232.20,15260900,219.472
2015-09-09,239.10,240.80,236.00,238.30,9954300,225.238
2015-09-08,234.80,240.30,234.80,235.90,12188600,222.97
2015-09-07,234.40,237.00,232.80,233.40,7696700,220.607
2015-09-04,237.00,238.238,233.00,233.40,15141500,220.607
2015-09-03,238.80,238.80,236.00,238.30,13557700,225.238
2015-09-02,237.00,239.50,235.10,236.50,10277900,223.537
2015-09-01,240.30,241.90,236.30,237.00,14669100,224.009
2015-08-31,243.20,243.20,243.20,243.20,000,229.869
2015-08-28,241.20,243.60,239.80,243.20,16770900,229.869
2015-08-27,240.80,242.30,237.90,241.40,20452600,228.168
2015-08-26,241.00,241.565,236.10,236.10,22828700,223.159
2015-08-25,243.60,250.00,241.90,243.80,26206200,230.437
2015-08-24,251.00,252.40,237.90,240.50,22014500,227.317
2015-08-21,261.80,263.625,256.70,257.10,12648200,243.008
2015-08-20,261.80,267.00,260.80,264.60,8703700,250.096
2015-08-19,267.30,267.70,263.50,263.50,7865000,249.057
2015-08-18,268.60,270.10,267.70,268.10,5170800,253.405
2015-08-17,269.70,269.70,266.70,268.90,7815800,254.161
2015-08-14,268.50,270.064,267.40,267.80,8604400,253.121
2015-08-13,271.20,271.90,266.20,267.70,8930000,253.027
2015-08-12,269.90,271.722,266.62,268.40,14900200,253.688
2015-08-11,271.50,274.60,269.20,270.40,13171200,255.578
2015-08-10,272.60,272.607,269.00,272.30,8511100,257.374
2015-08-07,271.70,273.159,270.10,271.10,9960000,256.24
2015-08-06,269.90,272.70,268.925,271.40,9322700,256.524
2015-08-05,269.00,271.663,267.30,271.00,14341500,256.146
