Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1232.00,1237.00,1223.00,1230.00,4105600,1230.00
2016-02-17,1223.00,1234.00,1222.00,1229.00,4664000,1229.00
2016-02-16,1208.00,1222.00,1203.00,1215.00,3251800,1215.00
2016-02-15,1212.00,1223.00,1202.00,1205.00,3531100,1205.00
2016-02-12,1182.00,1194.25,1179.00,1190.00,4882700,1190.00
2016-02-11,1189.00,1192.00,1170.00,1173.00,4536300,1173.00
2016-02-10,1209.00,1216.00,1191.00,1197.00,4986800,1197.00
2016-02-09,1196.00,1209.00,1175.00,1206.00,5171200,1206.00
2016-02-08,1229.00,1234.00,1187.00,1191.00,6988000,1191.00
2016-02-05,1229.00,1231.00,1215.00,1220.00,5072200,1220.00
2016-02-04,1209.00,1238.00,1206.00,1218.00,6668200,1218.00
2016-02-03,1191.00,1202.00,1167.00,1174.00,4692800,1174.00
2016-02-02,1200.00,1202.00,1182.00,1185.00,4099500,1185.00
2016-02-01,1209.00,1210.00,1191.79,1199.00,2950100,1199.00
2016-01-29,1185.00,1208.00,1183.00,1203.00,5097200,1203.00
2016-01-28,1163.00,1188.00,1159.00,1178.00,5381100,1178.00
2016-01-27,1132.00,1172.00,1128.00,1171.00,4731700,1171.00
2016-01-26,1113.00,1128.42,1107.00,1126.00,3085600,1126.00
2016-01-25,1118.00,1124.15,1115.00,1122.00,2643300,1122.00
2016-01-22,1104.00,1120.00,1101.00,1116.00,3437500,1116.00
2016-01-21,1124.00,1139.00,1079.00,1088.00,6406500,1088.00
2016-01-20,1147.00,1151.00,1123.00,1134.00,4597400,1114.40
2016-01-19,1161.00,1164.23,1152.00,1164.00,3139800,1143.881
2016-01-18,1121.00,1146.00,1121.00,1143.00,3844200,1123.244
2016-01-15,1135.00,1153.00,1119.00,1121.00,5216500,1101.625
2016-01-14,1138.00,1142.86,1126.50,1134.00,3688600,1114.40
2016-01-13,1161.00,1164.00,1143.33,1148.00,2924300,1128.158
2016-01-12,1138.00,1152.15,1134.00,1146.00,3040700,1126.193
2016-01-11,1118.00,1137.00,1118.00,1133.00,2617300,1113.417
2016-01-08,1122.00,1140.00,1119.00,1122.00,2649300,1102.607
2016-01-07,1115.00,1126.00,1103.15,1120.00,3627100,1100.642
2016-01-06,1141.00,1159.83,1127.15,1136.00,2445800,1116.365
2016-01-05,1146.00,1160.00,1138.00,1136.00,1868700,1116.365
2016-01-04,1169.00,1171.00,1130.00,1136.00,3202700,1116.365
2015-12-31,1187.00,1198.00,1175.00,1175.00,854700,1154.691
2015-12-30,1188.00,1195.00,1179.00,1191.00,1401500,1170.415
2015-12-29,1168.00,1190.00,1162.00,1190.00,2475200,1169.432
2015-12-24,1167.00,1168.00,1156.00,1160.00,297400,1139.951
2015-12-23,1154.00,1164.00,1148.00,1163.00,1487400,1142.899
2015-12-22,1148.00,1148.00,1137.85,1144.00,1882800,1124.227
2015-12-21,1130.00,1156.00,1127.00,1140.00,2808400,1120.296
2015-12-18,1146.00,1146.00,1129.00,1132.00,4868100,1112.435
2015-12-17,1169.00,1170.00,1148.00,1153.00,2715400,1133.072
2015-12-16,1142.00,1155.00,1137.00,1149.00,2515100,1129.141
2015-12-15,1119.00,1144.00,1114.00,1137.00,3185000,1117.348
2015-12-14,1110.00,1127.00,1108.50,1109.00,3154500,1089.832
2015-12-11,1124.00,1128.00,1113.00,1114.00,2685300,1094.746
2015-12-10,1130.00,1132.00,1119.00,1125.00,2166100,1105.556
2015-12-09,1138.00,1151.00,1133.77,1134.00,2912000,1114.40
2015-12-08,1165.00,1165.00,1137.00,1139.00,3710400,1119.314
2015-12-07,1170.00,1184.00,1163.00,1165.00,1916400,1144.864
2015-12-04,1154.00,1161.00,1144.00,1161.00,3553100,1140.933
2015-12-03,1180.00,1186.00,1149.64,1154.00,4384700,1134.054
2015-12-02,1174.00,1185.85,1169.00,1178.00,3141700,1157.639
2015-12-01,1160.00,1174.00,1158.00,1169.00,4867200,1148.795
2015-11-30,1141.00,1156.00,1134.00,1154.00,4584300,1134.054
