Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1126.00,1128.00,1108.00,1120.00,1563600,1120.00
2016-02-17,1097.00,1128.00,1097.00,1123.00,1110100,1123.00
2016-02-16,1096.00,1105.00,1087.00,1099.00,1121300,1099.00
2016-02-15,1090.00,1097.00,1088.00,1092.00,1342300,1092.00
2016-02-12,1062.00,1074.00,1055.00,1074.00,1608700,1074.00
2016-02-11,1073.00,1073.00,1044.00,1059.00,1352600,1059.00
2016-02-10,1062.00,1085.00,1055.00,1081.00,1642200,1081.00
2016-02-09,1062.00,1068.00,1040.00,1063.00,2304000,1063.00
2016-02-08,1099.00,1104.00,1053.00,1056.00,2096400,1056.00
2016-02-05,1112.00,1125.00,1098.00,1098.00,2319900,1098.00
2016-02-04,1129.00,1129.00,1102.00,1112.00,1948600,1112.00
2016-02-03,1133.00,1139.00,1106.00,1112.00,1218900,1112.00
2016-02-02,1160.00,1160.00,1129.00,1135.00,1080000,1135.00
2016-02-01,1181.00,1192.00,1131.00,1159.00,2175300,1159.00
2016-01-29,1151.00,1175.00,1132.00,1175.00,1735600,1175.00
2016-01-28,1138.00,1154.00,1134.00,1139.00,1173000,1139.00
2016-01-27,1168.00,1171.00,1123.00,1142.00,3179000,1142.00
2016-01-26,1147.00,1168.00,1147.00,1167.00,1169100,1167.00
2016-01-25,1172.00,1174.00,1160.00,1165.00,949900,1165.00
2016-01-22,1162.00,1173.00,1156.00,1162.00,1404500,1162.00
2016-01-21,1118.00,1149.00,1118.00,1144.00,1643800,1144.00
2016-01-20,1138.00,1144.00,1105.00,1113.00,1715300,1113.00
2016-01-19,1150.00,1163.00,1149.00,1159.00,823600,1159.00
2016-01-18,1142.00,1156.00,1135.00,1136.00,868000,1136.00
2016-01-15,1169.00,1178.00,1140.00,1142.00,1782900,1142.00
2016-01-14,1178.00,1178.00,1154.00,1171.00,1225000,1171.00
2016-01-13,1186.00,1206.00,1183.00,1191.00,1759400,1191.00
2016-01-12,1160.00,1178.00,1154.00,1166.00,1269500,1166.00
2016-01-11,1156.00,1167.00,1153.00,1156.00,834300,1156.00
2016-01-08,1166.00,1185.00,1158.00,1166.00,1352100,1166.00
2016-01-07,1159.00,1174.00,1150.00,1157.00,1485000,1157.00
2016-01-06,1185.00,1185.00,1171.00,1184.00,1308500,1184.00
2016-01-05,1200.00,1202.00,1178.00,1183.00,530700,1183.00
2016-01-04,1192.00,1197.00,1178.00,1183.00,1099500,1183.00
2015-12-31,1224.00,1224.00,1208.00,1208.00,422900,1208.00
2015-12-30,1226.00,1230.00,1217.00,1219.00,877300,1219.00
2015-12-29,1233.00,1236.00,1218.00,1230.00,1032600,1230.00
2015-12-24,1219.00,1223.00,1214.00,1223.00,84800,1223.00
2015-12-23,1198.00,1223.00,1196.70,1212.00,1200600,1212.00
2015-12-22,1181.00,1193.00,1174.00,1190.00,1122400,1190.00
2015-12-21,1181.00,1194.00,1175.00,1176.00,1091300,1176.00
2015-12-18,1204.00,1205.00,1183.00,1183.00,2265800,1183.00
2015-12-17,1197.00,1212.30,1193.75,1210.00,2253900,1210.00
2015-12-16,1149.00,1178.00,1146.00,1173.00,1438800,1173.00
2015-12-15,1154.00,1158.00,1138.00,1146.00,2294800,1146.00
2015-12-14,1158.00,1171.00,1145.00,1145.00,1836800,1145.00
2015-12-11,1183.00,1200.00,1154.00,1154.00,2384500,1154.00
2015-12-10,1176.00,1203.00,1162.00,1183.00,1412800,1183.00
2015-12-09,1220.00,1221.74,1178.00,1178.00,2300900,1178.00
2015-12-08,1232.00,1244.00,1214.00,1214.00,1375800,1214.00
2015-12-07,1250.00,1263.00,1230.00,1230.00,1419100,1230.00
2015-12-04,1235.00,1244.00,1230.00,1240.00,1236200,1240.00
2015-12-03,1270.00,1286.00,1239.00,1239.00,1456900,1239.00
2015-12-02,1285.00,1291.00,1276.00,1276.00,976400,1276.00
2015-12-01,1277.00,1288.00,1273.00,1283.00,743000,1283.00
2015-11-30,1268.00,1276.00,1263.00,1272.00,1411700,1272.00
2015-11-27,1261.00,1274.00,1261.00,1267.00,558600,1267.00
2015-11-26,1259.00,1274.00,1256.00,1267.00,670900,1267.00
2015-11-25,1233.00,1269.00,1230.52,1255.00,1167600,1255.00
2015-11-24,1243.00,1247.00,1223.00,1228.00,771100,1228.00
2015-11-23,1241.00,1252.00,1241.00,1244.00,688900,1244.00
2015-11-20,1249.00,1255.00,1238.00,1251.00,1066400,1251.00
2015-11-19,1243.00,1254.00,1242.00,1251.00,994100,1251.00
2015-11-18,1235.00,1238.00,1225.00,1237.00,885100,1237.00
2015-11-17,1216.00,1236.00,1216.00,1236.00,1040300,1236.00
2015-11-16,1188.00,1203.00,1187.00,1200.00,1237100,1200.00
2015-11-13,1217.00,1220.00,1195.00,1198.00,1390200,1198.00
2015-11-12,1254.00,1258.00,1218.00,1219.00,1278300,1219.00
2015-11-11,1252.00,1266.00,1249.00,1254.00,693500,1254.00
2015-11-10,1267.00,1268.00,1245.00,1248.00,1040400,1248.00
2015-11-09,1275.00,1278.00,1265.00,1265.00,1158700,1265.00
2015-11-06,1296.00,1297.00,1264.00,1275.00,1772200,1275.00
2015-11-05,1290.00,1306.00,1282.00,1296.00,2223100,1296.00
2015-11-04,1281.00,1293.00,1281.00,1292.00,724400,1292.00
2015-11-03,1284.00,1286.00,1276.00,1282.00,653600,1282.00
2015-11-02,1271.00,1287.00,1271.00,1284.00,619400,1284.00
2015-10-30,1280.00,1285.00,1268.00,1275.00,1033800,1275.00
2015-10-29,1273.00,1279.00,1268.72,1276.00,1496200,1276.00
