Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1807.00,1814.00,1776.00,1802.00,1803900,1802.00
2016-02-17,1735.00,1796.00,1733.00,1796.00,1414400,1796.00
2016-02-16,1753.00,1768.00,1715.92,1734.00,1668500,1734.00
2016-02-15,1705.00,1752.36,1696.00,1724.00,1234000,1724.00
2016-02-12,1670.00,1702.70,1652.00,1680.00,2670700,1680.00
2016-02-11,1692.00,1700.00,1636.98,1660.00,2496400,1660.00
2016-02-10,1647.00,1739.25,1639.00,1705.00,2702800,1705.00
2016-02-09,1630.00,1654.00,1581.00,1639.00,4317400,1639.00
2016-02-08,1768.00,1770.00,1626.55,1637.00,3427400,1637.00
2016-02-05,1784.00,1809.00,1763.85,1770.00,1936900,1770.00
2016-02-04,1765.00,1785.00,1722.00,1776.00,3740900,1776.00
2016-02-03,1771.00,1794.34,1738.00,1741.00,2130800,1741.00
2016-02-02,1843.00,1856.75,1775.00,1788.00,1347700,1788.00
2016-02-01,1863.00,1882.50,1828.00,1849.00,1006900,1849.00
2016-01-29,1800.00,1854.00,1792.00,1854.00,1691600,1854.00
2016-01-28,1856.00,1861.00,1783.00,1787.00,3211100,1787.00
2016-01-27,1850.00,1865.00,1825.93,1865.00,1319600,1865.00
2016-01-26,1812.00,1846.00,1803.00,1836.00,969200,1836.00
2016-01-25,1849.00,1866.38,1830.85,1849.00,919600,1849.00
2016-01-22,1840.00,1868.80,1815.00,1844.00,2215400,1844.00
2016-01-21,1772.00,1814.30,1754.41,1801.00,1755600,1801.00
2016-01-20,1780.00,1792.00,1744.00,1759.00,2299900,1759.00
2016-01-19,1779.00,1825.00,1778.00,1823.00,1782800,1823.00
2016-01-18,1789.00,1815.42,1751.00,1753.00,1374500,1753.00
2016-01-15,1845.00,1853.00,1778.00,1784.00,3144200,1784.00
2016-01-14,1845.00,1848.00,1815.91,1830.00,1966300,1830.00
2016-01-13,1883.00,1910.88,1864.35,1871.00,2414900,1871.00
2016-01-12,1848.00,1892.00,1840.12,1867.00,1373600,1867.00
2016-01-11,1837.00,1874.31,1837.00,1848.00,1213500,1848.00
2016-01-08,1865.00,1887.41,1835.52,1849.00,1226200,1849.00
2016-01-07,1864.00,1889.00,1841.11,1864.00,1692100,1864.00
2016-01-06,1917.00,1939.01,1875.00,1897.00,1154200,1897.00
2016-01-05,1927.00,1958.76,1924.00,1917.00,653700,1917.00
2016-01-04,1948.00,1973.00,1896.02,1917.00,1062700,1917.00
2015-12-31,1985.00,1985.00,1959.00,1971.00,133500,1971.00
2015-12-30,1980.00,1987.00,1969.00,1972.00,275900,1972.00
2015-12-29,1963.00,1990.00,1950.00,1980.00,629400,1980.00
2015-12-24,1954.00,1955.00,1930.00,1946.00,84200,1946.00
2015-12-23,1943.00,1963.27,1929.00,1946.00,1021500,1946.00
2015-12-22,1923.00,1936.00,1906.90,1927.00,715200,1927.00
2015-12-21,1907.00,1948.00,1897.97,1910.00,1406000,1910.00
2015-12-18,1904.00,1920.00,1879.54,1908.00,1590500,1908.00
2015-12-17,1911.00,1933.00,1907.00,1921.00,1237600,1921.00
2015-12-16,1878.00,1891.00,1869.98,1877.00,1121200,1877.00
2015-12-15,1899.00,1900.00,1878.00,1885.00,1611400,1885.00
2015-12-14,1880.00,1904.00,1853.95,1875.00,1903900,1875.00
2015-12-11,1912.00,1919.00,1880.00,1880.00,1902300,1880.00
2015-12-10,1930.00,1940.00,1916.56,1918.00,1216800,1918.00
2015-12-09,1956.00,1968.00,1931.00,1941.00,4158500,1941.00
2015-12-08,1970.00,1977.00,1943.00,1950.00,2400000,1950.00
2015-12-07,1959.00,1979.00,1947.00,1973.00,941400,1973.00
2015-12-04,1942.00,1967.00,1925.00,1955.00,1406300,1955.00
2015-12-03,1973.00,1990.00,1903.36,1942.00,2660000,1942.00
2015-12-02,1985.00,2000.01,1965.47,1978.00,1196300,1978.00
2015-12-01,1964.00,1972.00,1952.00,1966.00,2531100,1966.00
2015-11-30,1950.00,1976.00,1950.00,1955.00,1520800,1955.00
2015-11-27,1950.00,1989.00,1943.00,1960.00,1708800,1960.00
2015-11-26,1940.00,1966.00,1930.00,1966.00,1474200,1966.00
2015-11-25,1915.00,1935.37,1907.00,1924.00,1566300,1924.00
2015-11-24,1919.00,1919.00,1882.60,1903.00,2960800,1903.00
2015-11-23,1882.00,1921.00,1881.00,1917.00,1855200,1917.00
2015-11-20,1887.00,1912.00,1816.02,1900.00,4346700,1900.00
2015-11-19,1810.00,1890.00,1735.00,1875.00,2884000,1875.00
2015-11-18,1785.00,1796.92,1763.94,1778.00,1646000,1778.00
2015-11-17,1795.00,1829.00,1793.00,1801.00,1568100,1801.00
2015-11-16,1754.00,1795.00,1754.00,1782.00,1105600,1782.00
2015-11-13,1749.00,1778.00,1743.00,1777.00,1260900,1777.00
2015-11-12,1789.00,1799.00,1752.40,1753.00,1111200,1753.00
2015-11-11,1800.00,1807.00,1785.00,1791.00,1518500,1791.00
2015-11-10,1829.00,1830.69,1761.00,1782.00,1600400,1782.00
2015-11-09,1852.00,1880.00,1818.00,1820.00,1924300,1820.00
2015-11-06,1847.00,1892.59,1840.00,1861.00,2977300,1861.00
2015-11-05,1740.00,1806.00,1736.00,1796.00,2706500,1796.00
2015-11-04,1801.00,1810.19,1779.97,1800.00,1056300,1800.00
2015-11-03,1814.00,1816.00,1782.00,1790.00,1812400,1790.00
2015-11-02,1765.00,1810.98,1764.67,1809.00,982400,1809.00
2015-10-30,1777.00,1785.00,1762.00,1781.00,1243700,1781.00
2015-10-29,1802.00,1802.00,1759.62,1765.00,1368800,1765.00
2015-10-28,1755.00,1801.00,1755.00,1801.00,1050400,1801.00
2015-10-27,1788.00,1792.27,1746.78,1747.00,1424400,1747.00
2015-10-26,1812.00,1825.00,1792.00,1792.00,1228700,1792.00
2015-10-23,1791.00,1844.41,1791.00,1823.00,1985600,1823.00
2015-10-22,1782.00,1812.09,1749.38,1783.00,2228000,1783.00
2015-10-21,1730.00,1794.00,1724.00,1791.00,2014000,1791.00
2015-10-20,1727.00,1736.00,1695.00,1726.00,1354400,1726.00
2015-10-19,1738.00,1760.00,1719.00,1726.00,1368800,1726.00
2015-10-16,1765.00,1774.00,1740.00,1754.00,934900,1754.00
2015-10-15,1742.00,1767.49,1735.00,1758.00,901600,1758.00
2015-10-14,1760.00,1765.00,1732.00,1734.00,1278300,1734.00
2015-10-13,1758.00,1790.00,1743.00,1782.00,1163800,1782.00
2015-10-12,1769.00,1775.14,1755.00,1766.00,1257700,1766.00
2015-10-09,1780.00,1787.00,1750.94,1763.00,1452900,1763.00
2015-10-08,1760.00,1777.00,1751.50,1765.00,1921800,1765.00
2015-10-07,1779.00,1798.00,1752.00,1763.00,2412400,1763.00
2015-10-06,1765.00,1788.00,1745.00,1774.00,1162600,1774.00
2015-10-05,1749.00,1775.00,1744.00,1768.00,1603700,1768.00
2015-10-02,1734.00,1754.00,1685.00,1711.00,1926100,1711.00
2015-10-01,1764.00,1774.00,1707.00,1728.00,2961400,1728.00
2015-09-30,1730.00,1746.00,1722.00,1741.00,3094500,1741.00
2015-09-29,1719.00,1748.00,1690.00,1700.00,3743300,1700.00
2015-09-28,1810.00,1816.00,1756.33,1759.00,1675400,1759.00
2015-09-25,1800.00,1838.00,1790.00,1823.00,1478800,1823.00
2015-09-24,1823.00,1836.00,1742.31,1759.00,1556900,1759.00
2015-09-23,1795.00,1848.00,1776.00,1833.00,1358900,1833.00
2015-09-22,1863.00,1877.64,1799.64,1806.00,1606800,1806.00
2015-09-21,1862.00,1887.09,1862.00,1862.00,1629400,1862.00
2015-09-18,1902.00,1905.00,1841.00,1873.00,1832400,1873.00
2015-09-17,1920.00,1920.00,1896.00,1908.00,1319600,1908.00
2015-09-16,1926.00,1938.00,1895.00,1908.00,1518100,1908.00
2015-09-15,1889.00,1916.00,1879.00,1913.00,1013700,1913.00
2015-09-14,1904.00,1923.00,1879.74,1885.00,1440600,1885.00
2015-09-11,1920.00,1927.00,1891.55,1910.00,1563900,1910.00
2015-09-10,1898.00,1941.48,1898.00,1919.00,1102300,1919.00
2015-09-09,1963.00,1979.00,1931.00,1943.00,1355000,1924.50
2015-09-08,1879.00,1921.00,1879.00,1916.00,1939900,1897.757
2015-09-07,1861.00,1875.00,1855.00,1875.00,771600,1857.147
2015-09-04,1848.00,1856.00,1827.00,1849.00,2474100,1831.395
2015-09-03,1876.00,1886.70,1859.74,1874.00,3842300,1856.157
2015-09-02,1886.00,1894.00,1856.00,1857.00,1835900,1839.319
2015-09-01,1900.00,1925.00,1850.69,1880.00,1717800,1862.10
2015-08-31,1922.00,1922.00,1922.00,1922.00,000,1903.70
2015-08-28,1886.00,1923.00,1879.00,1922.00,1725400,1903.70
2015-08-27,1861.00,1910.90,1856.00,1893.00,2711000,1874.976
2015-08-26,1765.00,1833.00,1758.00,1800.00,2032500,1782.862
2015-08-25,1756.00,1834.29,1740.00,1805.00,5290800,1787.814
2015-08-24,1740.00,1764.00,1651.07,1736.00,4511300,1719.471
2015-08-21,1860.00,1886.00,1788.70,1806.00,3636900,1788.804
2015-08-20,1897.00,1934.00,1878.19,1895.00,1570500,1876.957
2015-08-19,1950.00,1954.00,1910.26,1917.00,1082000,1898.748
2015-08-18,1961.00,1983.00,1952.52,1960.00,1388300,1941.338
2015-08-17,1961.00,1977.00,1945.00,1969.00,693800,1950.252
2015-08-14,1973.00,1977.00,1937.00,1951.00,1134500,1932.424
2015-08-13,1920.00,1971.00,1920.00,1963.00,1696300,1944.31
2015-08-12,1937.00,1937.00,1876.24,1899.00,2647900,1880.919
2015-08-11,1956.00,1968.00,1940.00,1951.00,1216600,1932.424
2015-08-10,1968.00,1968.00,1932.00,1961.00,1031500,1942.329
2015-08-07,1936.00,1950.00,1931.00,1941.00,1058100,1922.519
2015-08-06,1947.00,1958.00,1915.92,1934.00,1129100,1915.586
2015-08-05,1965.00,1972.77,1950.00,1957.00,1365200,1938.367
2015-08-04,1914.00,1939.83,1905.00,1935.00,1649300,1916.576
2015-08-03,1900.00,1933.50,1885.00,1922.00,1510000,1903.70
2015-07-31,1879.00,1915.00,1877.70,1907.00,1615500,1888.843
2015-07-30,1896.00,1904.00,1865.56,1879.00,1280600,1861.109
2015-07-29,1870.00,1894.38,1866.00,1888.00,1860300,1870.024
2015-07-28,1839.00,1867.74,1814.00,1850.00,1478900,1832.385
2015-07-27,1876.00,1881.00,1834.25,1840.00,1185600,1822.481
2015-07-24,1895.00,1921.00,1882.00,1886.00,1109600,1868.043
2015-07-23,1896.00,1918.00,1874.92,1899.00,2233900,1880.919
2015-07-22,1850.00,1900.27,1845.00,1876.00,1422600,1858.138
2015-07-21,1865.00,1881.00,1844.29,1861.00,1801800,1843.281
2015-07-20,1853.00,1872.38,1852.40,1862.00,1172900,1844.271
2015-07-17,1892.00,1892.00,1861.24,1863.00,1339400,1845.262
2015-07-16,1873.00,1888.88,1863.00,1882.00,1667200,1864.081
2015-07-15,1857.00,1898.09,1850.00,1861.00,1323200,1843.281
2015-07-14,1865.00,1875.00,1836.00,1862.00,1850700,1844.271
2015-07-13,1869.00,1895.53,1853.00,1865.00,1147000,1847.243
2015-07-10,1813.00,1846.00,1799.00,1846.00,3127700,1828.424
2015-07-09,1755.00,1803.00,1755.00,1796.00,1875000,1778.90
2015-07-08,1732.00,1764.00,1718.71,1754.00,2114700,1737.30
2015-07-07,1789.00,1797.00,1730.00,1730.00,3210100,1713.528
2015-07-06,1775.00,1813.48,1770.00,1780.00,1602400,1763.052
2015-07-03,1809.00,1827.00,1806.00,1811.00,925300,1793.757
2015-07-02,1805.00,1831.54,1805.00,1818.00,2368900,1800.69
2015-07-01,1805.00,1848.00,1798.00,1814.00,2648500,1796.728
2015-06-30,1803.00,1818.00,1777.47,1786.00,2220700,1768.995
2015-06-29,1798.00,1830.90,1787.00,1809.00,1797900,1791.776
2015-06-26,1875.00,1877.00,1853.00,1859.00,2408300,1841.30
2015-06-25,1897.00,1917.00,1878.00,1883.00,2863400,1865.071
2015-06-24,1922.00,1930.00,1895.91,1902.00,1931200,1883.89
2015-06-23,1905.00,1968.10,1889.00,1927.00,2222300,1908.652
2015-06-22,1884.00,1916.00,1870.46,1914.00,2767600,1895.776
2015-06-19,1840.00,1932.06,1831.00,1857.00,3811200,1839.319
2015-06-18,1824.00,1847.00,1789.00,1847.00,2464800,1829.414
2015-06-17,1825.00,1864.00,1825.00,1834.00,2682700,1816.538
2015-06-16,1820.00,1838.29,1783.00,1829.00,2835400,1811.585
2015-06-15,1829.00,1847.29,1817.00,1830.00,2160800,1812.576
2015-06-12,1870.00,1880.00,1828.00,1845.00,1983300,1827.433
2015-06-11,1853.00,1893.28,1852.00,1885.00,2980200,1867.052
2015-06-10,1796.00,1853.92,1787.00,1842.00,2503200,1824.462
2015-06-09,1814.00,1820.67,1790.00,1795.00,2188000,1777.909
2015-06-08,1805.00,1827.00,1799.00,1822.00,2245900,1804.652
2015-06-05,1800.00,1832.70,1799.00,1809.00,1756100,1791.776
2015-06-04,1852.00,1852.00,1799.00,1816.00,3285700,1798.709
2015-06-03,1805.00,1867.00,1805.00,1853.00,3069000,1835.357
2015-06-02,1814.00,1829.00,1770.75,1792.00,2060500,1774.938
2015-06-01,1833.00,1860.00,1801.00,1804.00,1173200,1786.823
2015-05-29,1843.00,1867.00,1822.14,1831.00,2104000,1813.566
2015-05-28,1841.00,1851.00,1831.00,1847.00,1388600,1829.414
2015-05-27,1777.00,1843.00,1770.00,1839.00,2706800,1821.49
2015-05-26,1842.00,1842.00,1773.00,1776.00,2166000,1759.09
2015-05-25,1833.00,1833.00,1833.00,1833.00,000,1815.547
2015-05-22,1845.00,1856.00,1827.43,1833.00,1384300,1815.547
2015-05-21,1843.00,1860.00,1833.00,1840.00,981200,1822.481
2015-05-20,1847.00,1875.32,1831.00,1851.00,1116300,1833.376
2015-05-19,1826.00,1866.19,1801.00,1851.00,1164200,1833.376
2015-05-18,1826.00,1834.00,1799.00,1816.00,1106100,1798.709
2015-05-15,1818.00,1832.00,1801.00,1816.00,1072200,1798.709
2015-05-14,1806.00,1816.22,1778.00,1810.00,1024800,1792.766
2015-05-13,1818.00,1833.00,1793.09,1802.00,2431000,1784.842
2015-05-12,1823.00,1830.00,1805.00,1818.00,2016900,1800.69
2015-05-11,1887.00,1892.00,1837.00,1837.00,1716600,1819.509
2015-05-08,1844.00,1906.59,1828.00,1891.00,1788300,1872.995
2015-05-07,1850.00,1858.00,1793.30,1853.00,3175800,1835.357
2015-05-06,1835.00,1862.00,1802.00,1857.00,3009300,1839.319
2015-05-05,1847.00,1856.19,1817.00,1848.00,3826100,1830.405
2015-05-04,1838.00,1838.00,1838.00,1838.00,000,1820.50
2015-05-01,1861.00,1861.00,1805.00,1838.00,1167800,1820.50
2015-04-30,1855.00,1888.00,1802.74,1829.00,3584500,1811.585
2015-04-29,1895.00,1902.00,1807.33,1823.00,2243400,1805.643
2015-04-28,1896.00,1910.48,1879.00,1892.00,2866400,1873.986
2015-04-27,1898.00,1918.00,1871.00,1908.00,2473800,1889.833
2015-04-24,1865.00,1912.00,1860.00,1900.00,3331400,1881.909
2015-04-23,1861.00,1869.00,1838.63,1855.00,3617000,1837.338
2015-04-22,1890.00,1895.00,1846.00,1859.00,1883600,1841.30
2015-04-21,1868.00,1898.39,1862.00,1879.00,2491200,1861.109
2015-04-20,1839.00,1866.00,1839.00,1860.00,1556400,1842.29
2015-04-17,1861.00,1869.00,1828.59,1835.00,3138900,1817.528
2015-04-16,1872.00,1904.45,1860.00,1860.00,6213300,1842.29
2015-04-15,1815.00,1871.17,1806.00,1857.00,2722300,1839.319
2015-04-14,1779.00,1805.85,1779.00,1803.00,1650700,1785.833
2015-04-13,1796.00,1805.00,1787.00,1790.00,1089500,1772.957
2015-04-10,1810.00,1811.00,1791.00,1797.00,1529400,1779.89
2015-04-09,1779.00,1809.00,1763.00,1809.00,2756900,1791.776
2015-04-08,1789.00,1789.00,1743.00,1752.00,1733300,1735.319
2015-04-07,1769.00,1790.06,1764.00,1782.00,2099500,1765.033
2015-04-06,1762.00,1762.00,1762.00,1762.00,000,1745.223
2015-04-03,1762.00,1762.00,1762.00,1762.00,000,1745.223
2015-04-02,1760.00,1780.47,1720.00,1762.00,1655500,1745.223
2015-04-01,1750.00,1778.00,1740.96,1745.00,2191400,1728.385
2015-03-31,1785.00,1807.44,1748.99,1750.00,2755000,1733.338
2015-03-30,1770.00,1794.34,1742.60,1787.00,3179600,1769.985
2015-03-27,1804.00,1832.00,1779.00,1788.00,2608900,1770.976
2015-03-26,1805.00,1808.00,1779.00,1794.00,2206900,1776.919
2015-03-25,1820.00,1854.00,1812.04,1817.00,3091300,1799.70
2015-03-24,1850.00,1876.00,1825.00,1830.00,3717300,1812.576
2015-03-23,1847.00,1856.00,1823.33,1852.00,3049600,1834.366
2015-03-20,1825.00,1866.00,1812.00,1840.00,7899800,1822.481
2015-03-19,1782.00,1791.07,1744.00,1751.00,2624800,1734.328
2015-03-18,1696.00,1787.00,1682.00,1771.00,4338300,1754.138
2015-03-17,1729.00,1756.00,1665.97,1687.00,5435000,1670.937
2015-03-16,1758.00,1771.00,1730.62,1731.00,8200100,1714.519
2015-03-13,1804.00,1817.00,1794.22,1811.00,2480400,1793.757
2015-03-12,1751.00,1813.00,1747.00,1807.00,3943700,1789.795
2015-03-11,1707.00,1743.13,1707.00,1742.00,3912800,1725.414
2015-03-10,1727.00,1749.00,1699.00,1699.00,3340900,1682.823
2015-03-09,1760.00,1777.00,1722.00,1727.00,4378200,1710.557
2015-03-06,1795.00,1816.00,1788.00,1797.00,2001500,1779.89
2015-03-05,1752.00,1810.93,1741.00,1801.00,2284100,1783.852
2015-03-04,1773.00,1791.13,1732.00,1788.00,3808800,1727.395
2015-03-03,1814.00,1821.00,1770.00,1770.00,3401100,1710.005
2015-03-02,1830.00,1851.00,1812.00,1813.00,2554300,1751.547
2015-02-27,1819.00,1842.54,1815.00,1830.00,2696300,1767.971
2015-02-26,1821.00,1851.00,1788.00,1827.00,2392300,1765.073
2015-02-25,1830.00,1838.12,1820.00,1826.00,1889700,1764.107
2015-02-24,1824.00,1833.00,1810.00,1828.00,2130400,1766.039
2015-02-23,1849.00,1857.56,1825.00,1829.00,1598400,1767.005
2015-02-20,1828.00,2478.50,1821.00,1835.00,1764800,1772.802
2015-02-19,1843.00,1851.00,1825.35,1832.00,1597300,1769.903
2015-02-18,1812.00,1872.64,1812.00,1847.00,2622200,1784.395
2015-02-17,1824.00,1834.00,1801.00,1811.00,1816300,1749.615
2015-02-16,1810.00,1835.00,1809.54,1826.00,2506000,1764.107
2015-02-13,1846.00,1870.96,1820.00,1820.00,3169000,1758.31
2015-02-12,1784.00,1828.00,1784.00,1820.00,10515300,1758.31
2015-02-11,1780.00,1793.00,1763.00,1784.00,2366000,1723.53
2015-02-10,1760.00,1782.00,1752.00,1782.00,6155300,1721.598
2015-02-09,1710.00,1760.20,1704.00,1756.00,3020700,1696.479
2015-02-06,1740.00,1746.00,1709.00,1724.00,6165500,1665.564
2015-02-05,1768.00,1781.94,1743.00,1747.00,6330000,1687.784
2015-02-04,1749.00,1795.83,1748.00,1779.00,4262500,1718.70
2015-02-03,1726.00,1787.00,1725.00,1746.00,7166200,1686.818
2015-02-02,1610.00,1727.04,1610.00,1718.00,14641000,1659.767
2015-01-30,1616.00,1627.00,1601.86,1603.00,2412600,1548.665
2015-01-29,1613.00,1627.00,1604.00,1612.00,1480000,1557.36
2015-01-28,1631.00,1642.00,1612.00,1620.00,1957800,1565.089
2015-01-27,1660.00,1673.00,1615.00,1624.00,2996300,1568.954
2015-01-26,1676.00,1696.00,1642.00,1663.00,2986300,1606.632
2015-01-23,1616.00,1709.22,1616.00,1680.00,5831500,1623.055
2015-01-22,1606.00,1662.00,1555.00,1639.00,6775200,1583.445
2015-01-21,1569.00,1599.00,1565.00,1598.00,4394200,1543.835
2015-01-20,1567.00,1577.00,1554.00,1568.00,1333100,1514.852
2015-01-19,1507.00,1564.00,1507.00,1557.00,1395500,1504.225
2015-01-16,1485.00,1512.57,1466.40,1508.00,3815600,1456.886
2015-01-15,1502.00,1518.79,1454.00,1495.00,2935300,1444.326
2015-01-14,1504.00,1523.00,1476.00,1486.00,1954300,1435.631
2015-01-13,1520.00,1543.45,1516.00,1528.00,1807600,1476.208
2015-01-12,1536.00,1559.00,1516.00,1527.00,1222900,1475.241
2015-01-09,1546.00,1560.00,1512.00,1523.00,1437700,1471.377
2015-01-08,1521.00,1556.00,1510.20,1552.00,1564700,1499.394
2015-01-07,1490.00,1509.00,1481.14,1496.00,1646000,1445.292
2015-01-06,1500.00,1511.00,1466.81,1471.00,2303300,1421.14
2015-01-05,1522.00,1553.00,1499.00,1503.00,1519400,1452.055
2015-01-02,1576.00,1578.00,1527.65,1542.00,1022500,1489.733
2015-01-01,1544.00,1544.00,1544.00,1544.00,000,1491.665
2014-12-31,1560.00,1560.00,1544.00,1544.00,306900,1491.665
2014-12-30,1535.00,1560.00,1520.00,1528.00,797900,1476.208
2014-12-29,1558.00,1571.00,1530.00,1550.00,1153700,1497.462
2014-12-26,1558.00,1558.00,1558.00,1558.00,000,1505.191
2014-12-25,1558.00,1558.00,1558.00,1558.00,000,1505.191
2014-12-24,1528.00,1566.00,1528.00,1558.00,222600,1505.191
2014-12-23,1529.00,1559.72,1526.00,1559.00,1399900,1506.157
2014-12-22,1540.00,1541.00,1507.88,1512.00,1056400,1460.75
2014-12-19,1558.00,1558.00,1498.00,1523.00,3118900,1471.377
2014-12-18,1487.00,1558.00,1479.00,1533.00,2431500,1481.038
2014-12-17,1470.00,1477.00,1453.00,1467.00,1309400,1417.275
2014-12-16,1416.00,1475.00,1402.00,1475.00,3364200,1425.004
2014-12-15,1440.00,1472.00,1415.28,1421.00,3018200,1372.834
2014-12-12,1481.00,1484.20,1446.09,1448.00,1871000,1398.919
2014-12-11,1488.00,1496.84,1474.00,1491.00,2394200,1440.462
2014-12-10,1504.00,1524.00,1493.00,1495.00,2418300,1444.326
2014-12-09,1540.00,1541.00,1503.42,1504.00,1872100,1453.021
2014-12-08,1571.00,1573.00,1544.00,1544.00,1047800,1491.665
2014-12-05,1593.00,1604.00,1565.00,1579.00,2444800,1525.479
2014-12-04,1543.00,1575.00,1536.00,1555.00,3544700,1502.292
2014-12-03,1524.00,1558.22,1523.00,1535.00,2099800,1482.97
2014-12-02,1516.00,1552.00,1515.00,1530.00,3031300,1478.14
2014-12-01,1494.00,1521.45,1487.00,1517.00,3289500,1465.58
2014-11-28,1493.00,1514.00,1485.00,1511.00,2058200,1459.784
2014-11-27,1481.00,1503.00,1477.00,1503.00,1102200,1452.055
2014-11-26,1494.00,1497.00,1469.00,1479.00,1445100,1428.868
2014-11-25,1479.00,1496.00,1467.00,1491.00,2459500,1440.462
2014-11-24,1463.00,1487.00,1458.00,1479.00,1832600,1428.868
2014-11-21,1430.00,1479.00,1422.00,1463.00,2855300,1413.411
2014-11-20,1405.00,1425.00,1395.49,1419.00,1955000,1370.902
2014-11-19,1367.00,1412.00,1351.00,1408.00,2602200,1360.275
2014-11-18,1362.00,1368.00,1352.00,1367.00,2063300,1320.665
2014-11-17,1347.00,1364.00,1347.00,1354.00,1739400,1308.105
