Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,446.60,449.60,443.40,446.30,2021900,446.30
2016-02-17,431.30,446.10,431.30,444.20,2301300,444.20
2016-02-16,439.80,441.40,429.50,430.60,3370500,430.60
2016-02-15,440.00,445.10,437.10,437.10,1866200,437.10
2016-02-12,428.50,431.50,425.10,431.10,2042900,431.10
2016-02-11,434.50,434.50,422.20,424.90,2703200,424.90
2016-02-10,427.20,443.50,422.40,437.00,3717500,437.00
2016-02-09,425.80,430.90,415.40,422.90,3943200,422.90
2016-02-08,444.00,444.60,424.10,424.10,4159700,424.10
2016-02-05,449.90,455.20,440.10,440.10,3221500,440.10
2016-02-04,465.10,465.10,448.70,448.70,3574800,448.70
2016-02-03,464.20,468.20,457.10,457.90,3747800,457.90
2016-02-02,476.20,476.20,463.10,464.60,2502800,464.60
2016-02-01,475.20,477.20,469.20,476.50,2500000,476.50
2016-01-29,469.00,473.70,462.90,473.70,3445700,473.70
2016-01-28,468.40,472.10,462.688,463.20,3031200,463.20
2016-01-27,458.00,471.20,455.50,471.00,3559300,471.00
2016-01-26,464.30,470.316,452.30,456.50,5161800,456.50
2016-01-25,468.40,471.559,465.10,467.10,3391500,467.10
2016-01-22,455.10,466.10,452.70,464.90,3433100,464.90
2016-01-21,430.90,444.40,430.166,444.40,3808900,444.40
2016-01-20,441.10,442.662,426.90,428.70,3785500,428.70
2016-01-19,449.60,452.30,444.86,449.50,1702700,449.50
2016-01-18,445.00,450.228,414.70,442.10,3025400,442.10
2016-01-15,453.90,460.10,442.90,445.40,3513100,445.40
2016-01-14,465.50,466.66,450.10,454.90,2933900,454.90
2016-01-13,476.60,478.748,467.30,469.60,1789600,469.60
2016-01-12,466.50,477.601,465.30,473.20,2061500,473.20
2016-01-11,462.00,466.70,460.432,463.90,2370200,463.90
2016-01-08,471.90,475.20,463.30,463.30,3143300,463.30
2016-01-07,470.00,473.00,464.40,470.50,3239500,470.50
2016-01-06,488.50,490.80,475.60,480.10,3231700,480.10
2016-01-05,494.50,497.40,487.18,492.70,1267900,492.70
2016-01-04,497.30,506.50,490.80,492.70,2284300,492.70
2015-12-31,495.80,501.00,495.12,500.00,1479500,500.00
2015-12-30,499.80,501.50,495.10,499.20,998400,495.95
2015-12-29,500.00,501.00,495.50,500.00,2335700,496.745
2015-12-24,500.00,500.00,495.322,497.70,590100,494.46
2015-12-23,493.90,499.30,490.80,497.70,1661500,494.46
2015-12-22,489.00,489.90,484.20,489.90,1327900,486.711
2015-12-21,479.00,487.70,476.763,484.00,1998800,480.849
2015-12-18,484.50,487.00,477.10,477.10,2870200,473.994
2015-12-17,493.00,493.00,485.90,488.00,2440300,484.823
2015-12-16,485.00,500.00,480.211,485.10,5121400,481.942
2015-12-15,470.00,478.90,464.40,476.70,3992100,473.596
2015-12-14,471.90,476.10,464.50,464.50,2279900,461.476
2015-12-11,475.30,477.60,465.98,470.60,2500800,467.536
