Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,5695.00,5700.00,5595.00,5620.00,172100,5620.00
2016-02-17,5475.00,5690.00,5470.00,5675.00,206100,5675.00
2016-02-16,5395.00,5495.00,5335.00,5480.00,297400,5480.00
2016-02-15,5410.00,5460.00,5300.00,5385.00,245300,5385.00
2016-02-12,5270.00,5365.00,5230.00,5355.00,372400,5355.00
2016-02-11,5155.00,5280.00,5070.00,5230.00,837600,5230.00
2016-02-10,4848.00,5040.00,4835.00,5015.00,286700,5015.00
2016-02-09,4806.00,4841.00,4654.00,4835.00,413200,4835.00
2016-02-08,5090.00,5095.00,4763.00,4779.00,276200,4779.00
2016-02-05,5210.00,5220.00,5080.00,5085.00,241300,5085.00
2016-02-04,5255.00,5260.00,5165.00,5200.00,216100,5200.00
2016-02-03,5265.00,5300.00,5165.00,5205.00,165300,5205.00
2016-02-02,5385.00,5385.00,5255.00,5295.00,128700,5295.00
2016-02-01,5410.00,5455.00,5315.00,5365.00,189000,5365.00
2016-01-29,5355.00,5430.00,5320.00,5405.00,303000,5405.00
2016-01-28,5215.00,5305.00,5215.00,5270.00,385100,5270.00
2016-01-27,5110.00,5245.00,5110.00,5245.00,264800,5245.00
2016-01-26,5020.00,5140.00,5005.00,5135.00,230000,5135.00
2016-01-25,5055.00,5120.00,5030.00,5085.00,310200,5085.00
2016-01-22,5010.00,5040.00,4975.00,5035.00,376700,5035.00
2016-01-21,4983.00,5010.00,4847.00,4959.00,266300,4959.00
2016-01-20,4971.00,5025.00,4946.00,4973.00,293900,4973.00
2016-01-19,5050.00,5090.00,4990.98,5060.00,297400,5060.00
2016-01-18,5120.00,5150.00,4957.00,5005.00,283200,5005.00
2016-01-15,5245.00,5265.74,5135.00,5140.00,329200,5140.00
2016-01-14,5300.00,5365.00,5205.00,5230.00,242600,5230.00
2016-01-13,5380.00,5402.23,5335.00,5340.00,266200,5340.00
2016-01-12,5360.00,5365.00,5320.00,5320.00,186100,5320.00
2016-01-11,5370.00,5400.00,5315.00,5345.00,309500,5345.00
2016-01-08,5435.00,5475.00,5375.00,5375.00,197600,5375.00
2016-01-07,5435.00,5495.00,5400.00,5410.00,304800,5410.00
2016-01-06,5600.00,5610.00,5490.00,5550.00,344900,5550.00
2016-01-05,5500.00,5610.00,5500.00,5490.00,172300,5490.00
2016-01-04,5615.00,5615.00,5470.00,5490.00,276900,5490.00
2015-12-31,5690.00,5707.40,5655.00,5660.00,48700,5660.00
2015-12-30,5645.00,5700.00,5645.00,5690.00,91700,5690.00
2015-12-29,5665.00,5695.00,5630.00,5670.00,169900,5670.00
2015-12-24,5625.00,5665.00,5610.00,5620.00,14500,5620.00
2015-12-23,5600.00,5650.00,5575.00,5635.00,145600,5635.00
2015-12-22,5550.00,5590.00,5535.00,5575.00,180900,5575.00
2015-12-21,5485.00,5610.00,5485.00,5540.00,224000,5540.00
2015-12-18,5590.00,5610.00,5445.00,5500.00,1783400,5500.00
2015-12-17,5665.00,5685.00,5545.00,5590.00,352000,5590.00
2015-12-16,5675.00,5685.00,5545.00,5615.00,265900,5615.00
2015-12-15,5710.00,5715.00,5630.00,5650.00,211200,5650.00
