Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1838.00,1838.00,1817.50,1826.00,3441200,1803.431
2016-02-17,1811.50,1836.00,1811.50,1832.00,3658800,1809.357
2016-02-16,1817.00,1831.50,1796.50,1811.50,3690000,1789.11
2016-02-15,1775.00,1820.00,1762.50,1809.00,3574600,1786.641
2016-02-12,1754.50,1769.50,1751.97,1758.00,6326200,1736.271
2016-02-11,1771.50,1779.00,1724.50,1745.00,6711600,1723.432
2016-02-10,1797.50,1811.50,1772.00,1782.00,4486400,1759.975
2016-02-09,1791.00,1800.00,1773.00,1783.00,4694000,1760.962
2016-02-08,1806.00,1814.00,1775.00,1782.00,4505700,1759.975
2016-02-05,1836.50,1843.50,1794.50,1796.50,5602800,1774.296
2016-02-04,1879.50,1894.61,1822.00,1828.00,6884600,1805.406
2016-02-03,1909.50,1909.50,1868.00,1869.50,4393000,1846.393
2016-02-02,1907.50,1920.00,1892.25,1906.00,4888100,1882.442
2016-02-01,1889.00,1911.50,1884.50,1910.50,7276600,1886.886
2016-01-29,1875.00,1885.00,1838.75,1884.50,6410700,1861.208
2016-01-28,1853.50,1869.50,1823.00,1841.50,7818100,1818.739
2016-01-27,1871.50,1882.50,1854.00,1867.00,7108900,1843.924
2016-01-26,1826.00,1874.50,1824.00,1872.00,6051000,1848.862
2016-01-25,1857.50,1857.50,1819.50,1841.50,5065600,1818.739
2016-01-22,1842.00,1866.00,1832.00,1857.50,4811700,1834.542
2016-01-21,1787.00,1831.00,1785.00,1827.00,6732900,1804.419
2016-01-20,1803.50,1812.50,1768.00,1777.50,4835800,1755.53
2016-01-19,1806.50,1831.00,1778.04,1828.00,3396200,1805.406
2016-01-18,1791.00,1805.00,1775.00,1779.50,3315600,1757.506
2016-01-15,1804.50,1815.50,1764.00,1791.00,6935900,1768.863
2016-01-14,1832.00,1837.50,1804.81,1810.00,5947600,1787.629
2016-01-13,1837.00,1861.00,1834.00,1851.50,4540400,1828.616
2016-01-12,1809.50,1846.00,1799.00,1837.00,3954200,1814.295
2016-01-11,1810.00,1816.70,1801.00,1805.50,3295900,1783.184
2016-01-08,1810.50,1834.61,1802.50,1810.00,4104400,1787.629
2016-01-07,1802.50,1820.50,1795.37,1800.50,4497300,1778.246
2016-01-06,1841.00,1842.50,1823.50,1841.00,3234300,1818.246
2016-01-05,1829.00,1850.50,1821.00,1846.00,3491600,1823.184
2016-01-04,1850.00,1850.00,1805.31,1817.00,3236800,1794.542
2015-12-31,1878.00,1885.50,1853.00,1856.50,1128800,1833.554
2015-12-30,1875.00,1890.50,1868.37,1880.00,2011400,1856.763
2015-12-29,1853.00,1880.00,1845.48,1880.00,2883400,1856.763
2015-12-28,1856.50,1856.50,1856.50,1856.50,000,1833.554
2015-12-25,1856.50,1856.50,1856.50,1856.50,000,1833.554
2015-12-24,1873.00,1874.00,1841.50,1856.50,624400,1833.554
2015-12-23,1824.50,1856.50,1821.50,1853.00,3281400,1830.097
2015-12-22,1801.50,1809.50,1792.00,1805.00,3246200,1782.69
2015-12-21,1799.50,1831.90,1799.50,1805.00,2307800,1782.69
2015-12-18,1822.00,1830.50,1803.00,1807.50,5634200,1785.16
2015-12-17,1861.50,1862.00,1831.50,1833.50,4034200,1810.838
2015-12-16,1816.00,1844.50,1809.00,1831.50,4000200,1808.863
2015-12-15,1806.00,1826.00,1796.00,1820.50,4093800,1797.999
2015-12-14,1809.50,1829.50,1796.00,1796.00,4441300,1773.802
2015-12-11,1833.00,1838.00,1801.50,1806.50,4207700,1784.172
2015-12-10,1846.00,1846.00,1826.50,1832.00,3406500,1809.357
2015-12-09,1883.50,1883.50,1852.00,1852.00,3203300,1829.11
2015-12-08,1902.00,1908.63,1872.00,1873.00,2635100,1849.85
2015-12-07,1897.00,1918.00,1890.94,1900.50,2256600,1877.01
2015-12-04,1893.00,1897.00,1883.50,1891.00,2901900,1867.628
2015-12-03,1938.00,1950.19,1893.50,1900.00,4880400,1876.516
2015-12-02,1916.50,1948.50,1915.50,1944.50,2885600,1920.466
2015-12-01,1920.50,1924.50,1902.00,1912.50,2599900,1888.862
2015-11-30,1920.00,1931.00,1909.87,1910.00,3231800,1886.393
2015-11-27,1915.50,1935.31,1909.00,1924.50,1952800,1900.713
2015-11-26,1921.00,1930.00,1915.00,1925.50,1953900,1901.701
2015-11-25,1901.00,1928.00,1901.00,1925.50,3178000,1901.701
2015-11-24,1914.50,1914.50,1881.00,1894.00,3026600,1870.59
2015-11-23,1923.50,1923.50,1905.00,1913.00,2469700,1889.356
2015-11-20,1922.00,1935.00,1914.19,1928.00,4862900,1904.17
2015-11-19,1895.00,1912.50,1886.50,1902.50,3034700,1878.985
2015-11-18,1880.50,1887.50,1871.50,1885.50,2166500,1862.195
2015-11-17,1868.00,1888.00,1857.50,1888.00,3109400,1864.665
2015-11-16,1838.00,1856.00,1834.00,1847.00,2981800,1824.171
2015-11-13,1884.00,1884.00,1843.00,1848.50,3287400,1825.653
2015-11-12,1905.00,1919.50,1883.00,1883.00,4231200,1859.726
2015-11-11,1879.00,1911.31,1877.00,1899.50,3565700,1876.022
2015-11-10,1876.00,1877.00,1850.00,1872.00,3611700,1848.862
2015-11-09,1884.00,1886.50,1860.87,1865.50,2568400,1842.443
2015-11-06,1902.00,1908.00,1880.50,1882.50,3799200,1859.233
2015-11-05,1891.50,1908.00,1890.00,1897.00,3047600,1873.553
