Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,376.50,378.00,373.20,375.60,3623900,375.60
2016-02-17,365.70,376.20,363.10,376.00,3609800,376.00
2016-02-16,367.20,367.95,361.80,365.80,2595800,365.80
2016-02-15,363.10,368.60,362.90,364.00,4195300,364.00
2016-02-12,352.10,357.90,349.00,357.80,4871400,357.80
2016-02-11,354.10,354.10,343.30,350.10,5420200,350.10
2016-02-10,351.80,361.60,349.40,355.80,3876300,355.80
2016-02-09,351.50,354.50,345.80,349.20,4915100,349.20
2016-02-08,363.40,365.40,349.102,350.70,4412900,350.70
2016-02-05,372.90,373.50,362.00,362.00,5545100,362.00
2016-02-04,376.90,377.60,369.30,371.50,3376800,371.50
2016-02-03,375.40,380.00,371.80,373.10,5643000,373.10
2016-02-02,378.50,380.40,375.70,376.90,6725600,376.90
2016-02-01,376.00,380.40,373.484,379.50,4923800,379.50
2016-01-29,373.10,376.00,369.80,374.60,5354200,374.60
2016-01-28,375.60,378.20,367.80,368.60,5380500,368.60
2016-01-27,369.20,377.50,368.30,377.50,4586000,377.50
2016-01-26,366.30,370.70,363.70,369.40,4329400,369.40
2016-01-25,370.10,370.50,367.20,369.80,3784200,369.80
2016-01-22,364.40,367.00,360.70,366.20,4778900,366.20
2016-01-21,360.40,362.20,354.70,359.60,5876900,359.60
2016-01-20,365.20,368.80,358.10,359.90,6449400,359.90
2016-01-19,372.20,373.673,368.30,371.60,5679400,371.60
2016-01-18,368.10,371.40,366.90,369.10,4823000,369.10
2016-01-15,367.40,372.20,365.80,369.60,8370400,369.60
2016-01-14,367.50,370.60,364.20,368.50,5159300,368.50
2016-01-13,371.90,376.20,371.30,372.60,5060200,372.60
2016-01-12,365.00,371.30,364.10,371.30,8306100,371.30
2016-01-11,363.00,367.10,361.80,362.20,5829200,362.20
2016-01-08,369.50,372.20,363.40,364.60,5358100,364.60
2016-01-07,370.10,373.00,367.70,371.50,8589700,371.50
2016-01-06,383.20,383.90,375.50,376.50,8668100,376.50
2016-01-05,395.90,397.80,383.50,392.60,5341500,392.60
2016-01-04,404.50,404.50,390.70,392.60,10832200,392.60
2015-12-31,413.70,413.90,405.00,407.50,2158700,407.50
2015-12-30,410.80,414.90,407.40,412.80,3696700,412.80
2015-12-29,413.10,413.80,400.40,412.00,4722400,412.00
2015-12-24,410.50,411.90,408.65,410.70,252700,410.70
2015-12-23,408.60,409.10,403.00,409.00,2566000,409.00
2015-12-22,407.20,407.80,402.60,405.50,2443400,405.50
2015-12-21,404.00,408.10,402.20,404.60,4310500,404.60
2015-12-18,405.30,408.20,402.60,404.80,6927600,404.80
2015-12-17,415.20,418.90,407.90,407.90,5023900,407.90
2015-12-16,410.50,411.50,406.40,409.50,4940800,409.50
2015-12-15,402.70,412.20,401.90,410.00,5928600,410.00
2015-12-14,400.00,403.20,399.20,400.40,9474400,400.40
2015-12-11,403.80,404.80,396.40,399.00,6450600,399.00
2015-12-10,403.20,406.10,399.848,405.00,3935800,405.00
2015-12-09,404.80,407.50,404.10,405.50,4962300,405.50
2015-12-08,407.90,409.70,404.10,405.90,2945600,405.90
2015-12-07,411.20,413.30,408.60,409.00,3038800,409.00
2015-12-04,407.60,409.50,404.04,409.50,3852500,409.50
2015-12-03,412.60,414.70,405.80,407.70,4868200,407.70
2015-12-02,415.30,415.80,413.10,413.40,2592700,413.40
2015-12-01,413.50,414.80,411.16,414.30,3598300,414.30
2015-11-30,407.60,411.80,405.20,411.80,7212200,411.80
2015-11-27,404.50,409.40,402.90,408.20,2127100,408.20
2015-11-26,408.50,409.30,405.80,406.60,1627100,406.60
2015-11-25,404.70,410.20,404.30,407.10,3756400,407.10
2015-11-24,398.90,403.00,394.84,402.80,5438200,402.80
2015-11-23,398.50,401.53,398.50,399.40,3975100,399.40
2015-11-20,406.70,406.70,401.30,401.60,4438900,401.60
2015-11-19,407.60,410.20,405.50,406.00,3917000,406.00
