Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1165.00,1172.00,1155.00,1160.00,1319300,1160.00
2016-02-17,1129.00,1162.00,1129.00,1162.00,1448300,1162.00
2016-02-16,1124.00,1129.00,1111.00,1126.00,1522800,1126.00
2016-02-15,1118.00,1130.00,1113.00,1119.00,1308400,1119.00
2016-02-12,1081.00,1102.00,1077.36,1102.00,2077100,1102.00
2016-02-11,1098.00,1098.00,1064.00,1073.00,2180400,1073.00
2016-02-10,1098.00,1112.00,1084.00,1107.00,2109000,1107.00
2016-02-09,1116.00,1121.00,1084.00,1094.00,3081700,1094.00
2016-02-08,1171.00,1172.00,1107.00,1112.00,2489500,1112.00
2016-02-05,1164.00,1179.00,1158.93,1162.00,2120000,1162.00
2016-02-04,1170.00,1173.00,1146.00,1162.00,2224700,1162.00
2016-02-03,1162.00,1173.00,1148.00,1156.00,1913100,1156.00
2016-02-02,1179.00,1185.00,1163.00,1170.00,1863400,1170.00
2016-02-01,1190.00,1198.00,1171.00,1176.00,2244400,1176.00
2016-01-29,1178.00,1190.00,1171.00,1190.00,3845400,1190.00
2016-01-28,1152.00,1164.00,1146.05,1154.00,1526800,1154.00
2016-01-27,1151.00,1161.00,1144.64,1161.00,1797100,1161.00
2016-01-26,1145.00,1155.00,1137.61,1153.00,1892600,1153.00
2016-01-25,1163.00,1167.00,1153.00,1159.00,2042800,1159.00
2016-01-22,1144.00,1156.00,1128.00,1151.00,2214600,1151.00
2016-01-21,1105.00,1127.00,1105.00,1123.00,3268900,1123.00
2016-01-20,1123.00,1130.00,1100.34,1105.00,3355400,1105.00
2016-01-19,1141.00,1159.00,1135.00,1152.00,2143200,1152.00
2016-01-18,1129.00,1143.00,1118.00,1122.00,1834500,1122.00
2016-01-15,1157.00,1189.00,1118.00,1129.00,4095000,1129.00
2016-01-14,1129.00,1136.28,1106.00,1132.00,2480500,1132.00
2016-01-13,1143.00,1147.62,1137.00,1143.00,2674000,1143.00
2016-01-12,1107.00,1138.00,1101.00,1133.00,2255500,1133.00
2016-01-11,1110.00,1112.00,1096.00,1101.00,2622900,1101.00
2016-01-08,1125.00,1141.00,1110.00,1111.00,2117100,1111.00
2016-01-07,1120.00,1133.00,1104.00,1124.00,2413900,1124.00
2016-01-06,1151.00,1152.00,1136.00,1146.00,1403200,1146.00
2016-01-05,1161.00,1172.00,1141.00,1156.00,1478900,1156.00
2016-01-04,1199.00,1199.00,1152.00,1157.00,1994100,1157.00
2015-12-31,1207.00,1210.00,1194.00,1201.00,692100,1201.00
2015-12-30,1218.00,1224.00,1215.00,1222.00,923200,1213.398
2015-12-29,1221.00,1223.00,1178.00,1223.00,1121200,1201.979
2015-12-28,1204.00,1204.00,1204.00,1204.00,000,1183.306
2015-12-25,1204.00,1204.00,1204.00,1204.00,000,1183.306
2015-12-24,1197.00,1206.00,1192.20,1204.00,229400,1183.306
2015-12-23,1181.00,1199.00,1181.00,1198.00,1404700,1177.409
2015-12-22,1167.00,1183.97,1167.00,1175.00,1455300,1154.804
2015-12-21,1163.00,1176.60,1160.00,1161.00,1276500,1141.045
2015-12-18,1160.00,1171.00,1158.06,1166.00,3215400,1145.959
2015-12-17,1172.00,1174.00,1160.00,1168.00,2098100,1147.925
2015-12-16,1154.00,1161.00,1147.00,1150.00,2173400,1130.234
2015-12-15,1138.00,1159.00,1133.00,1154.00,2443700,1134.165
2015-12-14,1154.00,1156.20,1121.00,1121.00,3503800,1101.732
2015-12-11,1170.00,1177.00,1154.00,1155.00,1701400,1135.148
2015-12-10,1176.00,1181.00,1168.00,1174.00,1302200,1153.821
2015-12-09,1191.00,1197.00,1176.00,1178.00,2052600,1157.753
2015-12-08,1214.00,1220.00,1187.00,1191.00,1575000,1170.529
2015-12-07,1216.00,1226.00,1210.00,1212.00,1530200,1191.168
2015-12-04,1203.00,1211.00,1192.00,1207.00,1694800,1186.254
2015-12-03,1252.00,1257.00,1202.00,1203.00,2643600,1182.323
2015-12-02,1238.00,1260.00,1234.00,1254.00,1950300,1232.446
2015-12-01,1235.00,1240.22,1225.00,1233.00,1852400,1211.807
2015-11-30,1223.00,1242.00,1219.00,1231.00,3230100,1209.842
2015-11-27,1214.00,1228.50,1210.00,1222.00,1969400,1200.996
2015-11-26,1209.00,1219.00,1208.00,1217.00,1015500,1196.082
2015-11-25,1198.00,1212.00,1194.00,1209.00,1777600,1188.22
2015-11-24,1206.00,1206.00,1187.00,1191.00,2349500,1170.529
2015-11-23,1207.00,1208.88,1195.00,1204.00,1617000,1183.306
2015-11-20,1217.00,1217.00,1198.00,1216.00,1967500,1195.10
2015-11-19,1197.00,1221.00,1194.00,1217.00,2217100,1196.082
2015-11-18,1191.00,1197.00,1182.00,1193.00,1459300,1172.495
2015-11-17,1199.00,1203.00,1191.00,1193.00,1834800,1172.495
2015-11-16,1165.00,1188.22,1165.00,1185.00,2167200,1164.632
2015-11-13,1189.00,1191.00,1167.00,1179.00,2284900,1158.736
2015-11-12,1210.00,1223.00,1193.00,1193.00,2930300,1172.495
2015-11-11,1193.00,1234.00,1191.00,1214.00,3561600,1193.134
2015-11-10,1135.00,1190.00,1128.00,1187.00,3755200,1166.598
2015-11-09,1119.00,1123.00,1102.00,1104.00,1442600,1085.025
2015-11-06,1114.00,1122.00,1103.00,1115.00,2396500,1095.836
2015-11-05,1141.00,1144.00,1113.00,1113.00,2377800,1093.87
2015-11-04,1131.00,1147.00,1128.00,1144.00,1884700,1124.337
2015-11-03,1118.00,1126.00,1114.00,1126.00,1129300,1106.646
2015-11-02,1103.00,1118.00,1099.00,1114.00,1445700,1094.853
2015-10-30,1120.00,1124.00,1105.00,1108.00,1592900,1088.956
2015-10-29,1132.00,1132.00,1107.00,1116.00,2425600,1096.818
2015-10-28,1113.00,1130.00,1108.00,1127.00,1338500,1107.629
2015-10-27,1120.00,1122.00,1111.00,1111.00,1164300,1091.904
2015-10-26,1121.00,1127.00,1114.00,1118.00,1264800,1098.784
2015-10-23,1107.00,1143.00,1107.00,1127.00,2232400,1107.629
2015-10-22,1099.00,1106.00,1085.00,1102.00,2079400,1083.059
2015-10-21,1092.00,1107.00,1089.00,1105.00,1441100,1086.007
2015-10-20,1098.00,1098.00,1079.00,1090.00,1647000,1071.265
2015-10-19,1087.00,1100.00,1085.00,1093.00,1288600,1074.214
2015-10-16,1093.00,1100.00,1082.00,1086.00,1655800,1067.334
2015-10-15,1090.00,1096.00,1087.00,1092.00,1131600,1073.231
2015-10-14,1081.00,1088.00,1070.78,1085.00,3045600,1066.351
2015-10-13,1100.00,1106.00,1084.00,1085.00,2281300,1066.351
2015-10-12,1102.00,1116.00,1100.00,1104.00,1345000,1085.025
2015-10-09,1102.00,1113.00,1095.00,1106.00,1428300,1086.99
2015-10-08,1087.00,1096.00,1076.00,1094.00,1628400,1075.197
2015-10-07,1087.00,1103.00,1080.00,1084.00,3426300,1065.368
2015-10-06,1073.00,1081.00,1066.24,1076.00,1947000,1057.506
2015-10-05,1055.00,1072.00,1049.87,1072.00,2662800,1053.575
2015-10-02,1048.00,1048.00,1017.00,1034.00,6017900,1016.228
2015-10-01,1073.00,1086.00,1068.00,1075.00,2387600,1056.523
2015-09-30,1049.00,1061.00,1048.00,1058.00,2299200,1039.815
2015-09-29,1025.00,1040.00,1020.00,1031.00,1793600,1013.279
2015-09-28,1057.00,1059.00,1037.00,1037.00,2318200,1019.176
2015-09-25,1040.00,1065.00,1040.00,1061.00,2074700,1042.764
2015-09-24,1033.00,1039.00,1021.00,1022.00,2191100,1004.434
2015-09-23,1029.00,1053.00,1029.00,1035.00,2358000,1017.211
2015-09-22,1055.00,1056.00,1026.00,1031.00,2525600,1013.279
2015-09-21,1051.00,1069.78,1051.00,1058.00,2075300,1039.815
2015-09-18,1066.00,1067.00,1044.00,1055.00,4432200,1036.867
2015-09-17,1070.00,1072.56,1060.00,1064.00,4112200,1045.712
2015-09-16,1057.00,1072.00,1057.00,1070.00,1973300,1051.609
2015-09-15,1045.00,1054.00,1030.00,1053.00,2980400,1034.901
2015-09-14,1048.00,1057.00,1035.00,1035.00,2310100,1017.211
2015-09-11,1062.00,1065.00,1040.00,1045.00,1696700,1027.039
2015-09-10,1066.00,1067.00,1057.00,1059.00,2978200,1040.798
2015-09-09,1085.00,1086.00,1073.00,1075.00,1879000,1056.523
2015-09-08,1062.00,1081.00,1062.00,1062.00,2027800,1043.747
2015-09-07,1061.00,1067.40,1055.00,1060.00,1468700,1041.781
2015-09-04,1087.00,1090.00,1051.00,1052.00,3989100,1033.918
2015-09-03,1087.00,1100.00,1081.00,1096.00,2673600,1077.162
2015-09-02,1078.00,1092.00,1062.00,1075.00,2419500,1056.523
2015-09-01,1088.00,1101.00,1070.00,1075.00,2885200,1056.523
2015-08-31,1109.00,1109.00,1109.00,1109.00,000,1089.939
2015-08-28,1093.00,1109.00,1082.00,1109.00,2598700,1089.939
2015-08-27,1087.00,1096.00,1078.00,1091.00,2248200,1072.248
2015-08-26,1076.00,1078.00,1059.00,1064.00,3106400,1045.712
2015-08-25,1067.00,1093.00,1058.00,1088.00,3275800,1069.30
2015-08-24,1064.00,1075.00,1024.00,1049.00,3742500,1030.97
2015-08-21,1107.00,1118.75,1090.00,1090.00,1967800,1071.265
2015-08-20,1124.00,1128.42,1119.74,1122.00,2064400,1102.715
2015-08-19,1154.00,1154.00,1130.00,1130.00,1674200,1110.578
2015-08-18,1161.00,1163.00,1155.00,1158.00,1817400,1138.096
2015-08-17,1169.00,1170.00,1153.00,1162.00,1478500,1142.028
2015-08-14,1160.00,1166.00,1153.00,1160.00,1632500,1140.062
2015-08-13,1169.00,1173.00,1157.00,1157.00,1798900,1137.114
2015-08-12,1166.00,1184.44,1148.00,1155.00,2249500,1135.148
2015-08-11,1191.00,1196.00,1174.00,1174.00,1711500,1153.821
2015-08-10,1200.00,1200.00,1178.00,1197.00,1085500,1176.426
2015-08-07,1200.00,1205.00,1191.00,1191.00,1121300,1170.529
2015-08-06,1212.00,1216.00,1197.00,1199.00,1010000,1178.392
2015-08-05,1204.00,1218.00,1195.00,1216.00,1362300,1195.10
2015-08-04,1201.00,1208.00,1193.50,1203.00,3075200,1182.323
2015-08-03,1195.00,1208.00,1193.50,1204.00,1239200,1183.306
2015-07-31,1184.00,1203.00,1181.75,1201.00,1796100,1180.357
2015-07-30,1186.00,1192.15,1163.00,1176.00,1827700,1155.787
2015-07-29,1161.00,1182.00,1161.00,1180.00,2119800,1159.718
2015-07-28,1152.00,1157.00,1144.75,1155.00,2651700,1135.148
2015-07-27,1183.00,1183.00,1149.00,1149.00,2445800,1129.251
2015-07-24,1182.00,1197.00,1181.00,1185.00,2514100,1164.632
2015-07-23,1188.00,1198.00,1177.76,1184.00,2207600,1163.65
2015-07-22,1210.00,1212.00,1179.00,1182.00,3548600,1161.684
2015-07-21,1229.00,1231.00,1212.00,1218.00,1857300,1197.065
2015-07-20,1201.00,1231.00,1200.75,1225.00,1735000,1203.945
2015-07-17,1218.00,1222.00,1207.00,1222.00,1827500,1200.996
2015-07-16,1202.00,1220.36,1201.00,1217.00,1522500,1196.082
2015-07-15,1203.00,1204.00,1198.00,1202.00,1795200,1181.34
2015-07-14,1207.00,1211.00,1195.00,1200.00,1197600,1179.375
2015-07-13,1199.00,1206.00,1193.00,1204.00,1915500,1183.306
2015-07-10,1170.00,1194.00,1167.00,1190.00,2712300,1169.546
2015-07-09,1132.00,1158.00,1129.00,1157.00,2533000,1137.114
2015-07-08,1144.00,1144.00,1128.00,1129.00,2774700,1109.595
2015-07-07,1150.00,1152.00,1136.00,1139.00,2822300,1119.423
2015-07-06,1160.00,1164.00,1147.00,1151.00,2139000,1131.217
2015-07-03,1180.00,1186.00,1169.00,1171.00,1390900,1150.873
2015-07-02,1176.00,1182.00,1170.65,1178.00,3238400,1157.753
2015-07-01,1168.00,1189.00,1167.00,1177.00,2683600,1156.77
2015-06-30,1169.00,1172.64,1157.00,1159.00,2493800,1139.079
2015-06-29,1159.00,1185.00,1155.00,1175.00,2823200,1154.804
2015-06-26,1197.00,1201.00,1184.00,1193.00,2218500,1172.495
2015-06-25,1194.00,1207.00,1186.00,1204.00,2442900,1183.306
2015-06-24,1216.00,1220.00,1204.00,1210.00,3679700,1172.196
2015-06-23,1224.00,1229.00,1212.35,1218.00,1781200,1179.946
2015-06-22,1206.00,1220.00,1198.64,1218.00,3251700,1179.946
2015-06-19,1185.00,1194.00,1182.00,1187.00,3250900,1149.914
2015-06-18,1177.00,1183.00,1172.00,1181.00,2405600,1144.102
2015-06-17,1219.00,1230.00,1179.00,1179.00,2861400,1142.164
2015-06-16,1208.00,1217.00,1196.35,1214.00,1618800,1176.071
2015-06-15,1223.00,1223.00,1208.00,1210.00,1796700,1172.196
2015-06-12,1230.00,1243.00,1225.00,1229.00,1666400,1190.602
2015-06-11,1226.00,1238.00,1226.00,1236.00,1761900,1197.383
2015-06-10,1215.00,1232.00,1214.00,1230.00,2728100,1191.571
2015-06-09,1219.00,1224.00,1209.00,1218.00,2424100,1179.946
2015-06-08,1204.00,1226.00,1203.00,1218.00,2186300,1179.946
2015-06-05,1214.00,1214.00,1189.00,1207.00,2585100,1169.289
2015-06-04,1232.00,1238.00,1224.00,1224.00,2723200,1185.758
2015-06-03,1229.00,1238.00,1223.00,1233.00,2181800,1194.477
2015-06-02,1246.00,1247.00,1226.00,1226.00,2501800,1187.696
2015-06-01,1248.00,1261.00,1237.00,1238.00,2693800,1199.321
2015-05-29,1255.00,1264.00,1241.00,1246.00,2331200,1207.071
2015-05-28,1239.00,1256.00,1239.00,1255.00,2705900,1215.79
2015-05-27,1236.00,1243.00,1231.00,1239.00,2496000,1200.29
2015-05-26,1250.00,1253.00,1230.00,1235.00,2035100,1196.415
2015-05-25,1247.00,1247.00,1247.00,1247.00,000,1208.04
2015-05-22,1249.00,1249.00,1240.00,1247.00,3175500,1208.04
2015-05-21,1246.00,1249.00,1240.00,1244.00,2333300,1205.133
2015-05-20,1251.00,1255.00,1240.00,1248.00,2209700,1209.008
2015-05-19,1234.00,1255.00,1230.00,1250.00,2114600,1210.946
2015-05-18,1231.00,1231.26,1218.00,1225.00,2242700,1186.727
2015-05-15,1230.00,1232.00,1218.00,1226.00,2625100,1187.696
2015-05-14,1218.00,1235.00,1204.95,1225.00,3242200,1186.727
2015-05-13,1216.00,1225.00,1204.00,1218.00,2893400,1179.946
2015-05-12,1179.00,1217.00,1156.00,1214.00,4108600,1176.071
2015-05-11,1158.00,1177.00,1157.50,1177.00,2607600,1140.227
2015-05-08,1150.00,1164.00,1148.00,1156.00,3406300,1119.883
2015-05-07,1141.00,1145.00,1119.00,1137.00,2388600,1101.476
2015-05-06,1146.00,1153.00,1143.00,1146.00,2394700,1110.195
2015-05-05,1171.00,1182.00,1150.00,1150.00,1414600,1114.07
2015-05-04,1161.00,1161.00,1161.00,1161.00,000,1124.727
2015-05-01,1156.00,1165.00,1150.00,1161.00,851100,1124.727
2015-04-30,1171.00,1171.25,1144.50,1168.00,2717200,1131.508
2015-04-29,1197.00,1199.00,1170.00,1171.00,1875100,1134.414
2015-04-28,1195.00,1202.50,1183.00,1189.00,3100000,1151.852
2015-04-27,1192.00,1198.00,1170.00,1197.00,2042100,1159.602
2015-04-24,1202.00,1212.00,1185.00,1190.00,4657500,1152.821
2015-04-23,1190.00,1217.00,1190.00,1204.00,2619700,1166.383
2015-04-22,1208.00,1213.00,1189.00,1192.00,1838900,1154.758
2015-04-21,1193.00,1209.00,1192.00,1203.00,2016600,1165.414
2015-04-20,1182.00,1195.00,1182.00,1190.00,1800500,1152.821
2015-04-17,1175.00,1190.25,1169.00,1181.00,2408900,1144.102
2015-04-16,1193.00,1193.00,1174.00,1180.00,5745000,1143.133
2015-04-15,1180.00,1188.25,1164.25,1187.00,1709700,1149.914
2015-04-14,1172.00,1187.00,1172.00,1180.00,1597900,1143.133
2015-04-13,1190.00,1193.00,1173.50,1177.00,560700,1140.227
2015-04-10,1181.00,1195.00,1181.00,1193.00,1675500,1155.727
2015-04-09,1190.00,1193.00,1177.50,1182.00,1578500,1145.071
2015-04-08,1178.00,1190.00,1174.00,1181.00,2853200,1144.102
2015-04-07,1137.00,1156.00,1132.00,1150.00,1952200,1114.07
2015-04-06,1130.00,1130.00,1130.00,1130.00,000,1094.695
2015-04-03,1130.00,1130.00,1130.00,1130.00,000,1094.695
2015-04-02,1120.00,1131.00,1108.00,1130.00,1708400,1094.695
2015-04-01,1116.00,1127.00,1096.00,1121.00,2495400,1085.976
2015-03-31,1124.00,1140.22,1117.00,1117.00,3509300,1082.101
2015-03-30,1136.00,1136.00,1115.00,1121.00,2910300,1085.976
2015-03-27,1129.00,1134.00,1124.00,1125.00,2681900,1089.851
2015-03-26,1137.00,1149.00,1127.00,1131.00,2640700,1095.664
2015-03-25,1155.00,1156.00,1135.00,1141.00,1702200,1105.352
2015-03-24,1148.00,1165.00,1143.00,1156.00,2862000,1119.883
2015-03-23,1147.00,1157.00,1141.00,1148.00,1769900,1112.133
2015-03-20,1129.00,1149.00,1129.00,1143.00,2223800,1107.289
2015-03-19,1139.00,1154.00,1125.00,1130.00,2849100,1094.695
2015-03-18,1129.00,1139.00,1119.90,1137.00,2606600,1101.476
2015-03-17,1116.00,1131.00,1107.90,1128.00,2207100,1092.758
2015-03-16,1137.00,1137.00,1100.00,1115.00,3496900,1080.164
2015-03-13,1148.00,1151.00,1128.00,1130.00,2296800,1094.695
2015-03-12,1147.00,1157.36,1134.00,1142.00,2343200,1106.32
2015-03-11,1150.00,1150.00,1135.00,1139.00,2535400,1103.414
2015-03-10,1160.00,1162.00,1133.00,1134.00,2566300,1098.57
2015-03-09,1183.00,1188.00,1158.00,1160.00,1598700,1123.758
2015-03-06,1190.00,1195.00,1180.00,1187.00,953400,1149.914
2015-03-05,1173.00,1195.00,1173.00,1194.00,1132500,1156.696
2015-03-04,1183.00,1183.00,1161.00,1174.00,1804800,1137.32
2015-03-03,1208.00,1211.00,1180.00,1180.00,1259400,1143.133
2015-03-02,1195.00,1212.00,1195.00,1203.00,1577200,1165.414
2015-02-27,1201.00,1216.00,1195.00,1198.00,1446700,1160.571
2015-02-26,1180.00,1201.00,1175.00,1198.00,1249900,1160.571
2015-02-25,1191.00,1197.00,1176.00,1180.00,1506900,1143.133
2015-02-24,1205.00,1206.00,1193.00,1196.00,943400,1158.633
2015-02-23,1196.00,1202.00,1193.00,1199.00,1242200,1161.539
2015-02-20,1193.00,1194.00,1187.00,1190.00,1829100,1152.821
2015-02-19,1192.00,1199.00,1186.00,1192.00,1847400,1154.758
2015-02-18,1181.00,1190.00,1174.00,1190.00,1557400,1152.821
2015-02-17,1179.00,1193.00,1169.00,1181.00,1888300,1144.102
2015-02-16,1196.00,1203.00,1180.00,1181.00,1267600,1144.102
2015-02-13,1204.00,1206.00,1195.00,1198.00,1541900,1160.571
2015-02-12,1187.00,1199.00,1186.73,1199.00,1479100,1161.539
2015-02-11,1187.00,1202.00,1180.00,1190.00,2176500,1152.821
2015-02-10,1184.00,1206.00,1181.00,1187.00,2123300,1149.914
2015-02-09,1188.00,1191.00,1170.00,1185.00,1781500,1147.977
2015-02-06,1194.00,1201.00,1187.85,1190.00,1609800,1152.821
2015-02-05,1180.00,1195.00,1179.00,1194.00,1652200,1156.696
2015-02-04,1187.00,1189.00,1174.47,1185.00,2120500,1147.977
2015-02-03,1168.00,1192.00,1163.00,1185.00,2266900,1147.977
2015-02-02,1171.00,1176.41,1157.00,1168.00,1974300,1131.508
2015-01-30,1188.00,1194.00,1159.00,1173.00,3300300,1136.352
2015-01-29,1182.00,1206.00,1179.00,1183.00,3300800,1146.039
2015-01-28,1178.00,1222.00,1176.75,1184.00,3216700,1147.008
2015-01-27,1177.00,1187.00,1155.00,1165.00,1736000,1128.602
2015-01-26,1157.00,1183.00,1153.00,1181.00,1810600,1144.102
2015-01-23,1146.00,1164.00,1146.00,1162.00,2245300,1125.695
2015-01-22,1168.00,1168.00,1156.00,1163.00,2733700,1126.664
2015-01-21,1167.00,1173.00,1159.00,1162.00,2207700,1125.695
2015-01-20,1160.00,1173.00,1145.64,1169.00,2790500,1132.477
2015-01-19,1143.00,1157.00,1136.85,1155.00,2386500,1118.914
2015-01-16,1118.00,1167.00,1109.22,1145.00,3642600,1109.227
2015-01-15,1070.00,1122.00,1070.00,1121.00,4071500,1085.976
2015-01-14,1074.00,1086.00,1058.00,1065.00,2866900,1031.726
2015-01-13,1083.00,1093.00,1080.00,1087.00,1677700,1053.039
2015-01-12,1096.00,1101.00,1082.00,1090.00,1822700,1055.945
2015-01-09,1091.00,1105.00,1086.00,1093.00,2199300,1058.851
2015-01-08,1081.00,1092.00,1077.64,1091.00,1720000,1056.914
2015-01-07,1052.00,1073.00,1046.00,1071.00,2504700,1037.539
2015-01-06,1070.00,1071.00,1044.00,1046.00,3718100,1013.32
2015-01-05,1093.00,1109.00,1068.00,1071.00,2100300,1037.539
2015-01-02,1109.00,1114.00,1086.00,1095.00,1971700,1060.789
2015-01-01,1088.00,1088.00,1088.00,1088.00,000,1046.159
2014-12-31,1088.00,1095.00,1085.88,1088.00,376200,1046.159
2014-12-30,1101.00,1105.00,1082.00,1088.00,1775000,1046.159
2014-12-29,1105.00,1106.00,1095.00,1103.00,2012600,1060.582
