Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1567.00,1582.00,1551.00,1562.00,2222700,1506.48
2016-02-17,1540.00,1564.00,1528.00,1555.00,1559700,1499.729
2016-02-16,1512.00,1538.00,1507.00,1538.00,1272900,1483.333
2016-02-15,1506.00,1524.00,1502.00,1508.00,1112900,1454.40
2016-02-12,1472.00,1492.00,1462.00,1486.00,1752800,1433.181
2016-02-11,1500.00,1512.50,1458.00,1462.00,1475100,1410.035
2016-02-10,1515.00,1537.00,1491.00,1514.00,1333900,1460.186
2016-02-09,1468.00,1513.00,1464.00,1502.00,2879700,1448.613
2016-02-08,1530.00,1536.00,1466.00,1469.00,2671400,1416.786
2016-02-05,1535.00,1578.00,1521.00,1521.00,1962800,1466.937
2016-02-04,1570.00,1572.00,1513.00,1532.00,1553100,1477.546
2016-02-03,1587.00,1594.00,1543.00,1551.00,1793800,1495.871
2016-02-02,1599.00,1607.00,1574.00,1587.00,1658700,1530.592
2016-02-01,1552.00,1601.00,1541.00,1601.00,2062000,1544.094
2016-01-29,1548.00,1564.00,1513.00,1548.00,2436300,1492.978
2016-01-28,1564.00,1573.00,1506.00,1526.00,2691600,1471.76
2016-01-27,1594.00,1605.00,1561.00,1573.00,2878700,1517.089
2016-01-26,1582.00,1634.00,1561.00,1579.00,4341300,1522.876
2016-01-25,1651.00,1668.00,1620.00,1631.00,1496400,1573.028
2016-01-22,1650.00,1653.00,1622.00,1640.00,1788200,1581.708
2016-01-21,1630.00,1646.00,1610.00,1630.00,1459400,1572.063
2016-01-20,1604.00,1628.00,1586.00,1621.00,1604900,1563.383
2016-01-19,1619.00,1647.68,1619.00,1632.00,851200,1573.992
2016-01-18,1605.00,1632.00,1585.30,1601.00,945600,1544.094
2016-01-15,1644.00,1657.00,1593.00,1612.00,1327400,1554.703
2016-01-14,1672.00,1672.00,1601.74,1642.00,2313300,1583.637
2016-01-13,1735.00,1735.50,1686.00,1690.00,1346100,1629.93
2016-01-12,1721.00,1745.00,1705.00,1720.00,1552200,1658.864
2016-01-11,1715.00,1721.36,1691.68,1718.00,1210200,1656.935
2016-01-08,1678.00,1734.00,1678.00,1713.00,1736800,1652.113
2016-01-07,1721.00,1727.56,1663.68,1669.00,2484100,1609.677
2016-01-06,1764.00,1766.34,1743.00,1758.00,1027000,1695.513
2016-01-05,1745.00,1767.00,1743.00,1737.00,586700,1675.26
2016-01-04,1730.00,1763.36,1715.00,1737.00,1311800,1675.26
2015-12-31,1743.00,1749.00,1734.00,1740.00,198800,1678.153
2015-12-30,1769.00,1769.00,1741.00,1744.00,602700,1682.011
2015-12-29,1731.00,1771.00,1726.00,1759.00,802800,1696.478
2015-12-24,1732.00,1732.00,1710.00,1721.00,108500,1659.829
2015-12-23,1720.00,1728.36,1697.00,1724.00,1247000,1662.722
2015-12-22,1720.00,1723.00,1692.00,1710.00,653300,1649.22
2015-12-21,1687.00,1721.36,1684.08,1707.00,939700,1646.326
2015-12-18,1710.00,1715.00,1673.00,1686.00,1744300,1626.073
2015-12-17,1725.00,1746.00,1701.97,1715.00,1248700,1654.042
2015-12-16,1700.00,1724.00,1692.00,1713.00,886400,1652.113
2015-12-15,1657.00,1697.00,1648.00,1696.00,1077400,1635.717
2015-12-14,1658.00,1688.00,1649.00,1649.00,1099800,1590.388
2015-12-11,1699.00,1703.36,1658.00,1658.00,1196800,1599.068
2015-12-10,1687.00,1719.00,1683.00,1699.00,2094400,1638.611
2015-12-09,1690.00,1705.00,1667.00,1685.00,1259000,1625.108
2015-12-08,1707.00,1728.00,1690.00,1691.00,1329400,1630.895
2015-12-07,1680.00,1730.00,1679.35,1705.00,1657100,1644.397
2015-12-04,1630.00,1686.00,1609.00,1675.00,1789300,1615.464
2015-12-03,1667.00,1679.00,1619.00,1630.00,1515700,1572.063
2015-12-02,1646.00,1681.00,1646.00,1663.00,1093500,1603.89
2015-12-01,1655.00,1669.00,1630.00,1646.00,1193900,1587.494
2015-11-30,1641.00,1666.55,1631.00,1653.00,1887200,1594.246
2015-11-27,1620.00,1656.00,1612.00,1632.00,1243500,1573.992
2015-11-26,1602.00,1635.00,1599.00,1627.00,1012600,1569.17
2015-11-25,1597.00,1615.00,1582.00,1604.00,1335000,1546.987
2015-11-24,1643.00,1643.00,1557.00,1594.00,3723300,1537.343
2015-11-23,1681.00,1687.00,1645.00,1646.00,1749800,1587.494
2015-11-20,1687.00,1699.00,1641.30,1685.00,2332500,1625.108
2015-11-19,1692.00,1733.00,1692.00,1714.00,1276500,1653.077
2015-11-18,1704.00,1710.00,1670.88,1694.00,2774200,1633.788
2015-11-17,1721.00,1754.00,1684.00,1710.00,4237400,1649.22
2015-11-16,1755.00,1794.00,1728.00,1783.00,2581900,1719.625
