Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,906.00,920.50,891.50,920.50,1612900,920.50
2016-02-17,878.00,906.50,876.00,906.00,1868300,906.00
2016-02-16,877.00,886.00,860.00,878.00,2060100,878.00
2016-02-15,890.00,890.00,855.00,873.50,1819500,873.50
2016-02-12,871.50,897.00,863.50,897.00,2138600,897.00
2016-02-11,828.00,893.00,828.00,875.00,2688500,875.00
2016-02-10,830.00,855.00,818.00,830.00,1924000,830.00
2016-02-09,845.50,862.50,826.072,853.00,2201100,853.00
2016-02-08,797.50,849.50,792.396,849.50,2451000,849.50
2016-02-05,787.00,808.00,776.50,788.00,2537800,788.00
2016-02-04,739.00,790.00,736.546,784.00,2686000,784.00
2016-02-03,718.00,726.50,704.00,722.00,1627300,722.00
2016-02-02,744.00,745.50,712.50,722.00,1425800,722.00
2016-02-01,718.50,740.055,718.50,739.00,1353400,739.00
2016-01-29,719.00,722.00,693.00,722.00,1404500,722.00
2016-01-28,699.50,721.50,699.50,709.00,1441700,709.00
2016-01-27,700.00,712.00,688.805,706.50,1199900,706.50
2016-01-26,659.50,694.50,654.50,694.50,1715200,694.50
2016-01-25,665.00,678.00,648.50,658.00,1443100,658.00
2016-01-22,670.50,674.50,660.50,661.50,1427300,661.50
2016-01-21,645.00,663.50,641.00,662.00,1844400,662.00
2016-01-20,653.50,653.50,632.50,640.50,2103800,640.50
2016-01-19,681.50,699.50,660.50,664.50,1547600,664.50
2016-01-18,688.00,689.00,670.35,674.50,1265900,674.50
2016-01-15,698.00,706.50,682.50,690.00,1718900,690.00
2016-01-14,683.50,708.50,683.50,702.50,1157900,702.50
2016-01-13,685.00,701.50,676.50,692.00,1214000,692.00
2016-01-12,684.00,708.50,669.00,681.50,1553700,681.50
2016-01-11,692.50,703.50,681.50,681.50,825400,681.50
2016-01-08,707.50,717.50,692.50,693.00,1142800,693.00
2016-01-07,706.00,716.50,701.00,705.50,1629900,705.50
2016-01-06,714.50,724.00,701.00,721.50,1272600,721.50
2016-01-05,713.50,735.50,713.125,709.50,764600,709.50
2016-01-04,703.50,716.00,697.50,709.50,1406600,709.50
2015-12-31,711.50,711.50,692.50,708.00,323200,708.00
2015-12-30,705.00,724.00,703.363,709.50,776200,709.50
2015-12-29,728.50,728.50,703.50,710.00,1246400,710.00
2015-12-24,719.00,726.00,711.50,715.50,173700,715.50
2015-12-23,693.00,723.50,693.00,712.50,929400,712.50
2015-12-22,675.00,691.50,675.00,689.50,618800,689.50
2015-12-21,660.50,678.50,652.50,671.50,685400,671.50
2015-12-18,654.00,666.00,652.00,659.00,1276100,659.00
2015-12-17,677.00,678.00,651.50,654.50,1252600,654.50
2015-12-16,665.00,680.50,658.50,673.50,1285300,673.50
2015-12-15,669.00,670.50,655.00,659.50,966800,659.50
2015-12-14,684.00,689.00,662.50,665.00,917100,665.00
2015-12-11,676.00,683.00,661.50,675.00,1312400,675.00
2015-12-10,661.50,677.00,657.50,673.00,1005100,673.00
2015-12-09,653.50,676.00,612.50,662.50,3108100,662.50
2015-12-08,687.00,691.50,665.50,668.50,1306200,668.50
2015-12-07,702.50,706.50,684.00,690.50,1226400,690.50
2015-12-04,709.50,717.00,693.00,702.00,1605300,702.00
2015-12-03,719.00,724.50,708.00,709.50,1307700,709.50
2015-12-02,728.50,735.50,723.00,726.00,962700,726.00
2015-12-01,715.50,731.00,715.50,722.50,1111500,722.50
2015-11-30,713.50,722.00,704.00,715.00,1582300,715.00
2015-11-27,745.00,745.00,712.50,715.00,1156500,715.00
2015-11-26,724.00,752.00,721.50,749.00,1002500,749.00
2015-11-25,716.00,724.50,709.50,720.50,995200,720.50
2015-11-24,699.00,721.375,694.00,714.00,1127000,714.00
2015-11-23,690.50,706.00,685.50,701.00,1061700,701.00
2015-11-20,704.00,706.50,695.00,696.00,1335300,696.00
2015-11-19,697.50,710.50,693.50,699.50,1351000,699.50
2015-11-18,673.00,695.50,666.00,690.50,1218200,690.50
2015-11-17,678.50,685.813,668.50,672.00,985800,672.00
2015-11-16,672.50,690.00,671.50,674.00,842500,674.00
2015-11-13,673.00,680.00,668.50,673.00,815100,673.00
2015-11-12,691.50,692.50,670.50,674.50,1424000,674.50
2015-11-11,688.00,702.68,683.50,688.50,1440800,688.50
2015-11-10,701.00,704.00,685.00,691.50,2139300,691.50
2015-11-09,703.00,713.438,698.50,701.50,1960300,701.50
2015-11-06,727.00,731.00,702.50,707.00,1947200,707.00
2015-11-05,734.50,735.00,723.50,727.00,1175000,727.00
2015-11-04,735.00,752.50,733.90,740.00,1765000,740.00
2015-11-03,723.50,733.00,719.00,728.50,809100,728.50
2015-11-02,725.00,732.50,719.292,722.00,864500,722.00
2015-10-30,736.50,738.50,725.234,730.00,1049100,730.00
2015-10-29,754.50,758.50,729.00,734.50,1948400,734.50
2015-10-28,734.00,772.50,729.50,768.00,1409600,768.00
2015-10-27,744.50,745.00,731.00,734.00,917800,734.00
2015-10-26,752.50,765.50,744.50,746.50,833300,746.50
2015-10-23,734.00,768.00,731.50,758.00,2108200,758.00
2015-10-22,727.00,734.50,714.50,730.00,861200,730.00
2015-10-21,735.00,747.50,721.00,726.50,987100,726.50
2015-10-20,734.50,740.50,722.00,734.00,1347800,734.00
2015-10-19,755.00,755.50,733.00,734.50,1475600,734.50
2015-10-16,759.50,770.00,747.688,759.50,1221600,759.50
2015-10-15,752.00,770.50,748.50,760.50,1618800,760.50
2015-10-14,728.50,754.00,727.50,750.50,1421300,750.50
2015-10-13,733.00,736.50,724.00,734.00,1233000,734.00
2015-10-12,735.50,748.29,731.50,739.50,1423100,739.50
2015-10-09,713.50,740.50,710.50,734.50,3179100,734.50
2015-10-08,679.50,706.50,671.00,704.50,1810400,704.50
2015-10-07,680.00,699.00,672.50,676.00,2207400,676.00
2015-10-06,655.50,676.00,636.00,672.50,1659300,672.50
2015-10-05,639.00,653.50,634.00,652.50,1289100,652.50
2015-10-02,603.00,636.00,594.36,633.50,2108600,633.50
2015-10-01,598.00,613.00,593.00,604.50,1418000,604.50
2015-09-30,604.00,604.00,585.50,591.50,1641700,591.50
2015-09-29,595.00,605.50,592.383,596.50,1364600,596.50
2015-09-28,619.50,619.50,596.50,602.00,1069600,602.00
2015-09-25,631.00,632.00,612.50,618.50,1456300,618.50
2015-09-24,602.50,623.50,595.00,621.00,1653600,621.00
2015-09-23,599.00,611.50,593.00,600.50,983100,600.50
2015-09-22,594.50,600.00,579.00,596.50,1778500,596.50
2015-09-21,607.00,617.50,597.00,597.00,962300,597.00
2015-09-18,597.00,622.50,597.00,610.00,2562000,610.00
2015-09-17,608.00,611.00,590.00,590.00,1159200,590.00
2015-09-16,591.00,609.442,577.50,606.50,1468200,606.50
2015-09-15,594.00,594.00,569.625,588.00,1460900,588.00
2015-09-14,598.50,612.50,584.50,591.50,1351100,591.50
2015-09-11,612.00,623.50,593.46,595.50,1419800,595.50
2015-09-10,615.00,621.00,599.50,607.00,932500,607.00
2015-09-09,630.50,633.00,617.00,618.00,1200500,618.00
2015-09-08,607.00,621.50,605.00,619.00,1068000,619.00
2015-09-07,602.00,616.00,598.00,602.50,723200,602.50
2015-09-04,621.00,625.50,594.438,596.00,1380400,596.00
2015-09-03,602.00,631.00,601.50,622.00,1877100,622.00
2015-09-02,602.50,613.00,594.50,598.50,1457800,598.50
2015-09-01,618.00,622.50,594.50,601.50,1693100,601.50
2015-08-31,620.50,620.50,620.50,620.50,000,620.50
2015-08-28,615.00,629.00,602.50,620.50,2117100,620.50
2015-08-27,601.50,614.50,593.50,612.50,2177400,612.50
2015-08-26,633.00,642.00,593.00,594.50,2792800,594.50
2015-08-25,647.50,671.50,631.50,639.50,2186200,639.50
2015-08-24,664.00,670.50,636.00,644.00,2119600,644.00
2015-08-21,679.50,696.00,674.00,681.50,1924500,681.50
2015-08-20,648.00,685.00,647.00,684.50,1768400,684.50
2015-08-19,658.50,666.00,646.50,648.00,1120300,648.00
2015-08-18,674.50,676.50,652.50,659.50,1182900,659.50
2015-08-17,671.00,676.50,660.00,671.00,946800,671.00
2015-08-14,671.00,682.00,664.75,666.50,1080000,666.50
2015-08-13,669.50,672.50,656.50,669.50,2152000,669.50
2015-08-12,647.50,666.50,633.00,661.50,2052500,660.154
2015-08-11,650.00,673.50,638.958,653.00,2039800,651.671
2015-08-10,643.00,650.50,628.50,649.50,1678000,648.178
2015-08-07,641.50,654.50,636.50,638.00,4695100,636.702
2015-08-06,645.50,654.00,635.50,640.50,1853100,639.197
2015-08-05,642.00,663.00,642.00,648.00,1185900,646.681
2015-08-04,630.00,655.00,625.50,645.00,1227700,643.687
2015-08-03,643.50,646.50,626.50,633.00,1170500,631.712
2015-07-31,643.50,649.50,628.50,647.00,1410500,645.683
2015-07-30,644.50,649.50,636.00,645.00,1067700,643.687
2015-07-29,632.00,647.00,625.00,646.00,1085500,644.685
2015-07-28,629.00,632.50,617.00,630.00,1271300,628.718
2015-07-27,625.00,636.00,618.00,625.50,1209200,624.227
2015-07-24,631.00,643.00,616.50,618.50,1443600,617.241
2015-07-23,638.00,654.00,631.50,633.50,1500300,632.211
2015-07-22,644.50,644.50,621.00,635.00,2340900,633.708
2015-07-21,625.50,657.50,624.00,652.00,1348400,650.673
2015-07-20,650.50,650.72,621.50,629.00,1587500,627.72
2015-07-17,671.00,671.00,653.50,658.00,836300,656.661
2015-07-16,677.50,677.92,663.50,668.50,1102300,667.14
2015-07-15,675.00,695.00,674.00,676.50,1044600,675.123
2015-07-14,670.50,677.50,662.00,676.50,962700,675.123
2015-07-13,678.50,680.00,657.00,671.50,848400,670.133
2015-07-10,675.50,681.50,667.00,672.00,860700,670.632
2015-07-09,671.50,676.00,664.00,669.50,727700,668.138
2015-07-08,652.00,673.50,649.00,665.00,1149000,663.647
2015-07-07,687.50,687.50,651.00,655.50,1118000,654.166
2015-07-06,682.50,689.00,677.50,687.00,648700,685.602
2015-07-03,683.50,689.772,680.00,683.00,563500,681.61
2015-07-02,686.50,699.00,684.00,688.00,807700,686.60
2015-07-01,695.00,703.50,685.725,690.50,1070500,689.095
2015-06-30,697.00,703.50,689.50,694.00,1382000,692.588
2015-06-29,687.50,705.50,683.00,700.50,978700,699.074
2015-06-26,702.50,713.50,697.00,698.00,832900,696.58
2015-06-25,712.00,716.00,704.50,707.00,757700,705.561
2015-06-24,710.00,720.50,708.50,714.50,630300,713.046
2015-06-23,706.00,716.00,703.00,710.50,939700,709.054
2015-06-22,719.00,719.00,699.993,703.50,1207400,702.068
2015-06-19,724.00,729.50,712.50,712.50,1371000,711.05
2015-06-18,717.00,740.77,715.50,727.00,1899700,725.52
2015-06-17,719.00,722.00,709.00,712.00,964900,710.551
2015-06-16,732.50,733.50,718.50,720.00,2098100,718.535
2015-06-15,751.00,753.14,728.50,733.50,1383200,732.007
2015-06-12,733.50,742.00,721.00,737.00,957200,735.50
2015-06-11,732.50,739.00,724.00,736.00,1330700,734.502
2015-06-10,717.00,741.00,714.50,737.50,1371200,735.999
2015-06-09,718.00,727.00,710.00,715.00,1377500,713.545
2015-06-08,716.00,730.00,708.438,716.50,888000,715.042
2015-06-05,722.00,729.50,713.00,719.00,923600,717.537
2015-06-04,737.00,740.50,722.50,724.00,1239800,722.527
2015-06-03,752.00,756.50,737.00,746.50,1079900,744.981
2015-06-02,753.50,763.50,737.50,757.00,1243800,755.459
2015-06-01,764.50,766.00,740.50,754.50,1378400,752.965
2015-05-29,743.50,765.00,739.00,759.50,1967100,757.954
2015-05-28,746.00,746.50,732.00,740.50,1098500,738.993
2015-05-27,738.50,747.50,725.50,743.50,1056100,741.987
2015-05-26,760.00,763.50,732.50,736.00,1707300,734.502
2015-05-25,763.00,763.00,763.00,763.00,000,761.447
2015-05-22,764.00,782.00,759.50,763.00,1129500,761.447
2015-05-21,760.50,781.00,752.50,761.00,1657200,759.451
2015-05-20,764.50,770.00,755.50,759.00,1213500,757.455
2015-05-19,787.00,790.50,761.50,764.50,1931900,762.944
2015-05-18,755.50,796.00,755.50,792.50,2420800,790.887
2015-05-15,761.00,765.50,735.86,752.00,1127300,750.47
2015-05-14,746.00,770.00,738.326,761.00,1687200,759.451
2015-05-13,718.00,749.50,710.00,749.50,2767300,747.975
2015-05-12,700.50,716.50,693.50,713.50,1833500,712.048
2015-05-11,706.50,722.50,699.50,701.50,1106400,700.072
2015-05-08,711.50,725.00,699.875,706.50,1197800,705.062
2015-05-07,725.50,730.50,699.00,704.00,1557300,702.567
2015-05-06,727.50,738.00,719.00,728.50,1734600,727.017
2015-05-05,721.50,745.50,714.50,730.50,1730600,729.013
2015-05-04,712.00,712.00,712.00,712.00,000,710.551
2015-05-01,709.50,734.50,709.50,712.00,721700,710.551
2015-04-30,737.00,741.50,711.00,719.50,2399300,718.036
2015-04-29,745.00,756.50,738.00,739.00,1686400,735.526
2015-04-28,725.00,746.645,720.00,743.00,3100400,739.507
2015-04-27,725.00,733.00,710.50,727.50,1564700,724.08
2015-04-24,729.00,740.00,720.50,723.50,1726000,720.098
2015-04-23,701.00,729.00,686.50,727.50,2156200,724.08
2015-04-22,712.50,719.00,696.00,703.00,1133600,699.695
2015-04-21,718.50,723.00,706.00,709.00,1260800,705.667
2015-04-20,732.50,733.264,713.00,716.00,934300,712.634
2015-04-17,739.50,743.78,724.50,728.50,1657700,725.075
2015-04-16,742.50,765.50,741.00,743.50,1715300,740.004
2015-04-15,726.50,748.00,724.00,738.00,1309400,734.53
2015-04-14,706.00,725.63,705.00,722.50,1343300,719.103
2015-04-13,704.00,726.50,703.50,709.50,1282800,706.164
2015-04-10,692.50,705.00,686.00,703.50,1563200,700.192
2015-04-09,684.00,697.00,678.00,691.00,1240600,687.751
2015-04-08,706.50,713.50,683.50,686.00,1524000,682.775
2015-04-07,697.50,715.50,697.50,705.00,1438800,701.685
2015-04-06,691.50,691.50,691.50,691.50,000,688.249
2015-04-03,691.50,691.50,691.50,691.50,000,688.249
2015-04-02,701.00,709.50,687.00,691.50,1396800,688.249
2015-04-01,685.00,704.00,679.50,700.00,2188000,696.709
2015-03-31,700.00,703.50,682.50,682.50,1928800,679.291
2015-03-30,705.50,711.00,693.00,700.50,2391400,697.207
2015-03-27,707.00,712.50,689.00,700.00,1662400,696.709
2015-03-26,736.00,749.00,705.125,710.50,2038500,707.16
