Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,279.20,280.50,275.20,276.10,5608000,276.10
2016-02-17,269.60,277.40,268.90,276.40,5169400,276.40
2016-02-16,267.10,269.80,263.60,267.40,4211100,267.40
2016-02-15,261.20,266.90,261.20,265.50,4638900,265.50
2016-02-12,250.10,255.70,247.90,255.40,5877600,255.40
2016-02-11,255.40,255.90,245.80,248.60,5599600,248.60
2016-02-10,256.30,259.70,252.60,257.70,5434800,257.70
2016-02-09,256.50,258.40,249.30,254.30,4494400,254.30
2016-02-08,270.30,272.00,255.50,256.50,7227600,256.50
2016-02-05,264.60,276.10,264.60,269.90,5761700,269.90
2016-02-04,268.80,269.50,258.80,265.10,5305400,265.10
2016-02-03,269.30,270.00,262.00,264.50,6072900,264.50
2016-02-02,277.60,278.30,267.70,270.00,4261200,270.00
2016-02-01,281.00,281.40,273.60,278.10,4402700,278.10
2016-01-29,283.50,283.80,276.80,278.80,6262000,278.80
2016-01-28,278.20,284.30,276.40,278.30,5062400,278.30
2016-01-27,281.30,283.40,274.40,280.40,7131900,280.40
2016-01-26,278.80,285.00,277.80,281.60,8718200,281.60
2016-01-25,290.00,294.60,283.60,285.00,5244500,285.00
2016-01-22,290.10,294.30,288.80,292.80,3898000,292.80
2016-01-21,277.00,285.90,275.40,285.70,6172100,285.70
2016-01-20,280.00,280.84,273.10,276.70,5073900,276.70
2016-01-19,284.00,289.10,283.55,286.70,3564800,286.70
2016-01-18,281.90,285.00,278.00,281.50,3428600,281.50
2016-01-15,287.40,290.40,277.40,281.70,4970400,281.70
2016-01-14,287.00,290.60,280.40,287.70,7289900,287.70
2016-01-13,291.00,294.10,288.573,291.50,5330300,291.50
2016-01-12,280.00,292.00,278.30,288.30,5844000,288.30
2016-01-11,279.00,283.70,277.70,278.70,5142800,278.70
2016-01-08,281.70,291.20,278.40,278.40,6956000,278.40
2016-01-07,280.50,281.03,273.50,274.80,5014300,274.80
2016-01-06,294.10,294.10,283.90,285.20,4628700,285.20
2016-01-05,297.00,298.90,290.70,294.60,2659800,294.60
2016-01-04,304.20,304.80,293.10,294.60,3616300,294.60
2015-12-31,307.10,309.10,306.20,308.40,1715400,308.40
2015-12-30,308.20,309.50,307.20,309.20,1898800,309.20
2015-12-29,308.20,309.90,303.80,309.40,2096100,309.40
2015-12-24,309.90,309.90,305.20,305.20,680600,305.20
2015-12-23,297.10,308.075,297.10,307.90,3316300,307.90
2015-12-22,298.70,298.70,292.70,294.70,2279900,294.70
2015-12-21,295.10,302.90,295.10,295.60,2751000,295.60
2015-12-18,298.10,300.50,294.00,296.20,4703100,296.20
2015-12-17,303.80,304.70,298.825,299.60,3475500,299.60
2015-12-16,293.00,299.60,291.90,297.90,3591900,297.90
2015-12-15,282.80,294.20,282.80,293.00,4490000,293.00
2015-12-14,286.20,289.00,279.10,280.40,4138700,280.40
2015-12-11,293.10,293.35,282.90,284.30,4222900,284.30
