Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,120.00,122.50,114.10,117.90,83380000,117.90
2016-02-17,106.00,120.086,105.00,120.00,153949200,120.00
2016-02-16,105.25,106.00,99.17,102.95,79030700,102.95
2016-02-15,101.30,102.956,98.187,101.20,53329500,101.20
2016-02-12,88.49,98.569,87.98,98.46,91697500,98.46
2016-02-11,92.01,92.323,87.10,87.68,65981700,87.68
2016-02-10,94.23,95.44,89.79,93.50,82227900,93.50
2016-02-09,102.70,103.35,94.008,94.44,77982300,94.44
2016-02-08,104.45,106.652,97.55,102.80,86106300,102.80
2016-02-05,95.53,105.50,95.01,102.15,144683500,102.15
2016-02-04,93.50,100.241,89.80,99.68,129653900,99.68
2016-02-03,82.90,86.89,81.986,85.95,74710600,85.95
2016-02-02,87.37,88.81,81.38,83.15,67562400,83.15
2016-02-01,90.16,91.134,85.05,87.99,57761000,87.99
2016-01-29,92.25,94.157,86.00,89.48,72499100,89.48
2016-01-28,91.88,95.205,88.08,90.45,101165600,90.45
2016-01-27,86.29,92.53,85.00,92.03,95204800,92.03
2016-01-26,78.55,87.86,77.74,87.10,87855200,87.10
2016-01-25,79.26,84.64,76.33,80.85,70868800,80.85
2016-01-22,84.70,86.705,77.02,78.58,108833000,78.58
2016-01-21,73.63,82.43,70.70,82.25,172432800,82.25
2016-01-20,75.00,77.16,70.10,71.20,119153300,71.20
2016-01-19,77.70,85.35,77.60,78.98,98806400,78.98
2016-01-18,73.51,75.599,72.257,75.15,55490500,75.15
2016-01-15,77.10,77.99,70.99,73.50,108736100,73.50
2016-01-14,70.83,81.38,69.26,78.62,113229000,78.62
2016-01-13,72.92,75.561,71.36,71.87,73790100,71.87
2016-01-12,73.00,77.49,70.38,72.00,104098300,72.00
2016-01-11,76.14,81.23,73.43,73.43,68568200,73.43
2016-01-08,79.13,82.39,77.09,77.48,70280700,77.48
2016-01-07,80.13,83.22,78.07,78.71,112820600,78.71
2016-01-06,87.70,87.70,82.56,85.85,68430600,85.85
2016-01-05,87.00,90.48,85.92,85.27,40792500,85.27
2016-01-04,88.50,88.79,83.85,85.27,50153000,85.27
2015-12-31,88.66,90.48,88.66,90.48,13811600,90.48
2015-12-30,92.19,92.79,88.27,89.80,46835900,89.80
2015-12-29,90.30,95.00,90.10,93.10,53800100,93.10
2015-12-24,93.61,94.19,91.01,92.40,19615100,92.40
2015-12-23,88.26,93.83,88.10,93.09,74460200,93.09
2015-12-22,84.00,86.268,82.98,85.84,54587200,85.84
2015-12-21,81.77,87.50,81.00,83.05,58853100,83.05
2015-12-18,80.86,83.59,79.75,80.86,112565900,80.86
2015-12-17,85.57,86.57,80.86,80.86,75561700,80.86
2015-12-16,82.80,85.97,81.224,84.35,67257300,84.35
2015-12-15,82.00,85.19,81.61,82.37,83204100,82.37
2015-12-14,86.69,86.913,78.904,80.00,75486000,80.00
2015-12-11,90.00,92.00,83.31,85.37,79674500,85.37
2015-12-10,87.80,95.118,86.00,88.90,149976400,88.90
2015-12-09,80.19,84.73,75.13,83.08,94715900,83.08
2015-12-08,84.10,84.42,76.32,79.45,102754200,79.45
2015-12-07,88.38,89.87,84.80,85.36,57743200,85.36
2015-12-04,91.78,92.70,86.25,87.29,80379800,87.29
2015-12-03,93.24,95.62,90.22,90.22,63075700,90.22
2015-12-02,95.04,96.97,91.16,93.50,47172700,93.50
2015-12-01,97.56,98.05,93.75,94.48,58939600,94.48
2015-11-30,92.20,96.71,89.43,96.71,82881200,96.71
2015-11-27,94.17,95.262,90.00,91.88,89490100,91.88
2015-11-26,92.00,96.309,91.772,95.88,49127000,95.88
2015-11-25,94.50,95.926,89.91,90.58,61662400,90.58
2015-11-24,90.88,95.89,90.18,93.98,71059600,93.98
2015-11-23,88.78,93.83,86.11,90.42,66640200,90.42
2015-11-20,94.99,97.44,91.77,92.33,72137100,92.33
