Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1390.50,1391.00,1367.50,1380.00,9647300,1380.00
2016-02-17,1421.00,1427.00,1413.50,1424.00,10240200,1401.00
2016-02-16,1418.00,1420.00,1401.50,1417.50,7342600,1394.605
2016-02-15,1396.50,1419.75,1388.50,1411.00,9635900,1388.21
2016-02-12,1357.50,1365.00,1342.50,1363.50,10272600,1341.477
2016-02-11,1353.00,1367.50,1337.50,1345.50,11338600,1323.768
2016-02-10,1367.00,1370.00,1314.26,1359.00,10450400,1337.05
2016-02-09,1369.00,1378.00,1314.40,1360.50,11938500,1338.526
2016-02-08,1405.50,1410.26,1360.36,1362.50,11158800,1340.493
2016-02-05,1409.00,1422.00,1398.50,1401.00,9903600,1378.372
2016-02-04,1449.50,1454.50,1410.50,1412.50,10187100,1389.686
2016-02-03,1415.50,1464.50,1406.00,1431.00,13664800,1407.887
2016-02-02,1427.00,1439.00,1420.00,1426.00,8840700,1402.968
2016-02-01,1450.00,1457.50,1419.50,1434.50,10087500,1411.33
2016-01-29,1425.00,1439.00,1411.50,1439.00,13434200,1415.758
2016-01-28,1432.00,1436.00,1390.00,1414.50,10719000,1391.653
2016-01-27,1422.50,1438.50,1416.09,1436.00,9836700,1412.806
2016-01-26,1385.50,1424.50,1382.50,1415.50,9954500,1392.637
2016-01-25,1397.00,1419.75,1393.00,1400.00,12114900,1377.388
2016-01-22,1389.50,1397.00,1383.50,1391.50,8770500,1369.025
2016-01-21,1366.00,1379.00,1359.69,1368.50,9962200,1346.396
2016-01-20,1363.00,1372.00,1351.50,1357.50,9165100,1335.574
2016-01-19,1383.50,1403.00,1381.00,1390.00,8526400,1367.549
2016-01-18,1359.50,1380.00,1358.50,1365.50,5921100,1343.445
2016-01-15,1378.50,1395.00,1351.00,1363.50,14047900,1341.477
2016-01-14,1376.00,1388.15,1356.75,1380.50,11741800,1358.203
2016-01-13,1375.50,1395.18,1373.50,1384.50,7228400,1362.138
2016-01-12,1350.00,1373.50,1343.00,1363.50,8575400,1341.477
2016-01-11,1363.50,1367.50,1347.00,1347.50,7579400,1325.736
2016-01-08,1352.00,1381.68,1347.15,1371.50,10650500,1349.348
2016-01-07,1349.00,1361.50,1333.07,1344.50,9259500,1322.784
2016-01-06,1384.00,1389.50,1362.00,1380.50,7145700,1358.203
2016-01-05,1379.00,1391.00,1365.50,1386.00,9377400,1363.614
2016-01-04,1359.00,1366.50,1346.00,1364.50,10950400,1342.461
2015-12-31,1380.00,1386.50,1369.50,1373.00,1547100,1350.824
2015-12-30,1391.00,1392.00,1378.03,1384.00,3373300,1361.646
2015-12-29,1387.00,1391.50,1377.50,1391.50,4573500,1369.025
2015-12-28,1376.00,1376.00,1376.00,1376.00,000,1353.775
2015-12-25,1376.00,1376.00,1376.00,1376.00,000,1353.775
2015-12-24,1358.00,1376.00,1358.00,1376.00,1077600,1353.775
2015-12-23,1354.00,1373.00,1346.00,1370.00,5222400,1347.872
2015-12-22,1334.00,1345.00,1326.50,1342.00,3534900,1320.324
2015-12-21,1329.00,1352.50,1328.50,1331.50,5050800,1309.994
2015-12-18,1335.50,1348.00,1328.55,1334.00,11505100,1312.454
2015-12-17,1344.00,1369.50,1341.50,1341.50,8760300,1319.833
2015-12-16,1312.00,1334.00,1310.10,1321.00,8660900,1299.664
2015-12-15,1285.50,1312.50,1279.05,1308.50,8834000,1287.366
2015-12-14,1295.50,1316.77,1277.25,1280.00,7962100,1259.326
2015-12-11,1313.00,1324.50,1296.50,1297.50,9288800,1276.543
2015-12-10,1313.00,1325.00,1310.00,1314.00,6468000,1292.777
2015-12-09,1323.00,1328.00,1315.50,1316.00,9670100,1294.744
2015-12-08,1325.00,1347.36,1312.00,1314.00,6554800,1292.777
2015-12-07,1328.00,1354.25,1321.50,1323.50,3966700,1302.123
2015-12-04,1331.00,1339.00,1318.25,1319.00,8374600,1297.696
2015-12-03,1373.50,1384.45,1337.00,1337.00,12189600,1315.405
2015-12-02,1357.50,1386.50,1356.50,1378.00,7128700,1355.743
2015-12-01,1360.50,1360.50,1343.50,1351.00,7032700,1329.179
2015-11-30,1367.50,1370.00,1353.00,1355.50,6783800,1333.606
2015-11-27,1370.50,1374.00,1360.10,1365.50,5225100,1343.445
2015-11-26,1352.00,1374.50,1346.50,1371.50,4099700,1349.348
2015-11-25,1344.50,1355.23,1337.50,1352.50,14463300,1330.655
2015-11-24,1339.50,1349.78,1324.93,1343.00,7452900,1321.308
2015-11-23,1354.00,1354.00,1331.50,1344.50,4482600,1322.784
2015-11-20,1352.50,1366.50,1349.50,1361.00,6871300,1339.018
2015-11-19,1350.00,1361.00,1344.00,1347.00,7540500,1325.244
2015-11-18,1338.00,1359.93,1333.80,1349.00,6284000,1327.211
2015-11-17,1326.00,1359.84,1322.50,1345.50,6937900,1323.768
2015-11-16,1307.50,1322.50,1300.50,1314.00,6686700,1292.777
2015-11-13,1322.50,1334.00,1300.70,1312.50,9488700,1291.301
2015-11-12,1357.50,1359.50,1331.00,1331.50,8306100,1309.994
2015-11-11,1372.00,1384.50,1368.00,1373.50,5035400,1332.623
2015-11-10,1374.50,1378.43,1360.50,1365.50,6766900,1324.861
2015-11-09,1387.00,1394.00,1366.50,1367.50,6496700,1326.801
2015-11-06,1387.50,1395.00,1373.50,1384.50,6391900,1343.295
2015-11-05,1390.00,1402.12,1379.00,1386.00,7672100,1344.75
2015-11-04,1383.00,1402.62,1382.00,1388.50,6960300,1347.176
2015-11-03,1400.00,1402.00,1366.82,1376.50,7688500,1335.533
2015-11-02,1394.50,1403.50,1385.50,1397.00,6969800,1355.423
2015-10-30,1401.50,1414.37,1400.50,1405.00,8514200,1363.185
2015-10-29,1399.00,1424.78,1390.50,1404.00,14453800,1362.215
2015-10-28,1366.00,1426.50,1363.00,1420.50,13816800,1378.224
2015-10-27,1363.50,1378.50,1354.82,1367.50,7007900,1326.801
2015-10-26,1370.00,1382.00,1363.99,1369.00,5859400,1328.256
2015-10-23,1345.00,1373.50,1341.50,1369.00,8892100,1328.256
2015-10-22,1330.50,1344.00,1325.00,1337.00,8426600,1297.209
2015-10-21,1328.50,1333.00,1312.93,1322.00,8181000,1282.655
2015-10-20,1356.00,1361.33,1336.50,1336.50,7605000,1296.724
2015-10-19,1350.50,1360.50,1339.00,1345.00,5975100,1304.971
2015-10-16,1336.50,1349.50,1331.00,1346.00,7229300,1305.941
2015-10-15,1321.00,1334.50,1317.83,1331.50,6248400,1291.872
2015-10-14,1313.00,1319.50,1307.50,1313.50,8254500,1274.408
2015-10-13,1314.00,1332.00,1314.00,1326.00,9210600,1286.536
2015-10-12,1311.50,1311.50,1292.50,1306.00,5406200,1267.131
2015-10-09,1304.00,1314.50,1295.50,1310.00,7931700,1271.012
2015-10-08,1285.00,1303.68,1282.83,1291.50,6039100,1253.063
2015-10-07,1305.50,1312.00,1282.50,1284.50,10644400,1246.271
2015-10-06,1317.00,1317.00,1300.50,1306.50,5356100,1267.617
2015-10-05,1300.00,1315.00,1293.50,1312.50,6037700,1273.438
2015-10-02,1282.00,1291.25,1261.50,1281.50,7837700,1243.361
2015-10-01,1281.00,1298.00,1267.50,1268.00,8601800,1230.262
2015-09-30,1252.50,1266.00,1249.50,1266.00,8516700,1228.322
2015-09-29,1235.00,1247.50,1227.50,1237.50,8437800,1200.67
2015-09-28,1274.00,1281.00,1250.00,1250.50,8323800,1213.283
2015-09-25,1272.00,1297.50,1272.00,1289.00,7059300,1250.637
2015-09-24,1273.00,1276.00,1253.00,1255.50,7357100,1218.134
2015-09-23,1249.00,1281.00,1247.32,1274.00,8340800,1236.084
2015-09-22,1276.00,1276.50,1241.50,1247.00,12439500,1209.887
2015-09-21,1287.00,1304.50,1282.00,1289.50,6157100,1251.122
2015-09-18,1287.00,1301.50,1252.50,1285.00,14296000,1246.756
2015-09-17,1304.00,1309.50,1286.50,1289.50,6418100,1251.122
2015-09-16,1301.50,1305.50,1291.00,1298.00,9673600,1259.37
2015-09-15,1285.00,1297.53,1270.25,1290.00,5896600,1251.608
2015-09-14,1301.50,1327.74,1285.00,1285.00,5945600,1246.756
2015-09-11,1299.50,1302.50,1286.50,1295.00,5645900,1256.459
2015-09-10,1303.50,1315.50,1294.00,1296.00,7966500,1257.429
2015-09-09,1342.50,1342.77,1303.88,1312.50,13345400,1273.438
2015-09-08,1321.50,1342.00,1321.50,1329.00,5277600,1289.447
2015-09-07,1318.50,1332.00,1311.50,1314.00,4705200,1274.893
2015-09-04,1327.00,1327.96,1299.09,1303.50,6866500,1264.706
2015-09-03,1333.50,1351.50,1331.00,1338.50,6284000,1298.664
2015-09-02,1300.00,1330.50,1299.50,1319.50,8404500,1280.23
2015-09-01,1328.50,1335.62,1289.82,1295.00,8429000,1256.459
2015-08-31,1340.50,1340.50,1340.50,1340.50,000,1300.605
2015-08-28,1332.00,1347.26,1314.50,1340.50,8800900,1300.605
2015-08-27,1309.50,1334.00,1301.50,1331.00,9069200,1291.387
2015-08-26,1278.50,1299.50,1266.50,1274.50,17752000,1236.569
2015-08-25,1290.50,1309.00,1282.00,1296.00,18628800,1257.429
2015-08-24,1288.50,1306.65,1247.50,1282.00,23361800,1243.846
2015-08-21,1357.00,1363.18,1324.50,1324.50,10134700,1285.081
2015-08-20,1366.50,1378.50,1366.00,1370.50,6108700,1329.712
2015-08-19,1403.50,1403.50,1378.36,1378.50,7221100,1337.474
2015-08-18,1413.50,1417.82,1400.50,1403.00,5024200,1361.245
2015-08-17,1410.00,1416.50,1398.82,1410.50,4414700,1368.521
2015-08-14,1411.50,1415.00,1398.50,1402.50,6239100,1360.759
2015-08-13,1415.00,1433.99,1409.50,1412.50,8557400,1370.462
2015-08-12,1430.50,1439.02,1410.50,1419.00,13441900,1358.334
2015-08-11,1450.00,1456.00,1430.50,1437.50,9299100,1376.043
2015-08-10,1447.50,1457.62,1435.50,1457.50,7633100,1395.188
2015-08-07,1452.00,1453.15,1441.00,1450.00,9432700,1388.009
2015-08-06,1424.50,1467.50,1418.00,1457.00,20549700,1394.709
2015-08-05,1399.50,1419.18,1394.50,1419.00,10068400,1358.334
2015-08-04,1401.00,1412.50,1394.82,1401.00,9384800,1341.103
2015-08-03,1394.00,1403.65,1392.50,1400.00,6019300,1340.146
2015-07-31,1395.00,1398.82,1382.50,1396.00,11565100,1336.317
2015-07-30,1373.50,1393.00,1364.00,1389.00,15713400,1329.616
2015-07-29,1335.00,1384.50,1333.00,1374.50,24122100,1315.736
2015-07-28,1339.00,1344.50,1322.00,1328.50,7808800,1271.703
2015-07-27,1333.50,1344.50,1327.50,1333.00,9416800,1276.011
2015-07-24,1355.50,1363.00,1337.50,1338.50,4778300,1281.275
2015-07-23,1358.00,1359.50,1347.35,1357.00,5597500,1298.985
2015-07-22,1361.50,1363.50,1344.00,1350.00,7235900,1292.284
2015-07-21,1382.50,1385.80,1366.50,1372.50,5457700,1313.822
2015-07-20,1382.00,1383.32,1374.50,1380.00,5568000,1321.001
2015-07-17,1380.50,1382.50,1366.00,1371.00,7004400,1312.386
2015-07-16,1384.00,1385.82,1377.00,1382.50,6277300,1323.394
2015-07-15,1385.00,1390.46,1376.00,1382.50,7437600,1323.394
2015-07-14,1382.00,1392.50,1382.00,1392.50,5344800,1332.967
2015-07-13,1383.00,1389.50,1377.50,1386.50,7414800,1327.223
2015-07-10,1379.50,1381.17,1364.00,1370.00,8808400,1311.429
2015-07-09,1352.50,1374.00,1347.85,1369.00,10847800,1310.471
2015-07-08,1342.00,1368.30,1340.00,1350.50,6605900,1292.762
