Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1908.00,1908.00,1866.92,1884.00,328000,1884.00
2016-02-17,1846.00,1912.00,1846.00,1912.00,657500,1912.00
2016-02-16,1881.00,1890.00,1848.00,1852.00,470900,1852.00
2016-02-15,1880.00,1911.00,1864.00,1872.00,662500,1872.00
2016-02-12,1880.00,1893.00,1822.00,1850.00,519000,1850.00
2016-02-11,1943.00,1944.00,1875.00,1875.00,637500,1875.00
2016-02-10,1965.00,2003.00,1596.83,1945.00,2110600,1945.00
2016-02-09,2062.00,2078.00,1986.00,1995.00,549500,1995.00
2016-02-08,2111.00,2116.00,2048.00,2061.00,346400,2061.00
2016-02-05,2147.00,2169.00,2107.50,2111.00,383400,2111.00
2016-02-04,2158.00,2169.00,2124.00,2152.00,464500,2152.00
2016-02-03,2096.00,2155.00,2096.00,2125.00,569200,2125.00
2016-02-02,2077.00,2101.66,2070.00,2095.00,373000,2095.00
2016-02-01,2023.00,2037.00,2009.00,2029.00,277100,2029.00
2016-01-29,1980.00,2018.00,1966.00,2018.00,340600,2018.00
2016-01-28,1978.00,1985.00,1937.00,1963.00,416000,1963.00
2016-01-27,1994.00,1997.00,1973.00,1994.00,342200,1994.00
2016-01-26,1967.00,2014.00,1967.00,2000.00,234200,2000.00
2016-01-25,1996.00,2008.00,1987.00,1996.00,585300,1996.00
2016-01-22,1938.00,2012.00,1930.00,1986.00,488400,1986.00
2016-01-21,1928.00,1968.00,1881.00,1903.00,457100,1903.00
2016-01-20,1975.00,1979.00,1914.85,1922.00,473200,1922.00
2016-01-19,2031.00,2031.00,1979.00,2006.00,361100,2006.00
2016-01-18,2025.00,2034.00,1991.00,1991.00,297600,1991.00
2016-01-15,2105.00,2118.00,2015.00,2025.00,463900,2025.00
2016-01-14,2187.00,2191.00,2091.00,2104.00,473700,2104.00
2016-01-13,2221.00,2243.00,2204.00,2211.00,278700,2211.00
2016-01-12,2170.00,2219.00,2147.00,2192.00,307500,2192.00
2016-01-11,2192.00,2199.94,2156.00,2156.00,239200,2156.00
2016-01-08,2192.00,2232.00,2185.00,2197.00,258700,2197.00
2016-01-07,2183.00,2221.00,2159.00,2192.00,366800,2192.00
2016-01-06,2256.00,2265.00,2214.00,2230.00,273800,2230.00
2016-01-05,2243.00,2286.00,2237.00,2233.00,183200,2233.00
2016-01-04,2261.00,2300.00,2226.00,2233.00,343200,2233.00
2015-12-31,2286.00,2302.00,2281.64,2301.00,70400,2301.00
2015-12-30,2356.00,2361.00,2284.60,2292.00,220100,2292.00
2015-12-29,2255.00,2358.00,2255.00,2358.00,369000,2358.00
2015-12-24,2252.00,2260.00,2240.00,2251.00,40200,2251.00
2015-12-23,2197.00,2252.00,2191.00,2244.00,137600,2244.00
2015-12-22,2188.00,2209.00,2182.00,2188.00,196300,2188.00
2015-12-21,2184.00,2232.00,2184.00,2188.00,228300,2188.00
2015-12-18,2214.00,2218.00,2178.00,2192.00,410600,2192.00
2015-12-17,2181.00,2218.00,2165.00,2217.00,314300,2217.00
2015-12-16,2108.00,2151.00,2108.00,2148.00,709100,2148.00
2015-12-15,2058.00,2117.00,2038.00,2112.00,238900,2112.00
2015-12-14,2060.00,2074.00,2038.00,2048.00,241100,2048.00
2015-12-11,2086.00,2120.00,2060.00,2062.00,213400,2062.00
2015-12-10,2082.00,2098.00,2062.00,2088.00,164100,2088.00
2015-12-09,2149.00,2157.00,2091.99,2098.00,327000,2098.00
2015-12-08,2165.00,2185.00,2151.00,2151.00,515800,2151.00
2015-12-07,2168.00,2203.00,2162.00,2174.00,122000,2174.00
2015-12-04,2159.00,2176.00,2147.45,2157.00,150400,2157.00
2015-12-03,2194.00,2230.00,2163.00,2163.00,229800,2163.00
2015-12-02,2205.00,2230.00,2198.03,2201.00,213800,2201.00
2015-12-01,2169.00,2205.00,2153.00,2198.00,318800,2198.00
2015-11-30,2145.00,2169.00,2132.00,2165.00,175600,2165.00
2015-11-27,2143.00,2159.00,2127.00,2152.00,152100,2152.00
2015-11-26,2131.00,2151.00,2115.00,2151.00,183800,2151.00
2015-11-25,2100.00,2135.00,2094.00,2126.00,229400,2126.00
2015-11-24,2119.00,2121.40,2090.00,2100.00,346600,2100.00
2015-11-23,2125.00,2139.00,2122.00,2123.00,214300,2123.00
2015-11-20,2111.00,2133.00,2092.00,2130.00,342100,2130.00
2015-11-19,2060.00,2118.00,2041.00,2110.00,616900,2110.00
2015-11-18,1967.00,2048.00,1967.00,2048.00,744800,2048.00
2015-11-17,1910.00,1960.00,1890.00,1953.00,309000,1953.00
2015-11-16,1907.00,1948.00,1899.85,1941.00,329500,1941.00
2015-11-13,1929.00,1933.25,1865.00,1925.00,738200,1925.00
2015-11-12,1968.00,1972.00,1932.00,1936.00,239700,1936.00
2015-11-11,1979.00,1994.00,1963.00,1971.00,328300,1971.00
2015-11-10,1992.00,2001.00,1974.00,1980.00,458800,1980.00
2015-11-09,2002.00,2017.00,1982.00,1982.00,379600,1982.00
2015-11-06,2052.00,2055.57,1998.00,2011.00,381800,2011.00
2015-11-05,2067.00,2104.00,2037.00,2048.00,501900,2048.00
2015-11-04,2051.00,2071.00,2037.00,2048.00,341300,2048.00
2015-11-03,2058.00,2065.00,2024.00,2056.00,453800,2056.00
2015-11-02,2075.00,2075.00,2018.00,2052.00,841300,2052.00
2015-10-30,2152.00,2174.00,2131.00,2164.00,584900,2164.00
2015-10-29,2111.00,2151.00,2108.00,2146.00,419500,2146.00
2015-10-28,2051.00,2115.00,2051.00,2107.00,338200,2107.00
2015-10-27,2027.00,2058.00,2013.00,2040.00,296500,2040.00
2015-10-26,2039.00,2050.55,2008.00,2034.00,393700,2034.00
2015-10-23,2027.00,2058.00,2020.00,2039.00,303100,2039.00
2015-10-22,2049.00,2054.00,1989.00,2021.00,324100,2021.00
2015-10-21,2068.00,2117.00,2048.00,2050.00,375900,2050.00
2015-10-20,2105.00,2131.00,2067.00,2077.00,336900,2077.00
2015-10-19,2062.00,2108.00,2062.00,2105.00,352400,2105.00
2015-10-16,2073.00,2081.00,2047.00,2070.00,375400,2070.00
2015-10-15,2084.00,2106.00,2039.00,2060.00,602200,2060.00
2015-10-14,2092.00,2094.00,2046.00,2071.00,416500,2071.00
2015-10-13,2104.00,2125.00,2088.00,2097.00,328700,2097.00
2015-10-12,2106.00,2128.00,2032.00,2102.00,483700,2102.00
2015-10-09,2152.00,2155.00,2093.00,2113.00,471300,2113.00
2015-10-08,2150.00,2190.00,2132.88,2140.00,396900,2140.00
2015-10-07,2260.00,2260.00,2146.00,2157.00,931900,2157.00
