Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1254.00,1258.00,1232.00,1246.00,661300,1238.15
2016-02-17,1185.00,1255.00,1181.00,1254.00,938500,1246.099
2016-02-16,1180.00,1191.00,1166.00,1182.00,834000,1174.553
2016-02-15,1153.00,1185.00,1153.00,1176.00,898700,1168.591
2016-02-12,1113.00,1130.00,1107.00,1130.00,863700,1122.88
2016-02-11,1154.00,1159.00,1097.00,1106.00,1473500,1099.032
2016-02-10,1133.00,1178.79,1123.00,1163.00,1147600,1155.673
2016-02-09,1131.00,1160.00,1106.00,1128.00,1478300,1120.893
2016-02-08,1228.00,1235.00,1123.00,1127.00,1796200,1119.899
2016-02-05,1262.00,1264.00,1220.00,1220.00,1087300,1212.313
2016-02-04,1294.00,1303.00,1248.00,1257.00,2241600,1249.08
2016-02-03,1282.00,1291.00,1245.00,1285.00,3666600,1276.904
2016-02-02,1340.00,1347.00,1308.67,1317.00,1127200,1308.702
2016-02-01,1369.00,1377.00,1325.00,1341.00,1011200,1332.551
2016-01-29,1322.00,1363.00,1315.00,1363.00,865000,1354.412
2016-01-28,1322.00,1332.00,1299.06,1307.00,956700,1298.765
2016-01-27,1315.00,1328.00,1309.00,1323.00,1248300,1314.664
2016-01-26,1291.00,1327.00,1282.16,1318.00,994000,1309.696
2016-01-25,1329.00,1332.00,1300.00,1312.00,806700,1303.734
2016-01-22,1301.00,1325.00,1289.00,1321.00,1038800,1312.677
2016-01-21,1254.00,1293.00,1248.00,1280.00,1286400,1271.935
2016-01-20,1244.00,1258.00,1227.00,1249.00,897800,1241.131
2016-01-19,1265.00,1281.00,1254.00,1265.00,810400,1257.03
2016-01-18,1217.00,1243.00,1207.00,1239.00,827600,1231.194
2016-01-15,1295.00,1317.00,1209.50,1220.00,1516800,1212.313
2016-01-14,1327.00,1327.00,1254.00,1303.00,1479200,1294.79
2016-01-13,1367.00,1372.00,1338.00,1340.00,612300,1331.557
2016-01-12,1335.00,1357.00,1322.44,1353.00,1065400,1344.475
2016-01-11,1370.00,1375.88,1344.00,1349.00,1032400,1340.501
2016-01-08,1415.00,1426.00,1377.00,1377.00,897400,1368.324
2016-01-07,1451.00,1458.00,1397.00,1416.00,1356700,1407.078
2016-01-06,1472.00,1484.00,1464.00,1481.00,871200,1471.669
2016-01-05,1474.00,1488.00,1448.00,1479.00,489100,1469.682
2016-01-04,1491.00,1497.48,1454.00,1459.00,604500,1449.808
2015-12-31,1505.00,1517.00,1501.00,1506.00,144100,1496.511
2015-12-30,1521.00,1531.00,1498.89,1508.00,303400,1498.499
2015-12-29,1491.00,1523.00,1486.00,1523.00,346600,1513.404
2015-12-28,1482.00,1482.00,1482.00,1482.00,000,1472.663
2015-12-25,1482.00,1482.00,1482.00,1482.00,000,1472.663
2015-12-24,1487.00,1488.00,1480.00,1482.00,47900,1472.663
2015-12-23,1468.00,1486.00,1459.40,1481.00,247400,1471.669
2015-12-22,1469.00,1469.00,1440.83,1460.00,344100,1450.801
2015-12-21,1468.00,1480.00,1457.00,1457.00,275500,1447.82
2015-12-18,1470.00,1472.00,1457.00,1467.00,598400,1457.757
2015-12-17,1476.00,1483.54,1470.00,1474.00,588800,1464.713
2015-12-16,1455.00,1464.00,1444.00,1450.00,561600,1440.864
2015-12-15,1431.00,1461.00,1423.00,1455.00,459600,1445.833
2015-12-14,1407.00,1439.00,1407.00,1421.00,793900,1412.047
2015-12-11,1441.00,1442.00,1406.00,1407.00,776900,1398.135
2015-12-10,1436.00,1452.00,1426.00,1445.00,516800,1435.896
2015-12-09,1446.00,1460.00,1439.00,1444.00,681100,1434.902
2015-12-08,1475.00,1479.00,1437.00,1446.00,755700,1436.889
2015-12-07,1494.00,1494.00,1470.00,1475.00,666300,1465.707
2015-12-04,1490.00,1492.00,1474.00,1480.00,689100,1470.675
2015-12-03,1526.00,1526.00,1489.00,1490.00,865100,1480.612
2015-12-02,1518.00,1533.00,1510.00,1525.00,527500,1515.392
2015-12-01,1500.00,1518.00,1498.00,1508.00,765700,1498.499
2015-11-30,1469.00,1496.00,1459.40,1496.00,990200,1486.574
2015-11-27,1467.00,1474.00,1450.00,1471.00,509900,1461.732
2015-11-26,1465.00,1483.00,1465.00,1476.00,280200,1466.70
2015-11-25,1440.00,1472.00,1438.00,1465.00,521300,1455.77
2015-11-24,1461.00,1466.56,1428.00,1448.00,606500,1438.877
2015-11-23,1470.00,1482.00,1464.00,1464.00,989500,1454.776
2015-11-20,1498.00,1498.00,1476.60,1482.00,655000,1472.663
2015-11-19,1498.00,1498.00,1484.06,1491.00,552800,1481.606
2015-11-18,1498.00,1505.00,1469.00,1486.00,819800,1476.637
2015-11-17,1456.00,1498.00,1456.00,1498.00,1220600,1488.562
2015-11-16,1410.00,1443.25,1405.44,1443.00,762300,1433.908
2015-11-13,1425.00,1433.00,1418.00,1421.00,501200,1412.047
2015-11-12,1454.00,1460.00,1422.00,1425.00,742900,1416.022
2015-11-11,1440.00,1462.00,1435.00,1458.00,883200,1448.814
2015-11-10,1443.00,1448.00,1425.72,1436.00,894700,1426.952
2015-11-09,1460.00,1468.00,1437.00,1438.00,848100,1428.94
2015-11-06,1467.00,1471.00,1453.48,1457.00,665300,1447.82
2015-11-05,1457.00,1476.00,1449.00,1467.00,864900,1457.757
2015-11-04,1453.00,1469.20,1452.00,1456.00,632100,1446.826
2015-11-03,1450.00,1453.00,1437.00,1451.00,574100,1441.858
2015-11-02,1432.00,1454.00,1432.00,1446.00,445600,1436.889
2015-10-30,1461.00,1462.00,1436.00,1444.00,654800,1434.902
2015-10-29,1448.00,1459.00,1444.00,1459.00,577200,1449.808
2015-10-28,1438.00,1450.00,1434.00,1448.00,555800,1438.877
2015-10-27,1437.00,1449.00,1433.00,1437.00,427000,1427.946
2015-10-26,1434.00,1450.00,1428.00,1443.00,525100,1433.908
2015-10-23,1425.00,1438.00,1417.80,1438.00,712700,1428.94
2015-10-22,1411.00,1418.00,1397.00,1416.00,496600,1407.078
2015-10-21,1404.00,1423.00,1392.00,1410.00,734000,1401.116
2015-10-20,1396.00,1414.00,1391.20,1399.00,1033500,1390.186
2015-10-19,1396.00,1400.39,1386.00,1392.00,593400,1383.23
2015-10-16,1407.00,1421.00,1387.00,1396.00,1291000,1387.204
2015-10-15,1332.00,1400.00,1332.00,1400.00,1452300,1391.179
2015-10-14,1300.00,1384.00,1299.00,1330.00,2252900,1321.62
2015-10-13,1271.00,1290.00,1267.00,1283.00,943100,1274.916
2015-10-12,1281.00,1287.00,1272.00,1273.00,542600,1264.979
2015-10-09,1293.00,1296.00,1281.00,1284.00,660200,1275.91
2015-10-08,1286.00,1298.00,1273.00,1285.00,677200,1276.904
2015-10-07,1281.00,1292.00,1277.00,1284.00,897700,1275.91
2015-10-06,1265.00,1284.25,1262.00,1280.00,875200,1271.935
2015-10-05,1247.00,1275.00,1247.00,1265.00,879900,1257.03
2015-10-02,1231.00,1244.00,1215.00,1230.00,954900,1222.25
2015-10-01,1226.00,1236.00,1222.00,1225.00,737400,1217.282
2015-09-30,1205.00,1210.00,1197.00,1207.00,616100,1199.395
2015-09-29,1184.00,1193.00,1178.00,1179.00,560800,1171.572
2015-09-28,1229.00,1229.03,1200.00,1200.00,518400,1192.439
2015-09-25,1214.00,1230.00,1208.00,1229.00,611700,1221.257
2015-09-24,1205.00,1213.00,1186.00,1191.00,910900,1183.496
2015-09-23,1188.00,1214.00,1183.00,1205.00,580600,1197.408
2015-09-22,1228.00,1234.03,1191.00,1191.00,2245800,1183.496
