Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,555.00,564.50,545.00,560.00,2458800,547.28
2016-02-17,558.00,568.50,555.50,566.50,1855900,553.632
2016-02-16,566.00,566.00,553.50,553.50,2279800,540.927
2016-02-15,546.50,564.50,546.50,559.50,3342400,546.791
2016-02-12,535.50,544.50,531.50,535.00,4134300,522.847
2016-02-11,540.50,543.00,531.00,535.50,3350600,523.336
2016-02-10,542.00,551.181,538.656,545.50,2839900,533.109
2016-02-09,552.00,552.00,537.00,540.00,2330400,527.734
2016-02-08,571.00,571.50,547.00,549.00,1575600,536.529
2016-02-05,570.50,578.50,566.00,566.50,2408000,553.632
2016-02-04,585.00,585.00,569.00,571.00,1643500,558.03
2016-02-03,579.00,582.00,571.00,575.00,2162200,561.939
2016-02-02,587.00,588.00,579.00,580.50,1841700,567.314
2016-02-01,586.50,589.50,578.50,588.00,1925300,574.643
2016-01-29,576.50,584.00,571.00,583.50,2448400,570.246
2016-01-28,570.00,577.00,566.96,567.00,1667800,554.121
2016-01-27,569.00,573.50,564.50,573.50,1792600,560.473
2016-01-26,567.00,571.50,564.50,571.50,1573200,558.518
2016-01-25,573.00,575.50,568.00,573.00,2025300,559.984
2016-01-22,570.00,575.00,565.00,569.50,2404900,556.564
2016-01-21,553.00,566.00,550.00,560.00,2995400,547.28
2016-01-20,560.00,563.50,546.50,550.00,3817400,537.507
2016-01-19,578.00,579.50,568.50,569.50,2563300,556.564
2016-01-18,570.50,576.50,568.50,568.50,1022600,555.586
2016-01-15,575.00,580.00,565.00,571.00,2647000,558.03
2016-01-14,583.50,584.00,576.50,576.50,2012100,563.405
2016-01-13,588.00,592.50,583.50,588.00,1303700,574.643
2016-01-12,581.50,586.50,576.25,582.50,1321100,569.268
2016-01-11,576.00,586.00,571.295,577.50,1475600,564.382
2016-01-08,584.00,585.50,578.50,578.50,1553100,565.359
2016-01-07,580.00,589.00,580.00,584.50,2025000,571.223
2016-01-06,598.00,598.00,588.50,591.50,2085900,578.064
2016-01-05,596.00,601.50,591.00,597.50,1406300,583.928
2016-01-04,594.00,595.50,585.925,593.50,1353500,580.019
2015-12-31,598.50,608.50,598.50,600.00,515200,586.371
2015-12-30,609.00,615.50,604.50,607.00,654800,593.212
2015-12-29,611.50,614.50,608.00,612.50,1395400,598.587
2015-12-28,605.00,605.00,605.00,605.00,000,591.257
2015-12-25,605.00,605.00,605.00,605.00,000,591.257
2015-12-24,604.50,606.00,603.00,605.00,116900,591.257
2015-12-23,598.50,604.50,594.339,602.00,881500,588.325
2015-12-22,598.00,602.50,591.50,594.50,1398600,580.996
2015-12-21,594.50,604.00,593.00,593.00,1157000,579.53
2015-12-18,601.50,606.50,594.50,594.50,2605600,580.996
2015-12-17,612.50,615.50,600.50,603.50,1800300,589.791
2015-12-16,598.50,603.50,596.50,603.00,1734300,589.303
2015-12-15,585.50,602.50,585.50,598.50,1911800,584.905
2015-12-14,587.00,595.925,582.50,582.50,2009300,569.268
2015-12-11,592.00,592.50,581.50,586.50,2154000,573.178
2015-12-10,595.00,600.50,591.00,594.50,1904800,580.996
2015-12-09,607.00,608.00,597.50,598.00,1658400,584.416
2015-12-08,611.50,613.14,602.00,603.00,1693300,589.303
2015-12-07,607.00,619.00,601.00,610.50,1890800,596.632
2015-12-04,604.00,617.861,592.50,602.00,1983700,588.325
2015-12-03,621.50,627.50,605.00,606.50,2476500,592.723
2015-12-02,629.00,638.00,623.50,623.50,2418600,609.337
2015-12-01,619.50,627.50,613.50,627.50,2954200,613.246
2015-11-30,609.00,611.00,605.00,610.50,2344700,596.632
2015-11-27,603.00,609.50,600.50,609.00,814900,595.166
2015-11-26,609.00,609.00,604.00,606.00,1366700,592.235
2015-11-25,600.50,608.00,600.00,607.00,2590600,593.212
2015-11-24,606.50,606.50,596.50,598.00,2790900,584.416
2015-11-23,612.50,615.50,605.50,605.50,1380900,591.746
2015-11-20,614.50,618.50,610.50,616.50,1627100,602.496
2015-11-19,600.50,612.50,600.00,612.00,1899500,598.098
2015-11-18,598.50,599.35,594.00,597.00,1660100,583.439
2015-11-17,590.50,601.00,588.50,601.00,2684200,587.348
2015-11-16,575.50,584.50,570.50,584.50,2587800,571.223
2015-11-13,572.00,582.00,569.50,580.00,1972000,566.825
2015-11-12,589.00,591.50,576.00,576.00,1602700,562.916
2015-11-11,588.00,594.00,586.50,588.00,1612800,574.643
2015-11-10,595.00,597.00,583.50,588.00,2530800,574.643
2015-11-09,615.50,617.00,594.459,594.50,2849500,580.996
2015-11-06,624.00,624.00,615.50,615.50,2054600,601.519
2015-11-05,610.50,624.50,609.332,620.50,2307700,606.405
2015-11-04,621.00,622.00,608.50,609.00,2574800,595.166
2015-11-03,632.00,632.00,619.00,621.50,1921600,607.383
2015-11-02,634.00,635.50,628.00,631.00,1966700,616.667
2015-10-30,646.00,646.00,633.00,636.50,2538000,622.042
2015-10-29,649.50,650.50,641.50,644.00,1206700,629.371
2015-10-28,642.00,648.50,641.50,647.50,1713700,632.792
2015-10-27,647.00,649.50,641.00,641.00,2910500,626.44
2015-10-26,644.50,648.50,641.00,647.00,1308900,632.303
2015-10-23,644.00,647.00,641.00,645.00,1372400,630.349
2015-10-22,631.00,642.50,629.00,642.00,1763900,627.417
2015-10-21,629.50,633.50,627.50,630.00,1248300,615.689
2015-10-20,626.00,631.50,624.50,629.00,1445400,614.712
2015-10-19,611.00,624.00,611.00,623.50,1472800,609.337
2015-10-16,614.00,615.50,611.00,614.50,1975500,600.542
2015-10-15,615.50,617.00,610.00,611.50,4511300,597.61
2015-10-14,614.00,614.50,610.00,612.50,1644700,598.587
2015-10-13,614.50,617.00,612.00,616.00,1703800,602.007
2015-10-12,618.00,620.00,613.50,614.50,1508700,600.542
2015-10-09,625.50,628.50,616.50,617.00,1896700,602.985
2015-10-08,619.50,627.50,618.00,623.50,2034100,609.337
2015-10-07,635.00,638.00,618.857,620.00,2848600,605.917
2015-10-06,638.00,638.00,631.00,631.00,1433600,616.667
2015-10-05,634.00,638.50,633.00,635.50,1792500,621.065
2015-10-02,625.00,628.50,616.00,623.50,1988800,609.337
2015-10-01,630.00,633.50,620.00,620.00,2978900,605.917
