Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,458.50,459.25,446.75,448.85,24849600,448.85
2016-02-17,448.05,457.90,446.00,456.95,30822600,456.95
2016-02-16,449.00,449.00,435.70,448.20,29034000,448.20
2016-02-15,445.60,448.75,442.45,446.40,24310400,446.40
2016-02-12,425.00,463.32,424.95,440.40,37659700,440.40
2016-02-11,434.00,435.95,420.15,420.15,55364400,420.15
2016-02-10,437.00,445.10,431.739,441.40,39108100,441.40
2016-02-09,437.45,445.40,428.80,432.50,49760300,432.50
2016-02-08,457.60,460.70,436.35,438.45,38523300,438.45
2016-02-05,461.20,467.90,456.90,457.85,30846700,457.85
2016-02-04,458.90,463.15,447.80,459.50,37235000,459.50
2016-02-03,465.00,467.30,444.45,449.45,51066700,449.45
2016-02-02,483.10,484.85,465.00,467.60,47887100,467.60
2016-02-01,493.35,496.95,478.55,484.40,31141400,484.40
2016-01-29,485.20,492.30,482.75,492.30,37312800,492.30
2016-01-28,480.15,488.55,475.50,477.65,32053000,477.65
2016-01-27,473.95,480.10,468.50,480.10,28572300,480.10
2016-01-26,465.30,477.798,462.50,474.50,30635300,474.50
2016-01-25,482.15,483.20,470.842,473.45,34869100,473.45
2016-01-22,478.55,484.35,475.80,479.55,24158900,479.55
2016-01-21,467.45,473.70,463.20,471.20,44713700,471.20
2016-01-20,479.05,479.857,461.80,465.80,41067800,465.80
2016-01-19,487.05,492.85,483.95,488.65,25729900,488.65
2016-01-18,486.00,488.30,477.05,479.70,39788800,479.70
2016-01-15,499.75,502.40,481.55,485.70,52475700,485.70
2016-01-14,502.10,506.30,493.80,502.00,32574500,502.00
2016-01-13,509.60,513.00,502.30,504.80,21091200,504.80
2016-01-12,500.60,508.90,498.05,505.10,27609800,505.10
2016-01-11,499.15,505.90,497.80,497.80,22280400,497.80
2016-01-08,504.80,510.50,499.10,499.10,29190800,499.10
2016-01-07,503.10,508.764,497.15,502.00,51224400,502.00
2016-01-06,519.20,521.227,502.969,508.30,40640900,508.30
2016-01-05,523.20,525.78,517.00,520.40,13629200,520.40
2016-01-04,528.00,530.00,516.70,520.40,23664100,520.40
2015-12-31,542.30,542.30,534.10,536.20,4748900,536.20
2015-12-30,542.00,542.20,534.60,537.80,11645000,537.80
2015-12-29,543.20,544.60,538.90,544.60,12214000,544.60
2015-12-24,539.60,541.90,539.20,541.30,3984200,541.30
2015-12-23,533.90,541.70,533.50,540.90,14190300,540.90
2015-12-22,531.90,532.90,525.50,529.60,9663800,529.60
2015-12-21,527.70,536.40,526.995,527.10,13352800,527.10
2015-12-18,530.40,536.10,527.40,529.20,35792600,529.20
2015-12-17,531.30,536.90,522.008,531.70,29402400,531.70
2015-12-16,515.10,527.20,512.85,520.80,30943300,520.80
2015-12-15,500.00,512.80,500.00,511.60,28543600,511.60
2015-12-14,501.60,507.60,492.30,494.15,26795500,494.15
2015-12-11,509.70,511.80,498.00,498.00,31446600,498.00
2015-12-10,512.00,515.60,508.80,510.80,21130300,510.80
2015-12-09,516.30,520.20,509.91,511.60,19640900,511.60
2015-12-08,519.60,521.732,510.19,511.60,24006000,511.60
2015-12-07,527.30,527.40,520.20,521.60,14795600,521.60
2015-12-04,526.00,527.30,518.80,523.30,23123900,523.30
2015-12-03,540.50,543.40,527.20,527.20,25400400,527.20
2015-12-02,540.90,542.40,538.90,540.50,14704500,540.50
2015-12-01,535.40,541.00,533.10,539.00,23100600,539.00
2015-11-30,531.90,533.60,528.10,529.50,23522800,529.50
2015-11-27,532.70,537.60,531.10,534.90,16293500,534.90
2015-11-26,534.00,541.13,531.30,540.00,13423100,540.00
2015-11-25,531.60,535.60,530.10,533.90,18448200,533.90
2015-11-24,532.40,533.20,517.676,530.10,20341800,530.10
2015-11-23,531.70,538.50,528.70,534.90,21748800,534.90
2015-11-20,530.00,532.30,523.50,531.10,27872400,531.10
2015-11-19,522.70,528.50,521.85,525.10,19629800,525.10
2015-11-18,516.00,524.487,516.00,520.80,19095100,520.80
2015-11-17,517.50,520.30,515.80,519.20,21699900,519.20
2015-11-16,510.70,515.70,508.20,511.30,18177900,511.30
2015-11-13,518.80,520.70,510.60,513.20,26380200,513.20
2015-11-12,527.30,530.50,520.50,521.00,25614400,521.00
2015-11-11,523.90,529.855,519.20,523.70,15970000,523.70
2015-11-10,529.60,531.40,520.40,523.40,19021700,523.40
2015-11-09,531.00,538.20,527.40,527.60,27210000,527.60
2015-11-06,517.90,531.20,514.90,527.80,34929900,527.80
2015-11-05,520.90,521.018,513.00,516.90,21247500,516.90
2015-11-04,508.00,523.50,507.10,519.10,35102000,519.10
2015-11-03,502.90,505.30,498.75,504.90,18161700,504.90
2015-11-02,503.20,505.60,498.75,503.50,15832600,503.50
2015-10-30,513.00,514.50,505.60,507.60,19094300,507.60
2015-10-29,516.50,518.40,509.00,512.80,18205500,512.80
2015-10-28,512.10,517.50,510.30,515.30,15539600,515.30
2015-10-27,514.20,516.684,511.20,511.50,13720900,511.50
2015-10-26,516.20,518.60,512.80,513.10,13470100,513.10
2015-10-23,511.20,523.10,506.353,518.00,24353600,518.00
2015-10-22,505.40,508.00,503.40,505.60,25051200,505.60
2015-10-21,517.30,518.30,510.60,512.80,16195600,506.199
2015-10-20,517.40,519.092,513.20,515.60,13808700,508.962
2015-10-19,520.20,523.20,515.30,517.30,13618400,510.641
2015-10-16,522.00,525.30,518.60,521.00,48915600,514.293
2015-10-15,519.50,520.40,514.60,519.00,16400300,512.319
2015-10-14,518.00,521.90,515.60,515.60,19659000,508.962
2015-10-13,530.50,530.50,516.10,520.50,20402200,513.799
2015-10-12,531.60,532.70,527.80,531.60,13171800,524.756
2015-10-09,531.20,535.236,525.60,532.20,18739000,525.349
2015-10-08,524.40,531.60,522.20,529.50,18813200,522.684
2015-10-07,523.40,535.00,519.50,528.70,31743100,521.894
2015-10-06,518.00,523.00,514.80,521.40,17968200,514.688
2015-10-05,515.00,521.90,510.70,521.30,21313200,514.589
2015-10-02,505.60,514.20,499.964,507.70,23520500,501.164
2015-10-01,506.90,510.20,500.40,503.00,19799600,496.525
2015-09-30,494.00,498.85,490.80,498.70,31783700,492.28
2015-09-29,483.85,489.60,481.50,485.55,23529200,479.299
2015-09-28,502.80,502.80,488.55,488.95,18568600,482.656
2015-09-25,495.60,504.70,494.50,503.60,22212800,497.117
2015-09-24,501.00,501.00,485.85,488.10,35478900,481.816
2015-09-23,491.90,502.95,491.801,498.75,26877300,492.329
2015-09-22,505.90,506.10,487.15,487.40,40792800,481.125
2015-09-21,493.05,499.75,492.60,495.10,24872100,488.726
2015-09-18,500.20,501.14,478.35,490.65,44984900,484.334
2015-09-17,509.60,510.30,501.97,502.50,33209500,496.031
2015-09-16,513.30,517.10,512.40,513.10,22489500,506.495
2015-09-15,503.40,511.50,497.05,508.80,20633800,502.25
2015-09-14,506.10,509.00,497.35,500.80,20718100,494.353
2015-09-11,506.90,507.50,501.80,504.30,17256900,497.808
2015-09-10,513.80,522.138,502.40,505.20,27435700,498.696
2015-09-09,517.10,522.90,516.00,518.90,27383600,512.22
2015-09-08,497.00,512.30,496.10,504.20,26118600,497.709
2015-09-07,497.95,499.75,492.50,494.00,14603900,487.641
2015-09-04,502.50,504.20,492.40,493.50,22848500,487.147
2015-09-03,504.00,508.60,502.10,506.70,21378800,500.177
2015-09-02,501.00,508.00,490.25,498.80,28615200,492.379
2015-09-01,515.90,517.20,495.05,499.00,37525400,492.576
2015-08-31,518.70,518.70,518.70,518.70,000,512.023
2015-08-28,518.80,520.30,512.20,518.70,40168600,512.023
2015-08-27,509.30,521.78,507.30,519.70,36544400,513.01
2015-08-26,504.00,506.70,495.15,496.20,37037900,489.812
2015-08-25,495.00,511.50,493.95,507.10,46314900,500.572
2015-08-24,508.30,514.60,482.55,487.75,61159100,481.471
2015-08-21,529.00,535.40,521.20,521.20,30153400,514.49
2015-08-20,537.00,541.10,534.30,535.20,26126500,528.31
2015-08-19,551.00,551.33,539.97,540.60,28985900,533.641
2015-08-18,555.30,558.20,553.10,556.00,17348600,548.842
2015-08-17,560.50,561.20,553.00,557.60,14262200,550.422
2015-08-14,562.10,563.70,555.789,558.00,16052000,550.817
2015-08-13,564.00,568.40,560.10,561.00,19969300,553.778
2015-08-12,574.00,574.00,560.00,563.60,35165700,549.984
2015-08-11,581.40,581.80,575.465,577.40,23151900,563.451
2015-08-10,589.60,594.40,576.30,584.10,80146800,569.989
2015-08-07,590.80,594.00,586.727,587.70,11089200,573.502
2015-08-06,589.80,593.40,588.30,590.40,15395600,576.136
2015-08-05,585.50,595.60,585.40,594.60,24578900,580.235
2015-08-04,581.80,584.50,577.20,582.20,18256500,568.135
2015-08-03,589.30,589.80,578.70,581.30,21832900,567.256
2015-07-31,576.40,581.475,575.00,579.70,21003000,565.695
2015-07-30,576.70,581.70,575.20,577.10,22112700,563.158
2015-07-29,574.70,578.10,572.80,576.50,19327300,562.572
2015-07-28,571.00,575.509,570.40,573.40,21201100,559.547
2015-07-27,566.90,568.76,561.70,564.10,21558500,550.472
2015-07-24,576.70,579.30,568.50,569.40,18846400,555.644
2015-07-23,581.30,583.50,577.964,579.20,19283600,565.207
2015-07-22,582.00,583.20,573.10,577.40,20569000,563.451
2015-07-21,588.20,588.60,585.20,586.40,13814800,572.233
2015-07-20,585.00,588.42,584.00,586.70,15201600,572.526
2015-07-17,581.50,584.48,579.70,580.20,15008400,566.183
2015-07-16,575.30,583.00,574.10,581.60,20650900,567.549
2015-07-15,570.80,575.90,568.30,573.30,15407800,559.45
2015-07-14,570.40,574.70,569.60,572.70,17898200,558.864
2015-07-13,572.40,575.80,567.00,575.20,23451200,561.304
2015-07-10,569.10,569.80,563.70,565.70,25366600,552.033
2015-07-09,564.80,569.90,559.20,564.00,30111300,550.374
2015-07-08,554.00,567.50,544.30,559.20,42457600,545.69
2015-07-07,569.80,571.60,558.60,558.60,23666700,545.105
2015-07-06,564.00,570.60,562.90,568.10,20652900,554.375
2015-07-03,577.20,577.90,569.90,572.90,13644300,559.059
2015-07-02,574.80,580.735,572.30,578.00,21346700,564.036
2015-07-01,574.30,574.70,566.90,570.90,36086200,557.108
2015-06-30,576.00,577.50,570.10,570.10,31038200,556.327
2015-06-29,575.60,584.33,573.50,577.10,29392600,563.158
2015-06-26,590.40,592.90,586.00,589.90,20769600,575.649
2015-06-25,600.00,602.40,594.10,594.30,33773300,579.942
2015-06-24,599.80,603.20,599.20,602.20,22444400,587.651
2015-06-23,602.00,604.10,599.00,600.90,20413100,586.383
2015-06-22,594.80,602.00,592.50,602.00,30373900,587.456
2015-06-19,586.10,593.40,585.40,590.80,59674700,576.527
2015-06-18,587.00,590.03,582.00,587.60,25515600,573.404
2015-06-17,593.80,608.40,589.60,590.80,22069400,576.527
2015-06-16,597.90,600.70,591.96,594.90,30153900,580.528
2015-06-15,605.70,606.50,599.00,600.00,18013000,585.504
2015-06-12,608.40,610.80,605.80,607.70,18068500,593.018
2015-06-11,612.80,614.90,608.30,611.30,22685500,596.531
2015-06-10,610.00,617.211,608.00,613.40,31591300,598.581
2015-06-09,621.10,633.218,610.80,613.70,31027200,598.874
2015-06-08,620.00,623.70,618.30,619.50,16584400,604.533
2015-06-05,617.00,620.70,611.10,618.90,21688300,603.948
2015-06-04,621.40,625.164,617.00,618.80,21624000,603.85
2015-06-03,621.90,630.20,618.10,625.30,26327800,610.193
2015-06-02,625.10,627.30,618.90,624.40,26535400,609.315
2015-06-01,624.90,633.10,619.00,624.20,26542000,609.12
2015-05-29,622.50,630.62,620.40,622.70,27951600,607.656
2015-05-28,618.70,626.80,616.30,623.60,19512800,608.534
2015-05-27,619.40,629.30,618.90,625.30,20194200,610.193
2015-05-26,624.40,627.30,616.20,617.00,25014300,602.094
2015-05-25,620.60,620.60,620.60,620.60,000,605.607
2015-05-22,616.80,623.60,616.40,620.60,32932000,605.607
2015-05-21,616.40,617.30,612.97,614.50,16759500,599.654
2015-05-20,618.60,625.03,616.80,622.90,19837400,598.093
2015-05-19,615.60,619.10,611.10,616.70,27874900,592.14
2015-05-18,615.10,622.00,614.00,618.60,15831400,593.964
2015-05-15,621.00,622.96,615.20,616.90,23527100,592.332
2015-05-14,610.10,618.20,607.00,617.60,20144300,593.004
2015-05-13,615.80,618.30,610.40,614.00,27390800,589.547
2015-05-12,626.30,627.00,614.40,620.00,29107100,595.308
2015-05-11,636.20,639.20,630.90,632.30,22491400,607.118
2015-05-08,640.00,641.16,631.811,641.10,29271000,615.568
2015-05-07,635.10,635.60,624.00,630.90,25020000,605.774
2015-05-06,630.80,638.99,626.246,632.40,25105700,607.215
2015-05-05,630.40,630.40,630.40,630.40,100,605.294
2015-05-04,646.30,646.30,646.30,646.30,000,620.561
2015-05-01,647.30,649.20,637.428,646.30,17522900,620.561
2015-04-30,644.70,674.57,561.592,648.10,34778800,622.289
2015-04-29,647.20,654.80,645.80,645.80,27146000,620.081
2015-04-28,647.90,650.10,640.10,647.40,32544700,621.617
2015-04-27,658.20,658.90,645.42,649.30,57245400,623.441
2015-04-24,610.80,635.50,610.10,629.70,41419400,604.622
2015-04-23,608.00,613.52,604.10,612.20,18459000,587.819
2015-04-22,612.70,612.80,603.10,607.50,21058200,583.306
2015-04-21,614.30,615.70,610.90,613.20,23271800,588.779
2015-04-20,605.10,614.40,603.623,613.30,29761800,588.875
