Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,532.00,547.50,528.00,541.50,10568900,541.50
2016-02-17,520.00,531.145,518.50,528.00,8811900,528.00
2016-02-16,508.00,525.50,506.00,518.00,12642200,518.00
2016-02-15,495.00,509.721,495.00,504.50,12084700,504.50
2016-02-12,481.70,486.00,473.10,479.80,9381800,479.80
2016-02-11,505.50,505.50,470.851,478.50,14059900,478.50
2016-02-10,488.10,512.645,480.70,507.00,10563000,507.00
2016-02-09,472.20,484.70,466.847,483.60,17574100,483.60
2016-02-08,511.00,511.99,470.037,475.30,15211900,475.30
2016-02-05,516.50,523.00,505.602,506.50,8433900,506.50
2016-02-04,529.50,532.50,503.50,514.50,14954800,514.50
2016-02-03,538.00,543.00,517.32,523.50,9569300,523.50
2016-02-02,553.50,556.25,536.39,541.00,9830300,541.00
2016-02-01,541.00,560.151,538.50,555.00,7588600,555.00
2016-01-29,529.50,539.50,509.50,539.50,11847400,539.50
2016-01-28,549.00,551.50,514.56,525.50,15430900,525.50
2016-01-27,561.00,562.518,550.50,552.50,7026200,552.50
2016-01-26,555.50,569.213,553.50,561.00,7102200,561.00
2016-01-25,563.00,568.18,558.02,562.00,6749500,562.00
2016-01-22,560.00,568.785,552.50,559.00,7416300,559.00
2016-01-21,548.00,555.59,542.363,552.00,9864900,552.00
2016-01-20,551.00,558.695,542.00,544.50,7779600,544.50
2016-01-19,555.00,565.063,553.50,561.50,7711500,561.50
2016-01-18,549.00,564.839,544.00,545.50,6611000,545.50
2016-01-15,564.00,570.94,549.50,551.00,12086600,551.00
2016-01-14,586.50,588.884,561.303,564.00,12337100,564.00
2016-01-13,604.00,607.00,587.00,589.50,8856400,589.50
2016-01-12,593.00,611.50,590.25,598.50,10389900,598.50
2016-01-11,587.00,595.832,580.098,589.50,5525200,589.50
2016-01-08,595.00,604.324,586.116,590.50,4880200,590.50
2016-01-07,593.50,598.50,577.856,590.00,8536200,590.00
2016-01-06,614.00,614.145,599.153,606.50,7672800,606.50
2016-01-05,599.50,615.704,598.97,596.00,5241200,596.00
2016-01-04,602.00,607.047,593.50,596.00,7615000,596.00
2015-12-31,611.50,614.675,607.00,610.50,1304800,610.50
2015-12-30,610.00,619.00,609.00,614.00,3612500,614.00
2015-12-29,604.00,611.35,603.65,609.50,3070900,609.50
2015-12-24,600.50,603.50,598.071,603.00,937900,603.00
2015-12-23,596.50,603.741,591.00,597.50,3784600,597.50
2015-12-22,599.00,600.996,587.902,592.50,4161000,592.50
2015-12-21,584.00,598.50,581.15,592.00,4358400,592.00
2015-12-18,594.50,596.50,585.00,588.50,5042700,588.50
2015-12-17,596.00,608.00,594.30,598.50,7045700,598.50
2015-12-16,585.00,591.00,583.00,585.00,5145300,585.00
2015-12-15,568.50,585.079,567.05,583.50,5747900,583.50
2015-12-14,567.00,579.555,560.407,565.50,6933900,565.50
2015-12-11,573.00,576.82,564.513,566.50,5329200,566.50
2015-12-10,574.00,586.913,566.153,573.00,7369800,573.00
2015-12-09,583.00,586.00,573.85,575.50,8068300,575.50
2015-12-08,587.00,601.00,576.866,583.50,8332400,583.50
2015-12-07,582.50,594.00,582.50,587.00,6530500,587.00
2015-12-04,572.00,587.50,567.00,584.00,8293800,574.00
2015-12-03,588.00,593.173,565.203,575.00,10383500,565.154
2015-12-02,584.00,589.50,578.304,586.50,6374800,576.457
2015-12-01,572.00,580.00,571.925,576.50,8063900,566.628
2015-11-30,560.00,806.107,560.00,567.00,14052300,557.291
2015-11-27,566.00,571.00,560.00,565.00,3902700,555.325
2015-11-26,553.00,572.00,550.00,567.00,4238000,557.291
2015-11-25,550.00,556.277,546.00,551.50,17928900,542.057
2015-11-24,564.50,565.60,542.00,549.50,13513600,540.091
2015-11-23,575.00,577.50,565.298,568.00,12882600,558.274
2015-11-20,582.50,585.00,574.50,577.00,5206300,567.12
2015-11-19,579.50,584.50,574.205,582.50,7788500,572.526
2015-11-18,587.00,588.50,571.50,573.00,8025000,563.188
2015-11-17,580.50,596.159,578.50,591.50,5999300,581.372
2015-11-16,575.00,580.781,566.50,576.00,12153900,566.137
2015-11-13,597.00,603.34,587.68,592.50,6884500,582.354
2015-11-12,596.00,606.95,585.36,596.00,14395400,585.795
2015-11-11,608.00,616.00,605.952,614.50,8062400,603.978
2015-11-10,600.00,609.64,593.50,606.50,9152200,596.115
2015-11-09,609.00,610.00,594.575,596.00,8208000,585.795
2015-11-06,602.50,606.00,589.516,602.00,11423100,591.692
2015-11-05,579.50,588.50,575.746,580.50,6672800,570.56
2015-11-04,587.00,590.352,578.50,579.50,7362800,569.577
2015-11-03,590.00,591.50,581.00,583.50,5193100,573.509
2015-11-02,570.00,587.625,568.00,587.50,7007900,577.44
2015-10-30,575.00,584.35,567.00,582.50,13860600,572.526
2015-10-29,612.00,617.68,592.188,597.50,8952200,587.269
2015-10-28,610.50,615.896,607.00,610.50,7848200,600.046
2015-10-27,607.50,614.25,604.00,610.50,6789900,600.046
2015-10-26,599.00,611.50,595.367,608.00,6194000,597.589
2015-10-23,592.50,603.263,590.50,598.50,9105500,588.252
2015-10-22,593.00,594.00,582.00,588.50,11026700,578.423
2015-10-21,595.00,599.50,582.875,593.50,7154500,583.337
2015-10-20,605.00,606.50,591.403,592.00,6728400,581.863
2015-10-19,592.50,604.00,592.495,603.50,4668500,593.166
2015-10-16,589.50,596.819,585.00,596.50,8089700,586.286
2015-10-15,580.00,586.50,572.50,586.50,7904300,576.457
2015-10-14,573.00,583.632,569.995,576.50,5711500,566.628
2015-10-13,573.50,579.00,569.50,576.50,6172300,566.628
2015-10-12,568.00,574.67,562.50,570.00,6630400,560.24
2015-10-09,561.50,565.50,551.50,562.50,8918300,552.868
2015-10-08,553.50,562.00,552.50,559.00,12118300,549.428
2015-10-07,577.00,587.463,553.00,553.50,15713100,544.022
2015-10-06,584.50,600.00,583.50,586.50,10724400,576.457
2015-10-05,581.00,585.50,575.467,584.50,8671400,574.491
2015-10-02,586.00,589.61,561.50,571.00,10733300,561.223
2015-10-01,593.50,597.23,577.50,580.00,7961900,570.068
2015-09-30,584.50,591.963,579.50,588.00,7467200,577.932
2015-09-29,582.00,590.437,567.27,570.00,14816500,560.24
2015-09-28,601.00,603.292,586.181,586.50,7642800,576.457
2015-09-25,593.00,605.00,590.00,604.00,8615200,593.658
2015-09-24,590.50,594.78,575.00,580.00,9807600,570.068
2015-09-23,568.50,597.50,566.856,594.00,11626600,583.829
2015-09-22,595.00,596.00,564.664,567.00,8738900,557.291
2015-09-21,596.50,602.87,593.15,594.50,5883400,584.32
2015-09-18,603.00,604.50,594.50,600.50,9684300,590.217
2015-09-17,600.50,611.82,596.50,604.00,10464200,593.658
2015-09-16,599.00,604.517,594.50,598.00,6810000,587.76
2015-09-15,590.50,600.00,587.00,596.00,6502900,585.795
2015-09-14,586.50,594.50,585.995,590.50,6433100,580.389
2015-09-11,581.00,587.50,576.83,583.50,6166300,573.509
2015-09-10,574.00,586.311,570.079,581.00,7842500,571.051
2015-09-09,586.00,589.50,576.827,578.00,10520700,568.103
2015-09-08,567.50,580.242,564.00,569.50,6104000,559.748
2015-09-07,570.00,574.50,558.925,564.50,4172600,554.834
2015-09-04,559.00,574.50,554.00,565.00,9915800,555.325
2015-09-03,561.00,571.00,555.50,564.50,12620000,554.834
2015-09-02,530.00,545.646,528.00,542.50,8888900,533.211
2015-09-01,529.00,546.32,520.247,528.00,9303100,518.959
2015-08-31,539.00,539.00,539.00,539.00,000,529.771
2015-08-28,545.50,546.50,534.00,539.00,7569600,529.771
2015-08-27,541.50,550.879,539.00,546.00,9767500,536.651
2015-08-26,514.00,536.427,508.323,531.50,12802600,522.399
