Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2479.00,2482.20,2428.00,2441.00,992800,2441.00
2016-02-17,2315.00,2472.00,2315.00,2470.00,1106000,2470.00
2016-02-16,2312.00,2323.00,2281.00,2306.00,1079600,2306.00
2016-02-15,2315.00,2319.04,2291.00,2299.00,507900,2299.00
2016-02-12,2216.00,2274.00,2216.00,2274.00,783800,2274.00
2016-02-11,2253.00,2254.00,2200.00,2203.00,868300,2203.00
2016-02-10,2250.00,2304.00,2224.00,2281.00,995000,2281.00
2016-02-09,2190.00,2243.00,2171.28,2234.00,1132200,2234.00
2016-02-08,2296.00,2303.00,2172.00,2184.00,1030000,2184.00
2016-02-05,2300.00,2324.00,2274.00,2284.00,896400,2284.00
2016-02-04,2305.00,2320.00,2250.00,2291.00,600300,2291.00
2016-02-03,2319.00,2320.00,2247.00,2270.00,850200,2270.00
2016-02-02,2345.00,2357.00,2302.03,2327.00,1090600,2327.00
2016-02-01,2317.00,2345.00,2308.00,2345.00,1318500,2345.00
2016-01-29,2302.00,2327.00,2268.00,2297.00,1192400,2297.00
2016-01-28,2309.00,2321.00,2254.00,2275.00,808500,2275.00
2016-01-27,2275.00,2328.00,2275.00,2323.00,960400,2323.00
2016-01-26,2250.00,2281.00,2229.00,2277.00,531700,2277.00
2016-01-25,2314.00,2314.00,2271.00,2284.00,694300,2284.00
2016-01-22,2276.00,2306.00,2250.00,2290.00,869400,2290.00
2016-01-21,2224.00,2245.00,2162.48,2240.00,1735000,2240.00
2016-01-20,2228.00,2241.00,2188.00,2211.00,1469400,2211.00
2016-01-19,2276.00,2292.00,2257.00,2274.00,847700,2274.00
2016-01-18,2267.00,2315.45,2233.00,2246.00,576500,2246.00
2016-01-15,2301.00,2340.00,2225.00,2268.00,1963800,2268.00
2016-01-14,2414.00,2414.00,2295.00,2309.00,2197100,2309.00
2016-01-13,2539.00,2544.00,2488.00,2488.00,729700,2488.00
2016-01-12,2523.00,2548.00,2503.00,2515.00,775200,2515.00
2016-01-11,2513.00,2544.00,2511.00,2525.00,644000,2525.00
2016-01-08,2491.00,2553.00,2482.00,2519.00,998600,2519.00
2016-01-07,2512.00,2529.00,2449.00,2485.00,1544200,2485.00
2016-01-06,2584.00,2584.00,2508.00,2538.00,906000,2538.00
2016-01-05,2621.00,2625.00,2574.00,2584.00,332000,2584.00
2016-01-04,2632.00,2632.00,2565.00,2584.00,1043400,2584.00
2015-12-31,2670.00,2670.00,2644.00,2658.00,163100,2658.00
2015-12-30,2654.00,2673.00,2636.00,2650.00,446800,2650.00
2015-12-29,2648.00,2669.00,2632.00,2658.00,639900,2658.00
2015-12-24,2662.00,2666.00,2625.00,2636.00,48300,2636.00
2015-12-23,2627.00,2658.00,2610.00,2647.00,452500,2647.00
2015-12-22,2606.00,2607.00,2556.00,2605.00,533200,2605.00
2015-12-21,2522.00,2608.00,2520.00,2591.00,742400,2591.00
2015-12-18,2561.00,2561.00,2495.37,2523.00,1141000,2523.00
2015-12-17,2600.00,2626.00,2570.00,2574.00,577100,2574.00
2015-12-16,2570.00,2574.00,2548.00,2560.00,555100,2560.00
2015-12-15,2537.00,2568.00,2511.00,2566.00,846600,2566.00
2015-12-14,2513.00,2549.00,2500.00,2511.00,773300,2511.00
2015-12-11,2529.00,2540.00,2485.00,2495.00,724200,2495.00
2015-12-10,2494.00,2570.00,2480.00,2520.00,1140900,2520.00
2015-12-09,2526.00,2531.00,2488.00,2489.00,549600,2489.00
2015-12-08,2564.00,2573.00,2512.00,2525.00,882400,2525.00
2015-12-07,2575.00,2619.00,2575.00,2583.00,551700,2583.00
2015-12-04,2569.00,2576.00,2549.00,2568.00,855500,2568.00
2015-12-03,2616.00,2660.00,2594.00,2603.00,1154400,2603.00
2015-12-02,2610.00,2638.00,2605.00,2623.00,803900,2623.00
2015-12-01,2574.00,2620.00,2563.00,2600.00,1003500,2600.00
2015-11-30,2497.00,2581.00,2497.00,2556.00,1118600,2556.00
2015-11-27,2473.00,2500.00,2467.00,2489.00,446500,2489.00
2015-11-26,2454.00,2481.00,2453.00,2480.00,599400,2480.00
2015-11-25,2456.00,2472.00,2437.00,2446.00,1426500,2446.00
2015-11-24,2471.00,2471.00,2397.00,2441.00,1239900,2441.00
2015-11-23,2491.00,2507.00,2472.00,2482.00,581100,2482.00
2015-11-20,2515.00,2516.00,2488.00,2502.00,717000,2502.00
2015-11-19,2493.00,2512.00,2483.00,2502.00,671700,2502.00
2015-11-18,2493.00,2494.00,2465.00,2465.00,874800,2465.00
2015-11-17,2486.00,2502.00,2458.00,2500.00,1175200,2500.00
2015-11-16,2453.00,2528.00,2405.00,2461.00,1844200,2461.00
2015-11-13,2544.00,2555.00,2497.00,2509.00,699800,2509.00
2015-11-12,2618.00,2618.21,2553.00,2555.00,812800,2555.00
2015-11-11,2617.00,2628.00,2602.00,2617.00,552200,2617.00
2015-11-10,2657.00,2658.00,2593.00,2605.00,1239100,2605.00
2015-11-09,2650.00,2678.00,2639.33,2640.00,2058500,2640.00
2015-11-06,2620.00,2800.00,2610.00,2774.00,2350300,2774.00
2015-11-05,2628.00,2652.00,2600.00,2612.00,961700,2612.00
2015-11-04,2625.00,2664.00,2610.00,2622.00,1825700,2622.00
2015-11-03,2640.00,2640.00,2595.00,2615.00,945100,2615.00
2015-11-02,2579.00,2609.00,2579.00,2592.00,723800,2592.00
2015-10-30,2561.00,2601.00,2558.00,2601.00,950200,2601.00
2015-10-29,2566.00,2582.00,2546.00,2566.00,686500,2566.00
2015-10-28,2516.00,2587.00,2502.00,2553.00,1230800,2553.00
2015-10-27,2498.00,2510.00,2487.00,2491.00,486400,2491.00
2015-10-26,2503.00,2512.00,2490.00,2504.00,319800,2504.00
2015-10-23,2473.00,2541.00,2464.00,2516.00,926600,2516.00
2015-10-22,2450.00,2474.11,2429.00,2462.00,778300,2462.00
2015-10-21,2458.00,2480.00,2412.00,2462.00,896500,2462.00
2015-10-20,2365.00,2476.00,2360.00,2471.00,1724600,2471.00
2015-10-19,2282.00,2313.00,2282.00,2311.00,569000,2311.00
2015-10-16,2319.00,2332.00,2281.00,2287.00,756900,2287.00
2015-10-15,2330.00,2340.00,2297.00,2314.00,718200,2314.00
2015-10-14,2369.00,2371.00,2316.00,2318.00,580900,2318.00
2015-10-13,2383.00,2392.00,2344.00,2388.00,621200,2388.00
2015-10-12,2423.00,2423.00,2357.00,2377.00,633900,2377.00
2015-10-09,2441.00,2447.00,2404.00,2426.00,882000,2426.00
