Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,4.283,4.29,4.21,4.233,1643600,4.233
2016-02-17,4.096,4.26,4.096,4.241,1502400,4.241
2016-02-16,4.144,4.174,4.08,4.094,2071000,4.094
2016-02-15,4.088,4.144,4.05896,4.123,1438200,4.123
2016-02-12,3.941,4.021,3.917,4.009,2160500,4.009
2016-02-11,4.003,4.01,3.898,3.898,2294700,3.898
2016-02-10,3.937,4.096,3.915,4.037,2075300,4.037
2016-02-09,4.062,4.07,3.891,3.92,2530800,3.92
2016-02-08,4.238,4.262,4.047,4.049,2591600,4.049
2016-02-05,4.278,4.34,4.214,4.22,2023700,4.22
2016-02-04,4.256,4.295,4.185,4.26,2363200,4.26
2016-02-03,4.283,4.289,4.129,4.182,2690900,4.182
2016-02-02,4.382,4.39003,4.288,4.308,1245700,4.308
2016-02-01,4.437,4.475,4.359,4.399,1769100,4.399
2016-01-29,4.386,4.42,4.368,4.42,3293300,4.42
2016-01-28,4.389,4.405,4.314,4.339,2423700,4.339
2016-01-27,4.37,4.396,4.324,4.396,2095400,4.396
2016-01-26,4.276,4.365,4.271,4.351,1959500,4.351
2016-01-25,4.42,4.454,4.333,4.356,2135900,4.356
2016-01-22,4.374,4.397,4.332,4.36,1275400,4.36
2016-01-21,4.183,4.291,4.165,4.268,2088800,4.268
2016-01-20,4.221,4.267,4.148,4.16,2403300,4.16
2016-01-19,4.33,4.368,4.297,4.314,1377100,4.314
2016-01-18,4.314,4.385,4.254,4.261,888200,4.261
2016-01-15,4.461,4.50,4.306,4.33,2315400,4.33
2016-01-14,4.537,4.5428,4.412,4.482,2088100,4.482
2016-01-13,4.56,4.635,4.544,4.596,2013800,4.596
2016-01-12,4.469,4.555,4.445,4.526,1621500,4.526
2016-01-11,4.47,4.52,4.431,4.464,1042500,4.464
2016-01-08,4.511,4.586,4.488,4.49,1388500,4.49
2016-01-07,4.548,4.581,4.467,4.512,2129000,4.512
2016-01-06,4.677,4.73,4.609,4.656,1874200,4.656
2016-01-05,4.669,4.73,4.659,4.718,1221400,4.718
2016-01-04,4.753,4.766,4.637,4.656,1500200,4.656
2016-01-01,3.975,3.975,3.975,3.975,000,3.975
2015-12-31,4.848,4.848,4.778,4.816,711200,4.816
2015-12-30,4.854,4.873,4.823,4.832,1065200,4.832
2015-12-29,4.827,4.858,4.76,4.858,1509900,4.858
2015-12-24,4.78,4.833,4.776,4.798,236400,4.798
2015-12-23,4.738,4.75857,4.687,4.753,1117300,4.753
2015-12-22,4.695,4.721,4.644,4.696,1405800,4.696
2015-12-21,4.664,4.723,4.653,4.66,1013900,4.66
2015-12-18,4.678,4.70944,4.651,4.667,2339400,4.667
2015-12-17,4.742,4.755,4.675,4.697,2123800,4.697
2015-12-16,4.649,4.705,4.6424,4.666,1368700,4.666
2015-12-15,4.541,4.639,4.516,4.639,2481100,4.639
2015-12-14,4.632,4.693,4.499,4.514,2871100,4.514
2015-12-11,4.756,4.784,4.63,4.63,2247600,4.63
2015-12-10,4.796,4.81,4.718,4.76,1732800,4.76
2015-12-09,4.832,4.938,4.771,4.872,1918000,4.872
2015-12-08,4.895,4.895,4.812,4.831,2370100,4.831
2015-12-07,4.832,4.911,4.8304,4.881,1373400,4.881
2015-12-04,4.78,4.832,4.742,4.813,1983100,4.813
2015-12-03,4.979,4.979,4.765,4.771,1714400,4.771
2015-12-02,5.05,5.05,4.952,4.97,1195500,4.97
2015-12-01,5.05,5.05,4.999,5.015,1678100,5.015
