Date,Open,High,Low,Close,Volume,Adj Close
2016-02-11,3495.50,3609.00,3483.00,3587.50,3862500,3587.50
2016-02-10,3547.00,3571.00,3492.00,3518.50,2548200,3518.50
2016-02-09,3542.00,3578.00,3493.00,3513.00,2477600,3513.00
2016-02-08,3492.50,3545.00,3460.50,3529.50,2268700,3529.50
2016-02-05,3601.50,3637.50,3493.00,3499.50,2563800,3499.50
2016-02-04,3711.00,3729.73,3591.50,3598.50,2504200,3598.50
2016-02-03,3776.00,3780.00,3707.00,3728.50,2145300,3679.40
2016-02-02,3805.00,3809.00,3706.67,3784.00,2142000,3734.169
2016-02-01,3800.50,3806.00,3728.50,3803.00,2291800,3752.919
2016-01-29,3720.00,3786.00,3693.50,3786.00,2864400,3736.143
2016-01-28,3673.50,3691.50,3619.50,3654.00,1640400,3605.881
2016-01-27,3600.00,3667.00,3565.50,3667.00,2065800,3618.71
2016-01-26,3562.00,3599.50,3465.25,3589.50,1923900,3542.231
2016-01-25,3579.00,3592.50,3555.50,3586.00,1476900,3538.777
2016-01-22,3503.50,3570.00,3475.50,3556.50,1915800,3509.665
2016-01-21,3477.50,3492.00,3427.00,3464.50,2838100,3418.877
2016-01-20,3511.00,3533.00,3439.00,3477.50,2884700,3431.705
2016-01-19,3595.00,3608.50,3554.00,3559.50,1737100,3512.626
2016-01-18,3519.00,3572.00,3515.00,3568.00,1890800,3521.014
2016-01-15,3529.50,3553.00,3480.50,3514.50,1964400,3468.218
2016-01-14,3578.00,3590.50,3524.00,3535.50,1774800,3488.942
2016-01-13,3609.00,3614.00,3560.50,3614.00,1686300,3566.408
2016-01-12,3530.50,3593.50,3503.50,3589.50,1839800,3542.231
2016-01-11,3508.50,3532.00,3482.50,3511.50,1311800,3465.258
2016-01-08,3538.00,3540.50,3499.50,3508.50,2012600,3462.297
2016-01-07,3550.00,3593.00,3517.50,3521.50,2631800,3475.126
2016-01-06,3549.50,3606.50,3534.00,3602.50,2006300,3555.059
2016-01-05,3554.50,3570.00,3488.00,3532.50,1191600,3485.981
2016-01-04,3556.00,3586.80,3514.00,3532.50,2138400,3485.981
2015-12-31,3556.50,3608.00,3550.50,3586.50,591800,3539.27
2015-12-30,3607.50,3614.00,3561.50,3588.50,893700,3541.244
2015-12-29,3565.50,3616.00,3517.50,3616.00,1405000,3568.382
2015-12-24,3550.00,3550.00,3506.50,3543.50,277500,3496.836
2015-12-23,3499.00,3551.50,3493.00,3543.50,981600,3496.836
2015-12-22,3489.50,3509.50,3466.00,3474.00,1026500,3428.252
2015-12-21,3461.00,3521.50,3458.50,3475.00,1057300,3429.238
2015-12-18,3497.00,3507.00,3462.00,3463.00,2743800,3417.396
2015-12-17,3541.00,3554.00,3506.00,3517.00,1366100,3470.685
2015-12-16,3494.00,3505.00,3473.00,3495.00,1391300,3448.975
2015-12-15,3431.00,3506.00,3428.00,3488.00,2302000,3442.067
2015-12-14,3408.00,3449.00,3396.00,3400.00,2108500,3355.226
2015-12-11,3450.00,3470.00,3393.00,3403.00,2303700,3358.187
2015-12-10,3454.00,3478.00,3441.00,3442.00,2250700,3396.673
2015-12-09,3532.00,3534.00,3482.00,3482.00,1674700,3436.146
2015-12-08,3558.00,3590.00,3512.00,3515.00,1440200,3468.712
2015-12-07,3566.00,3601.00,3552.00,3558.00,1428200,3511.145
2015-12-04,3549.00,3577.00,3531.00,3551.00,1752400,3504.238
2015-12-03,3625.00,3646.00,3551.00,3562.00,2175900,3515.093
2015-12-02,3635.00,3648.00,3609.00,3621.00,1293700,3573.316
2015-12-01,3617.00,3619.00,3584.00,3616.00,1834700,3568.382
2015-11-30,3612.00,3614.00,3573.00,3588.00,2210300,3540.75
2015-11-27,3593.00,3625.00,3578.00,3611.00,1500800,3563.447
2015-11-26,3570.00,3610.40,3569.00,3606.00,1478100,3558.513
2015-11-25,3520.00,3574.00,3505.00,3555.00,1803000,3508.185
2015-11-24,3564.00,3564.00,3514.00,3530.00,1863800,3483.514
2015-11-23,3589.00,3605.00,3549.00,3557.00,1869300,3510.159
2015-11-20,3509.00,3665.00,3493.00,3553.00,6549200,3506.211
2015-11-19,3540.00,3552.00,3492.00,3492.00,3423600,3446.015
2015-11-18,3596.00,3599.00,3560.00,3570.00,2537800,3474.534
2015-11-17,3639.00,3648.00,3539.00,3600.00,3235100,3503.732
2015-11-16,3457.00,3600.00,3443.00,3589.00,3973900,3493.026
2015-11-13,3477.00,3479.00,3414.00,3454.00,3298200,3361.636
2015-11-12,3506.00,3513.00,3473.00,3475.00,1793500,3382.074
2015-11-11,3483.00,3503.00,3442.90,3501.00,1766500,3407.379
2015-11-10,3452.00,3471.00,3421.10,3471.00,1470100,3378.181
2015-11-09,3498.00,3504.00,3448.00,3454.00,2007800,3361.636
2015-11-06,3516.00,3539.67,3498.00,3505.00,2280700,3411.272
2015-11-05,3526.00,3534.00,3498.00,3503.00,1529900,3409.326
2015-11-04,3511.00,3530.00,3497.00,3515.00,1861400,3421.005
2015-11-03,3512.00,3535.00,3470.00,3505.00,1838000,3411.272
2015-11-02,3464.00,3559.00,3459.00,3497.00,3396200,3403.486
2015-10-30,3531.00,3567.00,3464.00,3499.00,3908700,3405.433
2015-10-29,3501.00,3520.00,3480.00,3520.00,3365600,3425.871
2015-10-28,3471.00,3514.00,3457.00,3500.00,1855500,3406.406
2015-10-27,3488.00,3509.60,3454.00,3454.00,1634900,3361.636
2015-10-26,3480.00,3507.00,3466.00,3495.00,959900,3401.539
2015-10-23,3534.00,3537.80,3492.00,3499.00,1644800,3405.433
2015-10-22,3503.00,3530.00,3499.00,3513.00,1273800,3419.058
2015-10-21,3483.00,3534.00,3466.40,3502.00,1220500,3408.352
2015-10-20,3488.00,3500.00,3464.00,3470.00,1347800,3377.208
2015-10-19,3484.00,3558.06,3472.00,3488.00,1033500,3394.727
2015-10-16,3464.00,3490.00,3439.00,3490.00,1769000,3396.673
2015-10-15,3454.00,3488.00,3440.99,3466.00,2791700,3373.315
2015-10-14,3432.00,3464.34,3427.00,3440.00,1468400,3348.01
2015-10-13,3452.00,3484.00,3436.00,3456.00,1811700,3363.582
2015-10-12,3450.00,3450.00,3412.00,3441.00,1698000,3348.984
2015-10-09,3490.00,3490.28,3446.00,3455.00,2116100,3362.609
2015-10-08,3430.00,3476.00,3425.00,3467.00,2106800,3374.288
2015-10-07,3490.00,3514.00,3416.00,3428.00,3530300,3336.331
2015-10-06,3383.00,3446.00,3367.00,3426.00,2860600,3334.385
2015-10-05,3392.00,3400.00,3351.00,3377.00,3123100,3286.695
2015-10-02,3370.00,3403.00,3324.00,3369.00,3392500,3278.909
2015-10-01,3446.00,3448.00,3323.00,3356.00,3061400,3266.257
2015-09-30,3380.00,3423.00,3365.00,3413.00,3532600,3321.732
2015-09-29,3399.00,3400.00,3329.00,3334.00,3638200,3244.845
2015-09-28,3515.00,3515.00,3439.00,3440.00,2446400,3348.01
2015-09-25,3466.00,3538.00,3415.00,3514.00,3860000,3420.031
2015-09-24,3397.00,3468.00,3371.00,3465.00,5190800,3372.342
2015-09-23,3310.00,3408.00,3309.00,3399.00,3083400,3308.107
2015-09-22,3345.00,3356.00,3291.25,3320.00,2779400,3231.219
2015-09-21,3314.00,3367.00,3314.00,3354.00,1702700,3264.31
2015-09-18,3369.00,3372.00,3264.00,3325.00,7573500,3236.085
2015-09-17,3374.00,3396.00,3354.33,3369.00,5660500,3278.909
2015-09-16,3284.00,3355.00,3279.00,3352.00,2400600,3262.363
2015-09-15,3269.00,3274.00,3234.00,3272.00,2977100,3184.503
2015-09-14,3251.00,3288.00,3242.00,3254.00,1581400,3166.984
2015-09-11,3287.00,3287.00,3239.00,3239.00,1763100,3152.385
2015-09-10,3242.00,3284.00,3231.00,3270.00,2186600,3182.556
2015-09-09,3257.00,3282.34,3231.00,3265.00,2133900,3177.69
2015-09-08,3177.00,3215.00,3176.00,3200.00,1833400,3114.428
2015-09-07,3161.00,3175.00,3135.00,3165.00,1168000,3080.364
2015-09-04,3152.00,3162.17,3128.00,3133.00,1427200,3049.22
2015-09-03,3162.00,3193.00,3142.00,3185.00,1855100,3099.829
2015-09-02,3127.00,3146.00,3096.00,3125.00,1878900,3041.434
2015-09-01,3128.00,3137.00,3091.00,3113.00,2270700,3029.755
2015-08-31,3159.00,3159.00,3159.00,3159.00,000,3074.525
2015-08-28,3141.00,3159.00,3097.00,3159.00,1957500,3074.525
2015-08-27,3139.00,3154.00,3085.00,3135.00,2822800,3051.166
2015-08-26,3090.00,3133.00,3055.00,3098.00,3462600,2994.328
2015-08-25,3028.00,3118.00,3026.00,3116.00,7602900,3011.726
2015-08-24,3007.00,3061.00,2926.00,2991.00,3823800,2890.909
2015-08-21,3144.00,3249.43,3099.00,3099.00,2067000,2995.294
