Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,290.00,290.60,287.40,288.50,1455600,288.50
2016-02-17,283.50,289.70,283.50,289.70,2338900,289.70
2016-02-16,287.00,288.60,282.00,283.00,1827500,283.00
2016-02-15,280.80,284.90,280.10,283.20,1548400,283.20
2016-02-12,274.00,276.30,270.39,275.80,2894700,275.80
2016-02-11,279.50,279.50,269.20,269.80,2864000,269.80
2016-02-10,277.00,282.00,276.80,279.50,1907400,279.50
2016-02-09,279.70,280.90,273.80,274.40,3215500,274.40
2016-02-08,289.70,289.90,279.50,280.90,2589800,280.90
2016-02-05,289.00,293.00,288.20,288.60,2371100,288.60
2016-02-04,295.90,298.20,287.60,289.70,2482400,289.70
2016-02-03,290.90,294.632,287.30,289.50,1926300,289.50
2016-02-02,296.30,297.40,289.90,290.50,2096400,290.50
2016-02-01,299.20,299.20,292.42,297.70,1748800,297.70
2016-01-29,291.10,299.00,289.40,299.00,2643100,299.00
2016-01-28,288.20,291.70,287.40,288.30,2509600,288.30
2016-01-27,290.30,291.045,286.80,290.00,1998500,290.00
2016-01-26,290.20,291.60,288.00,289.30,3269200,289.30
2016-01-25,294.00,295.40,291.50,294.30,1591800,294.30
2016-01-22,290.70,294.20,287.90,294.20,1958700,294.20
2016-01-21,284.90,290.30,283.30,287.90,2519400,287.90
2016-01-20,285.50,286.80,281.80,283.10,2958500,283.10
2016-01-19,292.90,295.60,289.70,290.20,2359000,290.20
2016-01-18,292.60,294.50,287.40,288.00,2201400,288.00
2016-01-15,295.10,297.40,292.00,293.30,3023400,293.30
2016-01-14,298.00,300.40,296.10,297.50,2550000,297.50
2016-01-13,299.70,305.80,294.20,302.10,2140200,302.10
2016-01-12,297.00,304.90,293.10,300.90,1819000,300.90
2016-01-11,297.20,301.20,293.60,297.20,1816100,297.20
2016-01-08,301.00,304.40,297.70,299.70,3025400,299.70
2016-01-07,305.00,307.30,300.40,305.00,2291800,305.00
2016-01-06,312.50,313.40,308.60,310.80,1489700,310.80
2016-01-05,312.10,315.30,310.20,311.20,1002700,311.20
2016-01-04,313.10,313.90,309.20,311.20,1576800,311.20
2015-12-31,319.30,320.80,317.30,317.30,644700,317.30
2015-12-30,325.90,325.90,320.70,321.50,781100,321.50
2015-12-29,324.70,326.40,322.80,326.40,899000,326.40
2015-12-24,321.60,324.70,321.60,322.30,166800,322.30
2015-12-23,318.20,320.80,315.95,320.20,952200,320.20
2015-12-22,314.30,316.90,311.20,315.00,1202400,315.00
2015-12-21,313.60,319.40,312.50,312.50,1144200,312.50
2015-12-18,315.80,320.70,314.10,314.10,3319900,314.10
2015-12-17,319.60,327.00,316.50,317.70,2446300,317.70
2015-12-16,309.70,313.90,309.20,312.90,1542000,312.90
2015-12-15,303.50,312.00,302.59,309.80,2745300,309.80
2015-12-14,306.30,309.80,301.50,301.50,1858800,301.50
2015-12-11,307.10,308.50,303.00,303.70,3615100,303.70
2015-12-10,308.70,314.00,306.80,308.30,1899600,308.30
2015-12-09,311.40,312.80,308.90,310.30,1826400,310.30
2015-12-08,313.30,313.751,310.00,311.30,1974800,311.30
2015-12-07,311.00,318.70,308.10,313.20,2074600,313.20
2015-12-04,315.20,315.20,307.00,311.00,3362700,311.00
2015-12-03,323.00,326.50,316.30,316.30,2481200,316.30
2015-12-02,328.90,329.30,324.50,324.90,1670600,324.90
2015-12-01,324.30,328.20,321.30,328.00,2176000,328.00
2015-11-30,322.30,324.50,321.70,323.50,2562400,323.50
2015-11-27,317.80,323.50,316.90,323.30,1063400,323.30
2015-11-26,323.30,323.40,320.70,321.80,1300300,321.80
2015-11-25,320.70,323.70,320.00,323.70,1692800,323.70
2015-11-24,321.50,321.80,317.20,320.20,1581400,320.20
2015-11-23,324.20,324.90,321.20,323.00,1927700,323.00
2015-11-20,327.90,329.40,325.70,327.90,1902100,327.90
2015-11-19,323.40,326.60,321.00,326.60,1541200,326.60
2015-11-18,321.30,322.20,318.50,321.80,1663600,321.80
2015-11-17,320.20,324.50,317.70,324.50,2524400,324.50
2015-11-16,312.70,317.00,312.035,317.00,1902100,317.00
2015-11-13,316.20,319.00,313.80,315.30,1928300,315.30
2015-11-12,324.60,324.80,318.10,318.30,1697600,318.30
2015-11-11,323.40,324.90,321.10,323.10,1541700,323.10
2015-11-10,326.10,327.20,319.30,322.90,2045500,322.90
2015-11-09,337.90,337.90,324.523,324.60,2519700,324.60
2015-11-06,339.70,340.90,336.30,337.00,1575000,337.00
2015-11-05,338.20,339.50,335.20,338.40,1659900,338.40
