Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,993.50,1003.00,993.50,998.00,844400,998.00
2016-02-17,972.00,1002.00,965.00,992.50,866800,992.50
2016-02-16,971.50,987.00,963.50,971.50,1184100,971.50
2016-02-15,961.00,976.00,953.50,968.50,962500,968.50
2016-02-12,941.00,948.50,929.50,946.50,1059400,946.50
2016-02-11,964.50,969.125,932.00,932.00,1636800,932.00
2016-02-10,955.00,985.50,938.00,969.50,2160600,969.50
2016-02-09,949.50,967.708,934.50,948.00,1806100,948.00
2016-02-08,1017.00,1060.67,946.50,948.50,2744900,948.50
2016-02-05,1067.00,1079.00,1018.00,1020.00,1780400,1020.00
2016-02-04,1098.00,1098.00,1065.00,1068.00,1001200,1068.00
2016-02-03,1081.00,1089.00,1072.00,1082.00,1011700,1082.00
2016-02-02,1111.00,1120.75,1086.00,1089.00,1585000,1089.00
2016-02-01,1104.00,1118.00,1097.00,1116.00,1311500,1116.00
2016-01-29,1062.00,1100.00,1056.00,1100.00,2255400,1100.00
2016-01-28,1069.00,1072.00,1044.00,1046.00,1012100,1046.00
2016-01-27,1067.00,1071.00,1060.00,1071.00,1213000,1071.00
2016-01-26,1056.00,1069.50,1053.00,1065.00,1044500,1065.00
2016-01-25,1079.00,1083.00,1056.00,1070.00,1212000,1070.00
2016-01-22,1049.00,1077.00,1045.00,1073.00,1567900,1073.00
2016-01-21,1032.00,1040.00,1013.44,1036.00,1331500,1036.00
2016-01-20,1038.00,1044.00,1022.00,1030.00,1263000,1030.00
2016-01-19,1056.00,1061.00,1048.00,1054.00,1248200,1054.00
2016-01-18,1028.00,1052.00,1028.00,1040.00,2181100,1040.00
2016-01-15,1055.00,1068.00,1024.00,1032.00,1705600,1032.00
2016-01-14,1100.00,1100.00,1054.00,1055.00,1682500,1055.00
2016-01-13,1119.00,1131.75,1109.00,1111.00,1071900,1111.00
2016-01-12,1101.00,1112.28,1097.00,1110.00,1547900,1110.00
2016-01-11,1104.00,1114.00,1087.00,1107.00,1013900,1107.00
2016-01-08,1113.00,1118.00,1106.00,1106.00,1043800,1106.00
2016-01-07,1092.00,1109.00,1078.00,1109.00,1030000,1109.00
2016-01-06,1109.00,1114.00,1100.30,1111.00,658700,1111.00
2016-01-05,1121.00,1132.00,1109.00,1115.00,408400,1115.00
2016-01-04,1127.00,1133.00,1109.00,1115.00,1071000,1115.00
2015-12-31,1140.00,1150.00,1135.00,1137.00,272600,1137.00
2015-12-30,1143.00,1153.00,1129.00,1140.00,468200,1140.00
2015-12-29,1136.00,1150.00,1128.00,1148.00,599900,1148.00
2015-12-24,1141.00,1141.00,1113.00,1130.00,112400,1130.00
