Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2924.00,2936.00,2888.00,2909.00,395800,2909.00
2016-02-17,2767.00,2915.00,2767.00,2906.00,610500,2906.00
2016-02-16,2738.00,2784.00,2731.00,2767.00,256300,2767.00
2016-02-15,2702.00,2737.00,2702.00,2727.00,202500,2727.00
2016-02-12,2646.00,2690.00,2643.00,2668.00,488000,2668.00
2016-02-11,2653.00,2653.00,2569.00,2628.00,344600,2628.00
2016-02-10,2689.00,2696.00,2650.00,2666.00,341400,2666.00
2016-02-09,2720.00,2748.00,2659.00,2679.00,622000,2679.00
2016-02-08,2796.00,2799.00,2708.00,2718.00,444900,2718.00
2016-02-05,2805.00,2834.00,2776.00,2782.00,430000,2782.00
2016-02-04,2799.00,2818.00,2757.00,2799.00,455500,2799.00
2016-02-03,2762.00,2798.00,2740.00,2753.00,480400,2753.00
2016-02-02,2795.00,2800.00,2756.00,2767.00,409000,2767.00
2016-02-01,2840.00,2848.00,2775.00,2796.00,383200,2796.00
2016-01-29,2807.00,2850.00,2782.00,2830.00,781500,2830.00
2016-01-28,2730.00,2801.00,2715.00,2776.00,502500,2776.00
2016-01-27,2755.00,2770.00,2733.00,2763.00,426800,2763.00
2016-01-26,2741.00,2759.00,2719.12,2752.00,1052500,2752.00
2016-01-25,2795.00,2801.00,2771.00,2780.00,384100,2780.00
2016-01-22,2765.00,2785.00,2754.00,2775.00,315700,2775.00
2016-01-21,2689.00,2733.00,2689.00,2725.00,390700,2725.00
2016-01-20,2686.00,2710.00,2675.00,2685.00,726600,2685.00
2016-01-19,2696.00,2732.00,2692.00,2725.00,462400,2725.00
2016-01-18,2652.00,2690.00,2643.00,2655.00,197800,2655.00
2016-01-15,2713.00,2733.00,2632.00,2656.00,357300,2656.00
2016-01-14,2722.00,2732.00,2680.00,2714.00,454400,2714.00
2016-01-13,2753.00,2754.00,2735.00,2752.00,392000,2752.00
2016-01-12,2690.00,2738.00,2675.00,2725.00,379800,2725.00
2016-01-11,2658.00,2715.00,2653.00,2689.00,360500,2689.00
2016-01-08,2682.00,2710.00,2658.00,2658.00,994900,2658.00
2016-01-07,2656.00,2695.00,2629.00,2682.00,456100,2682.00
2016-01-06,2736.00,2744.00,2693.00,2722.00,690000,2722.00
2016-01-05,2761.00,2779.00,2728.00,2748.00,89600,2748.00
2016-01-04,2745.00,2748.00,2714.00,2748.00,322200,2748.00
2015-12-31,2811.00,2811.00,2767.00,2777.00,43200,2777.00
2015-12-30,2798.00,2826.00,2792.00,2796.00,195800,2796.00
2015-12-29,2810.00,2810.00,2764.00,2806.00,227300,2806.00
2015-12-24,2795.00,2806.00,2782.00,2790.00,22800,2790.00
2015-12-23,2747.00,2781.00,2747.00,2778.00,171600,2778.00
2015-12-22,2723.00,2736.00,2699.00,2730.00,180100,2730.00
2015-12-21,2700.00,2737.00,2694.00,2706.00,210200,2706.00
2015-12-18,2729.00,2731.00,2700.00,2715.00,391900,2715.00
2015-12-17,2732.00,2752.00,2715.00,2738.00,830100,2738.00
2015-12-16,2676.00,2721.00,2671.00,2680.00,537900,2680.00
2015-12-15,2679.00,2698.00,2647.00,2684.00,390000,2684.00
2015-12-14,2671.00,2694.00,2661.00,2661.00,560800,2661.00
2015-12-11,2699.00,2716.00,2651.00,2676.00,692800,2676.00
2015-12-10,2702.00,2726.00,2679.00,2708.00,554600,2708.00
2015-12-09,2803.00,2810.00,2762.00,2762.00,348800,2762.00
2015-12-08,2867.00,2878.00,2800.00,2800.00,756700,2800.00
2015-12-07,2862.00,2887.00,2857.00,2867.00,259700,2867.00
2015-12-04,2826.00,2856.00,2804.00,2853.00,365600,2853.00
2015-12-03,2877.00,2949.00,2842.00,2842.00,434200,2842.00
2015-12-02,2863.00,2881.00,2854.00,2873.00,285000,2873.00
2015-12-01,2846.00,2876.00,2837.00,2866.00,473800,2866.00
2015-11-30,2753.00,2827.00,2753.00,2827.00,515700,2827.00
2015-11-27,2729.00,2773.00,2724.00,2756.00,243800,2756.00
2015-11-26,2745.00,2761.00,2740.00,2747.00,211600,2747.00
2015-11-25,2676.00,2759.00,2671.00,2740.00,387300,2740.00
2015-11-24,2645.00,2678.00,2613.00,2665.00,1184200,2665.00
2015-11-23,2618.00,2630.00,2581.00,2581.00,400900,2581.00
2015-11-20,2662.00,2663.00,2635.00,2639.00,232300,2639.00
2015-11-19,2657.00,2674.00,2644.00,2657.00,375200,2657.00
2015-11-18,2634.00,2653.00,2624.00,2639.00,355000,2639.00
2015-11-17,2589.00,2646.00,2581.00,2646.00,221600,2646.00
2015-11-16,2530.00,2575.00,2530.00,2563.00,195400,2563.00
2015-11-13,2527.00,2552.00,2511.00,2550.00,308400,2550.00
2015-11-12,2588.00,2588.00,2530.00,2530.00,261500,2530.00
2015-11-11,2542.00,2595.00,2539.00,2589.00,286100,2589.00
2015-11-10,2570.00,2581.00,2525.00,2534.00,359100,2534.00
2015-11-09,2616.00,2616.00,2558.00,2561.00,245600,2561.00
2015-11-06,2604.00,2637.00,2597.00,2607.00,288100,2607.00
2015-11-05,2700.00,2704.50,2597.00,2604.00,558400,2604.00
2015-11-04,2641.00,2708.00,2636.00,2697.00,356800,2697.00
2015-11-03,2618.00,2638.00,2608.00,2633.00,464800,2633.00
2015-11-02,2618.00,2642.00,2610.00,2616.00,357300,2616.00
2015-10-30,2610.00,2642.00,2609.00,2625.00,449700,2625.00
2015-10-29,2600.00,2602.30,2579.00,2595.00,279400,2595.00
2015-10-28,2579.00,2607.00,2559.00,2598.00,229000,2598.00
2015-10-27,2603.00,2605.00,2568.00,2568.00,206200,2568.00
2015-10-26,2609.00,2630.84,2601.00,2612.00,250300,2612.00
2015-10-23,2576.00,2610.00,2575.00,2606.00,260000,2606.00
2015-10-22,2587.00,2594.00,2545.00,2563.00,295900,2563.00
2015-10-21,2604.00,2611.00,2581.00,2593.00,258000,2593.00
2015-10-20,2610.00,2613.00,2586.00,2593.00,271900,2593.00
2015-10-19,2568.00,2597.00,2564.00,2593.00,159400,2593.00
2015-10-16,2633.00,2636.00,2577.00,2586.00,399900,2586.00
2015-10-15,2600.00,2629.00,2587.00,2615.00,453800,2615.00
