Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,253.40,254.30,248.50,249.60,8306100,249.60
2016-02-17,245.70,252.60,245.70,252.00,9813300,252.00
2016-02-16,244.70,245.10,240.90,244.90,9963100,244.90
2016-02-15,245.00,246.20,243.10,243.50,5047600,243.50
2016-02-12,240.40,241.70,237.70,241.10,10969000,241.10
2016-02-11,241.00,242.50,234.90,238.00,13689000,238.00
2016-02-10,244.30,246.84,239.70,242.30,12065000,242.30
2016-02-09,235.60,243.40,235.039,241.50,16467500,241.50
2016-02-08,257.40,257.40,235.579,237.00,19576900,237.00
2016-02-05,264.70,267.10,255.50,255.50,12808600,255.50
2016-02-04,267.20,267.80,262.10,264.50,8110900,264.50
2016-02-03,268.10,268.80,261.90,263.70,9472800,263.70
2016-02-02,271.80,272.90,266.40,268.10,9501800,268.10
2016-02-01,267.00,270.50,265.20,270.50,9042200,270.50
2016-01-29,263.90,266.80,260.80,266.80,11536300,266.80
2016-01-28,265.90,266.40,258.20,259.30,9096400,259.30
2016-01-27,261.10,266.70,257.50,266.70,9037100,266.70
2016-01-26,260.00,260.70,257.10,260.00,8478800,260.00
2016-01-25,264.70,265.451,261.30,262.90,5057200,262.90
2016-01-22,260.00,263.00,257.70,262.20,11324300,262.20
2016-01-21,250.40,254.90,249.783,253.90,13348400,253.90
2016-01-20,258.80,259.90,252.30,254.20,8354100,254.20
2016-01-19,262.30,265.40,259.864,262.80,14595100,262.80
2016-01-18,259.70,262.10,257.07,257.50,11438900,257.50
2016-01-15,259.80,262.00,255.40,259.40,13417300,259.40
2016-01-14,264.90,265.20,255.90,259.80,19096500,259.80
2016-01-13,271.00,272.20,267.00,268.10,7695300,268.10
2016-01-12,266.10,273.30,265.40,269.20,8780400,269.20
2016-01-11,265.30,268.80,264.00,266.10,7106400,266.10
2016-01-08,268.80,273.40,266.50,266.50,12545900,266.50
2016-01-07,263.50,268.00,261.80,268.00,14264900,268.00
2016-01-06,270.00,270.60,265.80,268.80,7868900,268.80
2016-01-05,272.50,274.80,269.97,269.80,5543500,269.80
2016-01-04,275.40,275.40,268.90,269.80,5933700,269.80
2015-12-31,277.00,277.70,276.30,276.60,2238800,276.60
2015-12-30,277.90,278.10,275.70,276.50,3965800,276.50
2015-12-29,277.00,279.10,274.30,278.00,4712700,278.00
2015-12-24,277.80,278.00,273.00,275.00,762400,275.00
2015-12-23,270.10,275.90,269.735,275.00,6061000,275.00
2015-12-22,269.00,270.30,264.91,268.80,7453300,268.80
2015-12-21,266.20,275.10,266.20,271.50,14098300,271.50
2015-12-18,265.30,266.45,263.00,263.80,9323800,263.80
2015-12-17,270.00,270.00,266.50,267.50,9402900,267.50
2015-12-16,266.40,267.40,265.20,266.00,13853800,266.00
2015-12-15,263.40,266.90,262.50,266.00,7272900,266.00
2015-12-14,263.30,266.40,261.40,261.40,10976400,261.40
2015-12-11,264.20,265.80,262.10,262.30,10912700,262.30
2015-12-10,262.60,265.10,259.90,264.20,8585700,264.20
2015-12-09,267.00,267.90,263.20,263.50,7300500,263.50
2015-12-08,270.90,271.60,264.70,266.10,8266500,266.10
2015-12-07,269.80,274.20,268.80,270.30,12535600,270.30
2015-12-04,267.90,269.30,265.40,267.90,6065000,267.90
2015-12-03,272.70,275.50,268.10,268.50,8015100,268.50
2015-12-02,273.20,275.30,270.20,272.50,5148300,272.50
2015-12-01,272.80,273.40,270.60,272.60,6703000,272.60
2015-11-30,269.40,272.10,268.80,271.00,13102600,271.00
2015-11-27,266.00,267.80,264.70,267.60,4314800,267.60
2015-11-26,265.30,267.40,263.80,266.40,4009100,266.40
2015-11-25,260.10,265.10,259.90,264.50,5588900,264.50
2015-11-24,261.60,261.70,256.70,258.70,6334500,258.70
2015-11-23,262.60,264.12,261.70,262.50,7513300,262.50
2015-11-20,267.30,268.40,263.80,264.00,10544200,264.00
2015-11-19,269.30,269.70,266.60,267.20,9533600,267.20
2015-11-18,269.00,269.00,266.10,267.30,7535100,267.30
2015-11-17,267.70,270.30,266.90,269.90,11272100,269.90
2015-11-16,257.00,265.50,256.60,264.90,10153100,264.90
2015-11-13,262.80,262.825,259.10,260.00,9112900,260.00
2015-11-12,265.50,266.90,262.40,262.90,8942700,262.90
2015-11-11,262.30,265.40,260.76,265.10,8700700,265.10
2015-11-10,262.00,262.90,257.00,261.50,14822400,261.50
2015-11-09,256.70,257.70,255.50,256.80,10285500,256.80
2015-11-06,254.00,258.10,253.80,256.00,6217900,256.00
2015-11-05,255.20,256.70,254.00,254.50,8528700,254.50
2015-11-04,255.50,257.40,254.65,255.10,6881200,255.10
2015-11-03,255.70,256.70,254.335,255.30,7497800,255.30
2015-11-02,250.60,256.60,250.60,254.60,7332500,254.60
2015-10-30,253.80,255.40,249.50,252.40,9253200,252.40
2015-10-29,251.00,253.40,250.40,252.90,7613800,252.90
2015-10-28,251.10,253.10,249.10,253.00,10125500,251.10
2015-10-27,253.00,253.965,249.10,249.10,7890600,247.229
2015-10-26,255.60,255.60,251.40,254.10,5283400,252.192
2015-10-23,249.70,257.20,248.884,257.00,7671400,255.07
2015-10-22,247.70,248.80,242.60,248.80,9778400,246.932
2015-10-21,251.80,251.80,247.60,248.30,6555000,246.435
2015-10-20,249.10,253.50,249.10,250.80,8387400,248.917
2015-10-19,247.30,249.50,246.40,249.50,6942000,247.626
2015-10-16,246.50,248.80,245.70,248.70,7094700,246.832
2015-10-15,241.70,245.50,241.10,245.30,10146500,243.458
2015-10-14,241.00,241.90,239.70,240.30,9956800,238.495
2015-10-13,245.00,245.60,241.50,242.60,7022500,240.778
2015-10-12,246.60,247.50,243.70,245.00,6749200,243.16
2015-10-09,250.70,251.70,246.20,246.50,10067300,244.649
2015-10-08,249.20,250.40,247.30,249.50,10561700,247.626
2015-10-07,253.60,254.24,248.30,249.00,8517000,247.13
2015-10-06,253.50,255.035,252.57,253.60,6236900,251.695
2015-10-05,251.80,253.20,247.00,252.20,10918400,250.306
2015-10-02,248.10,250.80,244.10,247.80,10557700,245.939
2015-10-01,246.00,250.90,245.90,247.00,14056900,245.145
2015-09-30,247.30,248.30,244.60,246.00,15236900,244.153
2015-09-29,247.50,249.30,243.20,243.20,14232200,241.374
2015-09-28,248.00,259.60,246.20,250.50,15438600,248.619
2015-09-25,243.90,248.50,242.60,248.20,8073400,246.336
2015-09-24,242.90,244.495,239.20,240.20,6719500,238.396
2015-09-23,239.40,244.40,237.00,243.00,8928100,241.175
2015-09-22,248.00,249.20,239.20,239.90,12400500,238.098
2015-09-21,248.30,250.30,247.70,248.90,11436000,247.031
2015-09-18,245.50,248.47,243.90,246.70,13327700,244.847
2015-09-17,250.20,250.50,246.70,246.70,7053300,244.847
2015-09-16,249.00,250.60,247.60,249.60,7647000,247.726
2015-09-15,245.90,248.00,243.70,247.20,8193400,245.344
2015-09-14,249.10,251.80,245.40,245.40,6436800,243.557
2015-09-11,251.70,252.30,247.07,247.60,6045900,245.741
2015-09-10,249.20,252.20,248.30,251.20,9072000,249.314
2015-09-09,252.50,254.50,250.30,250.90,8893200,249.016
2015-09-08,246.70,250.00,245.70,247.20,7822600,245.344
2015-09-07,245.40,246.60,243.10,245.70,5061800,243.855
2015-09-04,243.70,245.00,242.30,243.30,9430800,241.473
2015-09-03,247.30,249.30,245.20,246.10,8873900,244.252
2015-09-02,238.90,245.90,237.97,245.10,14649900,243.259
2015-09-01,248.90,248.90,237.70,239.00,18280200,237.205
2015-08-31,250.20,250.20,250.20,250.20,000,248.321
2015-08-28,250.10,250.20,246.90,250.20,9076300,248.321
2015-08-27,249.90,251.30,247.37,250.00,11902500,248.123
2015-08-26,245.80,250.90,243.20,244.40,13945200,242.565
2015-08-25,241.60,248.765,237.402,248.30,31386400,246.435
2015-08-24,240.50,243.50,232.80,238.20,22493500,236.411
2015-08-21,250.00,252.00,246.10,247.10,11467300,245.244
2015-08-20,255.30,256.70,253.40,254.00,7471100,252.092
2015-08-19,258.50,258.50,254.60,256.70,8593500,254.772
2015-08-18,258.70,261.20,257.80,259.40,7689900,257.452
2015-08-17,262.30,263.40,257.70,259.50,6238500,257.551
2015-08-14,260.40,263.70,260.00,260.90,9772900,258.941
2015-08-13,257.20,261.93,257.10,258.90,11089600,256.956
2015-08-12,257.00,259.492,251.97,254.40,14433400,252.489
2015-08-11,262.90,263.20,258.40,258.40,22350300,256.459
2015-08-10,264.60,264.612,258.60,263.30,10867200,261.323
2015-08-07,270.00,270.225,257.10,262.60,25234000,260.628
2015-08-06,276.20,276.464,271.50,271.90,11550800,269.858
2015-08-05,278.80,279.00,274.40,276.10,14124500,274.027
2015-08-04,280.10,280.30,277.10,278.70,9125000,276.607
2015-08-03,279.30,280.40,277.40,279.70,8766500,277.599
2015-07-31,277.00,281.90,275.40,280.70,17069300,278.592
2015-07-30,277.60,279.00,270.50,271.60,10003100,269.56
2015-07-29,276.50,276.564,271.10,276.20,12712500,274.126
2015-07-28,270.00,273.70,267.40,270.20,17146800,268.171
2015-07-27,268.60,270.00,263.165,263.70,8409500,261.72
2015-07-24,268.70,272.40,268.20,269.10,10058700,267.079
2015-07-23,272.80,273.50,268.10,269.30,8905500,267.278
2015-07-22,272.40,274.90,270.00,270.30,8042100,268.27
2015-07-21,276.00,276.512,274.00,274.30,4452000,272.24
2015-07-20,275.40,277.70,273.80,275.50,5576400,273.431
2015-07-17,277.90,278.035,275.00,275.60,7387300,273.53
2015-07-16,276.70,278.10,275.40,277.40,7245900,275.317
2015-07-15,275.80,275.80,273.20,274.70,8671800,272.637
2015-07-14,269.70,275.80,267.916,275.40,10504700,273.332
2015-07-13,274.70,276.40,273.80,276.20,8320400,274.126
2015-07-10,269.40,273.30,266.50,272.30,10792400,270.255
2015-07-09,259.50,266.70,258.975,265.60,11076700,263.605
2015-07-08,258.50,259.60,256.60,259.00,6271900,257.055
2015-07-07,265.00,265.00,257.10,257.10,10068200,255.169
2015-07-06,260.10,264.00,259.60,262.80,5513900,260.826
2015-07-03,264.30,265.30,262.40,262.70,5641200,260.727
2015-07-02,267.00,268.00,262.10,263.40,7966500,261.422
2015-07-01,263.60,268.70,261.00,267.10,9894600,265.094
2015-06-30,267.50,267.785,263.30,263.30,11771500,261.323
2015-06-29,269.00,272.80,267.60,269.10,8864000,267.079
2015-06-26,274.00,275.90,272.60,275.60,10041700,273.53
2015-06-25,273.50,276.90,272.20,275.10,7910100,273.034
2015-06-24,273.60,274.80,272.50,273.30,5867800,271.248
2015-06-23,271.00,274.30,270.50,273.30,6724000,271.248
2015-06-22,271.00,272.20,268.30,269.90,16099400,267.873
2015-06-19,263.30,268.50,263.30,265.90,10383300,263.903
2015-06-18,264.70,265.20,260.90,263.80,9032800,261.819
2015-06-17,267.20,267.90,263.90,264.50,9615300,262.514
2015-06-16,266.80,268.40,263.60,266.80,9358700,264.796
2015-06-15,268.50,270.00,266.67,267.10,6823800,265.094
