Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,341.60,346.80,340.20,342.30,5169700,342.30
2016-02-17,334.20,340.80,334.20,340.30,4600900,340.30
2016-02-16,332.00,334.10,329.10,333.80,4317500,333.80
2016-02-15,333.60,334.50,328.50,331.20,5219800,331.20
2016-02-12,319.40,328.10,318.20,327.90,7792300,327.90
2016-02-11,321.00,321.80,314.70,318.10,5264100,318.10
2016-02-10,323.80,331.60,318.70,323.10,5971600,323.10
2016-02-09,317.20,324.90,315.70,320.60,7355000,320.60
2016-02-08,324.60,326.40,314.114,314.70,5562300,314.70
2016-02-05,321.50,329.60,321.10,323.50,7601400,323.50
2016-02-04,322.00,324.40,317.00,319.60,5865900,319.60
2016-02-03,320.10,324.60,315.80,316.30,8452000,316.30
2016-02-02,322.90,327.70,317.90,320.40,5137100,320.40
2016-02-01,326.70,330.30,320.50,324.50,6174200,324.50
2016-01-29,323.40,326.10,319.90,326.10,8151900,326.10
2016-01-28,318.60,325.90,315.90,319.80,11111800,319.80
2016-01-27,317.60,321.30,312.20,320.40,15419500,320.40
2016-01-26,321.30,321.50,312.10,317.40,14161400,317.40
2016-01-25,347.00,347.90,321.50,323.90,18608400,323.90
2016-01-22,342.60,346.90,340.00,345.00,8003300,345.00
2016-01-21,333.00,337.90,330.00,336.30,9889200,336.30
2016-01-20,328.00,329.34,323.60,325.70,8234900,325.70
2016-01-19,331.40,334.40,329.60,333.60,6107300,333.60
2016-01-18,334.10,335.30,327.10,327.50,6301900,327.50
2016-01-15,334.40,338.90,322.518,334.20,8336700,334.20
2016-01-14,335.40,335.40,329.30,334.20,8137000,334.20
2016-01-13,339.40,340.773,336.00,339.10,9486300,339.10
2016-01-12,332.70,341.557,331.30,336.50,5786300,336.50
2016-01-11,329.40,331.90,326.90,330.60,4663100,330.60
2016-01-08,331.30,334.70,329.20,330.90,5917600,330.90
2016-01-07,333.10,334.30,325.90,329.20,7257700,329.20
2016-01-06,333.00,338.00,327.50,338.00,10052700,338.00
2016-01-05,323.20,329.50,318.50,321.90,4426500,321.90
2016-01-04,325.70,327.50,320.40,321.90,4206200,321.90
2015-12-31,334.20,334.20,329.50,329.50,2120000,329.50
2015-12-30,332.00,335.10,330.10,333.80,2498100,333.80
2015-12-29,324.50,332.90,324.50,332.40,3669400,332.40
2015-12-24,328.00,331.60,325.60,329.70,710000,329.70
2015-12-23,330.20,331.90,327.70,330.60,2168600,330.60
2015-12-22,329.20,329.20,325.80,327.40,2705700,327.40
2015-12-21,323.80,330.30,322.60,326.10,3682900,326.10
2015-12-18,327.40,328.40,322.80,324.00,6090100,324.00
2015-12-17,330.90,331.80,327.30,329.40,6770700,329.40
2015-12-16,325.40,327.40,322.70,326.40,6213500,326.40
2015-12-15,321.80,326.70,320.90,325.50,5163300,325.50
2015-12-14,322.70,327.60,319.80,319.80,5040800,319.80
2015-12-11,329.10,330.00,322.00,323.30,5143500,323.30
2015-12-10,331.70,365.00,329.60,330.00,9391200,330.00
2015-12-09,339.80,340.40,331.40,334.70,13868200,334.70
2015-12-08,344.60,347.40,339.60,339.60,10297800,339.60
2015-12-07,342.60,350.10,340.10,345.10,13514000,345.10
2015-12-04,349.70,354.90,348.10,353.40,6255800,353.40
2015-12-03,355.10,358.00,350.70,350.80,9924300,350.80
2015-12-02,356.30,359.00,354.30,356.70,3998200,356.70
2015-12-01,355.80,356.60,351.70,354.50,7475100,354.50
2015-11-30,349.80,356.60,349.00,353.40,10702900,353.40
2015-11-27,347.30,350.70,345.40,350.10,2869900,350.10
2015-11-26,348.30,349.90,346.90,349.20,4054700,349.20
2015-11-25,343.80,351.00,341.826,348.60,5533900,348.60
2015-11-24,338.20,345.40,333.70,342.10,9934300,342.10
2015-11-23,350.00,350.00,345.10,345.10,7740400,345.10
2015-11-20,356.10,357.20,351.90,351.90,12065900,351.90
2015-11-19,352.10,358.70,351.00,356.40,7445800,356.40
2015-11-18,350.00,351.10,345.40,349.20,6227000,349.20
2015-11-17,341.80,350.50,340.70,350.50,4600700,350.50
2015-11-16,337.00,341.32,333.60,338.50,10334900,338.50
2015-11-13,350.90,352.63,341.10,341.50,7966400,341.50
2015-11-12,353.90,355.40,351.70,352.90,6772100,352.90
2015-11-11,354.10,357.40,351.40,353.80,5572200,353.80
2015-11-10,355.60,356.70,350.00,352.70,5753700,352.70
2015-11-09,353.80,358.10,352.70,354.00,5758100,354.00
2015-11-06,353.00,356.00,351.40,353.70,3821700,353.70
2015-11-05,351.10,354.40,350.40,351.70,3977300,351.70
2015-11-04,350.00,353.20,348.60,350.20,8104900,350.20
2015-11-03,354.10,354.10,348.30,350.00,8146300,350.00
2015-11-02,349.80,356.60,349.40,355.50,6200000,355.50
2015-10-30,350.00,353.90,349.70,353.10,5994400,353.10
2015-10-29,351.40,353.50,348.251,349.50,7492800,349.50
2015-10-28,349.50,352.50,347.90,351.90,3443000,351.90
2015-10-27,358.60,358.60,348.40,349.20,9075600,349.20
2015-10-26,359.50,361.80,357.60,358.30,3994100,358.30
2015-10-23,353.10,363.30,352.60,361.50,7356900,361.50
2015-10-22,360.80,363.60,349.50,351.00,17756200,351.00
2015-10-21,365.10,368.30,363.50,366.40,3743700,366.40
2015-10-20,362.30,368.40,362.30,363.80,5874100,363.80
2015-10-19,359.50,364.30,359.50,362.50,2752500,362.50
2015-10-16,360.50,363.40,359.20,361.10,3576700,361.10
2015-10-15,354.10,361.10,353.20,359.50,4929200,359.50
2015-10-14,353.70,356.80,352.20,352.60,5160300,352.60
2015-10-13,354.40,355.80,351.00,354.80,4143600,354.80
2015-10-12,350.50,354.10,348.30,353.80,4146300,353.80
2015-10-09,355.10,355.30,349.90,351.00,6252700,351.00
2015-10-08,354.90,355.70,351.20,353.70,5403000,353.70
2015-10-07,365.90,367.50,358.50,358.50,7678300,355.32
2015-10-06,366.80,368.10,365.30,365.90,4173300,362.654
2015-10-05,366.00,368.40,365.10,365.10,5410700,361.861
2015-10-02,360.70,367.70,356.60,361.00,6672700,357.798
2015-10-01,361.90,364.60,357.20,357.20,5309400,354.032
2015-09-30,354.60,359.30,351.80,358.60,4785100,355.419
2015-09-29,347.20,350.40,345.70,347.90,4625000,344.814
2015-09-28,351.40,354.00,350.70,350.70,3053400,347.589
2015-09-25,348.80,354.60,348.70,353.00,4858900,349.869
