Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1041.00,1042.00,1030.00,1033.00,1393100,1024.874
2016-02-17,1016.00,1039.00,1016.00,1038.00,1707400,1029.834
2016-02-16,1028.00,1031.00,1011.00,1017.00,2207900,1008.999
2016-02-15,1011.00,1028.00,1011.00,1024.00,1796400,1015.944
2016-02-12,990.00,1005.00,981.00,996.00,4729400,988.165
2016-02-11,1012.00,1070.19,983.00,983.00,2892000,975.267
2016-02-10,1009.00,1038.00,1005.00,1022.00,2756600,1013.96
2016-02-09,1020.00,1021.00,1000.00,1004.00,3090700,996.102
2016-02-08,1075.00,1078.00,1015.00,1019.00,3942600,1010.984
2016-02-05,1067.00,1080.00,1063.00,1066.00,3356900,1057.614
2016-02-04,1090.00,1090.00,1057.00,1061.00,2290200,1052.653
2016-02-03,1082.00,1089.00,1065.00,1071.00,1922800,1062.575
2016-02-02,1101.00,1105.38,1084.00,1086.00,2207600,1077.457
2016-02-01,1098.00,1106.00,1089.00,1105.00,2339000,1096.307
2016-01-29,1080.00,1097.61,1076.00,1095.00,3682800,1086.386
2016-01-28,1080.00,1090.00,1067.00,1067.00,2772600,1058.606
2016-01-27,1094.00,1094.00,1080.36,1086.00,2289100,1077.457
2016-01-26,1080.00,1089.00,1077.00,1088.00,2306600,1079.441
2016-01-25,1098.00,1100.36,1088.00,1094.00,1937100,1085.394
2016-01-22,1096.00,1096.00,1080.00,1093.00,3416400,1084.402
2016-01-21,1061.00,1079.00,1048.00,1074.00,3507800,1065.551
2016-01-20,1068.00,1073.00,1053.00,1060.00,2360400,1051.661
2016-01-19,1085.00,1094.00,1079.00,1081.00,2585700,1072.496
2016-01-18,1077.00,1088.00,1067.00,1068.00,1926300,1059.598
2016-01-15,1098.00,1107.00,1074.17,1076.00,3878500,1067.535
2016-01-14,1112.00,1115.00,1097.00,1097.00,3045300,1088.37
2016-01-13,1131.00,1139.00,1121.00,1124.00,1622700,1115.158
2016-01-12,1127.00,1139.00,1118.00,1125.00,2029300,1116.15
2016-01-11,1118.00,1140.00,1110.00,1118.00,2027500,1109.205
2016-01-08,1147.00,1147.00,1118.00,1118.00,1989500,1109.205
2016-01-07,1142.00,1151.00,1136.00,1142.00,2882100,1133.016
2016-01-06,1189.00,1189.00,1165.00,1165.00,2446700,1155.835
2016-01-05,1177.00,1190.00,1169.36,1186.00,1711200,1176.67
2016-01-04,1167.00,1170.00,1151.00,1166.00,1992100,1156.827
2015-12-31,1189.00,1193.00,1177.00,1177.00,600200,1167.741
2015-12-30,1200.00,1204.00,1182.00,1188.00,1203600,1178.654
2015-12-29,1193.00,1203.00,1187.04,1202.00,1349600,1192.544
2015-12-28,1186.00,1186.00,1186.00,1186.00,000,1176.67
2015-12-25,1186.00,1186.00,1186.00,1186.00,000,1176.67
2015-12-24,1186.00,1187.00,1178.90,1186.00,162700,1176.67
2015-12-23,1173.00,1182.00,1159.86,1182.00,1076000,1172.701
2015-12-22,1172.00,1178.00,1159.00,1163.00,1287900,1153.851
2015-12-21,1172.00,1190.00,1161.00,1161.00,1013300,1151.867
2015-12-18,1185.00,1191.00,1171.00,1171.00,2385000,1161.788
2015-12-17,1200.00,1208.85,1182.00,1186.00,1516300,1176.67
2015-12-16,1160.00,1189.00,1157.00,1187.00,2429600,1177.662
2015-12-15,1148.00,1165.00,1140.00,1160.00,3010800,1150.875
2015-12-14,1157.00,1179.60,1140.00,1140.00,1828400,1131.032
2015-12-11,1185.00,1188.00,1157.00,1157.00,2438000,1147.898
2015-12-10,1190.00,1202.90,1185.00,1186.00,2090700,1176.67
2015-12-09,1203.00,1212.00,1198.00,1198.00,2876300,1188.576
2015-12-08,1216.00,1221.00,1204.00,1204.00,1446900,1194.528
2015-12-07,1214.00,1234.00,1209.00,1218.00,1463700,1208.418
2015-12-04,1196.00,1210.00,1186.85,1206.00,3071700,1196.513
2015-12-03,1232.00,1243.00,1197.00,1197.00,2793700,1187.583
2015-12-02,1248.00,1253.00,1241.00,1243.00,2016700,1225.136
2015-12-01,1232.00,1244.00,1228.00,1241.00,1769000,1223.164
2015-11-30,1234.00,1239.00,1225.00,1231.00,1893400,1213.308
2015-11-27,1221.00,1234.00,1216.30,1233.00,1037200,1215.279
2015-11-26,1235.00,1235.00,1220.00,1225.00,1131300,1207.394
2015-11-25,1215.00,1241.00,1215.00,1232.00,1605500,1214.294
2015-11-24,1222.00,1222.00,1201.30,1213.00,2243600,1195.567
2015-11-23,1240.00,1244.00,1223.00,1224.00,1460000,1206.409
2015-11-20,1258.00,1258.00,1243.00,1248.00,2192900,1230.064
2015-11-19,1248.00,1256.00,1241.00,1250.00,1989400,1232.035
2015-11-18,1245.00,1249.00,1234.00,1239.00,1501400,1221.193
2015-11-17,1243.00,1255.00,1238.00,1246.00,2626100,1228.093
2015-11-16,1215.00,1230.00,1208.00,1230.00,1590900,1212.323
2015-11-13,1217.00,1223.00,1207.00,1220.00,2886600,1202.466
2015-11-12,1239.00,1250.00,1221.00,1221.00,2231900,1203.452
2015-11-11,1249.00,1249.00,1223.00,1241.00,4224600,1223.164
2015-11-10,1270.00,1273.00,1228.00,1243.00,3545700,1225.136
2015-11-09,1308.00,1312.00,1278.00,1278.00,2771500,1259.633
2015-11-06,1328.00,1329.00,1305.00,1308.00,1694100,1289.202
2015-11-05,1305.00,1324.00,1299.00,1323.00,2037300,1303.986
2015-11-04,1323.00,1327.00,1299.00,1300.00,2671200,1281.316
2015-11-03,1340.00,1340.00,1320.00,1323.00,1676500,1303.986
2015-11-02,1330.00,1343.00,1330.00,1337.00,1341400,1317.785
