Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,227.20,228.30,221.80,223.30,14961100,223.30
2016-02-17,212.30,227.60,211.60,226.60,27727800,226.60
2016-02-16,214.50,214.951,209.80,211.70,11631500,211.70
2016-02-15,210.80,216.60,210.80,212.10,14073100,212.10
2016-02-12,201.40,207.70,201.00,207.70,20986200,207.70
2016-02-11,208.00,208.00,199.50,199.50,33342900,199.50
2016-02-10,206.30,213.00,200.70,209.70,31048800,209.70
2016-02-09,206.00,212.20,199.50,202.40,39516700,202.40
2016-02-08,213.40,214.90,201.80,203.00,29758200,203.00
2016-02-05,215.50,217.20,211.90,211.90,32133300,211.90
2016-02-04,220.00,222.70,213.70,216.20,29442400,216.20
2016-02-03,223.00,224.598,216.80,218.00,37703400,218.00
2016-02-02,239.40,240.10,222.50,224.00,37795000,224.00
2016-02-01,245.40,245.70,235.644,240.10,16097200,240.10
2016-01-29,237.30,243.50,236.30,243.50,16023600,243.50
2016-01-28,237.70,239.20,233.50,234.30,16497600,234.30
2016-01-27,235.00,237.40,232.80,237.40,12331800,237.40
2016-01-26,231.00,236.90,228.50,235.40,15916300,235.40
2016-01-25,240.30,240.80,233.80,234.70,9355700,234.70
2016-01-22,239.80,240.30,237.30,238.00,12655300,238.00
2016-01-21,234.60,238.80,232.522,235.90,17229900,235.90
2016-01-20,240.40,240.40,232.103,233.70,19850000,233.70
2016-01-19,243.00,247.855,239.29,244.50,11233700,244.50
2016-01-18,238.20,242.00,237.70,239.00,8274600,239.00
2016-01-15,244.70,245.90,236.80,239.10,16113000,239.10
2016-01-14,244.90,246.40,240.60,245.20,16432300,245.20
2016-01-13,248.20,250.50,246.80,247.60,9906600,247.60
2016-01-12,244.50,248.40,243.90,245.70,15594200,245.70
2016-01-11,244.70,248.769,244.30,244.80,11779100,244.80
2016-01-08,247.30,252.50,246.00,246.00,12428500,246.00
2016-01-07,251.00,251.40,245.072,247.40,21018400,247.40
2016-01-06,263.20,263.50,254.10,256.30,10970600,256.30
2016-01-05,260.90,262.00,256.461,259.10,9097100,259.10
2016-01-04,264.80,265.60,257.60,259.10,16944300,259.10
2015-12-31,269.60,270.91,267.60,267.80,2614600,267.80
2015-12-30,272.00,272.00,267.90,269.60,8065100,269.60
2015-12-29,271.00,272.015,267.676,272.00,6022300,272.00
2015-12-24,269.20,270.60,268.40,269.30,2887800,269.30
2015-12-23,265.60,269.20,265.03,267.80,12233500,267.80
2015-12-22,265.60,265.70,261.30,263.40,11380900,263.40
2015-12-21,261.00,265.80,260.70,263.20,12854700,263.20
2015-12-18,261.30,264.90,261.30,261.80,13773300,261.80
2015-12-17,267.00,268.40,263.40,263.40,15392200,263.40
2015-12-16,261.80,263.10,259.20,262.00,18782200,262.00
2015-12-15,256.00,261.90,255.80,260.20,14031500,260.20
2015-12-14,258.80,261.10,252.50,253.20,16269500,253.20
2015-12-11,262.40,264.10,257.80,258.30,16301600,258.30
2015-12-10,262.10,264.20,259.80,263.20,10248500,263.20
2015-12-09,264.70,266.20,262.90,263.60,11927600,263.60
2015-12-08,267.60,268.30,263.964,265.40,9332800,265.40
2015-12-07,269.00,270.60,267.60,268.40,10445000,268.40
2015-12-04,266.50,271.043,265.30,267.30,10858100,267.30
2015-12-03,271.60,273.10,266.00,267.10,18491000,267.10
2015-12-02,275.40,275.40,271.93,272.70,7785100,272.70
2015-12-01,273.20,274.90,272.60,274.90,13885700,274.90
2015-11-30,272.80,272.90,269.40,271.50,13118100,271.50
2015-11-27,269.80,274.03,269.10,272.80,7376500,272.80
2015-11-26,272.60,272.60,269.63,271.40,8306400,271.40
2015-11-25,269.20,272.00,268.70,271.90,12961400,271.90
2015-11-24,266.70,268.40,265.50,268.00,12267800,268.00
2015-11-23,267.90,268.90,266.70,268.00,5612200,268.00
2015-11-20,269.60,270.04,266.70,269.30,10234800,269.30
2015-11-19,268.30,270.13,268.00,268.30,8617500,268.30
2015-11-18,267.20,268.10,264.90,266.30,6808500,266.30
2015-11-17,265.50,268.40,264.80,267.60,11799600,267.60
2015-11-16,260.40,262.80,259.70,262.60,8710700,262.60
