Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,63.38,63.54,62.07,62.44,107730200,62.44
2016-02-17,60.89,63.07,60.512,62.79,123795000,62.79
2016-02-16,60.23,60.90,59.36,60.55,119149800,60.55
2016-02-15,59.71,60.40,56.69,59.84,167523200,59.84
2016-02-12,57.09,58.48,56.576,58.48,153947300,58.48
2016-02-11,57.78,57.781,55.84,56.00,167531200,56.00
2016-02-10,58.56,59.322,57.62,58.40,190492300,58.40
2016-02-09,59.07,60.22,57.00,58.13,269347200,58.13
2016-02-08,63.00,63.19,59.005,59.36,168444400,59.36
2016-02-05,63.13,63.46,61.50,61.80,142689200,61.80
2016-02-04,62.00,63.30,60.75,62.77,127439800,62.77
2016-02-03,61.60,62.43,60.248,60.69,171536700,60.69
2016-02-02,63.84,64.20,61.57,61.94,192112600,61.94
2016-02-01,65.76,66.03,63.59,64.19,145104300,64.19
2016-01-29,64.83,65.66,64.22,65.46,175574800,65.46
2016-01-28,65.26,65.66,63.25,64.07,109003800,64.07
2016-01-27,64.73,64.93,63.05,64.92,171526700,64.92
2016-01-26,62.30,65.22,61.86,64.73,163795300,64.73
2016-01-25,66.68,66.73,63.14,63.14,190843000,63.14
2016-01-22,66.01,67.32,65.82,66.86,142263000,66.86
2016-01-21,63.60,65.03,62.78,64.70,171673900,64.70
2016-01-20,64.46,64.46,61.00,64.05,189241700,64.05
2016-01-19,64.68,66.46,63.95,65.78,210171000,65.78
2016-01-18,64.59,65.65,62.33,63.96,170583500,63.96
2016-01-15,66.50,67.05,64.62,64.71,246968400,64.71
2016-01-14,67.11,67.33,65.61,66.53,242747700,66.53
2016-01-13,69.31,69.528,67.47,67.80,179968400,67.80
2016-01-12,68.77,70.11,68.65,69.30,132281400,69.30
2016-01-11,69.00,70.21,68.86,68.93,220833800,68.93
2016-01-08,69.83,70.68,68.87,68.87,128699000,68.87
2016-01-07,69.70,71.41,68.88,69.49,215183300,69.49
2016-01-06,71.50,71.53,70.512,71.00,128433500,71.00
2016-01-05,72.27,72.45,71.17,71.37,109655100,71.37
2016-01-04,72.21,72.63,70.76,71.37,131789100,71.37
2015-12-31,72.47,74.035,72.47,73.07,21470800,73.07
2015-12-30,73.56,73.99,73.22,73.60,43620300,73.60
2015-12-29,73.60,74.22,73.00,74.00,73868300,74.00
2015-12-24,73.50,73.665,72.70,73.50,18116200,73.50
2015-12-23,71.80,73.79,71.724,73.65,105693900,73.65
2015-12-22,71.43,71.90,70.937,71.31,55402900,71.31
2015-12-21,70.75,71.90,70.74,70.95,84476900,70.95
2015-12-18,70.98,71.754,70.795,71.04,334819900,71.04
2015-12-17,71.53,72.10,71.00,71.33,110414300,71.33
2015-12-16,70.66,70.74,69.95,70.53,130989800,70.53
2015-12-15,69.11,70.92,69.11,70.34,148969300,70.34
2015-12-14,70.30,70.76,68.57,68.68,132788700,68.68
2015-12-11,71.74,72.10,69.90,70.01,124499100,70.01
2015-12-10,70.60,72.44,70.25,72.04,150274400,72.04
2015-12-09,71.84,71.97,70.67,70.67,127907800,70.67
2015-12-08,72.49,72.525,71.31,71.31,191576500,71.31
2015-12-07,73.57,74.00,72.41,72.48,86541300,72.48
2015-12-04,73.16,73.38,72.74,73.01,83265900,73.01
2015-12-03,74.30,74.64,73.00,73.00,170320700,73.00
2015-12-02,75.00,75.20,74.443,74.45,116393800,74.45
2015-12-01,75.15,75.52,74.40,74.71,219889500,74.71
2015-11-30,72.10,75.56,72.00,72.96,148974400,72.96
2015-11-27,72.92,73.80,72.75,73.40,65455700,73.40
2015-11-26,72.38,73.23,72.07,73.13,83225000,73.13
2015-11-25,71.64,72.45,71.63,72.17,140668400,72.17
2015-11-24,71.76,71.87,70.55,71.60,261759800,71.60
2015-11-23,71.71,72.05,71.18,71.78,106890600,71.78
2015-11-20,73.60,73.68,71.78,71.78,208513400,71.78
2015-11-19,74.09,74.40,73.066,73.33,212597800,73.33
2015-11-18,73.77,74.086,73.54,74.00,84476000,74.00
2015-11-17,73.60,73.975,73.23,73.84,110125600,73.84
2015-11-16,72.30,73.19,72.236,72.68,80553100,72.68
2015-11-13,72.57,73.01,72.30,72.74,99304600,72.74
2015-11-12,73.59,73.69,72.44,72.54,99712000,72.54
2015-11-11,73.04,73.77,72.70,73.45,69811500,73.45
2015-11-10,73.01,73.43,72.65,72.96,107057400,72.96
2015-11-09,74.02,74.35,72.99,73.00,109216800,73.00
2015-11-06,72.86,74.03,72.63,73.74,117274300,73.74
2015-11-05,74.17,74.17,72.82,72.90,120113200,72.90
2015-11-04,74.81,75.02,73.81,73.85,126411800,73.85
2015-11-03,75.00,75.13,74.04,74.47,105038800,74.47
2015-11-02,73.52,75.16,73.27,75.00,104636400,75.00
2015-10-30,74.50,74.68,72.90,73.73,158094700,73.73
2015-10-29,73.78,74.30,72.063,74.22,251076900,74.22
2015-10-28,73.60,74.39,73.40,74.00,290695400,74.00
2015-10-27,77.69,77.80,77.08,77.40,112439300,77.40
2015-10-26,77.56,78.005,77.24,77.50,81160900,77.50
2015-10-23,77.28,78.02,76.778,77.83,141293800,77.83
2015-10-22,76.27,76.984,75.88,76.73,120998600,76.73
2015-10-21,75.93,76.43,75.49,76.31,121644100,76.31
2015-10-20,75.62,75.934,75.06,75.58,141071100,75.58
2015-10-19,75.17,75.76,74.98,75.47,84608100,75.47
2015-10-16,75.13,75.551,74.727,75.20,99311300,75.20
2015-10-15,74.01,74.70,73.597,74.63,117505600,74.63
2015-10-14,74.44,74.76,73.88,73.88,117123600,73.88
2015-10-13,75.59,75.90,74.47,74.75,163122200,74.75
2015-10-12,77.23,77.41,75.82,75.90,107223300,75.90
2015-10-09,76.74,77.623,76.35,77.21,112355300,77.21
2015-10-08,76.46,76.86,75.66,76.28,116667300,76.28
2015-10-07,77.15,77.75,76.36,76.68,142784000,76.68
2015-10-06,77.56,77.56,76.37,76.91,147725900,76.91
2015-10-05,77.75,77.986,77.01,77.27,152002500,77.27
2015-10-02,76.02,77.72,75.425,76.55,213498000,76.55
2015-10-01,75.94,76.36,74.86,75.22,141403200,75.22
2015-09-30,74.41,75.482,74.23,75.16,177155600,75.16
2015-09-29,73.37,73.79,73.13,73.36,145433000,73.36
2015-09-28,74.87,75.42,73.93,74.09,155013500,74.09
2015-09-25,74.66,75.88,74.41,75.51,209363900,75.51
2015-09-24,73.35,74.50,73.211,73.84,190165600,73.84
2015-09-23,72.15,73.78,72.15,72.95,127696500,72.95
2015-09-22,74.14,74.35,72.30,72.30,148376100,72.30
2015-09-21,72.61,74.43,72.462,74.23,129027800,74.23
2015-09-18,73.93,74.01,71.55,72.71,488941100,72.71
2015-09-17,75.27,75.27,74.04,74.30,190562400,74.30
2015-09-16,75.82,76.01,75.08,75.50,122397500,75.50
2015-09-15,74.59,75.92,73.96,75.58,197060700,75.58
2015-09-14,76.00,76.28,74.18,74.49,126163800,74.49
2015-09-11,76.54,76.57,75.618,75.78,105794400,75.78
2015-09-10,75.75,76.81,75.45,76.32,232823500,76.32
2015-09-09,77.00,77.31,76.46,77.00,151161600,77.00
2015-09-08,76.08,77.13,75.80,75.88,123969100,75.88
2015-09-07,76.09,76.47,75.18,75.67,59293600,75.67
2015-09-04,76.29,76.598,75.267,75.52,130486600,75.52
2015-09-03,76.51,77.30,76.19,76.92,118362700,76.92
2015-09-02,75.96,76.85,74.81,75.86,118535400,75.86
2015-09-01,76.54,77.064,74.89,75.56,180146600,75.56
2015-08-31,77.38,77.38,77.38,77.38,000,77.38
2015-08-28,77.71,78.13,76.83,77.38,131473500,77.38
2015-08-27,78.01,78.15,77.16,77.68,175478300,77.68
2015-08-26,76.39,77.34,75.06,76.08,153043300,76.08
2015-08-25,75.50,77.95,75.00,76.68,262946000,76.68
2015-08-24,73.11,75.12,72.17,73.46,360853700,73.46
2015-08-21,77.41,78.229,75.835,75.85,158915700,75.85
2015-08-20,78.23,79.179,78.108,78.36,127096100,78.36
2015-08-19,80.10,80.22,78.86,78.91,103736500,78.91
2015-08-18,79.95,80.49,79.726,80.28,106553800,80.28
2015-08-17,80.63,80.63,79.56,80.00,104675400,80.00
2015-08-14,79.63,80.93,79.316,80.10,117583700,80.10
2015-08-13,80.19,81.034,79.42,79.45,123284100,79.45
2015-08-12,80.37,80.956,79.516,80.16,257973500,79.41
2015-08-11,81.01,81.47,80.37,81.08,145115200,80.321
2015-08-10,82.34,82.50,80.31,81.30,208706300,80.539
2015-08-07,83.54,83.58,81.87,82.13,122413400,81.362
2015-08-06,82.74,83.64,82.70,83.30,128534100,82.521
2015-08-05,82.71,83.25,82.06,82.90,190309500,82.124
2015-08-04,82.63,83.07,81.98,82.47,171131200,81.698
2015-08-03,82.84,84.13,82.78,83.07,161848100,82.293
2015-07-31,86.00,86.45,83.19,83.20,319963900,82.422
2015-07-30,86.00,86.61,85.74,86.02,163613600,85.215
2015-07-29,85.27,85.81,85.058,85.60,204278300,84.799
2015-07-28,85.24,85.58,84.65,85.14,123839300,84.343
2015-07-27,85.25,85.51,84.65,84.82,142511600,84.026
2015-07-24,85.90,86.316,85.224,85.36,100363200,84.561
2015-07-23,87.67,87.97,86.29,86.29,126720500,85.483
2015-07-22,86.92,87.63,86.39,87.17,142269000,86.354
2015-07-21,87.93,88.12,87.26,87.65,123519900,86.83
2015-07-20,87.18,87.87,87.18,87.59,91428600,86.77
2015-07-17,86.71,87.478,86.39,87.40,148303700,86.582
2015-07-16,85.81,86.64,85.511,86.51,140625400,85.701
2015-07-15,85.64,86.12,85.46,85.66,106123100,84.859
2015-07-14,85.19,85.84,84.869,85.65,118023300,84.849
2015-07-13,85.30,85.68,84.80,85.30,148012100,84.502
2015-07-10,83.50,84.90,83.30,84.33,162764800,83.541
2015-07-09,82.30,84.02,82.00,83.56,164171000,82.778
2015-07-08,83.95,84.85,82.23,82.33,267941900,81.56
2015-07-07,85.00,85.18,83.986,84.00,153219700,83.214
2015-07-06,84.50,84.76,84.017,84.15,124032400,83.363
2015-07-03,86.21,86.31,85.14,85.14,95315500,84.343
2015-07-02,86.78,86.85,86.04,86.21,119440600,85.403
2015-07-01,86.00,87.16,85.819,86.86,193879300,86.047
2015-06-30,85.49,86.26,85.06,85.24,201752100,84.442
2015-06-29,85.01,86.64,84.99,85.87,177170000,85.067
2015-06-26,87.46,87.62,86.74,87.06,123152400,86.245
2015-06-25,87.00,88.04,86.87,87.52,149211700,86.701
2015-06-24,86.66,87.50,86.30,87.13,124219800,86.315
2015-06-23,87.16,87.52,86.54,87.00,126154200,86.186
2015-06-22,87.15,87.40,86.59,87.08,182985400,86.265
2015-06-19,86.23,87.09,85.82,86.50,456392000,85.691
2015-06-18,86.40,86.90,85.61,86.13,209722000,85.324
2015-06-17,85.92,87.00,85.61,86.35,210422400,85.542
2015-06-16,86.01,86.26,85.67,85.70,156841000,84.898
2015-06-15,86.54,86.99,85.98,86.38,106286300,85.572
2015-06-12,87.11,88.36,86.489,86.95,128697800,86.136
2015-06-11,86.76,87.45,86.44,87.12,114074300,86.305
2015-06-10,86.31,87.13,86.01,86.73,124622300,85.919
2015-06-09,86.08,87.25,85.97,86.48,139287700,85.671
2015-06-08,86.84,87.22,86.30,86.43,101934700,85.621
2015-06-05,87.70,87.73,86.661,87.09,129819600,86.275
2015-06-04,88.85,88.85,87.50,87.50,162118100,86.681
2015-06-03,88.53,89.35,87.78,88.93,129035500,88.098
2015-06-02,88.19,89.25,87.86,88.65,230294100,87.821
2015-06-01,88.02,89.18,88.00,88.66,163897900,87.83
2015-05-29,87.70,88.56,87.44,87.77,176304100,86.949
2015-05-28,87.35,88.01,87.00,87.94,86598400,87.117
2015-05-27,86.70,88.07,86.67,87.41,113292700,86.592
2015-05-26,87.00,87.862,86.64,86.82,141183600,86.008
2015-05-25,87.98,87.98,87.98,87.98,000,87.157
2015-05-22,87.83,88.41,87.27,87.98,120092900,87.157
2015-05-21,87.88,88.05,87.381,87.84,83029900,87.018
2015-05-20,88.00,88.45,87.645,87.73,154246000,86.909
2015-05-19,88.10,88.40,87.79,88.00,162949300,87.177
2015-05-18,88.25,88.94,87.61,88.14,156471300,87.315
2015-05-15,89.00,89.20,88.54,89.00,167482200,88.167
2015-05-14,88.75,89.154,88.19,88.82,142648400,87.989
2015-05-13,87.20,88.79,86.88,88.74,250038200,87.91
2015-05-12,86.36,88.05,86.09,87.02,204686300,86.206
2015-05-11,86.50,87.40,86.403,86.60,212055300,85.79
2015-05-08,89.00,89.00,86.47,86.85,520404000,86.037
2015-05-07,82.44,82.69,81.35,82.13,197116200,81.362
2015-05-06,83.34,83.62,82.00,82.68,219388500,81.906
2015-05-05,83.48,83.98,82.41,82.41,294966400,81.639
2015-05-04,82.87,82.87,82.87,82.87,000,82.095
2015-05-01,80.00,83.37,79.31,82.87,465081900,82.095
2015-04-30,77.87,78.58,76.10,77.38,197184400,76.656
2015-04-29,78.32,79.00,77.42,77.42,115184400,76.696
2015-04-28,78.34,78.49,77.11,78.00,131563800,77.27
2015-04-27,79.48,79.48,78.08,78.65,103818200,77.914
2015-04-24,78.88,79.43,78.54,79.10,106686100,78.36
2015-04-23,78.34,79.052,77.715,78.99,118765600,78.251
2015-04-22,79.12,79.34,77.51,78.23,140516000,77.498
2015-04-21,79.04,79.50,78.33,79.02,117137600,78.281
2015-04-20,79.12,79.56,78.345,78.59,123389800,77.855
2015-04-17,80.00,80.27,78.408,78.75,152657700,78.013
2015-04-16,80.60,80.60,79.64,79.90,117197000,79.152
2015-04-15,79.88,80.57,79.69,80.34,143981000,79.588
2015-04-14,79.01,79.93,70.90,79.90,141123400,79.152
2015-04-13,79.17,79.602,78.75,79.40,70990900,78.657
2015-04-10,79.60,79.75,78.78,79.30,116428500,78.558
2015-04-09,80.00,80.03,78.992,79.68,128618500,78.934
2015-04-08,79.77,80.095,79.54,79.68,110793900,78.934
2015-04-07,80.03,80.57,79.08,80.10,156773800,79.351
2015-04-06,79.08,79.08,79.08,79.08,000,78.34
2015-04-03,79.08,79.08,79.08,79.08,000,78.34
2015-04-02,78.42,79.71,78.42,79.08,99901500,78.34
2015-04-01,78.42,80.42,78.21,79.39,215994000,77.904
2015-03-31,79.39,79.65,78.27,78.28,161775900,76.815
2015-03-30,79.84,79.84,79.066,79.39,101321700,77.904
2015-03-27,79.75,80.105,78.82,79.05,123998200,77.571
2015-03-26,80.00,80.48,78.964,79.73,150315700,78.238
2015-03-25,80.73,81.01,80.267,80.50,138566800,78.993
2015-03-24,80.79,81.00,80.25,80.59,128294900,79.082
2015-03-23,80.40,81.03,77.003,80.48,141320400,78.974
2015-03-20,80.00,80.63,79.10,80.63,316386400,79.121
2015-03-19,79.66,79.88,79.25,79.50,158815700,78.012
2015-03-18,79.40,79.80,78.86,79.50,149980500,78.012
2015-03-17,79.50,79.92,79.00,79.46,138974500,77.973
2015-03-16,79.40,79.62,78.82,79.35,149987000,77.865
2015-03-13,79.54,79.69,78.65,79.00,125446800,77.522
2015-03-12,78.14,80.01,78.025,79.20,191558900,77.718
2015-03-11,79.06,79.45,77.86,78.16,143166700,76.697
2015-03-10,80.47,80.54,78.61,78.75,145200900,77.276
2015-03-09,81.39,81.50,80.193,80.37,129158700,78.866
2015-03-06,81.12,81.82,80.807,81.43,179462200,79.906
2015-03-05,80.00,81.18,79.676,80.94,177584100,79.425
2015-03-04,79.30,79.87,78.90,79.87,134809600,78.375
2015-03-03,80.00,80.45,79.34,79.44,156582700,77.953
2015-03-02,78.75,79.996,78.335,79.99,203143600,78.493
2015-02-27,80.00,80.09,78.66,79.00,261336200,77.522
2015-02-26,79.25,80.01,78.50,78.50,212277800,77.031
2015-02-25,79.21,79.52,78.90,79.24,132596500,77.757
2015-02-24,79.33,79.61,78.76,79.21,190128500,77.728
2015-02-23,78.25,79.50,78.13,79.02,157129400,77.541
2015-02-20,77.18,78.37,77.052,77.98,163816000,76.521
2015-02-19,77.34,77.83,76.785,77.23,97685400,75.785
2015-02-18,77.35,77.89,76.85,77.29,115917200,75.844
2015-02-17,75.26,77.14,75.26,77.03,131302000,75.588
2015-02-16,75.26,78.85,75.22,75.73,68182900,74.313
2015-02-13,74.24,76.14,74.19,75.35,149400700,73.94
2015-02-12,74.39,75.50,74.17,74.43,171262800,73.037
2015-02-11,74.64,74.883,73.81,74.39,116919700,72.998
2015-02-10,74.77,75.50,74.57,75.01,97003400,73.606
2015-02-09,75.26,75.564,74.46,74.92,76965600,73.518
2015-02-06,75.29,76.03,75.19,75.81,97644800,74.391
2015-02-05,74.00,75.635,73.739,75.53,129225200,74.116
2015-02-04,75.02,75.42,74.01,74.55,108405500,73.155
2015-02-03,73.87,75.17,73.76,74.97,114107600,73.567
2015-02-02,73.72,74.48,72.92,73.67,137679300,72.291
2015-01-30,75.23,75.39,73.728,73.75,111287700,72.37
2015-01-29,74.32,74.96,73.84,74.86,99582300,73.459
2015-01-28,75.68,75.89,74.33,74.76,183992000,73.361
2015-01-27,76.16,76.24,74.92,75.13,111800400,73.724
2015-01-26,74.88,76.03,74.44,76.00,80665000,74.578
2015-01-23,75.72,76.297,75.12,75.53,135616800,74.116
2015-01-22,75.84,76.10,75.16,75.65,134647700,74.234
2015-01-21,75.56,75.87,74.67,75.59,144256000,74.175
2015-01-20,75.00,75.95,74.73,75.50,102776800,74.087
2015-01-19,73.25,74.90,72.93,74.65,76693800,73.253
2015-01-16,73.63,74.67,73.269,74.44,111260800,73.047
2015-01-15,73.08,74.18,71.93,74.18,122202300,72.792
2015-01-14,73.32,73.77,72.40,72.90,120471200,71.536
2015-01-13,73.14,74.29,73.018,74.01,91855700,72.625
2015-01-12,73.41,74.30,72.828,73.57,94250700,72.193
2015-01-09,73.84,74.05,73.06,73.74,98091400,72.36
2015-01-08,73.51,74.42,73.25,74.10,79367000,72.713
2015-01-07,73.32,73.943,72.87,73.01,108980400,71.644
2015-01-06,74.63,75.05,72.87,72.87,133810200,71.506
2015-01-05,76.07,76.40,74.46,74.62,102525500,73.223
2015-01-02,76.47,76.75,75.669,76.15,54277900,74.725
2015-01-01,75.82,75.82,75.82,75.82,000,74.401
2014-12-31,75.21,76.42,75.21,75.82,19240600,74.401
2014-12-30,75.91,76.56,75.29,75.55,59013900,74.136
2014-12-29,76.48,77.07,75.636,76.25,44636500,74.823
2014-12-26,76.80,76.80,76.80,76.80,000,75.363
2014-12-25,76.80,76.80,76.80,76.80,000,75.363
2014-12-24,74.87,77.25,74.862,76.80,59975700,75.363
2014-12-23,76.57,76.99,76.41,76.89,59136700,75.451
2014-12-22,76.21,77.071,75.203,76.57,63227300,75.137
2014-12-19,75.28,76.625,75.28,76.16,172799000,74.735
2014-12-18,75.51,75.94,74.66,75.37,141634200,73.959
2014-12-17,75.96,76.64,75.35,75.35,120676800,73.94
2014-12-16,75.00,76.96,73.812,76.86,173598800,75.422
2014-12-15,75.51,76.82,74.36,74.40,187302600,73.008
2014-12-12,77.79,78.22,75.98,76.13,106252300,74.705
2014-12-11,78.49,78.82,77.75,78.20,130898800,76.736
2014-12-10,78.56,78.96,77.85,78.60,106187900,77.129
2014-12-09,80.20,80.21,78.48,78.54,191891700,77.07
2014-12-08,80.87,80.99,80.27,80.41,73084200,78.905
2014-12-05,80.11,81.06,79.76,80.89,108744600,79.376
2014-12-04,79.75,80.43,79.08,79.57,112257800,78.081
2014-12-03,80.41,81.11,79.24,79.65,162758100,78.159
2014-12-02,79.87,80.72,79.54,80.41,81481800,78.905
2014-12-01,80.15,80.75,79.27,79.68,93136400,78.189
2014-11-28,79.78,80.50,78.90,80.35,105643400,78.846
2014-11-27,79.63,80.12,79.35,79.95,64285700,78.454
2014-11-26,79.67,80.00,79.105,79.53,93880900,78.042
2014-11-25,78.81,79.72,78.81,79.59,132450300,78.10
2014-11-24,78.80,79.74,78.67,78.81,109731500,77.335
2014-11-21,78.27,79.00,75.51,78.49,116578400,77.021
2014-11-20,78.40,78.634,77.80,78.12,109022800,76.658
2014-11-19,79.00,79.00,78.09,78.57,158491500,77.10
2014-11-18,77.13,78.04,77.01,77.91,127308100,76.452
2014-11-17,76.27,77.58,76.25,77.27,91273400,75.824
2014-11-14,76.75,77.042,76.46,77.02,79323400,75.579
2014-11-13,75.77,76.78,75.51,76.67,126475400,75.235
2014-11-12,76.25,76.31,75.52,75.76,101732600,74.342
2014-11-11,76.58,77.06,76.22,76.40,108696700,74.97
2014-11-10,76.25,76.66,75.722,76.66,77597700,75.225
2014-11-07,76.81,76.83,75.72,76.27,129036100,74.843
2014-11-06,76.50,77.29,76.124,76.55,151134400,75.117
2014-11-05,76.68,77.48,76.556,77.26,122053200,75.814
2014-11-04,76.60,77.00,76.24,76.30,162038600,74.872
2014-11-03,76.88,77.08,76.23,76.80,153627600,75.363
2014-10-31,75.90,77.20,75.74,77.13,235081000,75.687
2014-10-30,74.50,75.41,73.55,75.17,148220400,73.763
2014-10-29,74.09,74.643,73.799,74.48,113384000,73.086
2014-10-28,74.70,76.00,73.05,73.50,255696800,72.124
2014-10-27,75.20,76.16,74.37,75.34,228876000,73.93
2014-10-24,76.16,77.03,75.90,76.72,96161400,75.284
2014-10-23,75.85,76.54,75.11,76.33,177471400,74.901
2014-10-22,76.00,76.06,75.45,75.88,116088500,74.46
2014-10-21,74.43,75.99,73.86,75.88,120376300,74.46
2014-10-20,74.26,74.97,72.252,74.69,100788100,73.292
2014-10-17,72.56,74.73,71.033,74.63,166243400,73.233
2014-10-16,74.02,74.28,70.96,72.27,422129200,70.917
2014-10-15,75.80,75.86,73.41,73.48,187732100,72.105
2014-10-14,74.34,75.85,74.32,75.56,109893600,74.146
2014-10-13,74.04,75.09,73.47,74.87,170146800,73.469
2014-10-10,74.84,75.623,74.38,74.68,144754900,73.282
2014-10-09,75.93,76.32,75.00,75.27,185477600,73.861
2014-10-08,75.30,75.70,75.052,75.31,168090500,73.901
2014-10-07,76.90,76.90,75.82,75.90,177222600,74.48
2014-10-06,77.30,77.62,76.85,77.20,124584100,75.755
2014-10-03,76.00,77.40,75.60,77.25,126890600,75.804
2014-10-02,76.87,77.10,75.20,75.20,125640100,73.793
2014-10-01,76.65,77.20,76.544,76.73,160916700,75.294
2014-09-30,77.00,77.20,76.66,76.87,222899800,75.431
2014-09-29,76.43,76.63,75.337,76.50,95703500,75.068
2014-09-26,76.20,77.09,76.00,76.66,112516700,75.225
2014-09-25,75.61,76.40,75.397,76.20,218248900,74.774
2014-09-24,75.00,75.39,74.42,75.39,114104900,73.979
2014-09-23,75.83,76.084,74.85,75.14,109442700,73.734
2014-09-22,76.35,76.63,75.78,76.24,90808300,74.813
2014-09-19,77.00,78.11,76.22,76.82,399971600,75.382
2014-09-18,75.13,76.12,74.53,75.87,135622700,74.45
2014-09-17,74.46,75.032,73.752,74.84,154660000,73.439
2014-09-16,73.26,73.80,72.55,73.50,106496000,72.124
2014-09-15,74.21,74.22,73.25,73.54,83441600,72.164
2014-09-12,75.48,75.49,74.01,74.58,90164400,73.184
2014-09-11,74.10,74.49,73.64,74.08,109064800,72.694
2014-09-10,73.25,73.528,72.73,73.23,115110600,71.86
2014-09-09,72.51,73.91,72.51,73.25,149996300,71.879
2014-09-08,72.50,72.70,71.40,72.20,257941100,70.849
2014-09-05,75.02,75.25,73.83,74.00,106917600,72.615
2014-09-04,74.83,75.22,74.36,75.00,111211900,73.596
2014-09-03,74.93,75.47,74.92,75.03,133957800,73.626
2014-09-02,75.91,76.20,74.25,74.82,290712400,73.42
2014-09-01,76.15,76.47,75.34,75.85,55831100,74.43
2014-08-29,76.37,77.08,75.67,76.27,89276600,74.843
2014-08-28,76.68,77.05,76.11,76.28,72034200,74.852
2014-08-27,76.50,77.27,76.32,76.83,93572200,75.392
2014-08-26,76.50,76.85,75.995,76.49,116044200,75.058
2014-08-25,76.25,76.25,76.25,76.25,000,74.823
2014-08-22,75.51,76.33,75.238,76.25,128366500,74.823
2014-08-21,75.06,75.37,74.64,75.24,61387000,73.832
2014-08-20,74.63,75.08,74.56,75.06,87994800,73.655
2014-08-19,74.24,75.01,74.13,74.60,62284900,73.204
2014-08-18,74.00,74.17,73.23,74.05,63054100,72.664
2014-08-15,73.64,75.38,73.50,73.59,82341300,72.213
2014-08-14,73.65,74.13,73.14,73.50,110980500,72.124
2014-08-13,73.49,74.32,72.702,73.68,95691500,72.301
2014-08-12,73.00,73.561,72.867,73.24,63289200,71.869
2014-08-11,73.16,73.43,50.00,73.11,80548200,71.742
2014-08-08,71.09,72.40,70.72,72.21,94569700,70.859
2014-08-07,72.01,72.49,71.13,71.92,76114200,70.574
2014-08-06,72.51,73.00,71.01,72.23,133992200,70.878
2014-08-05,73.56,74.134,72.70,72.90,82304100,71.536
2014-08-04,73.61,74.771,73.27,73.34,109524400,71.967
2014-08-01,74.15,74.37,72.87,73.33,113639000,71.958
2014-07-31,77.48,77.48,73.95,74.25,258483100,72.86
2014-07-30,75.92,77.038,75.39,76.41,115805100,74.98
2014-07-29,75.18,76.09,74.716,75.63,79857200,74.215
2014-07-28,75.32,75.47,73.89,74.84,90888400,73.439
2014-07-25,74.40,75.85,74.113,74.81,118251500,73.41
2014-07-24,73.50,73.99,72.959,73.95,79645200,72.566
2014-07-23,73.12,74.10,72.90,73.63,112351800,72.252
2014-07-22,73.08,74.00,72.77,73.30,82920500,71.928
2014-07-21,73.17,74.00,72.37,72.59,69975000,71.231
2014-07-18,72.98,73.77,72.14,73.42,82535400,72.046
2014-07-17,74.45,74.51,73.07,73.17,82900500,71.801
2014-07-16,73.00,74.51,72.59,74.44,94979000,73.047
2014-07-15,72.88,73.75,72.31,72.87,118106100,71.506
2014-07-14,72.77,73.74,72.13,73.15,70950800,71.781
2014-07-11,73.01,73.688,72.11,72.67,104144500,71.31
2014-07-10,73.00,73.43,71.72,73.11,126417700,71.742
2014-07-09,73.33,73.63,72.253,72.90,105819700,71.536
2014-07-08,75.46,75.46,73.35,73.37,121354100,71.997
2014-07-07,75.52,75.97,74.76,75.10,57153600,73.695
2014-07-04,76.39,76.647,75.596,75.68,46686000,74.264
2014-07-03,75.99,76.49,75.74,76.40,72597200,74.97
2014-07-02,75.60,76.48,75.226,75.70,65683100,74.283
2014-07-01,74.63,75.95,74.28,75.51,78402600,74.097
2014-06-30,75.54,75.72,73.955,74.25,112826000,72.86
2014-06-27,75.35,75.84,75.07,75.35,80573700,73.94
2014-06-26,74.90,80.042,73.893,75.39,220142900,73.979
2014-06-25,74.99,75.08,74.00,74.53,98772900,73.135
2014-06-24,75.73,76.36,74.095,75.00,116856600,73.596
2014-06-23,76.83,76.83,75.265,75.45,75511900,74.038
2014-06-20,77.54,77.83,76.59,76.70,172258100,75.265
2014-06-19,78.41,78.70,77.30,77.40,97689300,75.951
2014-06-18,78.32,78.90,77.576,77.66,68349500,76.207
2014-06-17,76.99,77.99,76.67,77.99,98958200,76.53
2014-06-16,76.95,77.69,76.36,76.66,114370200,75.225
2014-06-13,79.16,79.86,77.07,77.58,135229900,76.128
2014-06-12,79.86,80.00,79.242,79.48,108219300,77.993
2014-06-11,78.58,79.25,78.14,79.06,172968400,77.58
2014-06-10,78.51,78.746,77.40,78.45,99341900,76.982
2014-06-09,80.05,80.135,78.60,78.82,89379200,77.345
2014-06-06,79.23,80.26,78.238,80.15,255638500,78.65
2014-06-05,78.24,78.96,77.65,78.80,144507100,77.325
2014-06-04,77.03,78.10,77.00,78.04,110438000,76.579
2014-06-03,77.65,77.73,76.536,77.05,80371000,75.608
2014-06-02,78.15,78.24,77.21,77.39,89834500,75.942
