Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2384.00,2384.00,2335.00,2341.00,797300,2341.00
2016-02-17,2350.00,2383.00,2343.00,2375.00,926000,2375.00
2016-02-16,2357.00,2367.00,2325.00,2340.00,934000,2340.00
2016-02-15,2342.00,2374.00,2331.77,2332.00,1238900,2332.00
2016-02-12,2185.00,2295.00,2163.00,2287.00,1903000,2287.00
2016-02-11,2147.00,2209.00,2134.00,2149.00,1871700,2149.00
2016-02-10,2150.00,2200.00,2131.00,2179.00,1579900,2179.00
2016-02-09,2197.00,2203.00,2083.00,2123.00,2315800,2123.00
2016-02-08,2329.00,2337.00,2174.00,2197.00,1890600,2197.00
2016-02-05,2378.00,2387.00,2315.00,2319.00,806500,2319.00
2016-02-04,2422.00,2422.00,2334.00,2369.00,927800,2369.00
2016-02-03,2412.00,2432.00,2359.00,2372.00,731700,2372.00
2016-02-02,2454.00,2463.00,2413.00,2413.00,526700,2413.00
2016-02-01,2483.00,2493.00,2437.00,2461.00,928200,2461.00
2016-01-29,2448.00,2474.00,2439.00,2474.00,972700,2474.00
2016-01-28,2443.00,2464.00,2400.00,2411.00,659700,2411.00
2016-01-27,2427.00,2447.00,2424.00,2444.00,1125900,2444.00
2016-01-26,2413.00,2433.00,2413.00,2425.00,910800,2425.00
2016-01-25,2487.00,2487.00,2452.00,2458.00,669200,2458.00
2016-01-22,2456.00,2467.00,2442.00,2462.00,708300,2462.00
2016-01-21,2358.00,2401.00,2350.00,2397.00,1068000,2397.00
2016-01-20,2425.00,2430.00,2336.00,2355.00,1179700,2355.00
2016-01-19,2480.00,2508.00,2463.29,2473.00,836900,2473.00
2016-01-18,2406.00,2450.00,2396.00,2436.00,633900,2436.00
2016-01-15,2485.00,2512.00,2396.20,2404.00,1194800,2404.00
2016-01-14,2504.00,2505.80,2452.00,2494.00,839600,2494.00
2016-01-13,2600.00,2610.50,2523.00,2539.00,1272900,2539.00
2016-01-12,2551.00,2605.00,2537.00,2584.00,720600,2584.00
2016-01-11,2530.00,2561.00,2495.00,2534.00,714100,2534.00
2016-01-08,2523.00,2594.00,2523.00,2530.00,1138200,2530.00
2016-01-07,2503.00,2516.00,2480.00,2512.00,1284600,2512.00
2016-01-06,2618.00,2631.00,2537.00,2554.00,1444600,2554.00
2016-01-05,2691.00,2705.00,2616.00,2645.00,637800,2645.00
2016-01-04,2711.00,2715.00,2633.00,2645.00,688900,2645.00
2015-12-31,2753.00,2768.00,2736.00,2744.00,235600,2744.00
2015-12-30,2769.00,2776.00,2743.00,2750.00,360400,2750.00
2015-12-29,2733.00,2786.00,2703.50,2780.00,415600,2780.00
2015-12-24,2724.00,2726.00,2699.00,2702.00,28300,2702.00
2015-12-23,2697.00,2723.00,2674.00,2709.00,324600,2709.00
2015-12-22,2705.00,2705.00,2664.00,2681.00,227700,2681.00
2015-12-21,2695.00,2737.00,2676.00,2676.00,377400,2676.00
2015-12-18,2694.00,2721.00,2691.95,2698.00,985600,2698.00
2015-12-17,2697.00,2716.00,2683.00,2709.00,640700,2709.00
2015-12-16,2604.00,2644.00,2598.00,2642.00,979100,2642.00
2015-12-15,2504.00,2605.00,2504.00,2603.00,948400,2603.00
2015-12-14,2496.00,2544.00,2481.00,2486.00,601400,2486.00
2015-12-11,2560.00,2563.00,2491.00,2493.00,783000,2493.00
2015-12-10,2574.00,2583.00,2545.64,2574.00,412600,2574.00
2015-12-09,2616.00,2617.04,2576.00,2581.00,446900,2581.00
2015-12-08,2643.00,2647.00,2581.00,2596.00,536000,2596.00
2015-12-07,2633.00,2675.00,2633.00,2646.00,474900,2646.00
2015-12-04,2595.00,2617.00,2578.00,2615.00,492100,2615.00
2015-12-03,2657.00,2666.00,2603.00,2604.00,694200,2604.00
2015-12-02,2665.00,2676.00,2654.00,2656.00,574100,2656.00
2015-12-01,2657.00,2667.00,2634.00,2654.00,574400,2654.00
2015-11-30,2636.00,2651.00,2623.00,2650.00,569500,2650.00
2015-11-27,2624.00,2652.00,2605.00,2645.00,310400,2645.00
2015-11-26,2622.00,2642.00,2615.00,2635.00,192600,2635.00
2015-11-25,2587.00,2621.00,2586.00,2614.00,391900,2614.00
2015-11-24,2589.00,2593.00,2545.00,2576.00,782900,2576.00
2015-11-23,2581.00,2603.00,2575.00,2600.00,399400,2600.00
2015-11-20,2596.00,2608.00,2570.00,2602.00,624700,2602.00
2015-11-19,2574.00,2596.00,2564.00,2585.00,582300,2585.00
2015-11-18,2542.00,2560.00,2537.00,2552.00,514200,2552.00
2015-11-17,2528.00,2551.00,2520.00,2550.00,354600,2550.00
2015-11-16,2479.00,2497.00,2463.00,2497.00,420000,2497.00
2015-11-13,2530.00,2533.48,2480.00,2491.00,543900,2491.00
2015-11-12,2550.00,2577.00,2525.00,2535.00,574100,2535.00
2015-11-11,2539.00,2555.00,2519.00,2542.00,543900,2542.00
2015-11-10,2590.00,2604.00,2536.00,2540.00,569900,2540.00
2015-11-09,2599.00,2616.00,2582.00,2583.00,627700,2583.00
