Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,430.40,432.10,425.00,431.10,1113300,431.10
2016-02-17,414.30,429.50,414.30,429.50,1561200,429.50
2016-02-16,403.00,417.80,400.80,415.00,1899800,415.00
2016-02-15,398.00,405.30,396.808,401.80,880200,401.80
2016-02-12,386.20,394.50,385.80,394.40,1544700,394.40
2016-02-11,391.70,391.70,383.90,385.10,1314300,385.10
2016-02-10,391.20,396.00,386.30,393.90,1312900,393.90
2016-02-09,382.10,388.00,377.90,386.50,1856700,386.50
2016-02-08,404.10,404.40,377.40,379.80,1552800,379.80
2016-02-05,410.90,414.30,400.90,402.20,1178300,402.20
2016-02-04,410.10,410.676,402.40,408.80,1121500,408.80
2016-02-03,411.50,413.00,400.90,405.30,1114700,405.30
2016-02-02,413.70,418.50,409.664,413.50,1245800,413.50
2016-02-01,413.10,415.00,411.20,413.70,1417300,413.70
2016-01-29,411.40,413.70,408.10,413.70,2360500,413.70
2016-01-28,407.90,411.60,395.80,407.90,1000600,407.90
2016-01-27,405.70,410.30,405.00,409.80,1573600,409.80
2016-01-26,406.50,410.30,405.70,407.80,912100,407.80
2016-01-25,413.20,413.80,409.00,413.00,902700,413.00
2016-01-22,406.80,411.00,406.20,409.00,1155700,409.00
2016-01-21,405.70,408.271,395.90,401.60,2702600,401.60
2016-01-20,402.00,406.70,397.80,402.80,2381900,402.80
2016-01-19,411.50,411.80,402.30,410.00,2458800,410.00
2016-01-18,405.90,413.50,404.00,404.30,993800,404.30
2016-01-15,406.30,412.10,400.10,406.80,2323300,406.80
2016-01-14,421.10,421.10,402.70,406.70,3247200,406.70
2016-01-13,445.70,446.80,429.20,429.80,1748300,429.80
2016-01-12,439.60,447.90,438.50,441.70,1391900,441.70
2016-01-11,439.50,442.20,437.70,437.70,955500,437.70
2016-01-08,437.00,446.40,435.40,440.40,964000,440.40
2016-01-07,437.70,437.70,425.00,435.80,1505900,435.80
2016-01-06,447.60,448.50,440.20,443.90,1008200,443.90
2016-01-05,443.70,450.90,442.23,443.70,575300,443.70
2016-01-04,450.20,451.80,441.80,443.70,1028200,443.70
2015-12-31,454.10,456.60,450.00,455.50,129600,455.50
2015-12-30,454.60,458.20,454.40,456.00,587100,456.00
2015-12-29,451.90,457.00,447.00,457.00,814900,457.00
2015-12-24,449.10,450.70,445.80,450.00,209000,450.00
2015-12-23,443.20,449.20,442.90,447.00,819100,447.00
2015-12-22,445.60,445.60,438.10,441.90,748800,441.90
2015-12-21,440.00,446.20,438.141,441.80,995100,441.80
2015-12-18,442.00,444.60,440.00,441.50,2224100,441.50
2015-12-17,445.00,446.80,441.90,444.20,1414000,444.20
2015-12-16,438.20,440.90,434.90,439.70,1132700,439.70
2015-12-15,438.70,439.00,433.80,437.00,2163600,437.00
2015-12-14,434.00,440.90,434.00,435.30,1413300,435.30
2015-12-11,433.50,438.80,431.80,436.00,1765800,436.00
2015-12-10,430.00,434.50,429.00,433.40,1023500,433.40
2015-12-09,431.60,435.30,430.50,430.50,1169100,430.50
2015-12-08,436.80,437.50,430.80,431.50,1320100,431.50
2015-12-07,430.00,439.00,430.00,435.20,1579300,435.20
2015-12-04,424.00,429.00,421.00,428.70,1099400,428.70
2015-12-03,425.40,427.90,423.50,423.50,2105500,423.50
2015-12-02,417.50,425.30,414.60,425.00,1770500,425.00
2015-12-01,415.00,417.50,410.50,415.00,2430800,415.00
2015-11-30,408.90,411.60,403.50,409.20,2362600,409.20
2015-11-27,407.40,409.021,405.50,407.50,1092200,407.50
2015-11-26,405.00,409.20,403.90,408.50,917200,408.50
2015-11-25,398.70,406.00,396.918,405.00,2074500,405.00
2015-11-24,404.50,407.395,393.90,395.90,1241100,395.90
2015-11-23,407.00,409.00,405.00,406.30,714300,406.30
2015-11-20,414.40,414.40,410.20,411.60,832700,411.60
2015-11-19,413.90,414.40,409.70,412.80,1482800,412.80
2015-11-18,402.20,411.10,402.10,409.80,1599500,409.80
2015-11-17,397.30,403.60,394.825,403.60,1037800,403.60
2015-11-16,394.80,402.30,389.30,393.50,1241200,393.50
2015-11-13,406.40,406.40,395.50,396.10,1048400,396.10
2015-11-12,410.90,412.80,404.10,404.10,1543500,404.10
2015-11-11,403.40,410.30,403.20,410.30,995400,410.30
2015-11-10,407.30,411.70,400.30,400.30,1615900,400.30
2015-11-09,411.30,414.573,407.30,407.30,1204800,407.30
2015-11-06,411.70,415.60,408.20,412.20,1078900,412.20
2015-11-05,411.10,413.20,408.70,408.70,1158600,408.70
2015-11-04,410.80,413.50,408.90,411.30,970600,411.30
2015-11-03,411.70,413.755,409.70,411.90,1723800,411.90
2015-11-02,411.40,413.90,410.10,410.80,1258000,410.80
2015-10-30,410.30,414.80,409.10,414.80,2758000,414.80
2015-10-29,403.00,409.90,401.40,409.30,3091700,409.30
2015-10-28,395.60,400.40,394.50,400.40,1107200,400.40
2015-10-27,399.10,399.10,394.50,395.00,1526800,395.00
2015-10-26,396.70,398.845,395.70,398.40,1226200,398.40
2015-10-23,386.80,398.60,386.40,398.30,3450900,398.30
2015-10-22,387.30,389.191,380.90,386.30,3012500,386.30
2015-10-21,375.00,389.50,374.90,389.00,3085700,389.00
2015-10-20,372.70,374.40,369.70,371.60,1083300,371.60
2015-10-19,368.50,372.90,368.50,371.30,1150600,371.30
2015-10-16,368.60,371.70,367.90,370.10,1451100,370.10
2015-10-15,368.20,369.90,365.90,368.00,1966500,368.00
2015-10-14,377.90,378.577,365.20,367.00,1680600,367.00
2015-10-13,380.70,380.70,378.10,379.20,701800,379.20
2015-10-12,383.60,384.604,379.10,381.30,1035200,381.30
2015-10-09,386.80,387.00,382.10,385.00,924100,385.00
2015-10-08,381.50,385.70,380.70,384.20,804100,384.20
2015-10-07,383.80,384.095,377.30,381.00,1503900,381.00
2015-10-06,384.20,385.90,381.90,384.20,712400,384.20
2015-10-05,380.40,384.00,379.312,382.90,747900,382.90
2015-10-02,377.60,380.30,372.00,375.90,956900,375.90
2015-10-01,374.50,377.30,373.30,376.60,1099800,376.60
2015-09-30,372.30,373.044,369.80,371.60,1608000,371.60
2015-09-29,367.00,368.40,363.388,365.90,1007200,365.90
2015-09-28,376.00,376.00,369.20,369.20,1018400,369.20
2015-09-25,376.40,376.90,373.30,376.20,1166200,376.20
