Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,439.90,442.70,435.80,437.90,5576800,437.90
2016-02-17,432.00,437.60,431.265,436.80,5879100,436.80
2016-02-16,426.70,429.00,423.20,428.90,4795000,428.90
2016-02-15,422.40,427.70,422.20,424.80,3788800,424.80
2016-02-12,406.90,418.40,404.80,417.40,6618900,417.40
2016-02-11,412.00,412.10,399.80,403.80,7793800,403.80
2016-02-10,411.00,416.30,406.30,413.00,7168600,413.00
2016-02-09,408.70,414.486,403.60,411.20,6051200,411.20
2016-02-08,418.10,419.30,405.80,407.10,6299900,407.10
2016-02-05,417.20,424.10,414.90,415.30,4326500,415.30
2016-02-04,414.70,418.50,411.00,415.60,4950800,415.60
2016-02-03,414.90,417.30,407.10,409.50,5392300,409.50
2016-02-02,425.20,425.20,412.00,416.10,4439600,416.10
2016-02-01,425.50,426.10,418.60,424.80,4247200,424.80
2016-01-29,422.50,424.40,418.80,424.10,5265100,424.10
2016-01-28,424.90,425.90,417.00,418.40,5469200,418.40
2016-01-27,421.20,426.70,415.80,426.70,5216100,426.70
2016-01-26,413.30,420.70,408.814,420.70,4883200,420.70
2016-01-25,420.80,420.80,413.20,417.80,6474600,417.80
2016-01-22,420.30,422.50,414.00,418.60,7752700,418.60
2016-01-21,412.70,418.60,410.50,417.50,6103900,417.50
2016-01-20,414.50,414.90,407.40,410.80,5167800,410.80
2016-01-19,420.30,425.00,418.392,421.70,4152800,421.70
2016-01-18,422.20,426.70,416.10,417.20,4813200,417.20
2016-01-15,425.00,428.00,419.50,422.80,6371100,422.80
2016-01-14,423.90,425.90,418.60,425.10,6907000,425.10
2016-01-13,428.70,432.90,426.80,428.70,5126100,428.70
2016-01-12,426.70,430.40,425.10,426.80,5717600,426.80
2016-01-11,431.50,432.50,422.70,422.80,6670000,422.80
2016-01-08,441.00,446.40,429.50,430.70,12367300,430.70
2016-01-07,437.10,447.90,428.60,439.20,18450400,439.20
2016-01-06,434.00,440.10,433.177,438.70,7234400,438.70
2016-01-05,430.00,440.70,426.90,435.30,8071000,435.30
2016-01-04,446.00,446.525,434.30,435.30,10304900,435.30
2015-12-31,456.50,456.50,450.40,452.40,1239400,452.40
2015-12-30,453.90,457.90,452.00,456.60,3602200,456.60
2015-12-29,452.80,456.60,450.50,455.10,5389500,455.10
2015-12-24,446.90,453.40,445.40,453.40,1129600,453.40
2015-12-23,446.00,453.43,444.10,447.00,5802800,447.00
2015-12-22,449.60,449.60,438.10,442.90,5920800,442.90
2015-12-21,449.80,455.10,447.60,447.60,5292000,447.60
2015-12-18,452.80,456.20,447.30,451.40,8499800,451.40
2015-12-17,467.50,469.00,457.20,458.00,4211900,458.00
2015-12-16,463.00,463.90,454.50,460.20,8781600,460.20
2015-12-15,458.60,465.00,455.60,462.60,4329000,462.60
2015-12-14,464.10,467.90,455.70,455.70,6413200,455.70
2015-12-11,472.70,473.30,463.80,465.10,5630600,465.10
2015-12-10,480.60,481.10,473.60,474.80,4616400,474.80
2015-12-09,486.00,488.20,481.10,482.50,3270700,482.50
2015-12-08,492.30,493.851,483.50,485.50,4231500,485.50
2015-12-07,499.00,504.50,493.20,494.80,4354300,494.80
2015-12-04,499.00,501.50,496.021,497.30,4030800,497.30
