Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1319.00,1320.00,1296.00,1314.00,1190000,1314.00
2016-02-17,1267.00,1315.00,1267.00,1315.00,975500,1315.00
2016-02-16,1274.00,1298.00,1246.00,1267.00,1619700,1267.00
2016-02-15,1240.00,1257.00,1236.00,1255.00,867200,1255.00
2016-02-12,1173.00,1222.00,1173.00,1221.00,1444100,1221.00
2016-02-11,1182.00,1192.00,1158.00,1170.00,1856100,1170.00
2016-02-10,1165.00,1199.00,1157.00,1197.00,2318500,1197.00
2016-02-09,1147.00,1160.00,1122.00,1143.00,2075300,1143.00
2016-02-08,1166.00,1174.00,1132.00,1137.00,2279100,1137.00
2016-02-05,1146.00,1187.00,1146.00,1166.00,2268900,1166.00
2016-02-04,1156.00,1167.00,1138.00,1150.00,2203500,1150.00
2016-02-03,1123.00,1143.00,1108.00,1128.00,2013500,1128.00
2016-02-02,1150.00,1156.00,1125.00,1130.00,1806900,1130.00
2016-02-01,1151.00,1161.00,1137.00,1155.00,2002700,1155.00
2016-01-29,1136.00,1138.00,1112.00,1136.00,2491600,1136.00
2016-01-28,1157.00,1173.00,1117.00,1124.00,1617400,1124.00
2016-01-27,1166.00,1169.00,1145.00,1169.00,1373600,1169.00
2016-01-26,1170.00,1170.00,1139.00,1160.00,2497400,1160.00
2016-01-25,1236.00,1236.00,1187.00,1192.00,1365800,1192.00
2016-01-22,1226.00,1238.00,1219.00,1222.00,1313900,1222.00
2016-01-21,1175.00,1205.00,1172.00,1199.00,1250400,1199.00
2016-01-20,1192.00,1196.00,1161.00,1169.00,1560800,1169.00
2016-01-19,1224.00,1235.00,1207.00,1213.00,1732400,1213.00
2016-01-18,1186.00,1210.00,1181.00,1197.00,1219800,1197.00
2016-01-15,1223.00,1229.00,1181.00,1186.00,2047700,1186.00
2016-01-14,1250.00,1258.00,1224.00,1231.00,1561000,1231.00
2016-01-13,1255.00,1283.00,1250.00,1271.00,1420900,1271.00
2016-01-12,1212.00,1268.00,1198.00,1256.00,1519700,1256.00
2016-01-11,1199.00,1235.00,1185.00,1217.00,1600100,1217.00
2016-01-08,1246.00,1263.00,1223.00,1223.00,1495500,1223.00
2016-01-07,1249.00,1255.00,1218.00,1246.00,1582200,1246.00
2016-01-06,1282.00,1289.00,1262.00,1283.00,1048100,1283.00
2016-01-05,1309.00,1309.00,1272.25,1294.00,819800,1294.00
2016-01-04,1312.00,1315.00,1288.00,1294.00,1042900,1294.00
2015-12-31,1339.00,1339.00,1329.00,1334.00,165800,1334.00
2015-12-30,1346.00,1355.00,1332.00,1352.00,752200,1352.00
2015-12-29,1359.00,1362.00,1332.00,1348.00,834600,1348.00
2015-12-24,1343.00,1368.00,1343.00,1359.00,376200,1359.00
2015-12-23,1339.00,1343.00,1330.00,1335.00,861600,1335.00
2015-12-22,1340.00,1346.00,1319.00,1320.00,883000,1320.00
2015-12-21,1327.00,1351.00,1321.00,1323.00,790900,1323.00
2015-12-18,1335.00,1342.00,1321.00,1324.00,1894700,1324.00
2015-12-17,1333.00,1377.00,1333.00,1345.00,1938100,1345.00
2015-12-16,1325.00,1334.00,1309.00,1309.00,1233600,1309.00
2015-12-15,1293.00,1332.00,1286.00,1326.00,1812000,1326.00
2015-12-14,1290.00,1322.00,1275.00,1275.00,1977500,1275.00
2015-12-11,1307.00,1307.00,1263.00,1275.00,2575600,1275.00
2015-12-10,1343.00,1356.00,1305.00,1316.00,2220600,1316.00
2015-12-09,1376.00,1377.00,1338.00,1344.00,2394000,1344.00
2015-12-08,1450.00,1452.00,1375.00,1376.00,3179400,1376.00
2015-12-07,1494.00,1511.00,1481.00,1489.00,1351500,1489.00
2015-12-04,1531.00,1531.00,1459.00,1490.00,2703900,1490.00
2015-12-03,1543.00,1577.00,1534.00,1541.00,2190800,1541.00
2015-12-02,1548.00,1560.00,1538.00,1552.00,1086200,1552.00
