Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,956.50,965.90,955.20,964.10,6207200,964.10
2016-02-17,959.30,962.051,942.33,955.30,8317500,955.30
2016-02-16,955.40,955.50,946.40,955.50,6504700,955.50
2016-02-15,949.90,958.60,944.30,952.60,4913500,952.60
2016-02-12,936.70,939.90,927.70,937.40,9250700,937.40
2016-02-11,944.00,946.50,925.548,931.90,12088300,931.90
2016-02-10,946.50,950.10,934.939,941.80,10329800,941.80
2016-02-09,953.00,959.20,937.40,943.70,9878000,943.70
2016-02-08,962.60,966.50,946.60,949.60,10280800,949.60
2016-02-05,974.90,978.60,955.60,959.00,8494400,959.00
2016-02-04,985.00,987.00,970.60,976.60,7850600,976.60
2016-02-03,984.10,992.40,971.90,974.80,8891700,974.80
2016-02-02,989.50,991.50,979.60,985.30,9890500,985.30
2016-02-01,990.90,992.50,976.40,989.70,7827700,989.70
2016-01-29,968.70,985.80,960.30,985.80,12773400,985.80
2016-01-28,964.00,967.70,951.70,960.30,7557500,960.30
2016-01-27,951.70,965.70,946.40,965.70,8160500,965.70
2016-01-26,939.60,953.20,931.70,948.00,6686400,948.00
2016-01-25,950.50,951.00,939.00,946.30,7941600,946.30
2016-01-22,935.00,943.30,923.50,941.90,8878300,941.90
2016-01-21,922.20,925.493,906.10,925.40,11694100,925.40
2016-01-20,936.70,943.30,913.90,917.80,9776800,917.80
2016-01-19,939.30,946.20,931.80,944.90,7509300,944.90
2016-01-18,936.90,940.20,923.10,926.00,5661200,926.00
2016-01-15,940.90,945.60,929.50,934.60,8566400,934.60
2016-01-14,935.00,940.80,925.40,937.20,10939900,937.20
2016-01-13,947.80,948.491,939.70,942.30,5770500,942.30
2016-01-12,943.30,950.90,938.50,949.00,5089700,949.00
2016-01-11,940.90,947.60,932.50,941.00,4791200,941.00
2016-01-08,950.20,952.30,940.10,940.10,6830800,940.10
2016-01-07,939.00,950.80,934.20,949.80,9485200,949.80
2016-01-06,935.00,950.00,929.90,950.00,9437700,950.00
2016-01-05,928.90,935.10,921.90,925.90,4804200,925.90
2016-01-04,930.40,932.50,920.90,925.90,6186300,925.90
