Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,7035.00,7080.00,6935.00,6960.00,426000,6960.00
2016-02-17,6925.00,7055.00,6890.00,7020.00,552200,7020.00
2016-02-16,6885.00,6945.00,6840.00,6895.00,410100,6895.00
2016-02-15,6850.00,6910.00,6820.00,6860.00,498800,6860.00
2016-02-12,6650.00,6780.00,6615.00,6760.00,458700,6760.00
2016-02-11,6680.00,6690.00,6568.60,6610.00,444900,6610.00
2016-02-10,6675.00,6775.00,6585.00,6710.00,574700,6710.00
2016-02-09,6455.00,6710.00,6455.00,6665.00,794300,6665.00
2016-02-08,6670.00,6675.00,6430.00,6430.00,575000,6430.00
2016-02-05,6650.00,6757.69,6605.00,6620.00,464700,6620.00
2016-02-04,6740.00,6765.00,6606.20,6665.00,348800,6665.00
2016-02-03,6755.00,6790.00,6625.00,6655.00,638500,6655.00
2016-02-02,6885.00,6885.00,6715.00,6735.00,491600,6735.00
2016-02-01,6980.00,7015.00,6815.00,6880.00,431200,6880.00
2016-01-29,6880.00,6930.00,6835.00,6925.00,499900,6925.00
2016-01-28,6925.00,6925.00,6775.00,6795.00,475600,6795.00
2016-01-27,6815.00,6970.00,6775.00,6950.00,803600,6950.00
2016-01-26,6765.00,6825.00,6650.00,6810.00,519200,6810.00
2016-01-25,6860.00,6860.00,6750.00,6800.00,481100,6800.00
2016-01-22,6675.00,6850.00,6650.00,6810.00,683600,6810.00
2016-01-21,6540.00,6590.00,6460.00,6580.00,572900,6580.00
2016-01-20,6605.00,6607.03,6480.00,6525.00,570600,6525.00
2016-01-19,6690.00,6764.35,6660.00,6685.00,540900,6685.00
2016-01-18,6735.00,6775.00,6645.00,6645.00,458500,6645.00
2016-01-15,6665.00,6815.00,6660.00,6740.00,912500,6740.00
2016-01-14,6595.00,6695.00,6520.00,6670.00,717700,6670.00
2016-01-13,6820.00,6820.00,6664.25,6705.00,735200,6705.00
2016-01-12,6845.00,6860.00,6745.00,6770.00,587700,6770.00
2016-01-11,6830.00,6880.00,6735.00,6785.00,558700,6785.00
2016-01-08,6980.00,7010.00,6825.00,6825.00,828400,6825.00
2016-01-07,6830.00,6955.00,6750.00,6940.00,1162700,6940.00
2016-01-06,6890.00,6935.00,6810.00,6865.00,1041700,6865.00
2016-01-05,6850.00,7000.00,6755.00,6860.00,2064100,6860.00
2016-01-04,7215.00,7240.00,7110.00,7190.00,1163200,7190.00
2015-12-31,7280.00,7311.50,7250.00,7290.00,141900,7290.00
2015-12-30,7225.00,7305.00,7210.00,7275.00,363600,7275.00
2015-12-29,7185.00,7290.00,7185.00,7235.00,574800,7235.00
2015-12-28,7180.00,7180.00,7180.00,7180.00,000,7180.00
2015-12-25,7180.00,7180.00,7180.00,7180.00,000,7180.00
2015-12-24,7240.00,7240.00,7180.00,7180.00,91800,7180.00
2015-12-23,7225.00,7250.00,7125.00,7220.00,428700,7220.00
2015-12-22,7250.00,7250.00,7130.00,7195.00,437600,7195.00
2015-12-21,7260.00,7285.00,7220.00,7220.00,570300,7220.00
2015-12-18,7350.00,7370.00,7225.00,7275.00,779800,7275.00
2015-12-17,7550.00,7550.00,7385.00,7405.00,413000,7405.00
2015-12-16,7525.00,7535.00,7405.00,7445.00,432200,7445.00
2015-12-15,7365.00,7510.00,7305.00,7505.00,485000,7505.00
2015-12-14,7370.00,7481.50,7315.00,7325.00,368800,7325.00
2015-12-11,7515.00,7515.00,7375.00,7385.00,344400,7385.00
2015-12-10,7660.00,7660.00,7490.00,7500.00,449700,7500.00
2015-12-09,7780.00,7790.00,7680.00,7730.00,463800,7677.00
2015-12-08,7815.00,7831.25,7740.00,7780.00,409400,7726.657
2015-12-07,7915.00,7970.00,7835.00,7835.00,274000,7781.28
2015-12-04,7905.00,7960.00,7893.50,7940.00,234500,7885.56
2015-12-03,8100.00,8175.00,7935.00,7935.00,536400,7880.595
2015-12-02,7975.00,8035.00,7955.00,8015.00,218200,7960.046
2015-12-01,7950.00,7960.00,7910.00,7950.00,447600,7895.492
2015-11-30,7935.00,7950.00,7855.00,7920.00,726000,7865.697
2015-11-27,7860.00,7940.00,7825.00,7920.00,220200,7865.697
2015-11-26,7815.00,7880.00,7795.00,7870.00,157300,7816.04
2015-11-25,7720.00,7835.00,7720.00,7805.00,264200,7751.486
2015-11-24,7765.00,7765.00,7625.00,7700.00,337300,7647.206
2015-11-23,7725.00,7870.00,7725.00,7765.00,274900,7711.76
2015-11-20,7840.00,7840.00,7750.00,7785.00,317200,7731.623
2015-11-19,7840.00,7870.00,7785.00,7805.00,334100,7751.486
2015-11-18,7840.00,7840.00,7715.00,7805.00,274400,7751.486
2015-11-17,7775.00,7860.00,7775.00,7860.00,274100,7806.109
2015-11-16,7615.00,7725.00,7605.00,7725.00,314200,7672.034
2015-11-13,7790.00,7795.00,7655.00,7695.00,337600,7642.24
2015-11-12,7830.00,7875.00,7795.00,7805.00,275900,7751.486
2015-11-11,7900.00,7905.00,7798.25,7825.00,357800,7771.349
2015-11-10,7910.00,7910.64,7790.00,7855.00,233200,7801.143
2015-11-09,7965.00,7973.00,7850.00,7870.00,197200,7816.04
2015-11-06,7970.00,7988.25,7915.00,7940.00,216900,7885.56
2015-11-05,7960.00,8010.00,7935.00,7955.00,308300,7900.457
2015-11-04,8000.00,8010.00,7940.00,7960.00,183800,7905.423
2015-11-03,7990.00,8015.00,7925.00,7965.00,196600,7910.389
2015-11-02,7975.00,8030.00,7945.00,7970.00,214800,7915.355
2015-10-30,8000.00,8028.50,7950.00,8000.00,357300,7945.149
2015-10-29,7905.00,8000.00,7870.00,8000.00,454000,7945.149
2015-10-28,7910.00,7915.00,7765.00,7900.00,592300,7845.835
2015-10-27,7960.00,7980.00,7940.00,7945.00,274900,7890.526
2015-10-26,7945.00,7985.00,7885.00,7960.00,214900,7905.423
2015-10-23,7950.00,7980.00,7905.00,7950.00,406600,7895.492
2015-10-22,7840.00,7930.00,7820.00,7920.00,238400,7865.697
2015-10-21,7860.00,7891.50,7800.00,7870.00,281500,7816.04
2015-10-20,7680.00,7850.75,7680.00,7840.00,450600,7786.246
2015-10-19,7685.00,7735.00,7610.00,7670.00,263000,7617.412
2015-10-16,7710.00,7715.00,7635.00,7675.00,275100,7622.377
2015-10-15,7675.00,7690.75,7610.00,7665.00,329000,7612.446
2015-10-14,7590.00,7630.00,7550.00,7620.00,417900,7567.754
2015-10-13,7660.00,7670.00,7597.50,7635.00,253800,7582.652
2015-10-12,7625.00,7670.00,7560.00,7645.00,287800,7592.583
2015-10-09,7740.00,7765.00,7598.20,7615.00,373900,7562.789
2015-10-08,7670.00,7710.00,7595.00,7690.00,289700,7637.274
2015-10-07,7805.00,7855.00,7715.00,7725.00,388400,7672.034
2015-10-06,7850.00,7850.00,7775.00,7800.00,351500,7746.52
2015-10-05,7780.00,7877.65,7780.00,7805.00,367800,7751.486
2015-10-02,7775.00,7801.80,7595.00,7690.00,423000,7637.274
2015-10-01,7685.00,7775.00,7670.00,7735.00,513600,7681.966
2015-09-30,7600.00,7615.00,7515.00,7610.00,501200,7557.823
2015-09-29,7490.00,7570.00,7450.00,7470.00,351000,7418.783
2015-09-28,7625.00,7635.00,7545.00,7565.00,380400,7513.131
2015-09-25,7635.00,7680.00,7600.00,7635.00,573400,7582.652
2015-09-24,7605.00,7655.00,7506.75,7535.00,659300,7483.337
2015-09-23,7380.00,7525.00,7348.50,7495.00,297300,7443.611
2015-09-22,7590.00,7595.00,7400.00,7400.00,419700,7349.263
2015-09-21,7545.00,7645.00,7530.00,7605.00,293100,7552.857
2015-09-18,7610.00,7635.00,7520.00,7560.00,550300,7508.166
2015-09-17,7670.00,7690.00,7595.00,7610.00,388900,7557.823
