Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,176.40,177.70,173.60,174.60,14571300,174.60
2016-02-17,165.40,174.40,163.90,174.40,17664100,174.40
2016-02-16,168.30,169.40,163.50,166.50,11325000,166.50
2016-02-15,163.80,168.30,163.70,165.80,10771900,165.80
2016-02-12,154.60,160.10,154.60,160.10,11274200,160.10
2016-02-11,155.80,156.174,149.80,151.40,12764600,151.40
2016-02-10,156.70,162.10,155.20,157.50,12427700,157.50
2016-02-09,157.10,159.70,153.10,154.00,12479600,154.00
2016-02-08,160.80,163.60,154.964,156.10,10224700,156.10
2016-02-05,161.50,164.50,160.10,161.30,8777600,161.30
2016-02-04,157.40,164.30,156.70,162.00,15323600,162.00
2016-02-03,156.50,158.50,151.40,152.30,10925300,152.30
2016-02-02,165.80,166.10,157.10,157.50,9970000,157.50
2016-02-01,171.30,171.60,164.40,167.00,10602400,167.00
2016-01-29,164.50,169.70,163.80,169.70,14470000,169.70
2016-01-28,159.60,164.50,159.60,161.40,12908500,161.40
2016-01-27,156.80,159.70,155.70,159.70,8554900,159.70
2016-01-26,151.90,156.80,149.884,156.20,9455200,156.20
2016-01-25,159.00,159.90,154.10,154.70,8884000,154.70
2016-01-22,158.80,159.50,156.10,156.40,8973800,156.40
2016-01-21,151.00,155.90,148.90,154.20,13887700,154.20
2016-01-20,153.80,154.00,148.072,149.40,10165500,149.40
2016-01-19,156.10,161.40,153.231,157.60,8263100,157.60
2016-01-18,151.10,156.50,151.10,151.80,9135900,151.80
2016-01-15,157.50,158.20,149.90,151.70,12865000,151.70
2016-01-14,158.60,160.40,154.972,158.90,8700600,158.90
2016-01-13,161.00,164.50,159.76,161.20,10142900,161.20
2016-01-12,154.90,162.20,153.50,159.50,9433000,159.50
2016-01-11,154.10,159.49,150.40,155.60,13331800,155.60
2016-01-08,158.80,161.60,155.90,155.90,10209000,155.90
2016-01-07,157.50,159.10,153.60,157.70,12930600,157.70
2016-01-06,165.90,166.25,162.00,163.80,8901600,163.80
2016-01-05,168.60,169.30,164.00,167.40,6227500,167.40
2016-01-04,173.80,173.80,166.80,167.40,9229700,167.40
2015-12-31,177.80,179.70,177.18,178.90,1279900,178.90
2015-12-30,182.40,183.60,180.90,181.10,4604500,181.10
2015-12-29,182.90,183.60,181.409,183.00,4599600,183.00
2015-12-24,181.10,183.60,180.30,181.70,1253500,181.70
2015-12-23,176.20,179.40,176.20,179.10,5429600,179.10
2015-12-22,174.70,176.70,173.70,174.30,4628000,174.30
2015-12-21,172.60,176.90,171.90,172.60,7433100,172.60
2015-12-18,170.80,174.10,170.80,171.80,16667800,171.80
2015-12-17,173.10,180.00,171.80,171.80,18517900,171.80
2015-12-16,166.00,167.20,164.90,165.00,10011300,165.00
2015-12-15,159.70,171.30,159.60,166.20,25901400,166.20
2015-12-14,169.90,172.30,157.30,157.80,28975700,157.80
2015-12-11,171.50,171.50,154.60,155.70,31786300,155.70
2015-12-10,187.00,187.00,169.80,174.20,29562800,174.20
2015-12-09,194.70,197.00,194.40,195.40,6548800,195.40
2015-12-08,201.00,201.10,193.60,194.80,8303000,194.80
2015-12-07,200.20,202.66,199.20,200.60,5007000,200.60
2015-12-04,199.00,200.80,197.10,199.20,11028900,199.20
2015-12-03,207.10,208.30,200.80,200.80,10970700,200.80
2015-12-02,209.50,209.70,207.50,208.60,5419400,208.60
2015-12-01,210.60,210.60,206.50,208.80,10176400,208.80
2015-11-30,209.20,210.55,207.80,209.00,7441500,209.00
2015-11-27,209.10,210.30,207.40,210.20,5354600,210.20
2015-11-26,210.00,211.70,208.00,210.80,4344400,210.80
2015-11-25,208.40,210.10,207.70,210.00,5790500,210.00
2015-11-24,206.60,207.30,204.00,206.90,5099700,206.90
2015-11-23,205.30,208.40,203.20,207.40,6626500,207.40
2015-11-20,204.40,207.90,203.00,207.00,13737000,207.00
2015-11-19,201.60,202.20,201.00,202.10,10605400,202.10
2015-11-18,198.00,199.70,196.70,199.60,5228400,199.60
2015-11-17,195.10,199.80,195.10,198.90,8674000,198.90
2015-11-16,189.50,192.35,189.50,191.60,7342000,191.60
2015-11-13,194.80,194.90,189.90,191.40,10475400,191.40
2015-11-12,200.90,201.20,195.30,195.70,6978400,195.70
2015-11-11,199.30,201.80,198.30,201.70,7145700,201.70
2015-11-10,203.10,203.10,198.10,199.10,8250700,199.10
2015-11-09,204.50,205.30,201.60,201.60,8030400,201.60
2015-11-06,206.00,207.80,203.80,204.00,10732700,204.00
2015-11-05,212.80,212.80,206.50,206.60,9017700,206.60
2015-11-04,217.60,219.20,213.00,213.00,11615800,213.00
2015-11-03,212.90,214.40,212.40,214.40,3799800,214.40
2015-11-02,210.20,212.60,209.90,212.60,4411800,212.60
2015-10-30,213.20,213.40,210.30,212.30,6199400,212.30
2015-10-29,213.80,214.80,210.90,212.30,5838700,212.30
2015-10-28,210.90,214.80,209.90,214.10,5020400,214.10
2015-10-27,212.50,212.80,210.60,210.60,5660400,210.60
2015-10-26,212.10,215.20,212.10,213.90,4192000,213.90
2015-10-23,210.30,214.50,210.20,212.70,5563900,212.70
2015-10-22,207.00,210.50,206.40,209.50,4784000,209.50
2015-10-21,209.00,209.50,206.70,207.90,4691600,207.90
2015-10-20,210.40,210.60,206.20,208.10,6510100,208.10
2015-10-19,209.30,212.60,208.85,209.80,3350400,209.80
2015-10-16,209.30,210.80,208.30,209.40,5059100,209.40
2015-10-15,206.00,208.00,204.70,206.80,5729300,206.80
2015-10-14,203.60,205.70,202.50,203.60,4740000,203.60
2015-10-13,210.60,210.60,204.30,205.60,6800700,205.60
2015-10-12,210.60,212.80,209.80,210.80,6891400,210.80
2015-10-09,208.60,213.10,208.00,211.00,7891900,211.00
2015-10-08,205.90,208.00,204.50,207.40,5465800,207.40
2015-10-07,205.40,209.70,205.40,207.00,10706800,207.00
2015-10-06,200.80,203.40,200.10,202.30,6258200,202.30
