Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,3188.00,3210.00,3140.00,3174.00,304700,3174.00
2016-02-17,3098.00,3184.00,3098.00,3184.00,289600,3184.00
2016-02-16,3118.00,3137.00,3078.00,3092.00,390900,3092.00
2016-02-15,3073.00,3130.00,3071.00,3107.00,334300,3107.00
2016-02-12,2890.00,3019.00,2866.00,3019.00,596000,3019.00
2016-02-11,2853.00,2853.00,2771.00,2809.00,355200,2809.00
2016-02-10,2797.00,2905.00,2797.00,2855.00,318700,2855.00
2016-02-09,2766.00,2810.00,2743.00,2793.00,386400,2793.00
2016-02-08,2883.00,2883.00,2733.55,2754.00,447000,2754.00
2016-02-05,2929.00,2971.00,2861.00,2861.00,341200,2861.00
2016-02-04,2895.00,2936.00,2865.00,2936.00,313500,2936.00
2016-02-03,2914.00,2936.00,2840.00,2856.00,300300,2856.00
2016-02-02,2950.00,2970.00,2924.00,2927.00,275700,2927.00
2016-02-01,2925.00,2967.00,2908.00,2966.00,339900,2966.00
2016-01-29,2853.00,2938.00,2843.00,2938.00,493100,2938.00
2016-01-28,2854.00,2883.00,2808.00,2826.00,288300,2826.00
2016-01-27,2846.00,2872.00,2838.00,2872.00,361000,2872.00
2016-01-26,2883.00,2904.00,2839.00,2851.00,340900,2851.00
2016-01-25,2900.00,2922.00,2887.00,2917.00,244500,2917.00
2016-01-22,2888.00,2900.00,2872.00,2894.00,257900,2894.00
2016-01-21,2865.00,2891.00,2826.00,2851.00,468600,2851.00
2016-01-20,2890.00,2907.00,2841.00,2856.00,375900,2856.00
2016-01-19,2939.00,2958.00,2923.00,2932.00,338200,2932.00
2016-01-18,2963.00,3010.00,2895.00,2903.00,411300,2903.00
2016-01-15,3053.00,3072.00,2948.00,2971.00,534100,2971.00
2016-01-14,3145.00,3236.00,3045.00,3052.00,387700,3052.00
2016-01-13,3268.00,3287.00,3153.00,3160.00,524300,3160.00
2016-01-12,3205.00,3258.00,3180.00,3229.00,385200,3229.00
2016-01-11,3164.00,3228.00,3136.00,3200.00,362600,3200.00
2016-01-08,3191.00,3214.00,3178.00,3178.00,333300,3178.00
2016-01-07,3193.00,3212.00,3152.00,3184.00,363500,3184.00
2016-01-06,3272.00,3272.00,3232.60,3257.00,295300,3257.00
2016-01-05,3242.00,3276.00,3223.40,3211.00,224200,3211.00
2016-01-04,3321.00,3321.00,3197.00,3211.00,420900,3211.00
2015-12-31,3340.00,3388.00,3337.00,3367.00,168900,3367.00
2015-12-30,3367.00,3383.00,3349.00,3360.00,201700,3360.00
2015-12-29,3323.00,3390.00,3312.00,3381.00,326100,3381.00
2015-12-24,3300.00,3300.00,3286.00,3299.00,27600,3299.00
2015-12-23,3280.00,3290.00,3258.00,3283.00,206300,3283.00
2015-12-22,3275.00,3303.00,3249.00,3274.00,317900,3274.00
2015-12-21,3246.00,3307.00,3234.95,3262.00,554700,3262.00
2015-12-18,3339.00,3370.00,3226.00,3240.00,2739500,3240.00
2015-12-17,3385.00,3402.00,3359.00,3365.00,452000,3365.00
2015-12-16,3353.00,3367.00,3323.00,3345.00,322200,3345.00
2015-12-15,3293.00,3354.00,3256.00,3338.00,472900,3338.00
2015-12-14,3299.00,3313.00,3260.00,3274.00,373400,3274.00
2015-12-11,3361.00,3369.00,3276.00,3279.00,525400,3279.00
2015-12-10,3499.00,3499.00,3339.00,3361.00,595600,3361.00
2015-12-09,3578.00,3578.00,3491.00,3497.00,349300,3497.00
2015-12-08,3613.00,3619.00,3539.00,3561.00,276400,3561.00
2015-12-07,3620.00,3622.00,3595.80,3609.00,278000,3609.00
2015-12-04,3585.00,3605.00,3550.00,3605.00,387100,3605.00
2015-12-03,3609.00,3638.00,3561.00,3586.00,497500,3586.00
2015-12-02,3616.00,3630.00,3601.00,3613.00,574700,3613.00
2015-12-01,3597.00,3610.20,3578.00,3600.00,414400,3600.00
2015-11-30,3609.00,3635.00,3565.00,3572.00,7052900,3572.00
2015-11-27,3608.00,3618.00,3575.00,3603.00,445600,3603.00
2015-11-26,3624.00,3628.00,3592.00,3613.00,240400,3613.00
2015-11-25,3585.00,3620.00,3560.90,3610.00,381400,3610.00
2015-11-24,3637.00,3637.00,3514.00,3563.00,488700,3563.00
2015-11-23,3603.00,3654.00,3583.99,3634.00,371800,3634.00
2015-11-20,3587.00,3615.00,3566.00,3610.00,273200,3610.00
2015-11-19,3600.00,3604.00,3571.40,3600.00,277200,3600.00
2015-11-18,3622.00,3626.00,3553.00,3568.00,293300,3568.00
2015-11-17,3600.00,3638.00,3596.00,3616.00,436700,3616.00
2015-11-16,3530.00,3579.00,3505.40,3579.00,302800,3579.00
2015-11-13,3576.00,3616.00,3528.00,3556.00,448400,3556.00
2015-11-12,3618.00,3648.00,3583.00,3583.00,211600,3583.00
2015-11-11,3576.00,3628.00,3576.00,3624.00,229400,3624.00
2015-11-10,3580.00,3605.00,3549.00,3583.00,385000,3583.00
2015-11-09,3531.00,3605.00,3527.71,3576.00,392700,3576.00
2015-11-06,3509.00,3577.00,3509.00,3544.00,238000,3544.00
2015-11-05,3466.00,3535.40,3454.00,3510.00,388400,3510.00
2015-11-04,3453.00,3465.00,3425.00,3449.00,273600,3449.00
2015-11-03,3477.00,3477.00,3420.00,3437.00,218200,3437.00
2015-11-02,3465.00,3482.00,3427.00,3477.00,212700,3477.00
2015-10-30,3497.00,3506.00,3457.00,3470.00,247600,3470.00
2015-10-29,3480.00,3509.00,3460.00,3490.00,260800,3490.00
2015-10-28,3498.00,3528.00,3490.00,3514.00,233900,3474.80
2015-10-27,3498.00,3514.00,3480.00,3505.00,650600,3465.90
2015-10-26,3557.00,3560.00,3491.00,3498.00,353600,3458.979
2015-10-23,3541.00,3566.00,3534.00,3557.00,213400,3517.32
2015-10-22,3481.00,3538.00,3478.00,3525.00,172200,3485.677
2015-10-21,3487.00,3505.70,3449.00,3498.00,258700,3458.979
2015-10-20,3440.00,3494.00,3429.20,3466.00,343600,3427.335
2015-10-19,3360.00,3468.00,3333.00,3448.00,294100,3409.536
2015-10-16,3207.00,3356.00,3188.80,3350.00,346000,3312.63
2015-10-15,3130.00,3188.00,3111.00,3178.00,212100,3142.548
2015-10-14,3090.00,3121.00,3078.00,3117.00,212200,3082.229
2015-10-13,3068.00,3114.00,3035.00,3103.00,249400,3068.385
2015-10-12,3077.00,3081.00,3052.00,3071.00,199500,3036.742
2015-10-09,3154.00,3164.00,3077.00,3077.00,253600,3042.675
2015-10-08,3125.00,3152.00,3105.00,3127.00,264400,3092.117
2015-10-07,3208.00,3216.00,3122.00,3124.00,348200,3089.151
2015-10-06,3202.00,3215.00,3174.00,3189.00,265000,3153.426
2015-10-05,3215.00,3218.00,3196.00,3200.00,272200,3164.303
2015-10-02,3170.00,3208.00,3129.00,3159.00,269200,3123.76
2015-10-01,3162.00,3193.00,3145.00,3153.00,279200,3117.827
2015-09-30,3122.00,3158.00,3113.00,3140.00,370800,3104.972
2015-09-29,3120.00,3127.00,3058.00,3058.00,232500,3023.887
2015-09-28,3159.00,3188.00,3143.00,3145.00,183700,3109.916
2015-09-25,3130.00,3226.00,3125.00,3179.00,344400,3143.537
2015-09-24,3090.00,3122.00,3067.00,3087.00,173100,3052.563
2015-09-23,3078.00,3125.00,3051.00,3100.00,131500,3065.418
2015-09-22,3122.00,3123.00,3053.00,3071.00,197200,3036.742
2015-09-21,3096.00,3158.00,3078.00,3127.00,193400,3092.117
2015-09-18,3087.00,3096.00,3050.00,3090.00,540800,3055.53
2015-09-17,3092.00,3103.00,3079.00,3102.00,236700,3067.396
2015-09-16,3068.00,3099.00,3060.40,3088.00,177300,3053.552
2015-09-15,3053.00,3074.00,3014.00,3059.00,140200,3024.876
2015-09-14,3065.00,3082.00,3036.00,3044.00,155700,3010.043
2015-09-11,3039.00,3060.00,3030.00,3050.00,156800,3015.976
2015-09-10,3052.00,3080.04,3022.00,3050.00,177500,3015.976
2015-09-09,3046.00,3089.00,3034.60,3054.00,176600,3019.932
2015-09-08,2974.00,3024.00,2951.00,3004.00,176400,2970.489
2015-09-07,2953.00,2959.00,2923.00,2957.00,120500,2924.014
2015-09-04,2941.00,2950.00,2915.00,2917.00,177700,2884.46
2015-09-03,2894.00,2971.00,2894.00,2971.00,203000,2937.857
2015-09-02,2906.00,2910.00,2855.00,2875.00,250100,2842.928
2015-09-01,2903.00,2964.00,2872.50,2893.00,280500,2860.728
2015-08-31,2950.00,2950.00,2950.00,2950.00,000,2917.092
2015-08-28,2921.00,2950.00,2903.00,2950.00,271600,2917.092
2015-08-27,2871.00,2917.00,2851.00,2911.00,357100,2878.527
2015-08-26,2785.00,2850.00,2742.00,2815.00,339600,2783.598
2015-08-25,2735.00,2840.00,2692.00,2834.00,335400,2802.386
2015-08-24,2770.00,2775.32,2641.00,2697.00,554400,2666.914
2015-08-21,2884.00,2898.00,2830.00,2830.00,309300,2798.43
2015-08-20,2942.00,2952.00,2903.00,2915.00,257500,2882.482
2015-08-19,3001.00,3001.00,2955.00,2962.00,200100,2928.958
2015-08-18,2992.00,3020.00,2992.00,3010.00,126200,2976.422
2015-08-17,3010.00,3014.00,2973.00,3000.00,173200,2966.534
2015-08-14,2984.00,3008.00,2962.00,2997.00,105500,2963.567
2015-08-13,2930.00,2977.50,2930.00,2971.00,203800,2937.857
2015-08-12,2976.00,2990.23,2880.00,2902.00,326100,2869.627
2015-08-11,2980.00,3004.00,2963.00,2993.00,234800,2959.612
2015-08-10,2987.00,2998.00,2951.00,2997.00,123200,2963.567
2015-08-07,3017.00,3017.00,2975.00,2976.00,235000,2942.802
2015-08-06,2972.00,3021.00,2967.00,3011.00,275600,2977.411
2015-08-05,2966.00,2973.00,2948.00,2973.00,144800,2939.835
2015-08-04,2951.00,2958.00,2913.00,2958.00,466200,2925.002
2015-08-03,2960.00,2979.00,2936.00,2947.00,188000,2914.125
2015-07-31,2933.00,2975.00,2901.00,2973.00,221000,2939.835
2015-07-30,2969.00,2999.00,2906.00,2915.00,286000,2882.482
