Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,1255.50,1257.00,1234.00,1246.50,4247800,1246.50
2016-02-17,1190.00,1251.00,1188.50,1248.00,5359500,1248.00
2016-02-16,1211.50,1213.50,1178.00,1183.50,5015700,1183.50
2016-02-15,1193.00,1226.50,1178.00,1194.00,7199900,1194.00
2016-02-12,1094.00,1158.50,1093.00,1157.50,8610400,1157.50
2016-02-11,1162.50,1166.97,1085.00,1087.00,9272200,1087.00
2016-02-10,1141.00,1209.00,1132.00,1175.50,7688700,1175.50
2016-02-09,1155.50,1173.50,1114.50,1126.00,7810700,1126.00
2016-02-08,1224.00,1248.50,1147.50,1161.50,8204800,1161.50
2016-02-05,1266.50,1275.00,1225.50,1228.00,6908100,1228.00
2016-02-04,1258.00,1281.50,1242.50,1262.50,7717900,1262.50
2016-02-03,1220.00,1285.00,1220.00,1235.50,13430800,1235.50
2016-02-02,1320.00,1323.50,1206.00,1217.50,13034900,1217.50
2016-02-01,1379.50,1379.50,1307.00,1326.50,6243900,1326.50
2016-01-29,1344.50,1367.50,1334.50,1367.50,5875300,1367.50
2016-01-28,1333.00,1345.00,1305.00,1321.00,4801900,1321.00
2016-01-27,1322.00,1334.50,1306.24,1334.50,5000700,1334.50
2016-01-26,1277.00,1324.50,1262.00,1319.00,6747900,1319.00
2016-01-25,1341.50,1344.50,1292.50,1300.50,5925800,1300.50
2016-01-22,1344.50,1346.00,1312.00,1325.00,6403900,1325.00
2016-01-21,1323.00,1332.50,1297.00,1321.00,6923400,1321.00
2016-01-20,1370.00,1370.00,1304.00,1321.00,8407500,1321.00
2016-01-19,1385.00,1412.00,1375.00,1392.50,7208800,1392.50
2016-01-18,1337.00,1356.00,1335.50,1346.50,4138100,1346.50
2016-01-15,1381.00,1388.00,1318.50,1337.00,7008900,1337.00
2016-01-14,1364.00,1387.00,1341.50,1373.00,5071400,1373.00
2016-01-13,1386.00,1401.50,1372.00,1384.00,3530900,1384.00
2016-01-12,1358.00,1385.50,1350.50,1371.00,5435500,1371.00
2016-01-11,1362.00,1385.50,1352.00,1363.50,4159300,1363.50
2016-01-08,1394.50,1408.50,1376.00,1376.00,4968300,1376.00
2016-01-07,1391.00,1400.00,1365.00,1386.00,6835900,1386.00
2016-01-06,1466.00,1474.50,1422.00,1432.00,4886000,1432.00
2016-01-05,1478.50,1484.00,1453.50,1457.50,2595600,1457.50
2016-01-04,1519.00,1519.00,1449.50,1457.50,5308800,1457.50
2015-12-31,1539.50,1545.50,1528.88,1531.00,571800,1531.00
