Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,2004.00,2053.00,1991.00,2045.00,1804000,2045.00
2016-02-17,1953.00,2001.00,1953.00,1998.00,834100,1998.00
2016-02-16,1940.00,1967.00,1924.00,1952.00,936800,1952.00
2016-02-15,1929.00,1948.00,1918.00,1928.00,878800,1928.00
2016-02-12,1879.00,1896.00,1844.00,1895.00,1946500,1895.00
2016-02-11,1909.00,1909.00,1852.00,1872.00,1383400,1872.00
2016-02-10,1897.00,1932.51,1857.00,1912.00,1042700,1912.00
2016-02-09,1855.00,1901.00,1837.00,1878.00,1802800,1878.00
2016-02-08,1979.00,1980.00,1848.06,1859.00,1252100,1859.00
2016-02-05,2036.00,2061.00,1965.00,1965.00,1317200,1965.00
2016-02-04,2063.00,2072.00,2031.00,2039.00,958800,2039.00
2016-02-03,2068.00,2102.00,2035.00,2042.00,1768700,2042.00
2016-02-02,2064.00,2070.00,2035.00,2067.00,1215800,2067.00
2016-02-01,2045.00,2067.00,2024.00,2067.00,768700,2067.00
2016-01-29,1995.00,2036.00,1975.00,2036.00,1079700,2036.00
2016-01-28,1985.00,2004.00,1956.00,1970.00,896900,1970.00
2016-01-27,1952.00,1998.00,1946.00,1998.00,882700,1998.00
2016-01-26,1935.00,1959.00,1924.98,1954.00,777000,1954.00
2016-01-25,1926.00,1950.00,1909.00,1948.00,583200,1948.00
2016-01-22,1939.00,1942.00,1895.04,1911.00,765600,1911.00
2016-01-21,1900.00,1918.00,1864.00,1904.00,962900,1904.00
2016-01-20,1930.00,1960.31,1883.00,1892.00,1201300,1892.00
2016-01-19,1909.00,1971.00,1879.88,1957.00,1350000,1957.00
2016-01-18,1914.00,1932.00,1869.00,1884.00,762800,1884.00
2016-01-15,1940.00,1977.00,1902.00,1917.00,1277700,1917.00
2016-01-14,1986.00,1994.00,1935.00,1940.00,1161800,1940.00
2016-01-13,2026.00,2036.00,2007.00,2009.00,841100,2009.00
