Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,812.50,812.50,793.50,796.50,2360500,796.50
2016-02-17,782.50,811.00,782.50,805.50,3878900,805.50
2016-02-16,781.50,793.50,768.50,778.50,2454100,778.50
2016-02-15,779.50,783.50,769.50,778.00,1836500,778.00
2016-02-12,723.00,761.00,723.00,761.00,2875500,761.00
2016-02-11,744.50,744.50,715.00,719.50,3624200,719.50
2016-02-10,757.00,762.50,729.00,749.00,2682300,749.00
2016-02-09,767.00,773.00,744.00,752.00,3287100,752.00
2016-02-08,777.00,788.50,759.50,768.00,4141500,768.00
2016-02-05,779.00,803.00,768.385,778.50,3836300,778.50
2016-02-04,773.50,789.50,761.50,780.50,3265100,780.50
2016-02-03,769.50,772.50,749.50,757.50,3016500,757.50
2016-02-02,788.50,788.50,757.50,772.50,3456900,772.50
2016-02-01,795.00,806.00,782.50,789.00,4330100,789.00
2016-01-29,787.00,791.50,774.00,789.00,2875800,789.00
2016-01-28,769.50,791.00,769.50,777.00,3536500,777.00
2016-01-27,769.50,773.00,755.50,771.50,3488000,771.50
2016-01-26,746.50,771.50,738.50,769.50,3929900,769.50
2016-01-25,760.00,763.00,747.00,756.50,3708500,756.50
2016-01-22,788.50,790.00,740.00,757.50,10974900,757.50
2016-01-21,667.00,782.50,667.00,772.00,16333800,772.00
2016-01-20,675.00,675.50,644.50,657.50,5180200,657.50
2016-01-19,703.50,706.50,682.00,684.50,4046800,684.50
2016-01-18,704.50,708.50,684.50,692.00,3652000,692.00
2016-01-15,717.50,723.00,699.678,708.50,3002700,708.50
2016-01-14,691.00,722.00,689.50,719.50,4222000,719.50
2016-01-13,698.00,708.50,692.00,700.50,2920900,700.50
2016-01-12,685.00,712.00,680.00,694.00,4058800,694.00
2016-01-11,686.00,702.00,682.50,682.50,2463100,682.50
2016-01-08,701.00,704.00,689.50,689.50,2539700,689.50
2016-01-07,701.50,705.00,685.50,699.00,2281600,699.00
2016-01-06,725.00,725.00,708.76,716.00,2229500,716.00
2016-01-05,736.00,737.00,721.00,720.50,1475000,720.50
2016-01-04,726.50,732.31,705.00,720.50,2819900,720.50
2015-12-31,736.00,741.00,730.50,736.00,491100,736.00
2015-12-30,746.00,747.50,736.00,740.00,1577600,740.00
2015-12-29,767.50,767.50,740.50,745.50,2593300,745.50
2015-12-24,771.00,771.74,763.50,768.00,320800,768.00
2015-12-23,756.50,771.00,755.00,767.50,2272900,767.50
2015-12-22,753.00,759.50,749.82,750.00,1667000,750.00
2015-12-21,745.50,759.50,745.50,749.00,2059600,749.00
2015-12-18,750.00,753.00,737.76,748.50,4049500,748.50
2015-12-17,757.00,760.00,746.00,751.50,2883100,751.50
2015-12-16,722.50,749.50,722.50,743.50,5515800,743.50
2015-12-15,701.50,710.00,696.00,707.00,3154700,707.00
2015-12-14,714.50,714.50,695.00,695.00,3139500,695.00
2015-12-11,733.00,734.00,713.50,714.00,4223700,714.00
2015-12-10,738.50,753.50,735.50,737.00,4667100,737.00
2015-12-09,756.50,756.50,731.50,743.50,3861600,743.50
2015-12-08,778.50,778.50,753.50,764.00,4001700,764.00
2015-12-07,783.00,787.50,773.32,778.50,1589000,778.50
2015-12-04,800.50,804.16,778.00,782.00,2516900,782.00
2015-12-03,819.50,823.00,800.00,801.50,3362800,801.50
2015-12-02,828.00,832.00,820.50,823.00,1700100,823.00
2015-12-01,823.00,832.00,805.79,823.50,2410600,823.50
2015-11-30,827.50,830.456,822.00,826.00,3126200,826.00
2015-11-27,830.00,834.50,827.50,829.00,2375100,829.00
2015-11-26,837.00,846.50,827.50,834.50,3658100,834.50
2015-11-25,811.00,836.00,809.00,835.50,2635800,835.50
2015-11-24,810.00,812.50,787.50,808.50,4040900,808.50
2015-11-23,814.50,818.00,807.50,816.50,2917300,816.50
2015-11-20,818.50,832.50,809.408,825.00,3533600,825.00
2015-11-19,812.00,822.031,807.35,815.00,4083000,815.00
2015-11-18,785.00,814.00,777.00,812.00,4244700,812.00
2015-11-17,772.00,789.00,763.00,789.00,5454500,789.00
2015-11-16,771.00,784.80,760.50,765.00,3316700,765.00
2015-11-13,773.00,782.00,747.00,781.50,6033800,781.50
2015-11-12,818.00,818.066,768.50,774.00,7124300,774.00
2015-11-11,820.50,833.00,812.00,819.00,2633700,819.00
2015-11-10,830.50,835.50,819.00,822.50,3705800,822.50
2015-11-09,826.00,839.727,816.26,821.50,2707800,821.50
2015-11-06,846.00,851.00,824.00,827.50,3933400,827.50
2015-11-05,868.50,872.50,842.00,847.50,2908200,847.50
2015-11-04,862.00,875.00,862.00,867.50,4119400,867.50
2015-11-03,862.00,865.00,853.00,862.50,2770000,862.50
2015-11-02,858.00,866.50,857.50,861.50,2689600,861.50
2015-10-30,879.50,883.00,856.25,861.50,2949900,861.50
2015-10-29,890.00,893.50,871.50,875.50,2890500,875.50
2015-10-28,870.00,892.50,858.00,887.00,2927000,887.00
2015-10-27,895.50,938.253,868.00,868.00,3944700,868.00
2015-10-26,895.50,948.58,879.00,905.00,6895700,905.00
2015-10-23,934.00,948.58,886.50,900.50,7323300,900.50
2015-10-22,975.00,977.952,905.50,950.00,10634500,950.00
2015-10-21,1072.00,1093.00,975.00,998.50,14197700,998.50
2015-10-20,1186.00,1193.00,1180.00,1188.00,1584500,1188.00
2015-10-19,1180.00,1196.28,1175.00,1188.00,1099200,1188.00
2015-10-16,1193.00,1197.00,1180.00,1183.00,1578700,1183.00
2015-10-15,1184.00,1194.00,1176.00,1189.00,1573300,1189.00
2015-10-14,1190.00,1190.00,1174.00,1176.00,1293300,1176.00
2015-10-13,1208.00,1208.00,1186.00,1193.00,1593800,1193.00
2015-10-12,1218.00,1221.00,1206.00,1206.00,1933300,1206.00
2015-10-09,1221.00,1227.00,1214.00,1224.00,1837200,1224.00
2015-10-08,1192.00,1215.00,1188.00,1213.00,1735700,1213.00
2015-10-07,1197.00,1203.00,1185.00,1198.00,2285100,1198.00
2015-10-06,1194.00,1201.00,1182.00,1200.00,3333600,1200.00
2015-10-05,1187.00,1190.25,1179.26,1188.00,2745300,1188.00
2015-10-02,1155.00,1178.00,1148.00,1167.00,2096900,1167.00
2015-10-01,1152.00,1195.00,1148.00,1152.00,3585700,1152.00
2015-09-30,1119.00,1127.00,1107.00,1127.00,2602700,1127.00
2015-09-29,1098.00,1109.00,1093.00,1099.00,1254700,1099.00
2015-09-28,1125.00,1126.00,1109.00,1112.00,1822500,1112.00
2015-09-25,1117.00,1137.00,1109.00,1125.00,1609600,1125.00
2015-09-24,1121.00,1122.00,1094.00,1098.00,2024500,1098.00
2015-09-23,1097.00,1126.00,1090.00,1119.00,1230900,1119.00
2015-09-22,1127.00,1130.00,1098.00,1100.00,1817800,1100.00
2015-09-21,1123.00,1140.00,1117.00,1130.00,1449000,1130.00
2015-09-18,1127.00,1127.00,1103.00,1123.00,3540800,1123.00
2015-09-17,1144.00,1147.00,1125.00,1131.00,1812600,1131.00
2015-09-16,1146.00,1151.00,1137.00,1141.00,1955800,1141.00
2015-09-15,1133.00,1147.11,1125.00,1140.00,1767300,1140.00
2015-09-14,1145.00,1153.00,1129.00,1129.00,2077800,1129.00
2015-09-11,1149.00,1152.00,1135.00,1137.00,2426400,1137.00
2015-09-10,1150.00,1159.00,1139.00,1149.00,2882600,1149.00
2015-09-09,1168.00,1168.00,1153.29,1161.00,2474000,1161.00
2015-09-08,1132.00,1152.00,1132.00,1145.00,2364700,1145.00
2015-09-07,1111.00,1128.00,1108.00,1124.00,2566800,1124.00
2015-09-04,1094.00,1123.04,1090.00,1091.00,2589300,1091.00
2015-09-03,1090.00,1109.00,1088.00,1107.00,2836900,1107.00
2015-09-02,1091.00,1096.95,1079.00,1082.00,2531200,1082.00
2015-09-01,1125.00,1127.00,1010.00,1092.00,3331100,1092.00
2015-08-31,1133.00,1133.00,1133.00,1133.00,000,1133.00
2015-08-28,1107.00,1133.00,1102.64,1133.00,2621700,1133.00
2015-08-27,1106.00,1109.00,1096.85,1106.00,3521900,1106.00
2015-08-26,1095.00,1108.00,1081.00,1082.00,2496400,1082.00
2015-08-25,1082.00,1113.00,1074.00,1106.00,4208300,1106.00
2015-08-24,1091.00,1109.50,1051.00,1074.00,7053600,1074.00
