Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,6546.00,6552.00,6453.00,6486.00,1113800,6398.247
2016-02-17,6465.00,6542.00,6446.00,6513.00,1773300,6424.882
2016-02-16,6400.00,6497.26,6354.00,6410.00,1804300,6323.275
2016-02-15,6275.00,6400.00,6207.00,6371.00,1798400,6284.803
2016-02-12,5876.00,5972.00,5839.08,5966.00,1538400,5885.282
2016-02-11,5930.00,5951.00,5846.00,5847.00,1268800,5767.892
2016-02-10,5996.00,6030.00,5955.00,5967.00,1700300,5886.269
2016-02-09,6003.00,6032.00,5925.00,5954.00,1427100,5873.445
2016-02-08,6106.00,6126.00,5966.00,5990.00,1284000,5908.958
2016-02-05,6153.00,6209.00,6065.00,6068.00,1131900,5985.902
2016-02-04,6312.00,6327.00,6123.00,6136.00,1350800,6052.982
2016-02-03,6300.00,6340.00,6227.00,6260.00,1711000,6175.305
2016-02-02,6270.00,6286.00,6219.00,6273.00,1227100,6188.129
2016-02-01,6250.00,6285.00,6203.00,6271.00,1657300,6186.156
2016-01-29,6200.00,6234.00,6163.00,6234.00,2077700,6149.656
2016-01-28,6161.00,6184.00,6094.00,6125.00,1096600,6042.131
2016-01-27,6113.00,6169.00,6080.00,6169.00,1285900,6085.536
2016-01-26,6108.00,6174.13,6058.06,6112.00,1237100,6029.307
2016-01-25,6090.00,6150.00,6069.00,6144.00,1181600,6060.874
2016-01-22,6073.00,6099.00,6025.00,6047.00,1172700,5965.187
2016-01-21,6004.00,6039.00,5961.00,6000.00,1658600,5918.822
2016-01-20,6011.00,6022.00,5935.66,5984.00,1428500,5903.039
2016-01-19,6100.00,6122.00,6080.00,6099.00,1104400,6016.483
2016-01-18,5985.00,6041.00,5969.00,6005.00,1002600,5923.755
2016-01-15,6002.00,6066.00,5964.00,6008.00,1417100,5926.714
2016-01-14,6097.00,6097.00,6000.25,6032.00,1521300,5950.389
2016-01-13,6128.00,6162.00,6071.00,6143.00,1645900,6059.888
2016-01-12,5984.00,6092.00,5963.00,6076.00,1449800,5993.794
2016-01-11,5994.00,6025.00,5965.15,5977.00,799200,5896.134
2016-01-08,6038.00,6046.00,5993.00,5993.00,1143700,5911.917
2016-01-07,6020.00,6072.00,5981.22,6029.00,1227300,5947.43
2016-01-06,6077.00,6119.00,6027.08,6102.00,1215300,6019.442
2016-01-05,6140.00,6171.00,6060.00,6107.00,1014000,6024.375
2016-01-04,6206.00,6245.00,6090.00,6112.00,1159300,6029.307
2015-12-31,6333.00,6357.00,6242.00,6281.00,274600,6196.021
2015-12-30,6298.00,6361.00,6294.00,6310.00,532800,6224.628
2015-12-29,6257.00,6309.77,6220.00,6305.00,618500,6219.696
2015-12-28,6226.00,6226.00,6226.00,6226.00,000,6141.765
