Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,258.50,260.90,250.40,251.90,12455700,251.90
2016-02-17,249.80,258.30,248.20,257.30,11532600,257.30
2016-02-16,248.50,252.00,242.70,250.00,13534900,250.00
2016-02-15,245.40,247.40,243.80,246.30,9634900,246.30
2016-02-12,225.40,240.10,225.069,240.10,21698900,240.10
2016-02-11,230.00,230.512,220.90,223.50,20265900,223.50
2016-02-10,226.40,237.375,223.60,233.00,22173100,233.00
2016-02-09,230.00,234.60,222.60,225.60,19513000,225.60
2016-02-08,245.00,245.70,229.80,230.70,19464600,230.70
2016-02-05,243.50,248.60,239.50,241.90,17065000,241.90
2016-02-04,236.40,243.20,232.00,241.80,20252300,241.80
2016-02-03,238.30,240.20,229.702,232.80,19433200,232.80
2016-02-02,249.00,250.20,235.90,240.60,18472200,240.60
2016-02-01,256.40,256.80,244.80,249.10,15957900,249.10
2016-01-29,254.90,256.714,249.80,252.70,18156100,252.70
2016-01-28,253.00,259.50,246.70,250.70,14756300,250.70
2016-01-27,248.00,259.20,246.00,255.70,26318900,255.70
2016-01-26,250.00,261.40,248.80,260.90,20873900,260.90
2016-01-25,264.00,264.00,249.70,251.30,15196300,251.30
2016-01-22,268.00,268.588,261.50,262.10,13986200,262.10
2016-01-21,254.70,262.80,250.83,262.50,17422900,262.50
2016-01-20,259.30,259.858,252.10,254.00,17824600,254.00
2016-01-19,265.00,267.60,260.20,264.60,12048600,264.60
2016-01-18,263.40,267.90,257.80,260.20,13206600,260.20
2016-01-15,274.80,278.60,263.60,264.50,18125600,264.50
2016-01-14,280.00,280.70,273.00,277.00,11648500,277.00
2016-01-13,285.20,287.60,280.30,281.80,12335100,281.80
2016-01-12,282.00,288.50,280.20,283.40,8175500,283.40
2016-01-11,281.90,288.50,279.90,280.40,10793700,280.40
2016-01-08,290.00,293.40,283.50,283.50,8007500,283.50
2016-01-07,288.40,290.10,282.20,288.50,11643300,288.50
2016-01-06,295.40,298.436,292.00,294.20,7776000,294.20
2016-01-05,295.90,299.70,294.80,293.50,7700900,293.50
2016-01-04,298.20,299.484,291.97,293.50,8628600,293.50
2015-12-31,306.00,306.30,301.90,302.00,2683600,302.00
2015-12-30,308.60,308.90,302.70,302.80,5406000,302.80
2015-12-29,299.30,310.20,299.00,310.10,8373600,310.10
2015-12-24,305.00,307.60,303.63,304.80,1081900,304.80
2015-12-23,300.00,304.50,298.00,304.30,5799800,304.30
2015-12-22,299.90,299.90,295.50,297.40,6619000,297.40
2015-12-21,294.00,298.60,291.70,294.70,8011000,294.70
2015-12-18,293.10,297.80,292.10,294.00,14427900,294.00
2015-12-17,294.30,298.80,292.70,294.70,9687100,294.70
2015-12-16,288.70,293.60,288.00,289.80,13957600,289.80
2015-12-15,284.30,290.00,284.05,288.80,9567200,288.80
2015-12-14,285.60,287.40,281.40,282.60,12933800,282.60
2015-12-11,291.70,292.20,284.40,285.50,10072200,285.50
2015-12-10,288.80,293.90,288.10,292.60,10945900,292.60
2015-12-09,291.40,292.90,287.60,290.30,9838700,290.30
2015-12-08,298.40,299.20,288.70,291.10,16762600,291.10
2015-12-07,306.40,306.40,299.10,299.50,7883700,299.50
2015-12-04,304.90,306.30,302.10,303.80,8022600,303.80
2015-12-03,311.30,315.70,305.70,305.70,11338400,305.70
2015-12-02,313.10,314.00,309.10,309.10,5283000,309.10
2015-12-01,308.50,312.70,308.50,312.20,15077700,312.20
2015-11-30,306.70,307.80,302.379,302.40,19928400,302.40
2015-11-27,305.40,307.60,304.70,306.70,6821100,306.70
2015-11-26,300.00,307.30,299.90,307.20,8979400,307.20
2015-11-25,302.70,303.60,299.40,300.50,12353300,300.50
2015-11-24,302.70,304.00,295.90,302.30,12827400,302.30
2015-11-23,307.10,309.90,301.30,304.40,13067300,304.40
2015-11-20,316.20,317.60,309.50,309.50,7995600,309.50
